Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,44.18,44.97,44.0,44.72,1739600
2017-01-04,1483488000,45.14,45.57,45.04,45.3,1821300
2017-01-05,1483574400,45.26,45.28,44.59,44.77,1503700
2017-01-06,1483660800,44.85,46.24,44.79,46.16,2883400
2017-01-09,1483920000,46.18,46.71,46.08,46.31,2575300
2017-01-10,1484006400,46.5,46.69,46.0,46.27,1560500
2017-01-11,1484092800,46.2,47.59,46.12,47.37,5624300
2017-01-12,1484179200,47.04,47.04,46.15,46.67,3276900
2017-01-13,1484265600,46.75,46.99,46.56,46.83,1568500
2017-01-17,1484611200,46.53,46.86,46.34,46.48,1938800
2017-01-18,1484697600,46.82,46.87,46.17,46.41,1523500
2017-01-19,1484784000,46.21,46.26,45.7,45.82,1346100
2017-01-20,1484870400,46.01,46.1,45.6,45.81,1701700
2017-01-23,1485129600,45.79,46.01,45.43,45.58,2013900
2017-01-24,1485216000,45.95,46.37,45.26,45.55,2741900
2017-01-25,1485302400,45.79,46.57,45.6,46.56,3073200
2017-01-26,1485388800,46.57,46.58,46.09,46.33,1895400
2017-01-27,1485475200,46.48,46.97,46.46,46.8,1527800
2017-01-30,1485734400,46.63,46.7,45.58,45.85,2266500
2017-01-31,1485820800,46.21,47.28,46.18,47.1,2552600
2017-02-01,1485907200,47.07,47.91,46.82,47.38,2244600
2017-02-02,1485993600,47.02,47.13,46.62,47.04,1352200
2017-02-03,1486080000,47.22,47.58,47.19,47.5,1191800
2017-02-06,1486339200,47.26,47.5,47.09,47.39,952100
2017-02-07,1486425600,47.54,47.88,47.38,47.75,2170700
2017-02-08,1486512000,47.49,48.12,47.35,48.03,2107100
2017-02-09,1486598400,48.03,48.86,48.03,48.55,2557700
2017-02-10,1486684800,48.58,48.66,48.11,48.44,2092500
2017-02-13,1486944000,48.7,48.95,48.5,48.59,1568300
2017-02-14,1487030400,48.33,48.75,48.18,48.47,3546900
2017-02-15,1487116800,49.19,49.86,48.69,49.65,5724500
2017-02-16,1487203200,49.71,49.71,48.63,48.9,2550400
2017-02-17,1487289600,48.72,49.67,48.65,49.66,2195500
2017-02-21,1487635200,49.69,49.83,49.22,49.39,2037000
2017-02-22,1487721600,49.35,49.75,49.24,49.38,1632400
2017-02-23,1487808000,49.48,49.63,49.25,49.51,1006900
2017-02-24,1487894400,49.42,49.85,49.37,49.77,1612700
2017-02-27,1488153600,49.77,49.96,49.5,49.69,1195100
2017-02-28,1488240000,49.56,49.68,49.28,49.34,1417800
2017-03-01,1488326400,49.65,50.27,49.65,50.06,2026600
2017-03-02,1488412800,50.06,50.1,49.37,49.42,1706400
2017-03-03,1488499200,49.42,50.06,49.2,50.0,1824400
2017-03-06,1488758400,49.67,49.85,49.23,49.3,1883700
2017-03-07,1488844800,49.11,49.49,48.92,49.26,2233600
2017-03-08,1488931200,49.31,49.6,49.01,49.45,1517600
2017-03-09,1489017600,49.46,49.61,49.18,49.47,1259400
2017-03-10,1489104000,49.72,50.36,49.52,50.16,1860500
2017-03-13,1489363200,50.15,50.46,50.01,50.45,1376200
2017-03-14,1489449600,50.23,50.27,49.98,50.22,1203400
2017-03-15,1489536000,51.28,52.73,51.0,52.04,4118000
2017-03-16,1489622400,51.39,51.99,50.82,51.03,2676900
2017-03-17,1489708800,51.04,51.49,50.9,51.28,1936900
2017-03-20,1489968000,51.28,51.59,50.98,51.12,1221400
2017-03-21,1490054400,51.25,51.68,50.48,50.65,1492700
2017-03-22,1490140800,50.78,51.43,50.64,51.11,1257100
2017-03-23,1490227200,51.02,51.73,50.71,51.15,1717900
2017-03-24,1490313600,51.99,51.99,50.83,51.06,2015300
2017-03-27,1490572800,50.6,51.31,50.42,51.21,1446500
2017-03-28,1490659200,51.26,51.57,51.08,51.4,1312700
2017-03-29,1490745600,51.23,51.38,50.77,51.1,1469900
2017-03-30,1490832000,51.11,51.39,50.88,51.29,1627400
2017-03-31,1490918400,51.17,51.33,50.92,50.98,1705600
2017-04-03,1491177600,51.01,51.31,50.85,51.3,1550200
2017-04-04,1491264000,51.3,51.34,50.61,50.74,2017100
2017-04-05,1491350400,50.84,51.32,50.82,50.83,1778300
2017-04-06,1491436800,50.82,51.33,50.39,51.25,1548200
2017-04-07,1491523200,51.17,51.17,50.82,50.95,1243600
2017-04-10,1491782400,51.01,51.36,50.8,50.84,1025200
2017-04-11,1491868800,50.82,51.01,50.5,50.94,1520700
2017-04-12,1491955200,50.96,51.14,50.6,50.67,1258200
2017-04-13,1492041600,50.56,50.86,50.44,50.46,864000
2017-04-17,1492387200,50.75,51.79,50.56,51.55,1569200
2017-04-18,1492473600,51.13,51.69,50.8,51.14,1241000
2017-04-19,1492560000,51.44,51.51,51.06,51.17,2095700
2017-04-20,1492646400,51.42,51.49,50.9,51.23,1570000
2017-04-21,1492732800,51.36,51.48,50.95,51.37,2189400
2017-04-24,1492992000,52.0,52.58,51.98,52.5,2257700
2017-04-25,1493078400,52.79,53.22,52.56,52.85,2181900
2017-04-26,1493164800,53.04,53.35,52.85,52.87,1835000
2017-04-27,1493251200,52.97,53.53,52.87,53.45,1529000
2017-04-28,1493337600,53.33,53.37,52.88,53.08,3078200
2017-05-01,1493596800,53.52,53.99,53.38,53.81,1897000
2017-05-02,1493683200,53.85,53.97,53.53,53.93,1693100
2017-05-03,1493769600,53.69,54.25,53.62,54.15,1702600
2017-05-04,1493856000,54.19,54.72,54.15,54.67,2615600
2017-05-05,1493942400,54.82,54.93,54.57,54.62,1571500
2017-05-08,1494201600,54.63,54.79,53.93,54.31,2190000
2017-05-09,1494288000,54.4,54.86,54.28,54.84,1559200
2017-05-10,1494374400,54.82,54.91,54.08,54.26,1566300
2017-05-11,1494460800,54.12,54.37,53.81,54.22,1347600
2017-05-12,1494547200,54.15,54.39,53.96,54.15,1578300
2017-05-15,1494806400,54.07,54.73,54.01,54.67,1472200
2017-05-16,1494892800,56.29,56.29,54.43,54.8,1032600
2017-05-17,1494979200,54.8,54.8,53.68,53.78,1839700
2017-05-18,1495065600,53.9,54.26,53.61,53.85,1935000
2017-05-19,1495152000,54.09,54.31,53.86,54.12,1654400
2017-05-22,1495411200,54.5,54.5,53.85,54.08,4264800
2017-05-23,1495497600,57.66,57.84,55.93,56.56,7510600
2017-05-24,1495584000,56.41,57.22,56.0,57.11,4060100
2017-05-25,1495670400,57.4,57.57,56.82,57.18,2772200
2017-05-26,1495756800,57.11,57.59,56.93,57.38,1534400
2017-05-30,1496102400,57.41,58.32,57.29,58.21,2576400
2017-05-31,1496188800,57.33,58.64,57.33,58.18,2552400
2017-06-01,1496275200,57.87,58.6,57.67,58.56,2100400
2017-06-02,1496361600,58.63,58.97,58.59,58.64,1665500
2017-06-05,1496620800,58.63,58.67,58.17,58.24,1473300
2017-06-06,1496707200,57.99,58.39,57.95,57.95,1968000
2017-06-07,1496793600,58.11,58.6,57.84,58.46,1617500
2017-06-08,1496880000,58.46,58.56,57.58,58.0,3486600
2017-06-09,1496966400,58.16,58.29,57.02,57.09,2352300
2017-06-12,1497225600,57.03,57.29,56.04,56.88,2579600
2017-06-13,1497312000,56.96,57.51,56.82,57.16,1527000
2017-06-14,1497398400,57.41,57.64,56.94,57.26,1202800
2017-06-15,1497484800,57.1,57.17,56.72,57.09,1091800
2017-06-16,1497571200,57.25,57.65,57.12,57.38,2157500
2017-06-19,1497830400,57.45,58.5,57.45,58.39,2383700
