Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,9.04,9.2,9.0,9.16,406700
2017-01-04,1483488000,9.22,9.29,9.14,9.26,241100
2017-01-05,1483574400,9.24,9.31,9.11,9.14,319400
2017-01-06,1483660800,9.18,9.18,9.04,9.05,254300
2017-01-09,1483920000,9.01,9.13,8.95,9.11,346400
2017-01-10,1484006400,9.13,9.3,9.08,9.3,304900
2017-01-11,1484092800,9.34,9.46,9.23,9.32,271300
2017-01-12,1484179200,9.28,9.28,9.07,9.17,195100
2017-01-13,1484265600,9.23,9.27,9.15,9.24,222000
2017-01-17,1484611200,9.23,9.34,9.09,9.11,234300
2017-01-18,1484697600,9.12,9.2,9.07,9.17,207900
2017-01-19,1484784000,9.19,9.19,9.04,9.07,292500
2017-01-20,1484870400,9.05,9.18,9.05,9.18,220200
2017-01-23,1485129600,9.19,9.31,9.14,9.3,232300
2017-01-24,1485216000,9.29,9.34,9.2,9.31,277900
2017-01-25,1485302400,9.35,9.4,9.23,9.25,195600
2017-01-26,1485388800,9.3,9.34,9.22,9.26,169100
2017-01-27,1485475200,9.29,9.29,9.12,9.21,133700
2017-01-30,1485734400,9.18,9.2,9.09,9.16,246900
2017-01-31,1485820800,9.23,9.23,8.95,9.09,345600
2017-02-01,1485907200,9.2,9.24,9.09,9.13,301600
2017-02-02,1485993600,9.08,9.16,9.05,9.15,298900
2017-02-03,1486080000,9.26,9.34,9.21,9.27,298600
2017-02-06,1486339200,9.32,9.41,9.28,9.38,386300
2017-02-07,1486425600,9.38,9.41,9.21,9.27,266600
2017-02-08,1486512000,9.07,9.09,8.77,9.04,1185500
2017-02-09,1486598400,9.01,9.04,8.91,8.92,494100
2017-02-10,1486684800,8.95,9.17,8.88,9.1,388500
2017-02-13,1486944000,9.11,9.25,9.01,9.04,344900
2017-02-14,1487030400,9.04,9.12,8.98,9.07,349800
2017-02-15,1487116800,9.06,9.06,8.86,8.97,506000
2017-02-16,1487203200,8.97,9.08,8.94,9.05,343100
2017-02-17,1487289600,8.99,9.07,8.94,9.07,283900
2017-02-21,1487635200,9.07,9.14,9.05,9.11,268200
2017-02-22,1487721600,9.11,9.15,9.0,9.07,220100
2017-02-23,1487808000,9.04,9.14,9.0,9.03,322300
2017-02-24,1487894400,9.06,9.14,8.96,9.03,215600
2017-02-27,1488153600,9.02,9.08,8.94,9.0,270600
2017-02-28,1488240000,8.98,9.0,8.88,8.95,268900
2017-03-01,1488326400,9.08,9.11,8.97,8.97,330300
2017-03-02,1488412800,8.92,8.94,8.78,8.79,652600
2017-03-03,1488499200,8.76,8.77,8.32,8.69,1247600
2017-03-06,1488758400,8.71,8.73,8.55,8.58,410300
2017-03-07,1488844800,8.54,8.61,8.4,8.43,375100
2017-03-08,1488931200,8.41,8.45,8.18,8.21,545800
2017-03-09,1489017600,8.21,8.38,8.19,8.2,371300
2017-03-10,1489104000,8.27,8.37,8.24,8.36,239200
2017-03-13,1489363200,8.36,8.4,8.25,8.26,257500
2017-03-14,1489449600,8.26,8.28,8.17,8.2,226100
2017-03-15,1489536000,8.44,8.67,8.33,8.63,572600
2017-03-16,1489622400,8.66,8.7,8.52,8.61,352200
2017-03-17,1489708800,8.61,8.74,8.56,8.73,1039700
2017-03-20,1489968000,8.73,8.8,8.64,8.75,460300
2017-03-21,1490054400,8.8,8.8,8.6,8.65,392800
2017-03-22,1490140800,8.63,8.72,8.6,8.67,366400
2017-03-23,1490227200,8.66,8.74,8.62,8.7,310200
2017-03-24,1490313600,8.71,8.87,8.69,8.77,708200
2017-03-27,1490572800,8.77,8.89,8.72,8.83,596500
2017-03-28,1490659200,8.83,9.01,8.8,8.88,783800
2017-03-29,1490745600,8.88,9.02,8.85,8.97,648100
2017-03-30,1490832000,8.99,9.04,8.83,8.87,481200
2017-03-31,1490918400,8.88,8.99,8.85,8.96,423600
2017-04-03,1491177600,8.95,9.0,8.88,8.89,353000
2017-04-04,1491264000,8.9,8.96,8.81,8.95,384000
2017-04-05,1491350400,8.97,9.0,8.81,8.84,442000
2017-04-06,1491436800,8.86,8.97,8.81,8.95,287700
2017-04-07,1491523200,8.92,8.97,8.89,8.89,164500
2017-04-10,1491782400,8.9,8.94,8.86,8.88,300100
2017-04-11,1491868800,8.87,9.06,8.85,9.02,361900
2017-04-12,1491955200,9.0,9.04,8.88,8.89,253300
2017-04-13,1492041600,8.9,8.97,8.88,8.89,180000
2017-04-17,1492387200,8.89,9.03,8.89,9.0,334100
2017-04-18,1492473600,8.95,9.07,8.95,9.04,325400
2017-04-19,1492560000,9.07,9.17,9.05,9.06,235600
2017-04-20,1492646400,9.12,9.16,9.04,9.12,247600
2017-04-21,1492732800,9.17,9.18,9.09,9.1,307500
2017-04-24,1492992000,9.19,9.19,9.07,9.16,335600
2017-04-25,1493078400,9.19,9.28,9.11,9.19,450400
2017-04-26,1493164800,9.21,9.62,9.19,9.37,928200
2017-04-27,1493251200,9.42,9.44,9.16,9.28,377700
