Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,166.38,166.94,164.94,166.2,691300
2017-01-04,1483488000,165.98,168.7,165.98,167.56,641700
2017-01-05,1483574400,166.46,168.6,165.84,167.45,861000
2017-01-06,1483660800,166.9,167.56,164.93,165.26,828000
2017-01-09,1483920000,165.67,165.89,163.98,165.16,560100
2017-01-10,1484006400,164.35,167.49,164.28,165.54,621200
2017-01-11,1484092800,169.04,170.48,166.51,168.96,889000
2017-01-12,1484179200,167.97,170.11,167.56,169.97,747400
2017-01-13,1484265600,169.92,171.33,169.05,170.28,1196200
2017-01-17,1484611200,169.84,172.92,168.48,168.54,1048900
2017-01-18,1484697600,168.55,169.69,167.33,169.49,791400
2017-01-19,1484784000,169.72,170.31,166.8,167.29,606300
2017-01-20,1484870400,167.8,168.45,166.02,167.08,731300
2017-01-23,1485129600,162.77,164.28,160.03,163.45,1416800
2017-01-24,1485216000,164.45,166.57,163.45,163.95,882400
2017-01-25,1485302400,165.03,165.92,162.69,163.18,969100
2017-01-26,1485388800,163.42,165.05,161.08,161.23,1301600
2017-01-27,1485475200,161.87,161.99,159.71,160.13,768500
2017-01-30,1485734400,161.09,161.09,158.69,160.38,727000
2017-01-31,1485820800,158.21,160.43,158.09,160.01,1056000
2017-02-01,1485907200,159.79,160.64,155.58,156.45,1594900
2017-02-02,1485993600,155.96,158.85,155.87,158.15,1485400
2017-02-03,1486080000,158.78,159.48,157.74,158.55,850400
2017-02-06,1486339200,157.56,158.83,155.81,156.14,944700
2017-02-07,1486425600,157.05,157.88,153.71,155.08,1191300
2017-02-08,1486512000,154.21,159.43,154.18,158.53,1921800
2017-02-09,1486598400,158.08,160.91,157.15,160.58,1102000
2017-02-10,1486684800,160.97,161.59,158.98,159.82,734900
2017-02-13,1486944000,160.75,160.75,157.97,158.2,986200
2017-02-14,1487030400,158.2,160.54,157.68,160.13,935300
2017-02-15,1487116800,159.08,161.04,158.81,159.65,694700
2017-02-16,1487203200,159.98,160.22,156.19,156.84,1357800
2017-02-17,1487289600,156.47,157.71,155.63,157.41,1561300
2017-02-21,1487635200,160.26,165.18,156.55,156.99,3286400
2017-02-22,1487721600,156.6,157.81,151.27,155.56,3442900
2017-02-23,1487808000,155.3,155.54,152.62,153.65,1395800
2017-02-24,1487894400,152.43,154.15,151.44,153.27,1599600
2017-02-27,1488153600,152.81,153.33,151.35,152.89,1443300
2017-02-28,1488240000,151.63,154.6,151.18,152.57,1087300
2017-03-01,1488326400,154.5,154.5,151.63,152.64,1037800
2017-03-02,1488412800,152.64,154.01,152.42,153.3,1158100
2017-03-03,1488499200,153.24,154.06,150.32,151.34,1252000
2017-03-06,1488758400,151.34,152.07,150.21,150.27,1057600
2017-03-07,1488844800,150.28,150.81,147.71,148.07,1102700
2017-03-08,1488931200,149.55,151.72,148.88,151.21,1415600
2017-03-09,1489017600,150.97,151.47,150.23,151.15,1024600
2017-03-10,1489104000,151.51,151.79,149.43,150.0,1064500
2017-03-13,1489363200,148.82,150.96,148.07,150.37,978900
2017-03-14,1489449600,150.32,150.65,148.96,149.75,896600
2017-03-15,1489536000,149.62,149.64,147.25,148.98,1593700
2017-03-16,1489622400,148.8,149.8,147.91,149.45,583400
