Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,112.56,114.41,111.48,112.36,284400
2017-01-04,1483488000,113.02,115.97,112.32,115.74,335800
2017-01-05,1483574400,115.9,116.05,113.7,114.81,383000
2017-01-06,1483660800,115.05,115.92,114.77,115.42,268900
2017-01-09,1483920000,115.62,117.71,114.67,117.11,338900
2017-01-10,1484006400,112.48,114.71,110.0,112.24,830600
2017-01-11,1484092800,112.35,112.95,109.83,111.27,492800
2017-01-12,1484179200,110.99,112.5,110.21,112.37,278800
2017-01-13,1484265600,112.87,115.73,112.22,115.67,371400
2017-01-17,1484611200,114.69,115.49,113.92,114.02,272100
2017-01-18,1484697600,114.82,114.82,112.91,113.27,235800
2017-01-19,1484784000,113.47,113.64,111.62,112.21,387400
2017-01-20,1484870400,112.0,112.3,110.83,111.84,388400
2017-01-23,1485129600,111.6,112.6,110.26,111.57,367900
2017-01-24,1485216000,111.82,112.6,110.45,112.3,303000
2017-01-25,1485302400,113.43,115.68,113.2,114.82,403600
2017-01-26,1485388800,116.49,116.49,105.13,106.09,1243200
2017-01-27,1485475200,105.75,110.46,105.75,108.85,763800
2017-01-30,1485734400,108.0,108.01,105.38,106.15,574700
2017-01-31,1485820800,106.3,107.0,105.16,106.37,454100
2017-02-01,1485907200,106.28,106.76,104.9,105.59,467500
2017-02-02,1485993600,104.55,105.08,103.53,104.1,882900
2017-02-03,1486080000,104.85,105.93,103.82,104.96,734200
2017-02-06,1486339200,105.11,111.22,105.11,110.5,1240500
2017-02-07,1486425600,111.21,111.82,109.35,109.94,456100
2017-02-08,1486512000,109.9,110.38,108.42,108.73,271400
2017-02-09,1486598400,109.0,109.44,107.33,108.45,372800
2017-02-10,1486684800,108.36,109.0,107.65,108.64,576600
2017-02-13,1486944000,108.04,108.83,107.33,107.38,233700
2017-02-14,1487030400,107.6,109.48,107.6,108.96,362300
2017-02-15,1487116800,108.7,110.7,108.22,110.62,453700
2017-02-16,1487203200,110.98,114.4,110.61,114.25,725300
2017-02-17,1487289600,114.01,116.92,112.2,116.57,548500
2017-02-21,1487635200,117.15,118.16,116.29,117.81,430400
2017-02-22,1487721600,117.98,118.15,116.92,117.0,167800
2017-02-23,1487808000,117.03,117.22,114.36,116.89,289300
2017-02-24,1487894400,116.0,117.5,114.28,117.14,207200
2017-02-27,1488153600,117.36,118.84,116.55,117.94,716900
2017-02-28,1488240000,117.92,118.71,116.83,117.97,319600
2017-03-01,1488326400,119.16,121.83,118.02,121.29,417000
2017-03-02,1488412800,121.75,122.18,119.8,120.05,319500
2017-03-03,1488499200,119.93,121.72,119.41,120.73,191500
2017-03-06,1488758400,119.28,120.29,118.05,119.79,258600
2017-03-07,1488844800,119.08,120.75,118.66,120.03,315700
2017-03-08,1488931200,120.28,121.06,119.55,120.13,207600
2017-03-09,1489017600,120.23,120.83,119.8,120.17,177800
2017-03-10,1489104000,120.51,121.34,119.77,121.21,222700
2017-03-13,1489363200,120.95,121.86,120.39,121.69,250900
2017-03-14,1489449600,122.22,122.22,120.25,120.53,164200
2017-03-15,1489536000,120.77,123.39,120.43,122.97,235000
2017-03-16,1489622400,123.0,123.2,121.84,122.91,138600
2017-03-17,1489708800,123.17,124.68,122.76,123.97,412400
2017-03-20,1489968000,123.97,124.41,122.52,123.59,172000
2017-03-21,1490054400,124.18,124.83,122.21,122.27,249300
2017-03-22,1490140800,122.36,123.66,121.86,123.47,232800
2017-03-23,1490227200,123.11,125.49,122.13,123.75,331600
2017-03-24,1490313600,124.17,126.0,124.17,124.89,180500
2017-03-27,1490572800,123.7,125.67,122.93,125.26,245900
2017-03-28,1490659200,124.82,125.55,124.07,125.05,345100
2017-03-29,1490745600,124.79,125.85,124.21,124.88,278900
2017-03-30,1490832000,125.0,126.04,124.57,125.0,267800
2017-03-31,1490918400,124.75,125.92,124.45,125.2,435500
2017-04-03,1491177600,125.23,125.58,123.71,125.05,320800
2017-04-04,1491264000,125.15,126.26,123.6,124.08,315200
2017-04-05,1491350400,124.75,125.31,123.28,123.4,295200
2017-04-06,1491436800,125.5,125.9,124.1,125.54,278600
2017-04-07,1491523200,124.97,126.06,124.69,125.49,156300
2017-04-10,1491782400,125.4,126.39,124.76,125.16,172100
2017-04-11,1491868800,124.89,125.99,124.3,125.87,167800
2017-04-12,1491955200,125.87,126.17,125.27,125.48,150900
2017-04-13,1492041600,125.16,125.81,124.27,124.61,144200
2017-04-17,1492387200,122.0,122.0,119.13,120.73,592600
