Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,4.78,4.87,4.74,4.86,122600
2017-01-04,1483488000,4.84,4.88,4.84,4.88,155700
2017-01-05,1483574400,4.87,4.88,4.78,4.88,121000
2017-01-06,1483660800,4.88,4.91,4.84,4.87,168000
2017-01-09,1483920000,4.87,4.9,4.81,4.85,122900
2017-01-10,1484006400,4.85,4.88,4.84,4.88,61000
2017-01-11,1484092800,4.86,4.88,4.83,4.83,104200
2017-01-12,1484179200,4.86,4.86,4.78,4.82,61700
2017-01-13,1484265600,4.8,4.84,4.8,4.82,58200
2017-01-17,1484611200,4.84,4.84,4.79,4.8,58200
2017-01-18,1484697600,4.81,4.82,4.72,4.81,91300
2017-01-19,1484784000,4.8,4.8,4.72,4.77,111400
2017-01-20,1484870400,4.75,4.8,4.73,4.79,82200
2017-01-23,1485129600,4.78,4.81,4.77,4.8,86800
2017-01-24,1485216000,4.81,4.82,4.77,4.78,55200
2017-01-25,1485302400,4.78,4.8,4.73,4.75,102000
2017-01-26,1485388800,4.76,4.8,4.75,4.79,76100
2017-01-27,1485475200,4.82,4.82,4.77,4.78,69700
2017-01-30,1485734400,4.77,4.77,4.7,4.71,64800
2017-01-31,1485820800,4.74,4.74,4.54,4.71,154200
2017-02-01,1485907200,4.69,4.77,4.66,4.73,92300
2017-02-02,1485993600,4.72,4.75,4.7,4.71,76900
2017-02-03,1486080000,4.74,4.74,4.71,4.72,97400
2017-02-06,1486339200,4.72,4.74,4.7,4.71,76500
2017-02-07,1486425600,4.72,4.72,4.7,4.7,59200
2017-02-08,1486512000,4.71,4.71,4.66,4.68,94000
2017-02-09,1486598400,4.7,4.7,4.63,4.66,102800
2017-02-10,1486684800,4.65,4.68,4.64,4.67,88800
2017-02-13,1486944000,4.68,4.71,4.66,4.68,78600
2017-02-14,1487030400,4.66,4.71,4.66,4.7,87400
2017-02-15,1487116800,4.7,4.75,4.65,4.66,146100
2017-02-16,1487203200,4.67,4.73,4.67,4.73,67500
2017-02-17,1487289600,4.73,4.73,4.66,4.67,96800
2017-02-21,1487635200,4.68,4.75,4.68,4.71,84000
2017-02-22,1487721600,4.7,4.72,4.69,4.71,54000
2017-02-23,1487808000,4.71,4.75,4.69,4.74,62100
2017-02-24,1487894400,4.77,4.78,4.7,4.7,75200
2017-02-27,1488153600,4.7,4.77,4.7,4.71,59800
2017-02-28,1488240000,4.72,4.72,4.69,4.71,69100
2017-03-01,1488326400,4.71,4.77,4.69,4.7,93000
2017-03-02,1488412800,4.71,4.74,4.71,4.73,76300
2017-03-03,1488499200,4.76,4.88,4.76,4.87,298800
2017-03-06,1488758400,4.88,4.91,4.82,4.89,200600
2017-03-07,1488844800,4.89,5.01,4.83,4.93,238300
2017-03-08,1488931200,4.93,4.98,4.84,4.84,136400
2017-03-09,1489017600,4.86,4.96,4.86,4.89,158100
2017-03-10,1489104000,4.92,4.97,4.91,4.95,162500
2017-03-13,1489363200,5.01,5.02,4.95,4.99,148200
2017-03-14,1489449600,4.99,5.0,4.91,5.0,61500
2017-03-15,1489536000,4.99,5.11,4.99,5.07,159000
2017-03-16,1489622400,5.1,5.22,5.04,5.19,149600
2017-03-17,1489708800,5.2,5.24,5.15,5.2,222600
2017-03-20,1489968000,5.22,5.23,5.13,5.22,193600
2017-03-21,1490054400,5.23,5.24,5.18,5.22,195500
2017-03-22,1490140800,5.18,5.22,5.13,5.15,170100
2017-03-23,1490227200,5.19,5.27,5.16,5.24,227600
2017-03-24,1490313600,5.27,5.34,5.24,5.24,297000
2017-03-27,1490572800,5.27,5.34,5.24,5.33,335700
2017-03-28,1490659200,5.33,5.35,5.28,5.34,408800
2017-03-29,1490745600,5.34,5.38,5.34,5.36,280700
2017-03-30,1490832000,5.38,5.43,5.36,5.43,258900
2017-03-31,1490918400,5.45,5.48,5.4,5.47,329200
2017-04-03,1491177600,5.48,5.56,5.47,5.52,456600
2017-04-04,1491264000,5.52,5.59,5.52,5.58,347700
2017-04-05,1491350400,5.59,5.62,5.51,5.52,286900
2017-04-06,1491436800,5.51,5.54,5.43,5.5,274800
2017-04-07,1491523200,5.51,5.58,5.5,5.51,248200
2017-04-10,1491782400,5.51,5.61,5.48,5.57,204700
2017-04-11,1491868800,5.59,5.65,5.54,5.64,216200
2017-04-12,1491955200,5.64,5.65,5.58,5.62,161400
2017-04-13,1492041600,5.62,5.62,5.52,5.54,194700
2017-04-17,1492387200,5.55,5.66,5.54,5.66,209000
2017-04-18,1492473600,5.66,5.67,5.59,5.67,222600
2017-04-19,1492560000,5.66,5.7,5.62,5.65,240000
2017-04-20,1492646400,5.67,5.67,5.61,5.63,129300
2017-04-21,1492732800,5.63,5.67,5.62,5.64,140000
2017-04-24,1492992000,5.65,5.66,5.55,5.65,206500
2017-04-25,1493078400,5.64,5.69,5.64,5.64,97100
2017-04-26,1493164800,5.66,5.73,5.61,5.71,272200
2017-04-27,1493251200,5.71,5.71,5.65,5.66,119300
2017-04-28,1493337600,5.68,5.68,5.54,5.63,170300
2017-05-01,1493596800,5.64,5.73,5.62,5.68,211900
2017-05-02,1493683200,5.68,5.7,5.56,5.56,259200
2017-05-03,1493769600,5.56,5.58,5.53,5.54,115600
2017-05-04,1493856000,5.53,5.57,5.48,5.49,184400
2017-05-05,1493942400,5.62,5.74,5.56,5.63,510400
2017-05-08,1494201600,5.81,5.86,5.71,5.74,842000
2017-05-09,1494288000,5.79,5.82,5.67,5.67,535000
2017-05-10,1494374400,5.66,5.71,5.63,5.7,265500
2017-05-11,1494460800,5.34,5.48,5.28,5.37,5100700
2017-05-12,1494547200,5.37,5.48,5.35,5.35,1351500
2017-05-15,1494806400,5.36,5.44,5.32,5.35,1146500
2017-05-16,1494892800,5.34,5.37,5.22,5.3,1155600
2017-05-17,1494979200,5.27,5.33,5.26,5.29,440200
2017-05-18,1495065600,5.29,5.47,5.27,5.45,794000
2017-05-19,1495152000,5.46,5.52,5.43,5.45,763700
2017-05-22,1495411200,5.44,5.5,5.42,5.48,334800
2017-05-23,1495497600,5.48,5.53,5.48,5.5,312700
2017-05-24,1495584000,5.5,5.53,5.44,5.46,491900
2017-05-25,1495670400,5.48,5.5,5.45,5.47,441500
2017-05-26,1495756800,5.47,5.51,5.46,5.46,233500
