Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,21.44,21.85,21.05,21.83,196967
2017-01-04,1483488000,21.7,22.37,21.64,22.32,138600
2017-01-05,1483574400,22.34,22.37,22.06,22.32,110833
2017-01-06,1483660800,22.34,22.34,22.06,22.13,112300
2017-01-09,1483920000,22.13,22.19,21.75,21.83,112767
2017-01-10,1484006400,21.9,21.9,21.34,21.7,105467
2017-01-11,1484092800,21.7,21.93,21.52,21.72,54700
2017-01-12,1484179200,21.67,21.77,21.46,21.54,55967
2017-01-13,1484265600,21.54,21.67,21.39,21.49,66300
2017-01-17,1484611200,21.57,21.93,21.36,21.72,75567
2017-01-18,1484697600,21.85,21.85,21.49,21.75,68767
2017-01-19,1484784000,21.49,21.72,21.49,21.67,64300
2017-01-20,1484870400,21.59,21.85,21.39,21.7,71033
2017-01-23,1485129600,21.72,21.77,21.52,21.59,45700
2017-01-24,1485216000,21.59,21.64,21.31,21.49,66133
2017-01-25,1485302400,21.54,21.67,21.31,21.46,90400
2017-01-26,1485388800,21.34,21.59,21.23,21.41,76067
2017-01-27,1485475200,21.26,21.46,21.23,21.41,75167
2017-01-30,1485734400,21.31,21.44,21.18,21.31,143533
2017-01-31,1485820800,21.21,21.28,20.79,21.21,124067
2017-02-01,1485907200,21.21,21.75,21.0,21.28,99033
2017-02-02,1485993600,21.26,21.75,21.26,21.44,82267
2017-02-03,1486080000,21.52,22.11,21.46,22.03,92233
2017-02-06,1486339200,22.06,22.32,21.77,21.88,75600
2017-02-07,1486425600,21.93,22.08,21.64,21.72,64167
2017-02-08,1486512000,21.64,21.93,21.41,21.83,91533
2017-02-09,1486598400,21.8,22.42,21.62,22.26,90233
2017-02-10,1486684800,22.13,22.57,22.08,22.39,85433
2017-02-13,1486944000,22.29,22.57,22.21,22.34,108367
2017-02-14,1487030400,22.24,22.65,22.11,22.34,151067
2017-02-15,1487116800,22.32,22.42,21.88,22.37,111800
2017-02-16,1487203200,22.44,22.88,22.16,22.42,93667
2017-02-17,1487289600,22.42,22.47,22.06,22.21,60000
2017-02-21,1487635200,22.16,22.32,21.67,22.11,133433
2017-02-22,1487721600,21.93,22.16,21.7,21.93,118600
2017-02-23,1487808000,22.11,22.21,21.67,22.19,185700
2017-02-24,1487894400,22.19,22.29,21.75,21.93,86900
2017-02-27,1488153600,21.85,21.98,21.52,21.59,145833
2017-02-28,1488240000,21.72,21.9,21.52,21.67,84333
2017-03-01,1488326400,21.64,22.06,21.59,21.77,170133
2017-03-02,1488412800,21.72,21.93,21.52,21.57,144400
2017-03-03,1488499200,21.57,21.9,21.46,21.77,205000
2017-03-06,1488758400,21.39,21.7,21.08,21.23,184800
2017-03-07,1488844800,21.05,21.31,21.03,21.1,126633
2017-03-08,1488931200,21.1,21.15,20.92,20.97,157867
2017-03-09,1489017600,20.97,21.05,20.38,20.61,269300
2017-03-10,1489104000,20.79,20.85,20.43,20.79,212200
2017-03-13,1489363200,20.85,21.08,20.66,21.0,161167
2017-03-14,1489449600,20.97,22.57,20.69,22.29,670000
2017-03-15,1489536000,22.32,24.25,22.32,24.1,516533
2017-03-16,1489622400,24.04,25.05,23.58,24.82,298733
2017-03-17,1489708800,24.61,24.92,24.15,24.2,1340000
2017-03-20,1489968000,24.2,24.48,24.07,24.28,193633
2017-03-21,1490054400,24.33,24.92,24.2,24.69,165400
2017-03-22,1490140800,24.74,24.84,24.43,24.69,126300
2017-03-23,1490227200,24.79,25.67,24.69,25.33,144767
2017-03-24,1490313600,25.36,25.46,24.87,25.0,107033
2017-03-27,1490572800,24.9,25.41,24.87,25.08,95867
2017-03-28,1490659200,25.1,25.33,24.84,24.87,92867
2017-03-29,1490745600,24.84,25.78,24.84,25.73,180400
2017-03-30,1490832000,25.7,25.83,25.18,25.36,105967
2017-03-31,1490918400,25.31,25.52,25.18,25.34,137033
2017-04-03,1491177600,25.28,25.34,24.69,24.71,170233
2017-04-04,1491264000,24.64,25.1,24.43,24.56,168233
2017-04-05,1491350400,24.58,24.97,24.27,24.3,146967
2017-04-06,1491436800,24.33,24.4,24.07,24.33,108133
2017-04-07,1491523200,24.38,24.58,24.07,24.14,110367
2017-04-10,1491782400,24.14,24.43,24.12,24.27,87567
2017-04-11,1491868800,24.35,25.08,24.04,24.84,113433
2017-04-12,1491955200,24.9,25.03,24.64,24.71,62567
2017-04-13,1492041600,24.71,24.82,24.51,24.69,71133
2017-04-17,1492387200,24.69,24.87,24.51,24.61,64900
2017-04-18,1492473600,24.53,24.74,24.48,24.66,70233
2017-04-19,1492560000,24.64,24.87,24.45,24.56,92633
2017-04-20,1492646400,24.61,24.74,24.22,24.3,59767
2017-04-21,1492732800,24.38,24.38,24.01,24.01,123267
2017-04-24,1492992000,24.25,24.25,23.86,23.96,128967
2017-04-25,1493078400,23.88,24.48,23.88,24.33,154700
2017-04-26,1493164800,24.33,24.84,24.12,24.64,94233
2017-04-27,1493251200,24.64,24.77,24.38,24.61,87967
2017-04-28,1493337600,24.58,24.58,24.22,24.25,85967
2017-05-01,1493596800,24.25,24.71,24.07,24.64,94600
2017-05-02,1493683200,24.58,24.77,24.58,24.69,107067
2017-05-03,1493769600,24.69,24.87,24.64,24.79,147900
2017-05-04,1493856000,24.77,24.84,24.22,24.61,126167
2017-05-05,1493942400,24.58,25.13,24.56,25.05,86567
2017-05-08,1494201600,24.95,25.26,24.38,24.74,172833
2017-05-09,1494288000,24.71,25.0,24.35,24.53,135067
2017-05-10,1494374400,23.96,25.93,23.78,25.67,204033
2017-05-11,1494460800,25.6,25.6,25.08,25.13,74933
2017-05-12,1494547200,25.26,25.26,24.25,24.3,82567
2017-05-15,1494806400,24.27,24.64,24.14,24.17,90367
2017-05-16,1494892800,24.25,24.38,23.88,24.09,68833
2017-05-17,1494979200,23.88,24.2,23.88,24.01,59967
2017-05-18,1495065600,23.96,24.3,23.42,23.88,80100
2017-05-19,1495152000,23.88,24.07,23.88,23.96,89500
2017-05-22,1495411200,23.94,24.22,23.94,24.2,128667
2017-05-23,1495497600,24.25,24.9,24.25,24.69,94267
2017-05-24,1495584000,24.69,25.1,24.58,25.05,64600
2017-05-25,1495670400,25.1,25.18,24.74,25.0,55600
2017-05-26,1495756800,25.0,25.13,24.61,25.13,46700
2017-05-30,1496102400,25.15,25.15,24.71,24.97,40333
2017-05-31,1496188800,24.95,25.31,24.61,25.0,100233
2017-06-01,1496275200,25.05,25.49,24.9,25.39,37867
2017-06-02,1496361600,25.49,25.83,25.49,25.54,51600
2017-06-05,1496620800,25.47,25.62,25.05,25.26,40100
2017-06-06,1496707200,25.23,25.26,24.64,24.66,62733
2017-06-07,1496793600,24.69,24.71,24.48,24.66,53533
2017-06-08,1496880000,24.58,25.15,24.48,24.87,51800
