Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,4.11,4.25,4.01,4.12,96100
2017-01-04,1483488000,4.13,4.4,4.11,4.14,340900
2017-01-05,1483574400,4.13,4.37,4.04,4.13,196600
2017-01-06,1483660800,4.16,4.21,4.05,4.07,119200
2017-01-09,1483920000,4.2,4.27,4.02,4.07,199900
2017-01-10,1484006400,4.1,4.47,4.0,4.16,144900
2017-01-11,1484092800,4.19,4.47,4.06,4.22,127700
2017-01-12,1484179200,4.16,4.4,4.09,4.32,93700
2017-01-13,1484265600,4.29,4.71,4.25,4.53,145300
2017-01-17,1484611200,4.4,4.56,4.32,4.43,99200
2017-01-18,1484697600,4.46,4.51,4.32,4.43,69300
2017-01-19,1484784000,4.45,4.58,4.35,4.48,57200
2017-01-20,1484870400,4.53,4.58,4.39,4.51,59700
2017-01-23,1485129600,4.53,4.55,4.22,4.26,137500
2017-01-24,1485216000,4.2,4.23,4.07,4.2,147100
2017-01-25,1485302400,4.17,4.44,4.16,4.36,99900
2017-01-26,1485388800,4.36,4.37,4.19,4.23,60400
2017-01-27,1485475200,4.2,4.33,4.15,4.33,74800
2017-01-30,1485734400,4.27,4.32,4.12,4.19,82600
2017-01-31,1485820800,4.16,4.4,4.13,4.31,79100
2017-02-01,1485907200,4.31,4.58,4.31,4.5,110800
2017-02-02,1485993600,4.45,4.56,4.43,4.48,36600
2017-02-03,1486080000,4.57,4.57,4.37,4.54,71100
2017-02-06,1486339200,4.47,4.6,4.45,4.53,58300
2017-02-07,1486425600,4.54,4.58,4.41,4.54,31800
2017-02-08,1486512000,4.48,4.48,4.31,4.33,29500
2017-02-09,1486598400,4.32,4.46,4.2,4.24,199200
2017-02-10,1486684800,4.29,4.35,4.18,4.31,87800
2017-02-13,1486944000,4.32,4.35,4.1,4.11,86600
2017-02-14,1487030400,4.11,4.2,4.04,4.19,77100
2017-02-15,1487116800,4.2,4.39,4.12,4.36,73900
2017-02-16,1487203200,4.39,4.39,4.11,4.19,74900
2017-02-17,1487289600,4.13,4.2,4.08,4.11,40100
2017-02-21,1487635200,4.16,4.29,4.15,4.2,115200
2017-02-22,1487721600,4.2,4.27,4.02,4.06,64300
2017-02-23,1487808000,4.06,4.06,3.88,3.95,160300
2017-02-24,1487894400,3.93,4.0,3.91,3.95,33500
2017-02-27,1488153600,4.0,4.12,3.98,4.11,51700
2017-02-28,1488240000,4.12,4.17,4.01,4.03,47400
2017-03-01,1488326400,4.05,4.15,3.96,3.96,123000
2017-03-02,1488412800,4.01,4.25,4.01,4.17,361600
2017-03-03,1488499200,4.2,4.7,4.14,4.61,437600
2017-03-06,1488758400,4.57,4.64,4.22,4.35,176300
2017-03-07,1488844800,4.36,4.47,4.13,4.2,105900
2017-03-08,1488931200,4.2,4.32,4.2,4.24,80400
2017-03-09,1489017600,4.3,4.34,4.16,4.23,99200
2017-03-10,1489104000,4.29,4.69,4.22,4.61,517200
2017-03-13,1489363200,5.34,5.65,4.57,4.89,1096300
2017-03-14,1489449600,5.02,5.02,4.51,4.73,383800
2017-03-15,1489536000,4.74,4.85,4.47,4.75,328200
2017-03-16,1489622400,4.79,4.79,4.56,4.75,146200
2017-03-17,1489708800,4.79,4.82,4.58,4.75,114400
2017-03-20,1489968000,4.76,4.78,4.52,4.62,254500
2017-03-21,1490054400,4.64,4.7,4.25,4.29,219100
2017-03-22,1490140800,4.17,4.35,3.9,4.3,2162400
2017-03-23,1490227200,4.29,4.37,4.2,4.27,94200
2017-03-24,1490313600,4.25,4.4,4.23,4.28,176000
2017-03-27,1490572800,4.24,4.64,4.15,4.57,234500
2017-03-28,1490659200,4.55,4.74,4.55,4.59,199200
2017-03-29,1490745600,4.92,5.02,4.77,4.93,533900
2017-03-30,1490832000,4.95,5.32,4.9,5.31,405900
2017-03-31,1490918400,5.35,5.78,5.34,5.51,754900
2017-04-03,1491177600,5.56,5.97,5.55,5.83,386700
2017-04-04,1491264000,5.87,6.27,5.59,6.07,451600
2017-04-05,1491350400,6.07,6.5,5.91,6.01,568100
2017-04-06,1491436800,6.01,6.03,5.4,5.5,480000
2017-04-07,1491523200,5.47,5.88,5.43,5.7,232300
2017-04-10,1491782400,5.74,5.84,5.7,5.76,158000
2017-04-11,1491868800,5.76,5.9,5.71,5.78,133700
2017-04-12,1491955200,5.8,5.87,5.6,5.77,178300
2017-04-13,1492041600,5.8,5.8,5.58,5.72,98400
2017-04-17,1492387200,5.77,5.89,5.62,5.88,255700
2017-04-18,1492473600,5.9,5.9,5.58,5.65,133800
2017-04-19,1492560000,5.72,5.72,5.36,5.41,243100
2017-04-20,1492646400,5.5,5.82,5.36,5.68,414800
2017-04-21,1492732800,5.6,5.7,5.4,5.46,182400
2017-04-24,1492992000,5.57,5.62,5.32,5.4,201700
2017-04-25,1493078400,5.44,5.52,5.32,5.48,149800
2017-04-26,1493164800,5.49,5.75,5.4,5.56,196500
2017-04-27,1493251200,5.57,5.67,5.48,5.56,155700
2017-04-28,1493337600,5.55,5.68,5.35,5.39,142400
2017-05-01,1493596800,5.39,5.48,5.3,5.36,135200
2017-05-02,1493683200,5.41,5.45,5.16,5.3,215300
2017-05-03,1493769600,5.28,5.32,5.2,5.25,132000
2017-05-04,1493856000,5.3,5.3,5.01,5.18,206200
2017-05-05,1493942400,5.19,5.3,5.11,5.28,179900
2017-05-08,1494201600,5.32,5.32,4.93,5.0,194700
2017-05-09,1494288000,5.0,5.03,4.62,4.93,270300
2017-05-10,1494374400,4.8,5.05,4.8,4.84,311200
2017-05-11,1494460800,4.84,4.88,4.57,4.78,240900
2017-05-12,1494547200,4.76,5.27,4.76,5.13,349700
2017-05-15,1494806400,5.18,5.27,5.05,5.13,235800
2017-05-16,1494892800,5.13,5.81,5.1,5.54,397800
2017-05-17,1494979200,5.55,5.65,5.35,5.51,406300
2017-05-18,1495065600,5.53,5.58,5.16,5.41,283400
2017-05-19,1495152000,5.45,5.55,5.34,5.39,98000
2017-05-22,1495411200,5.43,5.48,5.32,5.41,135400
2017-05-23,1495497600,5.38,5.47,5.32,5.34,158800
2017-05-24,1495584000,5.35,5.41,5.3,5.32,164300
2017-05-25,1495670400,5.32,5.38,5.28,5.3,171900
2017-05-26,1495756800,5.3,5.52,5.27,5.32,202200
2017-05-30,1496102400,5.36,5.58,5.26,5.33,414000
2017-05-31,1496188800,5.4,5.42,5.08,5.28,304300
2017-06-01,1496275200,5.29,5.5,5.2,5.44,217600
2017-06-02,1496361600,5.49,5.49,5.21,5.32,253300
2017-06-05,1496620800,5.3,5.34,5.0,5.23,342000
