Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,62.07,62.23,61.33,61.59,210100
2017-01-04,1483488000,61.8,62.55,61.8,62.24,339500
2017-01-05,1483574400,62.22,62.34,61.33,61.58,212400
2017-01-06,1483660800,61.55,61.78,61.44,61.58,152700
2017-01-09,1483920000,61.64,61.64,60.82,60.82,157800
2017-01-10,1484006400,61.01,61.61,60.87,61.08,185700
2017-01-11,1484092800,61.13,61.72,60.96,61.72,297900
2017-01-12,1484179200,61.65,61.65,60.69,61.2,160000
2017-01-13,1484265600,61.32,61.91,61.3,61.49,114300
2017-01-17,1484611200,60.91,61.22,60.64,60.73,239800
2017-01-18,1484697600,60.99,61.48,60.82,61.03,180000
2017-01-19,1484784000,61.21,61.38,60.2,60.73,230500
2017-01-20,1484870400,60.87,61.18,60.6,60.7,167800
2017-01-23,1485129600,60.69,60.87,60.39,60.41,145200
2017-01-24,1485216000,60.69,61.31,60.65,61.1,244700
2017-01-25,1485302400,61.39,61.86,61.39,61.73,153600
2017-01-26,1485388800,61.92,61.92,61.54,61.72,145700
2017-01-27,1485475200,61.73,61.92,61.15,61.22,176800
2017-01-30,1485734400,60.87,60.94,60.46,60.81,172800
2017-01-31,1485820800,60.84,61.08,60.29,60.63,273400
2017-02-01,1485907200,60.68,61.39,60.51,60.89,231900
2017-02-02,1485993600,62.86,64.07,61.92,64.0,515600
2017-02-03,1486080000,64.37,65.0,63.75,63.89,483400
2017-02-06,1486339200,63.84,64.21,63.47,64.01,297300
2017-02-07,1486425600,64.23,64.5,63.77,64.1,237600
2017-02-08,1486512000,63.95,64.41,63.47,63.53,217200
2017-02-09,1486598400,63.53,64.16,63.53,64.16,243900
2017-02-10,1486684800,64.48,64.65,64.07,64.41,169700
2017-02-13,1486944000,64.36,64.89,64.21,64.67,182200
2017-02-14,1487030400,64.4,65.14,64.4,65.08,130600
2017-02-15,1487116800,65.0,65.19,64.59,65.19,181600
2017-02-16,1487203200,65.25,65.88,65.21,65.8,224800
2017-02-17,1487289600,65.75,65.75,65.12,65.73,157000
2017-02-21,1487635200,65.99,66.44,65.8,66.43,232000
2017-02-22,1487721600,66.16,66.79,66.09,66.75,242900
2017-02-23,1487808000,66.96,66.99,66.36,66.86,171800
2017-02-24,1487894400,66.45,66.49,66.04,66.3,182400
2017-02-27,1488153600,66.14,66.47,66.14,66.46,212700
2017-02-28,1488240000,66.13,66.52,65.95,66.18,412300
2017-03-01,1488326400,66.49,67.47,66.49,67.37,355800
2017-03-02,1488412800,66.87,67.32,66.36,66.47,236600
2017-03-03,1488499200,66.34,67.21,66.27,66.96,413700
2017-03-06,1488758400,66.62,66.94,66.37,66.7,160300
2017-03-07,1488844800,66.64,66.85,66.46,66.62,236900
2017-03-08,1488931200,66.8,67.28,66.66,66.99,289500
2017-03-09,1489017600,67.15,67.47,66.99,67.33,218300
2017-03-10,1489104000,67.54,67.67,67.25,67.61,266500
2017-03-13,1489363200,67.42,67.78,67.33,67.55,207400
2017-03-14,1489449600,67.54,67.96,67.3,67.82,301800
2017-03-15,1489536000,68.06,68.17,67.43,67.71,372900
2017-03-16,1489622400,67.89,68.25,67.36,67.68,330900
2017-03-17,1489708800,67.68,67.79,67.25,67.53,847900
2017-03-20,1489968000,67.44,67.47,67.03,67.25,253200
2017-03-21,1490054400,67.55,67.55,66.16,66.31,295600
2017-03-22,1490140800,66.14,66.26,65.61,66.13,197400
2017-03-23,1490227200,66.07,66.83,65.75,66.45,153300
2017-03-24,1490313600,66.1,66.36,65.5,65.71,244500
2017-03-27,1490572800,65.4,65.97,65.05,65.8,222800
2017-03-28,1490659200,65.69,66.75,65.52,66.51,242900
2017-03-29,1490745600,66.37,66.47,66.02,66.26,199200
2017-03-30,1490832000,66.27,67.13,66.27,67.13,287100
2017-03-31,1490918400,67.17,67.54,66.83,67.13,322700
2017-04-03,1491177600,66.87,67.28,66.28,66.48,281800
2017-04-04,1491264000,66.35,67.18,66.35,67.09,411700
2017-04-05,1491350400,67.16,67.54,66.12,66.31,389900
2017-04-06,1491436800,66.18,66.82,65.97,66.64,219800
2017-04-07,1491523200,66.34,66.59,66.02,66.33,242900
2017-04-10,1491782400,66.24,66.78,66.23,66.68,203900
2017-04-11,1491868800,66.64,67.03,66.17,67.02,335200
2017-04-12,1491955200,67.06,67.06,66.14,66.58,292000
2017-04-13,1492041600,66.5,66.69,65.84,65.85,294400
2017-04-17,1492387200,65.83,66.94,65.83,66.84,175300
2017-04-18,1492473600,66.7,66.81,66.19,66.64,304500
2017-04-19,1492560000,66.85,67.31,66.71,67.1,423700
2017-04-20,1492646400,67.14,67.91,66.28,67.63,375600
2017-04-21,1492732800,67.17,67.82,67.17,67.62,293500
2017-04-24,1492992000,68.26,68.82,68.15,68.63,328600
2017-04-25,1493078400,69.04,69.52,68.86,69.3,316600
2017-04-26,1493164800,69.47,70.12,69.24,69.43,395800
2017-04-27,1493251200,69.41,69.76,69.31,69.45,311900
2017-04-28,1493337600,69.52,69.56,68.68,68.69,303100
2017-05-01,1493596800,68.73,69.35,68.51,69.14,281800
2017-05-02,1493683200,69.16,69.44,68.3,68.35,339500
2017-05-03,1493769600,68.3,68.61,68.04,68.22,388600
2017-05-04,1493856000,68.74,70.92,68.74,70.87,551100
2017-05-05,1493942400,70.84,71.0,69.86,70.23,627000
2017-05-08,1494201600,70.58,70.58,69.38,69.57,506400
2017-05-09,1494288000,69.77,69.88,68.84,68.94,362300
2017-05-10,1494374400,69.22,69.43,68.78,69.33,441600
2017-05-11,1494460800,69.05,70.01,68.95,69.9,561900
2017-05-12,1494547200,69.9,69.99,69.38,69.56,364200
2017-05-15,1494806400,69.56,70.01,69.56,69.98,246100
2017-05-16,1494892800,70.21,70.21,69.34,69.42,446600
2017-05-17,1494979200,69.42,69.42,68.42,68.97,342600
2017-05-18,1495065600,68.97,70.02,68.85,69.53,425100
2017-05-19,1495152000,69.53,70.0,69.23,69.78,418500
2017-05-22,1495411200,69.96,70.64,69.89,70.49,674900
2017-05-23,1495497600,70.17,70.81,70.14,70.57,592200
2017-05-24,1495584000,70.87,71.0,70.55,70.7,325900
2017-05-25,1495670400,70.81,70.99,70.41,70.81,438500
2017-05-26,1495756800,70.84,71.04,70.4,70.85,690800
2017-05-30,1496102400,70.85,71.01,70.12,70.98,645300
2017-05-31,1496188800,71.0,71.84,70.65,71.58,3346800
2017-06-01,1496275200,71.82,71.9,70.96,71.9,622800
2017-06-02,1496361600,71.79,72.04,71.42,71.61,533600
2017-06-05,1496620800,71.46,71.89,70.7,70.72,403900
2017-06-06,1496707200,70.55,70.83,70.12,70.32,559100
2017-06-07,1496793600,70.32,70.56,69.96,70.05,638100
2017-06-08,1496880000,70.02,70.77,69.82,70.44,334700
2017-06-09,1496966400,70.53,71.4,70.48,71.31,356500
2017-06-12,1497225600,71.33,71.57,70.98,71.56,392900
2017-06-13,1497312000,71.68,72.1,71.58,72.01,295700
2017-06-14,1497398400,71.98,72.52,71.76,72.52,306300
2017-06-15,1497484800,72.14,73.05,71.77,73.05,364900
2017-06-16,1497571200,72.76,73.48,72.75,73.43,610600
2017-06-19,1497830400,73.75,73.97,72.72,73.17,555500
2017-06-20,1497916800,73.06,73.25,72.67,72.7,217500
2017-06-21,1498003200,72.67,72.88,71.84,71.91,309500
2017-06-22,1498089600,71.76,72.01,70.94,71.0,286200
2017-06-23,1498176000,71.0,71.22,70.39,70.53,502700
2017-06-26,1498435200,70.6,71.06,70.57,70.97,321200
2017-06-27,1498521600,70.86,71.43,70.61,70.65,506600
2017-06-28,1498608000,70.97,71.48,70.72,71.36,293200
2017-06-29,1498694400,71.75,71.86,70.93,71.33,299400
2017-06-30,1498780800,71.54,71.67,70.75,71.23,549800
2017-07-03,1499040000,71.56,73.66,71.25,72.72,467900
2017-07-05,1499212800,72.7,73.15,72.32,72.9,420800
2017-07-06,1499299200,72.8,73.02,72.06,72.22,399000
2017-07-07,1499385600,72.37,72.86,72.01,72.8,340900
2017-07-10,1499644800,72.71,73.05,72.45,72.67,244800
2017-07-11,1499731200,72.57,72.82,71.2,71.34,628800
2017-07-12,1499817600,71.4,71.88,71.22,71.34,320700
2017-07-13,1499904000,71.39,71.9,71.18,71.83,228600
2017-07-14,1499990400,71.56,71.95,71.4,71.7,237900
2017-07-17,1500249600,71.57,72.26,71.18,72.14,219900
2017-07-18,1500336000,71.84,72.0,71.24,71.59,603900
2017-07-19,1500422400,71.78,72.34,71.73,72.33,291800
2017-07-20,1500508800,72.39,72.88,72.18,72.59,608300
2017-07-21,1500595200,72.48,72.63,72.14,72.34,196800
2017-07-24,1500854400,72.44,73.18,72.44,73.1,210800
2017-07-25,1500940800,73.44,74.01,73.44,73.9,480100
2017-07-26,1501027200,73.72,73.87,72.25,72.44,326700
2017-07-27,1501113600,72.41,72.41,71.46,71.72,419200
2017-07-28,1501200000,71.61,72.82,71.61,72.7,249000
2017-07-31,1501459200,72.83,73.15,72.49,72.92,287900
2017-08-01,1501545600,73.21,73.32,72.78,73.29,321900
2017-08-02,1501632000,74.34,75.92,74.1,75.43,390400
2017-08-03,1501718400,75.58,75.73,74.67,75.16,398800
2017-08-04,1501804800,75.51,75.51,74.87,75.26,236100
2017-08-07,1502064000,75.37,75.6,75.15,75.41,453500
2017-08-08,1502150400,75.35,75.79,75.02,75.27,395500
2017-08-09,1502236800,74.96,75.74,74.79,75.71,450500
2017-08-10,1502323200,75.29,75.72,74.92,74.97,342200
2017-08-11,1502409600,74.3,75.3,74.3,74.43,296200
2017-08-14,1502668800,74.82,75.22,74.56,75.1,310100
2017-08-15,1502755200,75.28,75.5,74.82,75.26,371200
2017-08-16,1502841600,75.38,75.67,75.04,75.13,474300
2017-08-17,1502928000,74.72,75.07,73.49,73.56,412300
2017-08-18,1503014400,73.38,73.77,73.03,73.1,313700
2017-08-21,1503273600,73.11,73.44,72.86,73.29,156900
2017-08-22,1503360000,73.45,73.64,73.15,73.59,161400
2017-08-23,1503446400,73.31,73.71,73.21,73.27,217300
2017-08-24,1503532800,73.59,73.59,72.84,72.86,302100
2017-08-25,1503619200,73.21,73.97,73.14,73.63,467600
2017-08-28,1503878400,73.57,73.57,72.77,73.0,312200
2017-08-29,1503964800,72.63,73.21,72.63,72.83,302600
2017-08-30,1504051200,72.77,73.24,72.72,73.06,187100
2017-08-31,1504137600,73.3,73.46,72.9,73.21,299900
2017-09-01,1504224000,73.37,74.16,73.36,73.55,194500
2017-09-05,1504569600,72.95,72.99,70.12,70.16,524400
2017-09-06,1504656000,70.26,70.7,70.06,70.11,320500
2017-09-07,1504742400,70.07,70.07,68.45,68.7,491200
2017-09-08,1504828800,68.53,71.08,68.53,70.86,580300
2017-09-11,1505088000,72.27,72.99,71.65,71.94,503800
2017-09-12,1505174400,72.0,72.21,71.2,72.13,233400
2017-09-13,1505260800,71.95,72.13,71.33,71.66,393200
2017-09-14,1505347200,71.67,71.67,70.82,71.03,441800
2017-09-15,1505433600,71.02,72.42,70.98,72.41,1480000
