Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,54.81,54.93,54.02,54.54,664900
2017-01-04,1483488000,55.09,56.86,55.09,56.67,1587300
2017-01-05,1483574400,56.43,56.86,56.15,56.44,1112400
2017-01-06,1483660800,55.99,56.78,55.29,56.62,558900
2017-01-09,1483920000,56.58,56.81,56.07,56.57,1055400
2017-01-10,1484006400,56.48,56.99,56.12,56.43,1107500
2017-01-11,1484092800,56.38,56.92,56.38,56.91,507100
2017-01-12,1484179200,56.73,56.94,55.97,56.72,456900
2017-01-13,1484265600,56.95,57.49,56.72,56.94,597300
2017-01-17,1484611200,56.7,57.06,56.39,56.72,909600
2017-01-18,1484697600,56.93,57.72,56.93,57.72,900600
2017-01-19,1484784000,58.03,58.23,57.32,57.69,798000
2017-01-20,1484870400,57.95,58.26,57.71,58.25,1388700
2017-01-23,1485129600,58.27,58.5,57.95,58.21,534800
2017-01-24,1485216000,58.77,59.6,58.45,59.36,711100
2017-01-25,1485302400,59.82,60.21,59.76,59.86,963600
2017-01-26,1485388800,59.75,59.96,59.34,59.39,465500
2017-01-27,1485475200,59.6,59.82,59.1,59.35,481000
2017-01-30,1485734400,59.03,59.09,58.28,59.02,984500
2017-01-31,1485820800,58.92,58.92,58.15,58.74,789900
2017-02-01,1485907200,58.71,59.19,58.25,58.35,750000
2017-02-02,1485993600,58.45,58.59,57.82,58.36,906300
2017-02-03,1486080000,58.87,59.13,58.54,59.09,348200
2017-02-06,1486339200,59.01,59.24,58.73,59.03,1226700
2017-02-07,1486425600,59.62,60.02,58.46,59.85,1368500
2017-02-08,1486512000,59.87,60.13,59.49,59.94,1034400
2017-02-09,1486598400,60.24,60.33,59.72,60.16,1945900
2017-02-10,1486684800,60.36,60.6,59.9,60.55,553100
2017-02-13,1486944000,60.69,60.83,60.13,60.15,765400
2017-02-14,1487030400,60.06,60.24,59.8,60.22,625800
2017-02-15,1487116800,59.91,60.44,59.73,60.44,549600
2017-02-16,1487203200,60.42,60.42,59.52,59.81,791500
2017-02-17,1487289600,59.67,60.42,59.4,59.98,581600
2017-02-21,1487635200,60.08,60.08,59.11,59.42,1209900
2017-02-22,1487721600,59.3,59.52,58.99,59.07,996200
2017-02-23,1487808000,59.0,59.22,57.36,57.42,1434600
2017-02-24,1487894400,57.07,57.86,56.92,57.86,454900
2017-02-27,1488153600,57.68,58.27,57.58,58.03,441500
2017-02-28,1488240000,57.63,58.13,57.02,57.1,688900
2017-03-01,1488326400,57.82,58.73,57.82,58.49,640000
2017-03-02,1488412800,58.24,58.32,57.12,57.17,635400
2017-03-03,1488499200,57.31,57.63,56.86,57.59,392500
2017-03-06,1488758400,57.04,57.43,56.84,57.28,387100
2017-03-07,1488844800,57.17,57.63,56.72,56.77,629500
2017-03-08,1488931200,56.89,57.2,56.07,56.07,840100
2017-03-09,1489017600,56.18,56.35,55.2,55.48,598200
2017-03-10,1489104000,55.82,55.91,55.18,55.78,455900
2017-03-13,1489363200,55.99,56.05,55.49,55.54,633300
2017-03-14,1489449600,55.45,55.62,54.87,55.59,531000
2017-03-15,1489536000,55.93,57.05,55.67,56.88,745900
2017-03-16,1489622400,56.94,57.17,56.74,56.88,332800
2017-03-17,1489708800,56.85,57.49,56.73,57.13,905200
2017-03-20,1489968000,57.18,57.18,56.66,57.0,431300
2017-03-21,1490054400,57.14,57.47,55.8,55.85,510300
2017-03-22,1490140800,55.85,56.22,55.59,56.14,351200
2017-03-23,1490227200,56.14,56.54,55.76,55.97,308600
2017-03-24,1490313600,55.99,56.37,55.26,55.49,263400
2017-03-27,1490572800,54.69,54.85,54.36,54.73,468000
2017-03-28,1490659200,54.72,55.54,54.55,55.45,377100
2017-03-29,1490745600,55.16,56.29,55.16,56.1,431200
2017-03-30,1490832000,56.07,56.69,56.07,56.58,209500
2017-03-31,1490918400,56.4,56.83,56.28,56.41,259600
2017-04-03,1491177600,56.59,56.76,56.1,56.7,747300
2017-04-04,1491264000,56.62,57.16,56.52,56.79,443900
2017-04-05,1491350400,57.14,57.62,56.44,56.73,630100
2017-04-06,1491436800,56.8,57.68,56.74,57.53,411600
2017-04-07,1491523200,57.31,57.93,57.1,57.13,358700
2017-04-10,1491782400,57.18,57.5,56.97,57.25,554900
2017-04-11,1491868800,57.1,57.2,56.05,56.97,724000
2017-04-12,1491955200,56.98,57.19,55.05,55.18,626100
2017-04-13,1492041600,55.31,55.33,54.37,54.39,521900
2017-04-17,1492387200,54.64,55.26,54.39,55.24,298000
2017-04-18,1492473600,54.8,55.47,54.75,55.21,440300
2017-04-19,1492560000,55.41,55.72,54.79,55.17,681300
2017-04-20,1492646400,55.38,56.74,55.01,56.32,884600
2017-04-21,1492732800,56.44,56.44,55.63,55.76,335000
2017-04-24,1492992000,56.81,58.02,56.81,57.64,542100
2017-04-25,1493078400,58.35,59.69,57.97,58.97,1226500
2017-04-26,1493164800,58.97,60.05,58.97,59.77,859300
2017-04-27,1493251200,59.77,60.32,59.47,60.1,1340900
2017-04-28,1493337600,60.71,61.55,58.05,59.98,1209200
2017-05-01,1493596800,61.3,61.44,60.23,60.9,1242000
2017-05-02,1493683200,60.9,61.3,59.78,60.13,993200
2017-05-03,1493769600,59.87,59.95,59.31,59.89,721800
2017-05-04,1493856000,59.87,59.99,59.07,59.86,925600
2017-05-05,1493942400,59.88,60.43,59.49,59.99,647700
2017-05-08,1494201600,59.77,59.86,58.92,59.5,702200
2017-05-09,1494288000,59.76,60.04,59.44,59.82,608500
2017-05-10,1494374400,59.84,60.49,59.75,60.33,718200
2017-05-11,1494460800,60.15,60.49,59.54,60.4,361500
2017-05-12,1494547200,60.03,60.12,59.79,59.87,241700
2017-05-15,1494806400,60.17,60.63,60.04,60.25,372300
2017-05-16,1494892800,60.29,60.49,59.78,60.42,326200
2017-05-17,1494979200,60.42,60.42,59.03,59.07,507900
2017-05-18,1495065600,58.15,58.15,56.67,58.0,1202900
2017-05-19,1495152000,58.82,61.26,58.71,60.29,1413300
2017-05-22,1495411200,60.51,60.76,59.5,60.17,852900
2017-05-23,1495497600,60.32,60.48,59.65,60.16,657900
2017-05-24,1495584000,60.14,60.26,59.81,60.15,358200
2017-05-25,1495670400,60.48,60.54,59.57,59.87,363400
2017-05-26,1495756800,60.1,60.21,59.67,60.08,439500
2017-05-30,1496102400,59.73,59.86,59.37,59.73,464700
2017-05-31,1496188800,60.05,60.19,59.6,60.15,551000
2017-06-01,1496275200,60.63,61.48,60.42,61.39,778100
2017-06-02,1496361600,61.45,61.77,61.06,61.27,299600
2017-06-05,1496620800,61.0,61.53,60.9,61.02,202400
2017-06-06,1496707200,60.63,61.45,60.48,60.89,371300
2017-06-07,1496793600,61.06,61.06,60.48,60.68,269600
2017-06-08,1496880000,60.73,62.06,60.64,61.45,485200
2017-06-09,1496966400,62.35,63.42,62.14,63.13,856700
2017-06-12,1497225600,63.03,63.27,61.96,62.69,671700
2017-06-13,1497312000,62.78,63.08,62.37,62.87,628500
2017-06-14,1497398400,63.1,63.23,62.55,63.11,407100
2017-06-15,1497484800,62.11,63.35,62.11,63.35,472700
2017-06-16,1497571200,63.31,63.62,62.97,63.26,982900
2017-06-19,1497830400,63.78,63.89,62.86,63.69,690900
2017-06-20,1497916800,63.44,63.44,62.82,62.86,327300
2017-06-21,1498003200,63.53,63.91,62.69,63.09,670800
2017-06-22,1498089600,62.96,63.19,62.37,62.65,440500
2017-06-23,1498176000,62.57,63.26,62.28,62.77,700900
2017-06-26,1498435200,62.81,63.31,62.43,63.07,339100
2017-06-27,1498521600,63.16,63.49,62.32,62.44,356200
2017-06-28,1498608000,62.89,63.3,62.57,63.18,478700
2017-06-29,1498694400,63.22,63.63,62.11,62.58,527800
2017-06-30,1498780800,63.03,63.63,62.66,63.3,467300
2017-07-03,1499040000,63.69,63.99,63.33,63.81,415200
2017-07-05,1499212800,63.73,64.75,63.73,64.74,813700
2017-07-06,1499299200,64.44,64.5,63.68,63.72,801600
2017-07-07,1499385600,63.91,64.38,63.45,64.23,537200
2017-07-10,1499644800,64.29,65.87,64.11,65.1,1201400
2017-07-11,1499731200,66.23,66.48,65.65,66.14,1275500
2017-07-12,1499817600,66.63,66.75,64.73,64.82,820100
2017-07-13,1499904000,64.86,65.52,64.14,65.45,704000
2017-07-14,1499990400,65.63,66.31,65.29,66.02,386600
2017-07-17,1500249600,66.09,66.56,65.57,66.18,561100
2017-07-18,1500336000,66.15,66.32,65.49,66.28,527800
2017-07-19,1500422400,66.69,67.17,66.2,67.16,430400
2017-07-20,1500508800,67.26,67.37,66.71,67.18,467800
2017-07-21,1500595200,66.93,67.63,66.71,67.46,538000
