Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,4.36,4.73,4.36,4.57,15000
2017-01-04,1483488000,4.62,5.24,4.57,4.99,23200
2017-01-05,1483574400,5.0,5.2,4.71,4.94,13200
2017-01-06,1483660800,5.29,5.4,4.79,5.26,12900
2017-01-09,1483920000,5.11,5.32,5.06,5.21,9500
2017-01-10,1484006400,5.11,5.3,5.01,5.01,9700
2017-01-11,1484092800,5.08,5.39,5.03,5.33,8400
2017-01-12,1484179200,5.29,5.35,5.15,5.18,2700
2017-01-13,1484265600,5.11,5.37,5.05,5.19,17900
2017-01-17,1484611200,5.25,5.3,5.07,5.07,9500
2017-01-18,1484697600,5.15,5.25,5.15,5.18,19200
2017-01-19,1484784000,5.17,5.24,4.86,4.89,13600
2017-01-20,1484870400,4.9,4.9,4.6,4.61,13100
2017-01-23,1485129600,4.74,5.0,4.35,4.62,86500
2017-01-24,1485216000,4.58,4.58,4.38,4.38,35300
2017-01-25,1485302400,4.82,4.99,4.2,4.21,31400
2017-01-26,1485388800,4.2,4.21,4.02,4.1,50400
2017-01-27,1485475200,4.2,4.41,4.0,4.02,183600
2017-01-30,1485734400,4.06,4.39,4.0,4.01,77900
2017-01-31,1485820800,4.08,4.23,3.66,3.99,71900
2017-02-01,1485907200,4.01,4.1,3.83,4.09,46800
2017-02-02,1485993600,4.1,4.11,3.97,4.09,14600
2017-02-03,1486080000,4.1,4.1,4.02,4.02,16900
2017-02-06,1486339200,4.11,4.38,4.05,4.29,115500
2017-02-07,1486425600,4.29,4.29,4.16,4.19,49000
2017-02-08,1486512000,4.19,4.38,4.1,4.21,91300
2017-02-09,1486598400,4.15,4.85,4.15,4.59,353600
2017-02-10,1486684800,4.64,4.74,4.31,4.71,390300
2017-02-13,1486944000,4.75,4.93,4.61,4.8,230500
2017-02-14,1487030400,4.94,5.23,4.75,5.18,340300
2017-02-15,1487116800,5.14,5.35,4.93,5.04,175200
2017-02-16,1487203200,4.98,5.14,4.95,5.1,115900
2017-02-17,1487289600,5.1,5.55,5.08,5.22,191100
2017-02-21,1487635200,5.22,5.67,5.16,5.6,113400
2017-02-22,1487721600,5.65,6.18,5.36,6.0,206000
2017-02-23,1487808000,6.12,6.28,5.5,5.8,175000
2017-02-24,1487894400,5.8,6.17,5.68,5.83,120500
2017-02-27,1488153600,5.96,6.0,5.65,5.94,116500
2017-02-28,1488240000,6.0,6.44,5.81,6.2,144200
2017-03-01,1488326400,6.23,6.32,5.73,6.16,87400
2017-03-02,1488412800,6.24,6.39,5.8,6.13,148400
2017-03-03,1488499200,6.18,6.27,5.84,6.13,56600
2017-03-06,1488758400,6.18,6.21,6.0,6.09,17700
2017-03-07,1488844800,6.1,6.21,5.68,5.94,144900
2017-03-08,1488931200,5.98,6.88,5.92,6.32,310100
2017-03-09,1489017600,6.27,6.78,6.27,6.55,84300
2017-03-10,1489104000,6.55,6.78,5.88,6.53,209900
2017-03-13,1489363200,6.48,6.97,6.43,6.92,135300
2017-03-14,1489449600,6.92,7.05,6.77,7.0,81600
2017-03-15,1489536000,7.03,7.61,6.47,7.31,208100
2017-03-16,1489622400,7.3,7.6,7.06,7.19,67500
2017-03-17,1489708800,7.19,7.99,6.91,7.74,116900
2017-03-20,1489968000,7.69,8.14,7.26,8.03,89000
2017-03-21,1490054400,8.09,8.09,6.86,7.52,110800
2017-03-22,1490140800,7.47,7.75,7.14,7.71,30100
2017-03-23,1490227200,7.81,7.81,7.03,7.32,83000
2017-03-24,1490313600,7.32,7.47,7.1,7.37,152800
2017-03-27,1490572800,7.06,7.44,6.76,7.29,37300
2017-03-28,1490659200,7.29,7.36,7.07,7.18,37800
2017-03-29,1490745600,7.01,7.38,7.01,7.23,32800
2017-03-30,1490832000,7.3,7.6,6.93,7.34,52800
2017-03-31,1490918400,7.18,7.65,7.13,7.45,28200
2017-04-03,1491177600,7.5,7.62,6.97,7.19,41800
2017-04-04,1491264000,7.22,7.38,7.11,7.19,18400
2017-04-05,1491350400,7.3,7.3,6.73,7.19,38800
2017-04-06,1491436800,7.13,7.31,6.56,7.05,78100
2017-04-07,1491523200,6.94,7.25,6.55,7.25,22800
2017-04-10,1491782400,7.26,7.55,6.54,7.12,27000
2017-04-11,1491868800,7.17,7.2,6.86,6.9,16900
