Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,10.37,10.95,10.37,10.95,588600
2017-01-04,1483488000,10.95,11.0,10.84,10.92,298400
2017-01-05,1483574400,10.85,11.0,10.66,10.79,317500
2017-01-06,1483660800,10.74,10.78,10.54,10.6,492000
2017-01-09,1483920000,10.59,10.66,10.44,10.61,534900
2017-01-10,1484006400,10.6,10.88,10.6,10.74,1252200
2017-01-11,1484092800,10.75,11.06,10.75,10.93,957600
2017-01-12,1484179200,10.93,11.02,10.74,10.75,422300
2017-01-13,1484265600,10.72,11.03,10.62,10.96,884800
2017-01-17,1484611200,10.96,11.31,10.91,11.2,848300
2017-01-18,1484697600,11.2,11.28,11.1,11.11,345100
2017-01-19,1484784000,11.11,11.18,10.99,11.03,230800
2017-01-20,1484870400,11.04,11.14,10.91,11.08,388700
2017-01-23,1485129600,11.04,11.59,10.96,11.58,764000
2017-01-24,1485216000,11.53,11.54,11.37,11.46,489000
2017-01-25,1485302400,11.5,11.6,11.42,11.54,811100
2017-01-26,1485388800,11.53,11.72,11.52,11.7,1031400
2017-01-27,1485475200,11.76,11.92,11.6,11.68,1542400
2017-01-30,1485734400,11.61,11.65,11.35,11.39,377400
2017-01-31,1485820800,11.49,11.8,11.4,11.57,685800
2017-02-01,1485907200,11.56,12.04,11.56,11.89,365700
2017-02-02,1485993600,11.97,13.29,11.97,12.02,842800
2017-02-03,1486080000,12.05,12.63,11.99,12.56,583500
2017-02-06,1486339200,12.57,12.72,12.36,12.67,467800
2017-02-07,1486425600,12.55,12.79,12.51,12.6,344800
2017-02-08,1486512000,12.65,12.73,12.43,12.5,570300
2017-02-09,1486598400,12.56,12.69,12.42,12.45,659800
2017-02-10,1486684800,12.48,12.57,12.37,12.4,589000
2017-02-13,1486944000,12.46,12.59,12.4,12.51,505000
2017-02-14,1487030400,12.45,12.71,12.45,12.71,301000
2017-02-15,1487116800,12.66,12.79,12.61,12.64,450100
2017-02-16,1487203200,12.63,12.74,12.39,12.45,247500
2017-02-17,1487289600,12.45,12.75,12.4,12.65,920000
2017-02-21,1487635200,12.7,12.9,12.56,12.65,604900
2017-02-22,1487721600,12.7,12.7,12.54,12.57,566600
2017-02-23,1487808000,12.24,12.28,11.84,11.88,1427500
2017-02-24,1487894400,11.94,11.96,11.74,11.9,704300
2017-02-27,1488153600,11.85,11.91,11.74,11.82,392800
2017-02-28,1488240000,11.76,11.93,11.71,11.72,381600
2017-03-01,1488326400,11.82,12.15,11.82,12.06,635400
2017-03-02,1488412800,12.02,12.09,11.79,11.89,449900
2017-03-03,1488499200,11.93,12.06,11.8,11.97,340500
2017-03-06,1488758400,11.86,11.86,11.46,11.62,681400
2017-03-07,1488844800,11.56,11.68,11.51,11.64,475000
2017-03-08,1488931200,11.62,11.63,11.5,11.6,287900
2017-03-09,1489017600,11.56,11.68,11.52,11.65,399600
2017-03-10,1489104000,11.7,11.99,11.7,11.92,395900
2017-03-13,1489363200,11.96,12.01,11.85,11.88,397400
2017-03-14,1489449600,11.85,11.96,11.8,11.89,333200
2017-03-15,1489536000,11.89,12.11,11.87,12.11,450800
2017-03-16,1489622400,12.11,12.27,12.1,12.25,673300
2017-03-17,1489708800,12.55,12.6,11.7,11.9,860300
2017-03-20,1489968000,11.91,12.17,11.9,12.09,898500
2017-03-21,1490054400,12.09,12.16,11.9,12.0,1669700
2017-03-22,1490140800,12.0,12.06,11.67,11.71,902000
2017-03-23,1490227200,11.75,11.81,11.62,11.7,299500
2017-03-24,1490313600,11.68,11.84,11.68,11.77,237100
2017-03-27,1490572800,11.72,11.75,11.48,11.61,1195000
2017-03-28,1490659200,11.6,11.62,11.29,11.34,567600
2017-03-29,1490745600,11.35,11.67,11.35,11.57,561600
2017-03-30,1490832000,11.56,11.65,11.45,11.47,516500
2017-03-31,1490918400,11.43,11.51,11.38,11.46,564500
2017-04-03,1491177600,11.5,11.67,11.49,11.55,416100
2017-04-04,1491264000,11.54,11.57,11.45,11.55,318300
2017-04-05,1491350400,11.4,11.47,10.98,10.98,2773500
2017-04-06,1491436800,11.03,11.18,10.96,11.12,680400
2017-04-07,1491523200,11.14,11.65,11.14,11.37,1740200
2017-04-10,1491782400,11.42,11.74,11.42,11.7,1639600
2017-04-11,1491868800,11.7,11.8,11.56,11.6,606800
2017-04-12,1491955200,11.57,11.76,11.52,11.58,420500
2017-04-13,1492041600,11.56,11.61,11.38,11.48,1896400
2017-04-17,1492387200,11.56,11.7,11.56,11.65,399600
2017-04-18,1492473600,11.57,11.74,11.49,11.51,353800
2017-04-19,1492560000,11.56,11.7,11.38,11.42,686100
2017-04-20,1492646400,11.49,11.5,11.42,11.42,863700
2017-04-21,1492732800,11.41,11.48,11.19,11.19,479100
2017-04-24,1492992000,11.25,11.4,11.23,11.23,757100
2017-04-25,1493078400,11.25,11.3,11.07,11.07,519900
2017-04-26,1493164800,11.09,11.15,11.03,11.03,441300
2017-04-27,1493251200,11.03,11.07,10.77,10.79,595000
