Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,5.77,5.81,4.46,5.0,2390400
2017-01-04,1483488000,1.93,2.94,1.82,2.63,18584900
2017-01-05,1483574400,2.71,2.71,2.4,2.52,2408400
2017-01-06,1483660800,2.54,2.7,2.45,2.69,1515700
2017-01-09,1483920000,2.74,3.1,2.65,2.79,2054000
2017-01-10,1484006400,3.0,3.0,2.58,2.72,874500
2017-01-11,1484092800,2.73,2.73,2.58,2.65,382100
2017-01-12,1484179200,2.65,2.65,2.51,2.56,409500
2017-01-13,1484265600,2.53,2.63,2.46,2.52,564900
2017-01-17,1484611200,2.5,2.58,2.47,2.54,496400
2017-01-18,1484697600,2.53,2.55,2.36,2.44,342500
2017-01-19,1484784000,2.44,2.45,2.33,2.37,371400
2017-01-20,1484870400,2.38,2.39,2.27,2.32,180800
2017-01-23,1485129600,2.31,2.31,2.06,2.18,392000
2017-01-24,1485216000,2.2,2.21,2.06,2.11,186700
2017-01-25,1485302400,2.13,2.3,2.07,2.26,426800
2017-01-26,1485388800,2.27,2.27,2.14,2.24,213700
2017-01-27,1485475200,2.24,2.33,2.21,2.28,162600
2017-01-30,1485734400,2.26,2.3,2.21,2.26,191100
2017-01-31,1485820800,2.27,2.32,2.22,2.3,196600
2017-02-01,1485907200,2.31,2.31,2.23,2.25,87800
2017-02-02,1485993600,2.25,2.28,2.2,2.21,98500
2017-02-03,1486080000,2.21,2.35,2.18,2.33,196900
2017-02-06,1486339200,2.31,2.32,2.25,2.29,111600
2017-02-07,1486425600,2.3,2.39,2.26,2.37,191900
2017-02-08,1486512000,2.37,2.38,2.25,2.28,100800
2017-02-09,1486598400,2.29,2.36,2.26,2.28,72100
2017-02-10,1486684800,2.3,2.3,2.21,2.27,81800
2017-02-13,1486944000,2.28,2.3,2.2,2.24,156800
2017-02-14,1487030400,2.24,2.35,2.2,2.34,204600
2017-02-15,1487116800,2.36,2.56,2.36,2.5,280200
2017-02-16,1487203200,2.5,2.53,2.43,2.47,119500
2017-02-17,1487289600,2.46,2.51,2.42,2.48,98300
2017-02-21,1487635200,2.46,2.48,2.33,2.41,157900
2017-02-22,1487721600,2.41,2.43,2.33,2.34,263700
2017-02-23,1487808000,2.33,2.36,2.15,2.24,126700
2017-02-24,1487894400,2.23,2.3,2.17,2.24,170200
2017-02-27,1488153600,2.23,2.3,2.15,2.29,89900
2017-02-28,1488240000,2.28,2.29,2.16,2.22,49600
2017-03-01,1488326400,2.23,2.29,2.16,2.2,130000
2017-03-02,1488412800,2.2,2.29,2.18,2.22,186200
2017-03-03,1488499200,2.22,2.24,2.17,2.19,61400
2017-03-06,1488758400,2.18,2.21,2.1,2.14,105600
2017-03-07,1488844800,2.12,2.14,2.01,2.04,155500
2017-03-08,1488931200,2.06,2.18,2.06,2.15,121300
2017-03-09,1489017600,2.15,2.44,2.11,2.42,307400
2017-03-10,1489104000,2.45,2.47,2.25,2.4,170300
2017-03-13,1489363200,2.43,2.44,2.35,2.37,102400
2017-03-14,1489449600,2.37,2.43,2.23,2.23,196900
2017-03-15,1489536000,2.25,2.37,2.25,2.36,330800
2017-03-16,1489622400,2.36,2.88,2.34,2.69,1289300
2017-03-17,1489708800,2.72,3.28,2.7,2.94,2775700
2017-03-20,1489968000,2.88,2.9,2.66,2.71,252100
2017-03-21,1490054400,2.72,2.72,2.6,2.6,245300
2017-03-22,1490140800,2.65,2.69,2.6,2.69,190500
2017-03-23,1490227200,2.7,3.0,2.66,2.96,454000
2017-03-24,1490313600,2.98,3.23,2.88,2.96,691300
2017-03-27,1490572800,2.94,3.08,2.85,3.0,258900
2017-03-28,1490659200,3.02,3.2,2.99,3.16,321000
2017-03-29,1490745600,3.19,3.64,3.09,3.49,1098300
2017-03-30,1490832000,3.52,3.54,3.11,3.29,706900
2017-03-31,1490918400,3.28,3.39,3.13,3.2,210000
2017-04-03,1491177600,3.23,3.23,3.03,3.13,205200
2017-04-04,1491264000,3.11,3.3,3.05,3.14,266000
2017-04-05,1491350400,3.12,3.24,2.93,2.97,484300
2017-04-06,1491436800,2.98,3.09,2.9,3.04,166200
2017-04-07,1491523200,3.06,3.11,2.92,2.94,350000
2017-04-10,1491782400,2.97,3.01,2.93,2.96,63000
2017-04-11,1491868800,3.1,3.2,3.03,3.11,173000
2017-04-12,1491955200,3.08,3.09,2.95,2.97,97200
2017-04-13,1492041600,2.98,3.1,2.95,2.98,138700
2017-04-17,1492387200,3.0,3.1,2.97,3.06,90200
2017-04-18,1492473600,3.05,3.05,2.95,3.0,65400
2017-04-19,1492560000,3.03,3.15,2.95,3.02,109500
2017-04-20,1492646400,3.05,3.13,3.02,3.05,85500
2017-04-21,1492732800,3.04,3.06,2.96,3.03,138300
2017-04-24,1492992000,3.05,3.12,3.01,3.08,108200
2017-04-25,1493078400,3.11,3.3,3.06,3.21,225100
2017-04-26,1493164800,3.21,3.39,3.21,3.3,143500
2017-04-27,1493251200,3.3,3.35,3.25,3.28,161900
2017-04-28,1493337600,3.29,3.84,3.29,3.59,854700
2017-05-01,1493596800,3.6,3.78,3.58,3.6,223300
2017-05-02,1493683200,3.56,3.71,3.45,3.58,209200
2017-05-03,1493769600,3.55,3.55,3.4,3.49,214500
