Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,11.44,11.54,11.35,11.54,225300
2017-01-04,1483488000,11.54,11.67,11.52,11.67,283100
2017-01-05,1483574400,11.61,11.74,11.53,11.57,283500
2017-01-06,1483660800,11.56,11.61,11.41,11.51,260400
2017-01-09,1483920000,11.54,11.57,11.29,11.3,221900
2017-01-10,1484006400,11.26,11.38,11.18,11.22,170900
2017-01-11,1484092800,11.22,11.36,11.19,11.25,106400
2017-01-12,1484179200,11.29,11.32,11.03,11.22,186200
2017-01-13,1484265600,11.19,11.34,11.19,11.26,111600
2017-01-17,1484611200,11.24,11.35,11.24,11.28,145200
2017-01-18,1484697600,11.27,11.36,11.24,11.28,118000
2017-01-19,1484784000,11.27,11.33,11.23,11.27,246900
2017-01-20,1484870400,11.25,11.35,11.22,11.24,107600
2017-01-23,1485129600,11.21,11.37,11.21,11.27,99800
2017-01-24,1485216000,11.3,11.37,11.24,11.31,112200
2017-01-25,1485302400,11.28,11.37,11.24,11.3,82300
2017-01-26,1485388800,11.28,11.32,11.18,11.19,137300
2017-01-27,1485475200,11.22,11.25,10.98,11.03,115600
2017-01-30,1485734400,10.95,10.99,10.61,10.66,251000
2017-01-31,1485820800,10.67,10.92,10.6,10.81,184200
2017-02-01,1485907200,10.8,10.99,10.6,10.62,184000
2017-02-02,1485993600,10.66,10.95,10.66,10.78,172400
2017-02-03,1486080000,10.88,10.93,10.71,10.81,380300
2017-02-06,1486339200,10.83,10.95,10.79,10.8,107400
2017-02-07,1486425600,10.82,10.92,10.65,10.69,104800
2017-02-08,1486512000,10.66,10.73,10.59,10.64,116000
2017-02-09,1486598400,10.52,10.9,10.14,10.55,291300
2017-02-10,1486684800,10.52,10.79,10.45,10.77,135600
2017-02-13,1486944000,10.77,10.89,10.73,10.86,168200
2017-02-14,1487030400,10.85,10.92,10.76,10.83,133900
2017-02-15,1487116800,10.81,11.07,10.72,10.75,367800
2017-02-16,1487203200,10.72,10.86,10.72,10.83,299200
2017-02-17,1487289600,10.85,10.91,10.78,10.83,485200
2017-02-21,1487635200,10.84,10.96,10.74,10.92,232600
2017-02-22,1487721600,10.9,10.99,10.79,10.92,246100
2017-02-23,1487808000,10.93,11.05,10.83,11.03,197000
2017-02-24,1487894400,11.01,11.08,10.92,11.06,164900
2017-02-27,1488153600,11.01,11.13,11.0,11.1,280100
2017-02-28,1488240000,11.05,11.1,10.85,10.95,769500
2017-03-01,1488326400,10.95,11.15,10.94,11.03,330400
2017-03-02,1488412800,11.03,11.05,10.91,10.99,171700
2017-03-03,1488499200,10.96,11.03,10.79,10.98,207900
2017-03-06,1488758400,10.92,11.01,10.87,10.98,146600
2017-03-07,1488844800,10.95,11.06,10.88,10.92,203100
2017-03-08,1488931200,10.84,10.92,10.49,10.52,405500
2017-03-09,1489017600,10.5,10.61,10.31,10.31,221600
2017-03-10,1489104000,10.37,10.42,10.21,10.41,265200
2017-03-13,1489363200,10.41,10.52,10.39,10.44,186800
2017-03-14,1489449600,10.52,10.52,10.33,10.45,221400
2017-03-15,1489536000,10.48,10.73,10.48,10.7,152600
2017-03-16,1489622400,10.65,10.84,10.65,10.78,222600
2017-03-17,1489708800,10.78,10.97,10.73,10.95,476500
2017-03-20,1489968000,10.91,10.96,10.63,10.79,267800
2017-03-21,1490054400,10.77,10.84,10.69,10.7,422100
2017-03-22,1490140800,10.7,10.76,10.43,10.7,290900
2017-03-23,1490227200,10.68,10.9,10.61,10.84,220800
2017-03-24,1490313600,10.87,10.88,10.75,10.76,130500
2017-03-27,1490572800,10.75,10.86,10.58,10.7,249800
2017-03-28,1490659200,10.68,10.77,10.6,10.75,149200
2017-03-29,1490745600,10.7,10.85,10.69,10.82,125200
2017-03-30,1490832000,10.83,10.94,10.78,10.89,272500
2017-03-31,1490918400,10.89,11.09,10.87,11.05,307300
2017-04-03,1491177600,11.07,11.07,10.93,10.95,135300
2017-04-04,1491264000,10.94,11.03,10.9,10.96,132300
2017-04-05,1491350400,10.97,11.04,10.87,11.01,180500
2017-04-06,1491436800,11.04,11.14,10.94,11.14,162400
2017-04-07,1491523200,11.16,11.16,11.06,11.09,81100
2017-04-10,1491782400,11.08,11.17,11.04,11.14,117800
2017-04-11,1491868800,11.14,11.45,11.11,11.43,178600
2017-04-12,1491955200,11.49,11.49,11.35,11.44,189100
2017-04-13,1492041600,11.46,11.48,11.32,11.37,189900
2017-04-17,1492387200,11.39,11.48,11.33,11.41,193900
2017-04-18,1492473600,11.39,11.7,11.34,11.64,300600
2017-04-19,1492560000,11.63,11.68,11.54,11.58,170300
2017-04-20,1492646400,11.55,11.68,11.5,11.65,157900
2017-04-21,1492732800,11.68,11.75,11.58,11.61,241000
2017-04-24,1492992000,11.63,11.67,11.46,11.53,175900
2017-04-25,1493078400,11.54,11.67,11.52,11.56,172300
2017-04-26,1493164800,11.58,11.67,11.49,11.59,246100
2017-04-27,1493251200,11.61,11.65,11.51,11.51,160800
2017-04-28,1493337600,11.51,11.51,11.28,11.35,132700
2017-05-01,1493596800,11.36,11.46,11.28,11.42,179300
2017-05-02,1493683200,11.32,11.56,11.18,11.2,251600
2017-05-03,1493769600,11.18,11.26,10.88,10.97,331200
2017-05-04,1493856000,10.95,11.17,10.88,11.1,248300
2017-05-05,1493942400,11.12,11.3,11.08,11.22,271900
2017-05-08,1494201600,11.2,11.25,10.86,10.97,278000
2017-05-09,1494288000,10.46,10.54,10.28,10.38,2946200
2017-05-10,1494374400,10.41,10.66,10.33,10.54,1550700
2017-05-11,1494460800,10.54,10.58,10.3,10.38,1034000
2017-05-12,1494547200,10.34,10.46,10.2,10.23,479800
2017-05-15,1494806400,10.23,10.34,10.19,10.33,685700
2017-05-16,1494892800,10.34,10.42,10.12,10.16,579300
2017-05-17,1494979200,10.14,10.27,10.07,10.23,547000
2017-05-18,1495065600,10.27,10.31,10.16,10.3,468300
2017-05-19,1495152000,10.3,10.44,10.24,10.31,636100
2017-05-22,1495411200,10.33,10.44,10.3,10.42,541600
2017-05-23,1495497600,10.46,10.58,10.4,10.44,390900
2017-05-24,1495584000,10.46,10.56,10.42,10.47,194400
2017-05-25,1495670400,10.54,10.56,10.43,10.48,240500
2017-05-26,1495756800,10.5,10.5,10.34,10.41,203600
2017-05-30,1496102400,10.41,10.46,10.35,10.42,374600
2017-05-31,1496188800,10.42,10.51,10.35,10.51,423900
2017-06-01,1496275200,10.5,10.77,10.45,10.72,442700
2017-06-02,1496361600,10.78,10.9,10.63,10.76,332000
2017-06-05,1496620800,10.73,10.89,10.66,10.73,550900
2017-06-06,1496707200,10.73,10.73,10.6,10.61,184800
2017-06-07,1496793600,10.62,10.71,10.58,10.69,211300
2017-06-08,1496880000,10.69,10.69,10.5,10.65,344400
2017-06-09,1496966400,10.62,10.79,10.57,10.71,352300
2017-06-12,1497225600,10.69,10.85,10.69,10.81,317800
2017-06-13,1497312000,11.26,11.38,11.07,11.32,1415900
2017-06-14,1497398400,11.32,11.52,11.2,11.52,863500
2017-06-15,1497484800,11.37,11.55,11.34,11.35,791600
2017-06-16,1497571200,11.25,11.4,10.94,11.4,7325600
2017-06-19,1497830400,11.35,11.45,10.97,11.0,1039000
2017-06-20,1497916800,10.97,11.0,10.77,10.89,736700
2017-06-21,1498003200,10.9,10.97,10.8,10.96,540000
2017-06-22,1498089600,10.95,11.01,10.77,10.9,659700
2017-06-23,1498176000,10.78,10.89,10.58,10.69,2421500
2017-06-26,1498435200,10.68,10.74,10.55,10.63,806000
2017-06-27,1498521600,10.76,11.11,10.71,10.72,783100
2017-06-28,1498608000,10.7,10.74,10.48,10.55,629200
2017-06-29,1498694400,10.47,10.57,10.37,10.44,533100
2017-06-30,1498780800,10.48,10.48,10.33,10.45,569000
2017-07-03,1499040000,10.45,10.53,10.35,10.53,396000
2017-07-05,1499212800,10.53,10.57,10.35,10.4,567400
2017-07-06,1499299200,10.36,10.43,10.25,10.3,591900
