Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,30.36,31.68,29.92,30.36,2364
2017-01-04,1483488000,30.36,33.0,30.36,31.24,3048
2017-01-05,1483574400,32.56,34.32,32.56,33.88,2957
2017-01-06,1483660800,35.2,35.2,33.0,33.44,1832
2017-01-09,1483920000,33.0,33.0,32.12,33.0,968
2017-01-10,1484006400,33.88,33.88,32.56,33.44,1925
2017-01-11,1484092800,33.0,37.4,33.0,35.2,5486
2017-01-12,1484179200,35.64,36.96,34.32,36.08,2605
2017-01-13,1484265600,37.4,40.04,36.52,38.72,8545
2017-01-17,1484611200,38.72,40.92,35.64,36.08,7157
2017-01-18,1484697600,36.52,36.52,32.56,33.44,7120
2017-01-19,1484784000,33.44,34.76,32.56,32.56,1593
2017-01-20,1484870400,32.56,32.56,29.92,30.36,11975
2017-01-23,1485129600,31.24,31.24,28.6,29.48,7420
2017-01-24,1485216000,29.48,29.48,25.96,28.16,11166
2017-01-25,1485302400,29.92,30.36,26.84,30.36,2464
2017-01-26,1485388800,29.48,33.44,28.6,29.04,9893
2017-01-27,1485475200,30.36,30.36,28.6,29.92,964
2017-01-30,1485734400,30.8,30.8,27.72,29.04,2732
2017-01-31,1485820800,29.04,30.36,27.28,30.36,1366
2017-02-01,1485907200,29.04,29.48,27.72,28.16,1261
2017-02-02,1485993600,25.52,25.52,17.16,18.92,57530
2017-02-03,1486080000,19.8,20.68,18.92,19.8,24448
2017-02-06,1486339200,20.68,20.68,18.92,19.36,7511
2017-02-07,1486425600,19.36,19.8,18.92,19.36,6475
2017-02-08,1486512000,19.36,20.68,18.92,19.8,10977
2017-02-09,1486598400,19.8,20.24,19.8,19.8,3923
2017-02-10,1486684800,20.24,20.24,18.92,19.8,2775
2017-02-13,1486944000,19.36,22.88,19.36,22.44,20275
2017-02-14,1487030400,22.88,22.88,22.0,22.88,4441
2017-02-15,1487116800,22.0,22.0,21.12,21.56,3095
2017-02-16,1487203200,19.36,22.44,19.36,20.24,3389
2017-02-17,1487289600,19.8,21.12,19.8,20.24,1748
2017-02-21,1487635200,20.24,22.88,20.24,21.56,6750
2017-02-22,1487721600,20.68,22.88,20.68,21.56,4698
2017-02-23,1487808000,21.12,22.0,21.12,22.0,2373
2017-02-24,1487894400,22.0,22.0,21.12,22.0,2750
2017-02-27,1488153600,21.56,22.0,20.68,21.12,2645
2017-02-28,1488240000,21.12,22.0,20.68,21.12,1323
2017-03-01,1488326400,22.0,22.0,21.12,21.56,3307
2017-03-02,1488412800,20.68,22.88,20.68,22.0,3936
2017-03-03,1488499200,22.0,22.0,21.56,22.0,1932
2017-03-06,1488758400,21.56,25.52,21.56,24.2,18298
2017-03-07,1488844800,24.64,25.08,22.88,24.64,7445
2017-03-08,1488931200,25.08,25.08,23.32,23.32,3443
2017-03-09,1489017600,24.2,24.64,22.0,24.2,4566
2017-03-10,1489104000,24.2,24.2,22.88,22.88,2609
2017-03-13,1489363200,24.2,24.2,22.88,23.76,2700
2017-03-14,1489449600,23.76,24.64,23.32,23.76,1409
2017-03-15,1489536000,23.32,24.2,22.88,22.88,2175
2017-03-16,1489622400,22.88,24.2,22.88,23.76,1191
2017-03-17,1489708800,23.76,27.72,23.32,25.08,19386
2017-03-20,1489968000,24.2,25.96,23.76,24.2,5025
2017-03-21,1490054400,23.76,24.64,23.32,24.2,2450
2017-03-22,1490140800,24.64,25.08,23.32,23.32,2009
2017-03-23,1490227200,23.76,24.2,22.88,23.32,3330
2017-03-24,1490313600,22.88,22.88,22.0,22.44,2536
2017-03-27,1490572800,24.2,25.52,23.32,24.2,3368
2017-03-28,1490659200,25.08,25.52,24.2,24.2,1420
2017-03-29,1490745600,24.2,24.64,23.32,24.2,909
2017-03-30,1490832000,24.64,24.64,23.32,23.32,2773
2017-03-31,1490918400,24.2,25.08,23.32,24.2,4457
2017-04-03,1491177600,23.32,24.64,23.32,24.64,1200
2017-04-04,1491264000,24.64,24.64,23.32,23.76,2168
2017-04-05,1491350400,23.76,23.76,23.32,23.32,1409
2017-04-06,1491436800,23.32,23.76,20.68,21.12,3623
2017-04-07,1491523200,22.44,22.44,21.12,22.0,1741
2017-04-10,1491782400,23.76,23.76,22.0,23.32,1493
2017-04-11,1491868800,22.88,26.84,22.44,24.64,32041
2017-04-12,1491955200,30.8,30.8,24.64,25.96,8007
2017-04-13,1492041600,25.96,26.4,23.32,24.2,4909
2017-04-17,1492387200,25.52,25.52,23.32,25.52,1195
2017-04-18,1492473600,24.64,25.52,23.32,25.08,2470
2017-04-19,1492560000,24.2,25.08,23.76,24.2,3111
2017-04-20,1492646400,23.76,27.28,23.76,25.08,7573
2017-04-21,1492732800,25.52,26.4,25.08,25.52,3186
2017-04-24,1492992000,26.4,33.0,25.52,30.8,30080
2017-04-25,1493078400,32.56,36.96,29.92,31.68,54036
2017-04-26,1493164800,29.48,32.12,28.6,30.36,9307
2017-04-27,1493251200,30.8,31.24,29.04,29.48,5905
2017-04-28,1493337600,29.48,30.8,28.16,29.48,7116
2017-05-01,1493596800,29.48,30.36,26.84,27.72,5050
2017-05-02,1493683200,27.28,29.92,26.4,29.48,6336
2017-05-03,1493769600,29.04,29.92,27.72,29.92,4109
2017-05-04,1493856000,29.92,29.92,27.72,29.92,2998
2017-05-05,1493942400,29.92,29.92,25.96,28.16,3725
2017-05-08,1494201600,27.28,28.6,26.84,28.16,2755
2017-05-09,1494288000,28.16,28.16,26.84,28.16,5132
2017-05-10,1494374400,28.16,29.04,26.84,27.72,1664
2017-05-11,1494460800,26.84,27.72,26.4,27.28,4232
2017-05-12,1494547200,26.84,29.04,26.84,28.16,2359
2017-05-15,1494806400,27.72,28.16,26.84,28.16,2523
2017-05-16,1494892800,28.16,28.16,25.96,26.4,5909
2017-05-17,1494979200,25.96,27.28,23.76,23.76,3205
2017-05-18,1495065600,22.44,24.2,22.44,22.88,2811
2017-05-19,1495152000,22.88,23.32,22.88,23.32,1277
2017-05-22,1495411200,23.32,24.2,22.44,24.2,1298
2017-05-23,1495497600,23.76,25.08,23.32,23.76,2370
2017-05-24,1495584000,23.76,24.2,23.32,24.2,1100
2017-05-25,1495670400,24.2,24.2,23.76,24.2,798
2017-05-26,1495756800,23.76,24.2,23.76,23.76,470
2017-05-30,1496102400,24.2,25.08,24.2,25.08,1050
2017-05-31,1496188800,24.2,28.6,24.2,25.96,12393
2017-06-01,1496275200,26.4,26.4,22.88,23.32,10989
2017-06-02,1496361600,23.32,23.76,22.44,22.44,7205
2017-06-05,1496620800,22.44,23.76,22.0,22.88,2468
2017-06-06,1496707200,22.44,23.32,22.0,23.32,3773
2017-06-07,1496793600,22.44,22.88,22.44,22.88,1818
2017-06-08,1496880000,22.44,22.88,22.44,22.44,1448
2017-06-09,1496966400,22.88,22.88,22.44,22.88,3616
2017-06-12,1497225600,22.44,22.88,22.44,22.44,2723
2017-06-13,1497312000,22.44,24.2,22.0,24.2,11623
2017-06-14,1497398400,22.44,23.76,22.0,22.88,7630
2017-06-15,1497484800,22.44,22.88,21.56,21.56,4098
2017-06-16,1497571200,21.56,22.0,21.56,22.0,1911
2017-06-19,1497830400,22.0,22.0,21.12,22.0,1355
2017-06-20,1497916800,21.56,22.44,21.56,21.56,2370
2017-06-21,1498003200,21.56,22.0,19.8,21.56,3911
2017-06-22,1498089600,21.12,21.56,20.68,21.56,1380
2017-06-23,1498176000,22.0,22.0,20.68,21.56,1573
2017-06-26,1498435200,22.0,22.44,22.0,22.44,2105
2017-06-27,1498521600,21.56,22.44,21.56,21.56,859
2017-06-28,1498608000,21.56,22.88,21.12,22.44,1352
2017-06-29,1498694400,22.0,22.44,21.56,21.56,423
2017-06-30,1498780800,21.56,22.44,21.56,22.0,691
2017-07-03,1499040000,21.56,22.88,21.56,22.0,2189
2017-07-05,1499212800,22.0,22.44,21.56,21.56,1536
2017-07-06,1499299200,21.56,23.32,21.56,22.44,5491
2017-07-07,1499385600,22.44,22.88,21.56,22.88,3752
2017-07-10,1499644800,28.16,32.56,22.44,22.88,164393
2017-07-11,1499731200,21.12,22.0,20.24,21.12,21357
2017-07-12,1499817600,21.12,21.56,19.8,21.12,10859
2017-07-13,1499904000,21.12,21.12,20.24,20.68,6277
2017-07-14,1499990400,20.68,21.12,20.68,21.12,2809
2017-07-17,1500249600,21.12,21.12,20.24,21.12,2727
2017-07-18,1500336000,20.68,20.68,19.8,20.24,3461
2017-07-19,1500422400,20.24,21.12,20.24,20.68,3691
2017-07-20,1500508800,21.12,21.12,20.68,21.12,2398
2017-07-21,1500595200,21.12,21.56,20.68,21.12,2841
2017-07-24,1500854400,21.56,21.56,20.24,21.12,2418
2017-07-25,1500940800,21.12,21.12,20.24,20.24,5400
2017-07-26,1501027200,20.24,21.12,19.36,19.8,5511
2017-07-27,1501113600,19.8,19.8,18.04,18.48,7961
2017-07-28,1501200000,18.48,19.8,18.48,19.8,2448
2017-07-31,1501459200,20.68,20.68,18.48,18.48,3905
2017-08-01,1501545600,18.48,19.36,18.48,18.92,4884
2017-08-02,1501632000,19.36,19.36,18.48,19.36,3380
2017-08-03,1501718400,18.92,18.92,18.04,18.04,6686
2017-08-04,1501804800,18.48,18.92,17.6,17.6,2118
2017-08-07,1502064000,17.6,18.48,16.72,17.16,5930
2017-08-08,1502150400,17.6,18.04,16.72,17.6,4964
2017-08-09,1502236800,17.16,18.04,16.72,16.72,2884
2017-08-10,1502323200,16.72,17.16,15.84,16.28,4575
2017-08-11,1502409600,16.72,18.04,13.2,18.04,4173
