Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,10.32,10.51,10.3,10.48,432867
2017-01-04,1483488000,10.53,10.9,10.53,10.74,728300
2017-01-05,1483574400,10.76,10.92,10.74,10.8,506200
2017-01-06,1483660800,10.83,10.9,10.73,10.76,280900
2017-01-09,1483920000,10.8,10.81,10.71,10.73,145967
2017-01-10,1484006400,10.78,10.8,10.73,10.73,158067
2017-01-11,1484092800,10.73,10.85,10.67,10.85,306933
2017-01-12,1484179200,10.83,10.83,10.62,10.62,231400
2017-01-13,1484265600,10.66,10.73,10.57,10.64,320300
2017-01-17,1484611200,10.64,10.66,10.59,10.6,213933
2017-01-18,1484697600,10.59,10.64,10.48,10.5,268700
2017-01-19,1484784000,10.51,10.59,10.41,10.44,187733
2017-01-20,1484870400,10.44,10.5,10.41,10.48,175433
2017-01-23,1485129600,10.51,10.53,10.41,10.41,208633
2017-01-24,1485216000,10.43,10.53,10.39,10.46,271767
2017-01-25,1485302400,10.53,10.55,10.44,10.51,247500
2017-01-26,1485388800,10.5,10.53,10.37,10.41,260300
2017-01-27,1485475200,10.43,10.44,10.32,10.34,215867
2017-01-30,1485734400,10.3,10.44,10.29,10.39,222467
2017-01-31,1485820800,10.36,10.39,10.27,10.34,438400
2017-02-01,1485907200,10.39,10.62,10.37,10.57,358100
2017-02-02,1485993600,10.55,10.57,10.43,10.51,228167
2017-02-03,1486080000,10.55,10.76,10.53,10.62,385800
2017-02-06,1486339200,10.55,10.73,10.34,10.69,353900
2017-02-07,1486425600,10.62,10.62,10.44,10.44,321567
2017-02-08,1486512000,10.37,10.62,10.36,10.6,306033
2017-02-09,1486598400,10.64,10.85,10.6,10.64,442600
2017-02-10,1486684800,10.64,10.8,10.64,10.8,305267
2017-02-13,1486944000,10.8,10.9,10.76,10.8,308100
2017-02-14,1487030400,10.8,10.92,10.73,10.89,265500
2017-02-15,1487116800,10.92,11.01,10.8,10.97,290067
2017-02-16,1487203200,11.01,11.01,10.89,10.97,279900
2017-02-17,1487289600,10.99,11.08,10.92,11.06,300400
2017-02-21,1487635200,11.1,11.19,10.97,11.01,438267
2017-02-22,1487721600,10.94,11.15,10.94,11.1,377300
2017-02-23,1487808000,11.19,11.24,11.11,11.19,422700
2017-02-24,1487894400,11.17,11.19,10.94,11.15,262433
2017-02-27,1488153600,11.03,11.19,10.92,11.15,312800
2017-02-28,1488240000,11.15,11.2,11.06,11.17,387067
2017-03-01,1488326400,11.22,11.33,11.13,11.29,430267
2017-03-02,1488412800,11.27,11.31,11.15,11.26,371833
2017-03-03,1488499200,11.29,11.38,11.24,11.34,498333
2017-03-06,1488758400,11.29,11.54,11.22,11.49,533000
2017-03-07,1488844800,11.49,11.61,11.33,11.36,428900
2017-03-08,1488931200,11.36,11.54,11.36,11.4,340267
2017-03-09,1489017600,11.43,11.49,11.15,11.17,493200
2017-03-10,1489104000,11.17,11.33,11.17,11.26,339433
2017-03-13,1489363200,11.29,11.38,11.27,11.27,340800
2017-03-14,1489449600,11.33,11.36,11.2,11.2,312800
2017-03-15,1489536000,11.2,11.49,11.17,11.4,307333
2017-03-16,1489622400,11.47,11.49,11.29,11.4,610133
2017-03-17,1489708800,11.47,11.51,11.34,11.45,460233
2017-03-20,1489968000,11.51,11.54,11.36,11.43,296233
2017-03-21,1490054400,11.45,11.45,11.16,11.22,419833
2017-03-22,1490140800,11.29,11.31,11.05,11.13,398833
2017-03-23,1490227200,11.16,11.29,11.09,11.11,303933
2017-03-24,1490313600,11.18,11.27,11.13,11.16,182033
2017-03-27,1490572800,11.13,11.2,11.02,11.14,245433
2017-03-28,1490659200,11.14,11.34,11.14,11.27,342500
2017-03-29,1490745600,11.31,11.49,11.27,11.49,363567
2017-03-30,1490832000,11.56,11.74,11.47,11.69,620433
2017-03-31,1490918400,11.67,11.87,11.63,11.85,554667
2017-04-03,1491177600,11.83,11.92,11.76,11.85,395400
2017-04-04,1491264000,11.81,11.88,11.76,11.85,254500
2017-04-05,1491350400,11.88,11.9,11.69,11.74,262167
2017-04-06,1491436800,11.76,12.05,11.74,12.03,537400
2017-04-07,1491523200,11.98,12.01,11.85,11.92,361667
2017-04-10,1491782400,11.92,11.99,11.87,11.92,294133
2017-04-11,1491868800,11.98,12.07,11.87,12.07,416700
2017-04-12,1491955200,12.07,12.08,11.94,11.99,229967
2017-04-13,1492041600,11.92,11.99,11.85,11.92,343567
2017-04-17,1492387200,11.92,11.96,11.85,11.88,335567
2017-04-18,1492473600,11.9,11.99,11.83,11.92,222567
2017-04-19,1492560000,11.9,11.96,11.85,11.87,150533
2017-04-20,1492646400,11.88,12.05,11.87,12.01,327800
2017-04-21,1492732800,12.1,12.1,11.92,11.96,217500
2017-04-24,1492992000,12.01,12.14,12.01,12.07,181367
2017-04-25,1493078400,12.14,12.17,12.08,12.1,178533
2017-04-26,1493164800,12.14,12.28,12.07,12.1,348800
2017-04-27,1493251200,12.17,12.23,12.08,12.21,239233
2017-04-28,1493337600,12.21,12.28,12.14,12.26,269133
2017-05-01,1493596800,12.28,12.32,12.19,12.28,233967
2017-05-02,1493683200,12.28,12.32,12.21,12.25,236633
2017-05-03,1493769600,12.25,12.25,11.87,11.94,332000
2017-05-04,1493856000,11.94,12.1,11.79,11.9,383667
2017-05-05,1493942400,11.92,11.98,11.79,11.96,310033
2017-05-08,1494201600,11.99,12.08,11.83,11.92,233900
2017-05-09,1494288000,11.92,11.96,11.56,11.65,574233
2017-05-10,1494374400,11.65,11.85,11.52,11.63,487533
2017-05-11,1494460800,11.61,11.67,11.49,11.63,274567
2017-05-12,1494547200,11.63,11.7,11.52,11.65,410567
2017-05-15,1494806400,11.65,11.72,11.61,11.69,193933
2017-05-16,1494892800,11.72,11.74,11.6,11.72,229933
2017-05-17,1494979200,11.67,11.74,11.45,11.51,301233
2017-05-18,1495065600,11.51,11.52,11.16,11.38,453533
2017-05-19,1495152000,11.22,11.45,11.18,11.31,675333
