Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,83.28,85.23,82.34,82.42,1387500
2017-01-04,1483488000,82.0,83.76,81.15,83.53,1362900
2017-01-05,1483574400,83.51,84.04,81.95,82.2,1499700
2017-01-06,1483660800,82.06,82.13,80.83,81.47,929700
2017-01-09,1483920000,81.28,82.75,80.76,81.93,1287200
2017-01-10,1484006400,82.85,86.63,82.85,86.17,2126500
2017-01-11,1484092800,86.92,88.79,85.96,87.86,2537800
2017-01-12,1484179200,87.31,88.01,85.83,87.35,1524900
2017-01-13,1484265600,87.39,88.42,87.19,88.34,833300
2017-01-17,1484611200,88.04,88.79,86.81,87.49,1092900
2017-01-18,1484697600,86.63,87.56,85.94,87.04,1829100
2017-01-19,1484784000,87.38,88.7,87.32,88.25,1505000
2017-01-20,1484870400,88.31,88.73,87.86,88.71,1318800
2017-01-23,1485129600,88.4,88.79,86.82,87.17,926100
2017-01-24,1485216000,87.12,87.9,86.67,86.97,868600
2017-01-25,1485302400,87.62,88.2,87.17,87.46,700300
2017-01-26,1485388800,87.81,89.94,87.59,89.82,1266400
2017-01-27,1485475200,89.96,90.17,88.98,89.1,1566800
2017-01-30,1485734400,88.1,88.33,86.38,88.19,1173600
2017-01-31,1485820800,87.74,88.04,86.98,87.87,932500
2017-02-01,1485907200,87.88,88.68,87.13,87.7,830200
2017-02-02,1485993600,87.05,88.65,86.52,88.54,1174700
2017-02-03,1486080000,88.69,89.3,87.62,88.13,933000
2017-02-06,1486339200,88.74,89.72,88.33,89.09,864000
2017-02-07,1486425600,89.37,89.4,87.97,88.14,1572900
2017-02-08,1486512000,89.07,92.54,88.96,91.04,2683600
2017-02-09,1486598400,90.93,92.62,89.09,92.17,2164000
2017-02-10,1486684800,92.14,92.57,91.0,91.18,1258000
2017-02-13,1486944000,91.29,92.16,91.19,91.81,1077600
2017-02-14,1487030400,91.89,92.07,89.6,90.2,1252300
2017-02-15,1487116800,90.96,91.55,90.21,90.81,1449100
2017-02-16,1487203200,91.12,91.38,90.01,90.84,1296800
2017-02-17,1487289600,90.59,91.13,89.83,91.04,910000
2017-02-21,1487635200,90.8,91.51,90.39,91.05,1068200
2017-02-22,1487721600,90.83,91.91,90.7,91.65,870900
2017-02-23,1487808000,91.65,92.07,90.27,90.37,822100
2017-02-24,1487894400,89.72,91.47,89.37,91.43,653800
2017-02-27,1488153600,91.19,92.24,90.69,92.21,778800
2017-02-28,1488240000,92.28,93.08,91.79,92.19,1163100
2017-03-01,1488326400,92.4,95.59,92.4,94.47,1562400
2017-03-02,1488412800,94.16,94.33,90.68,90.81,1838200
2017-03-03,1488499200,90.99,93.51,90.96,93.25,1535800
2017-03-06,1488758400,92.8,93.12,90.03,91.07,1770100
2017-03-07,1488844800,90.62,90.88,89.43,89.65,1235200
2017-03-08,1488931200,89.79,90.47,88.76,89.72,1298500
2017-03-09,1489017600,89.9,90.79,89.04,89.33,1205000
2017-03-10,1489104000,89.14,91.12,88.91,91.05,1217100
2017-03-13,1489363200,90.79,92.64,90.64,91.02,1375500
2017-03-14,1489449600,90.68,90.84,88.72,89.06,1132800
2017-03-15,1489536000,87.75,90.38,87.02,89.87,1876100
2017-03-16,1489622400,89.89,90.31,88.27,88.72,1396100
2017-03-17,1489708800,89.11,89.15,87.9,87.99,1321300
2017-03-20,1489968000,89.71,89.77,88.45,89.36,1498800
2017-03-21,1490054400,89.91,89.91,86.72,86.81,1492900
2017-03-22,1490140800,86.39,87.61,83.88,87.57,1678700
2017-03-23,1490227200,87.64,89.76,87.04,88.64,1331300
2017-03-24,1490313600,88.82,89.87,87.7,89.25,856900
2017-03-27,1490572800,88.06,89.94,87.78,89.53,1063900
2017-03-28,1490659200,89.5,91.47,89.28,90.79,1571800
2017-03-29,1490745600,90.95,91.02,88.35,88.87,1317900
2017-03-30,1490832000,88.93,89.47,88.03,88.27,2143600
2017-03-31,1490918400,87.99,88.19,86.88,86.91,1856900
2017-04-03,1491177600,87.1,87.24,85.48,87.05,1978900
2017-04-04,1491264000,86.84,87.26,84.93,85.03,1278600
2017-04-05,1491350400,85.58,86.16,84.79,84.87,1188500
2017-04-06,1491436800,85.08,85.49,83.96,84.28,1509700
2017-04-07,1491523200,83.87,84.65,83.32,84.04,1277000
2017-04-10,1491782400,84.26,84.87,83.69,83.92,1056800
2017-04-11,1491868800,83.68,84.5,82.69,83.73,1314400
2017-04-12,1491955200,84.44,84.82,83.19,83.56,1545300
2017-04-13,1492041600,83.25,83.45,81.33,81.36,1577600
2017-04-17,1492387200,81.61,82.13,81.16,81.91,984800
2017-04-18,1492473600,81.97,82.62,80.82,81.55,1106300
2017-04-19,1492560000,81.94,82.88,81.6,82.17,894200
2017-04-20,1492646400,82.56,83.54,82.18,83.28,797700
2017-04-21,1492732800,83.36,84.17,83.04,83.98,1147000
2017-04-24,1492992000,85.53,86.17,84.89,85.46,1342000
2017-04-25,1493078400,85.76,86.62,85.47,86.16,1615500
2017-04-26,1493164800,85.15,86.66,83.11,83.17,2385800
2017-04-27,1493251200,81.22,81.37,78.94,80.04,3162800
2017-04-28,1493337600,80.09,80.76,79.92,80.19,1172500
2017-05-01,1493596800,80.43,80.69,79.55,79.56,1117100
2017-05-02,1493683200,79.54,81.7,79.53,81.51,1680000
2017-05-03,1493769600,81.43,81.83,80.62,81.62,1178600
2017-05-04,1493856000,81.69,82.29,80.07,80.51,1256900
2017-05-05,1493942400,80.79,80.89,79.76,80.33,947200
2017-05-08,1494201600,80.36,80.52,78.64,78.72,2579300
2017-05-09,1494288000,79.38,79.73,78.43,79.36,1635400
2017-05-10,1494374400,79.24,79.56,78.33,78.4,1282100
2017-05-11,1494460800,78.36,79.08,77.63,78.84,1804300
2017-05-12,1494547200,78.65,79.48,78.57,78.78,1533500
2017-05-15,1494806400,79.46,80.94,79.46,79.99,1494000
2017-05-16,1494892800,80.32,80.32,79.0,79.85,1601900
2017-05-17,1494979200,79.85,79.85,77.41,77.46,1246200
2017-05-18,1495065600,77.39,78.74,77.31,78.26,1179100
2017-05-19,1495152000,78.67,80.39,78.47,79.99,1201100
2017-05-22,1495411200,80.26,81.14,80.12,80.66,847800
2017-05-23,1495497600,80.63,81.73,79.88,81.14,1540200
2017-05-24,1495584000,81.2,81.85,79.89,79.96,1320700
2017-05-25,1495670400,80.16,82.1,79.94,81.89,1595000
2017-05-26,1495756800,81.74,82.61,81.21,81.93,1325200
2017-05-30,1496102400,81.47,82.13,81.07,81.17,1412300
2017-05-31,1496188800,81.49,82.61,80.95,82.34,1412100
2017-06-01,1496275200,82.54,83.76,82.33,83.45,1273700
2017-06-02,1496361600,83.81,85.3,83.77,84.48,1481500
2017-06-05,1496620800,84.31,84.81,83.88,84.47,1275500
2017-06-06,1496707200,83.89,85.46,83.76,84.37,1268600
2017-06-07,1496793600,84.56,87.2,83.96,86.73,1649900
2017-06-08,1496880000,86.73,87.0,85.36,85.64,1888500
2017-06-09,1496966400,85.87,86.34,84.86,85.06,1291500
2017-06-12,1497225600,84.89,84.89,82.93,84.22,817400
2017-06-13,1497312000,84.59,85.06,83.09,84.1,1032600
2017-06-14,1497398400,84.02,84.83,83.43,84.34,643300
2017-06-15,1497484800,83.87,83.89,82.38,83.62,814700
2017-06-16,1497571200,83.56,84.19,83.3,83.94,1218500
2017-06-19,1497830400,84.5,85.9,84.15,85.86,760100
2017-06-20,1497916800,85.86,86.06,84.49,84.55,769200
2017-06-21,1498003200,85.14,86.08,84.7,85.91,824900
2017-06-22,1498089600,86.74,86.97,85.4,86.09,917700
2017-06-23,1498176000,86.16,87.17,86.0,86.67,1355100
2017-06-26,1498435200,87.04,88.12,85.91,85.95,737200
2017-06-27,1498521600,85.59,85.93,84.09,84.11,1211200
2017-06-28,1498608000,84.66,84.97,83.56,83.62,1214000
2017-06-29,1498694400,83.93,84.8,83.51,84.28,1019100
2017-06-30,1498780800,84.56,85.42,84.02,84.9,1234000
2017-07-03,1499040000,85.38,86.01,85.03,85.34,543200
2017-07-05,1499212800,85.58,87.37,85.24,86.34,1061700
2017-07-06,1499299200,86.07,87.12,85.36,86.45,1091000
2017-07-07,1499385600,86.72,88.89,86.65,88.81,1127100
2017-07-10,1499644800,88.02,88.7,87.79,87.91,1296600
2017-07-11,1499731200,87.64,88.19,86.57,86.61,1092900
2017-07-12,1499817600,87.49,89.62,87.22,89.51,1176800
2017-07-13,1499904000,89.19,90.57,88.65,88.67,1116500
2017-07-14,1499990400,88.91,89.09,87.44,87.62,911800
2017-07-17,1500249600,87.69,87.97,86.87,87.1,965100
2017-07-18,1500336000,86.78,86.94,85.63,85.84,948900
2017-07-19,1500422400,85.65,85.92,84.81,85.38,1027500
2017-07-20,1500508800,85.37,85.37,84.1,84.28,997600
2017-07-21,1500595200,84.08,84.35,83.31,83.47,942800
2017-07-24,1500854400,83.42,83.46,82.25,82.3,882700
2017-07-25,1500940800,82.81,83.56,82.22,82.41,1162100
2017-07-26,1501027200,80.66,83.94,78.89,82.97,2873800
2017-07-27,1501113600,82.31,83.66,80.06,83.22,2459600
2017-07-28,1501200000,82.84,83.23,80.84,81.65,1725400
2017-07-31,1501459200,81.86,81.88,80.57,80.62,1253500
2017-08-01,1501545600,81.25,82.45,80.31,80.88,1569300
2017-08-02,1501632000,80.77,81.32,80.38,81.0,989700
2017-08-03,1501718400,80.79,81.38,79.85,80.39,979100
2017-08-04,1501804800,80.61,81.3,80.17,81.22,821400
2017-08-07,1502064000,81.49,81.99,81.17,81.34,838600
2017-08-08,1502150400,81.2,82.21,80.42,80.54,972300
2017-08-09,1502236800,80.28,80.3,79.28,79.77,837800
2017-08-10,1502323200,79.44,79.68,78.63,79.25,1099400
2017-08-11,1502409600,79.08,80.36,78.79,79.9,1136900
2017-08-14,1502668800,80.77,81.06,79.36,80.48,1127900
2017-08-15,1502755200,80.2,80.49,78.66,79.37,1573700
2017-08-16,1502841600,79.54,80.53,77.5,79.27,1191700
2017-08-17,1502928000,79.18,79.44,75.6,75.69,1358800
2017-08-18,1503014400,75.74,75.96,74.47,74.48,1649900
2017-08-21,1503273600,74.53,75.19,73.88,74.04,1178200
2017-08-22,1503360000,74.27,74.64,72.83,73.21,1305200
2017-08-23,1503446400,73.21,73.21,71.02,71.12,1577300
2017-08-24,1503532800,71.38,71.38,69.58,69.8,1933600
2017-08-25,1503619200,70.17,72.16,70.17,71.71,1675300
2017-08-28,1503878400,71.85,71.85,70.46,70.55,1584600
2017-08-29,1503964800,70.13,70.73,69.83,70.62,1163600
2017-08-30,1504051200,70.54,70.65,69.69,70.38,919900
2017-08-31,1504137600,70.74,71.43,70.63,70.88,999700
2017-09-01,1504224000,71.3,71.82,70.82,71.35,1070700
2017-09-05,1504569600,70.8,70.87,69.1,69.36,1616500
2017-09-06,1504656000,68.8,70.13,68.07,69.95,2524000
2017-09-07,1504742400,70.33,71.16,69.34,69.46,2114900
2017-09-08,1504828800,69.32,70.88,69.26,70.54,1201000
2017-09-11,1505088000,71.16,71.96,71.05,71.77,1832200
2017-09-12,1505174400,71.94,72.55,71.35,72.46,1197800
2017-09-13,1505260800,72.7,72.7,71.41,72.36,1131900
2017-09-14,1505347200,72.9,74.47,72.87,73.57,2500100
2017-09-15,1505433600,72.97,73.09,71.23,71.47,2224700
2017-09-18,1505692800,71.33,71.45,69.04,69.37,2334400
2017-09-19,1505779200,69.38,70.04,68.18,68.59,2148600
2017-09-20,1505865600,68.8,69.92,68.29,69.31,1452300
2017-09-21,1505952000,69.42,69.68,67.57,69.22,2426400
2017-09-22,1506038400,69.17,71.13,68.88,70.97,1717700
2017-09-25,1506297600,70.97,71.55,70.44,71.01,1489600
2017-09-26,1506384000,71.68,72.41,71.03,71.17,1281500
2017-09-27,1506470400,71.5,71.76,70.53,71.3,1304000
2017-09-28,1506556800,71.18,72.25,70.89,72.03,1271100
2017-09-29,1506643200,72.16,72.72,72.1,72.41,1032100
2017-10-02,1506902400,72.44,73.34,72.36,73.13,1353800
2017-10-03,1506988800,73.17,76.14,73.15,76.1,1936600
2017-10-04,1507075200,76.67,78.33,76.21,76.75,2358700
2017-10-05,1507161600,76.67,76.74,74.89,75.72,1474600
2017-10-06,1507248000,75.33,76.8,75.18,76.49,1549400
2017-10-09,1507507200,76.52,76.79,75.83,76.34,1031200
2017-10-10,1507593600,77.21,78.5,76.4,76.6,2428100
2017-10-11,1507680000,76.74,77.6,76.6,77.4,1194000
2017-10-12,1507766400,76.73,76.84,75.13,76.33,2528200
2017-10-13,1507852800,76.33,77.11,76.04,76.87,1325600
2017-10-16,1508112000,76.61,76.9,75.64,76.4,1416600
2017-10-17,1508198400,76.67,77.63,75.99,76.45,1150800
2017-10-18,1508284800,76.52,76.84,76.27,76.36,690900
2017-10-19,1508371200,75.65,76.12,73.49,74.84,1846600
2017-10-20,1508457600,75.11,76.12,74.74,75.66,1213600
2017-10-23,1508716800,75.85,75.85,74.64,74.76,814400
2017-10-24,1508803200,74.29,75.5,73.75,75.38,1401200
2017-10-25,1508889600,72.44,74.06,64.66,65.43,8088500
2017-10-26,1508976000,65.86,66.9,61.96,62.07,6049300
2017-10-27,1509062400,62.53,63.74,61.49,63.21,4118400
2017-10-30,1509321600,62.76,63.49,61.86,63.1,1809300
2017-10-31,1509408000,63.04,63.39,61.9,62.69,2471200
2017-11-01,1509494400,62.33,62.68,61.44,62.45,2366500
2017-11-02,1509580800,62.5,62.78,60.35,60.43,3153300
2017-11-03,1509667200,60.37,60.69,59.48,60.43,1669100
2017-11-06,1509926400,60.14,61.45,60.1,60.71,1385600
2017-11-07,1510012800,60.84,60.9,59.03,59.05,1749800
2017-11-08,1510099200,58.91,59.32,58.26,58.94,2022900
2017-11-09,1510185600,58.81,59.26,58.53,59.23,1577900
2017-11-10,1510272000,59.03,59.81,58.86,59.26,1672200
2017-11-13,1510531200,59.0,59.22,58.28,58.6,1546100
2017-11-14,1510617600,58.45,58.81,58.34,58.56,1670300
2017-11-15,1510704000,59.18,61.5,58.01,61.18,2797300
2017-11-16,1510790400,62.03,63.04,61.52,62.54,2483600
2017-11-17,1510876800,62.44,63.65,62.06,63.04,1819100
2017-11-20,1511136000,62.98,63.15,61.98,63.04,1897100
2017-11-21,1511222400,63.16,63.33,62.06,63.13,1416600
2017-11-22,1511308800,63.18,63.45,62.18,62.55,1559300
2017-11-24,1511481600,62.75,62.75,61.88,62.37,452400
2017-11-27,1511740800,62.42,62.73,61.96,62.34,1254400
2017-11-28,1511827200,62.39,64.29,62.21,64.18,1605500
2017-11-29,1511913600,64.19,67.25,64.17,65.91,2883700
2017-11-30,1512000000,66.28,66.91,65.45,65.97,1981000
2017-12-01,1512086400,65.9,66.15,63.42,63.81,2765300
2017-12-04,1512345600,64.38,66.32,64.38,65.12,3425200
2017-12-05,1512432000,65.22,65.66,64.46,64.95,1862800
2017-12-06,1512518400,64.71,65.72,64.47,64.69,1198700
2017-12-07,1512604800,65.71,66.18,64.39,66.16,1395100
2017-12-08,1512691200,66.49,67.31,66.38,66.51,1073400
2017-12-11,1512950400,66.54,67.02,66.2,66.49,917900
2017-12-12,1513036800,67.12,67.69,66.53,66.57,2043100
2017-12-13,1513123200,66.61,66.73,65.57,65.83,1633800
2017-12-14,1513209600,66.14,67.08,65.81,66.18,1148100
2017-12-15,1513296000,66.4,68.54,66.39,67.55,2635200
2017-12-18,1513555200,69.02,70.37,68.57,70.16,2392300
2017-12-19,1513641600,70.45,70.47,68.57,69.8,2119200
2017-12-20,1513728000,69.99,70.67,69.43,70.36,1510300
2017-12-21,1513814400,70.58,72.54,70.58,71.23,2020500
2017-12-22,1513900800,71.23,71.45,70.55,70.84,1246700
2017-12-26,1514246400,70.82,71.6,70.69,71.38,869500
2017-12-27,1514332800,71.49,71.49,70.54,70.93,939300
2017-12-28,1514419200,71.13,71.26,70.15,71.12,901700
2017-12-29,1514505600,71.22,71.39,70.07,70.11,1038100
2018-01-02,1514851200,70.61,71.64,70.4,71.54,1738000
2018-01-03,1514937600,71.61,71.63,70.28,71.21,1653000
2018-01-04,1515024000,71.33,71.61,69.45,70.43,1343900
2018-01-05,1515110400,70.82,70.82,70.06,70.33,1087600
2018-01-08,1515369600,70.33,70.33,68.87,69.38,1339900
2018-01-09,1515456000,68.76,69.17,67.91,67.99,2398000
2018-01-10,1515542400,67.11,69.07,66.76,68.72,1797700
2018-01-11,1515628800,69.37,71.97,69.24,71.35,2401800
2018-01-12,1515715200,71.53,71.66,69.69,70.12,2946900
2018-01-16,1516060800,70.29,70.61,67.87,67.98,2360500
2018-01-17,1516147200,68.35,69.17,67.47,67.54,2275400
2018-01-18,1516233600,67.71,67.82,66.53,66.56,1979900
2018-01-19,1516320000,67.05,67.07,65.19,65.69,3372500
2018-01-22,1516579200,65.57,65.97,63.96,65.38,3007400
2018-01-23,1516665600,65.39,66.76,65.27,66.26,2557600
2018-01-24,1516752000,63.14,63.49,61.53,61.7,6209000
2018-01-25,1516838400,59.43,60.59,56.51,59.2,10476000
2018-01-26,1516924800,59.37,61.6,58.66,61.55,3973900
2018-01-29,1517184000,61.29,62.88,61.18,62.45,3702700
2018-01-30,1517270400,61.27,62.02,60.82,61.23,2677600
2018-01-31,1517356800,61.4,63.93,61.4,62.69,3643100
2018-02-01,1517443200,62.51,62.8,61.08,61.12,2492800
2018-02-02,1517529600,62.18,62.83,61.06,61.57,5700900
2018-02-05,1517788800,60.91,62.08,59.81,59.84,5581600
2018-02-06,1517875200,59.36,60.71,58.25,60.27,4789400
2018-02-07,1517961600,60.22,61.95,60.12,61.26,2025500
2018-02-08,1518048000,61.28,62.21,60.87,61.08,4271900
2018-02-09,1518134400,61.68,62.21,60.7,61.73,5140000
2018-02-12,1518393600,62.1,63.7,61.95,62.96,3346500
2018-02-13,1518480000,62.42,64.07,62.23,63.8,2906800
2018-02-14,1518566400,63.52,64.38,62.68,63.67,2385900
2018-02-15,1518652800,63.6,64.16,61.77,63.11,3555100
2018-02-16,1518739200,63.09,63.58,62.12,62.27,1860500
2018-02-20,1519084800,62.24,62.29,61.33,61.71,1540800
2018-02-21,1519171200,61.82,63.84,61.68,62.0,2239100
2018-02-22,1519257600,62.43,62.97,61.36,61.5,1246400
2018-02-23,1519344000,61.77,62.46,61.28,62.28,1366000
2018-02-26,1519603200,62.74,63.55,61.76,63.4,1631300
2018-02-27,1519689600,63.48,63.87,62.1,62.19,1512900
2018-02-28,1519776000,62.32,62.74,61.58,61.82,1130300
2018-03-01,1519862400,61.61,63.32,61.19,61.96,2447800
2018-03-02,1519948800,61.34,61.68,59.82,60.74,2071200
2018-03-05,1520208000,60.43,61.49,59.92,60.97,2347000
2018-03-06,1520294400,61.1,61.77,60.59,61.62,1378900
2018-03-07,1520380800,61.22,61.73,60.89,61.34,1290500
2018-03-08,1520467200,61.56,62.74,61.36,62.1,1482800
2018-03-09,1520553600,62.39,62.58,61.16,62.1,3008400
2018-03-12,1520812800,62.28,63.29,61.71,63.04,3380100
2018-03-13,1520899200,63.13,65.98,63.13,65.93,3274200
2018-03-14,1520985600,65.69,66.28,62.77,62.94,2518000
2018-03-15,1521072000,63.15,63.58,62.77,63.18,1124800
2018-03-16,1521158400,63.41,64.42,63.37,63.74,1495600
2018-03-19,1521417600,63.55,63.8,61.96,62.39,1272900
2018-03-20,1521504000,62.67,62.71,61.9,62.48,1003400
2018-03-21,1521590400,61.33,61.87,60.33,61.54,2270400
2018-03-22,1521676800,61.07,61.72,60.12,60.2,1692500
2018-03-23,1521763200,60.06,60.66,59.24,59.3,1422900
2018-03-26,1522022400,59.63,59.9,58.83,59.57,1449300
2018-03-27,1522108800,59.83,59.98,58.65,58.93,2192300
2018-03-28,1522195200,58.93,59.46,58.7,59.01,1788500
2018-03-29,1522281600,59.08,59.75,58.94,59.38,2232200
2018-04-02,1522627200,59.1,59.1,55.2,55.35,3570500
2018-04-03,1522713600,56.03,57.73,55.2,57.61,4137900
2018-04-04,1522800000,57.06,58.76,56.55,58.67,2019000
2018-04-05,1522886400,58.95,59.74,58.66,59.52,1448600
2018-04-06,1522972800,59.16,59.44,57.8,58.24,2201100
2018-04-09,1523232000,58.45,58.77,57.21,57.32,1561200
2018-04-10,1523318400,57.87,58.03,56.23,57.36,1813900
2018-04-11,1523404800,56.99,57.71,56.57,56.6,1551300
2018-04-12,1523491200,57.09,58.21,56.84,57.76,1515800
2018-04-13,1523577600,58.48,62.39,58.39,61.29,4581000
2018-04-16,1523836800,61.91,62.95,61.62,62.5,2808900
2018-04-17,1523923200,62.94,63.42,61.97,62.28,1580100
2018-04-18,1524009600,62.91,64.11,62.45,63.22,2212500
2018-04-19,1524096000,63.2,63.26,61.92,62.79,1434300
2018-04-20,1524182400,62.96,63.39,62.3,62.67,1755100
2018-04-23,1524441600,64.54,67.33,64.11,66.23,6424600
2018-04-24,1524528000,65.56,65.74,61.78,62.54,3480400
2018-04-25,1524614400,62.54,63.84,61.65,63.63,2328000
