Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,328.52,330.21,320.8,325.93,15700
2017-01-04,1483488000,326.98,340.57,326.87,339.2,10500
2017-01-05,1483574400,339.96,339.96,331.17,337.7,10400
2017-01-06,1483660800,338.58,338.58,334.1,336.83,18600
2017-01-09,1483920000,333.96,335.1,330.84,334.62,9900
2017-01-10,1484006400,333.17,333.53,329.28,331.52,10800
2017-01-11,1484092800,331.47,336.25,330.88,336.25,4900
2017-01-12,1484179200,335.49,335.49,330.0,330.55,5600
2017-01-13,1484265600,334.04,338.12,332.04,338.12,6600
2017-01-17,1484611200,340.13,340.91,338.59,338.59,5200
2017-01-18,1484697600,338.95,339.15,337.62,339.15,2600
2017-01-19,1484784000,339.08,339.08,337.03,337.03,2600
2017-01-20,1484870400,336.99,340.01,336.99,337.68,2600
2017-01-23,1485129600,340.88,340.9,336.82,339.02,3100
2017-01-24,1485216000,340.12,340.9,339.56,340.74,7000
2017-01-25,1485302400,340.67,340.9,340.55,340.85,5100
2017-01-26,1485388800,340.98,340.98,335.4,335.4,3000
2017-01-27,1485475200,334.61,334.61,332.82,332.82,1500
2017-01-30,1485734400,335.37,335.37,329.47,329.67,1800
2017-01-31,1485820800,329.07,330.1,326.63,330.02,4900
2017-02-01,1485907200,330.03,330.59,322.36,322.36,2200
2017-02-02,1485993600,325.06,329.47,325.06,327.81,4400
2017-02-03,1486080000,331.74,332.5,328.69,331.25,6000
2017-02-06,1486339200,330.96,330.96,324.7,326.97,14400
2017-02-07,1486425600,328.61,328.61,321.58,325.17,8900
2017-02-08,1486512000,323.06,323.06,321.11,321.11,1400
2017-02-09,1486598400,318.63,319.94,315.71,319.94,4000
2017-02-10,1486684800,326.34,326.34,326.34,326.34,800
2017-02-13,1486944000,323.74,326.26,319.24,326.25,10100
2017-02-14,1487030400,324.7,327.65,322.54,327.65,11600
2017-02-15,1487116800,326.37,331.18,323.47,331.18,5600
2017-02-16,1487203200,331.73,342.5,331.73,340.17,14400
2017-02-17,1487289600,343.27,343.27,339.74,340.88,8100
2017-02-21,1487635200,342.11,343.76,340.06,343.39,11900
2017-02-22,1487721600,343.3,344.64,343.3,344.22,4000
2017-02-23,1487808000,344.21,344.21,341.11,342.93,3700
2017-02-24,1487894400,339.53,342.19,339.53,342.19,2600
2017-02-27,1488153600,339.91,342.83,339.91,342.83,5400
2017-02-28,1488240000,339.69,341.43,339.53,341.21,8900
2017-03-01,1488326400,339.89,343.96,339.89,342.96,3000
2017-03-02,1488412800,341.1,343.0,336.42,336.42,9600
2017-03-03,1488499200,336.96,337.0,331.12,335.52,4900
2017-03-06,1488758400,332.63,332.63,330.54,330.54,1600
2017-03-07,1488844800,334.83,334.83,328.61,331.5,4600
2017-03-08,1488931200,330.97,332.51,320.83,325.94,13300
2017-03-09,1489017600,325.48,325.52,320.51,323.69,8800
2017-03-10,1489104000,323.24,325.06,318.07,318.08,6100
2017-03-13,1489363200,317.52,318.54,316.9,318.51,10300
2017-03-14,1489449600,318.24,323.86,318.24,321.13,2100
2017-03-15,1489536000,323.14,330.85,323.14,329.27,11500
2017-03-16,1489622400,330.26,336.99,329.45,336.99,5500
2017-03-17,1489708800,337.79,337.79,332.49,333.69,6100
2017-03-20,1489968000,333.71,333.72,330.72,330.99,2200
2017-03-21,1490054400,330.32,333.7,327.53,333.08,6100
2017-03-22,1490140800,332.43,334.86,327.29,330.61,9300
2017-03-23,1490227200,332.38,333.06,327.91,328.5,6400
2017-03-24,1490313600,328.5,329.39,327.02,327.94,8400
2017-03-27,1490572800,327.16,332.63,325.87,332.63,5500
2017-03-28,1490659200,331.92,333.64,330.49,330.5,8700
2017-03-29,1490745600,332.89,332.89,329.81,331.74,5800
2017-03-30,1490832000,331.82,334.52,331.68,334.52,3900
2017-03-31,1490918400,335.12,337.78,334.42,337.08,7700
2017-04-03,1491177600,335.62,337.18,334.28,337.18,7400
2017-04-04,1491264000,338.83,339.53,336.35,339.1,9500
2017-04-05,1491350400,339.53,339.53,334.32,335.02,6500
2017-04-06,1491436800,336.77,336.77,332.7,333.87,8700
2017-04-07,1491523200,333.89,339.53,333.89,337.39,5700
2017-04-10,1491782400,337.58,339.53,335.3,338.6,6800
2017-04-11,1491868800,337.74,343.44,337.2,340.48,11200
2017-04-12,1491955200,340.53,341.95,340.47,341.93,1900
2017-04-13,1492041600,342.44,342.44,335.26,339.22,4200
2017-04-17,1492387200,343.12,343.12,338.75,341.1,8400
2017-04-18,1492473600,339.88,341.88,339.14,341.86,6900
2017-04-19,1492560000,342.44,343.58,341.63,342.61,3600
2017-04-20,1492646400,341.86,343.33,341.77,342.54,6000
2017-04-21,1492732800,343.83,343.83,339.9,339.9,5700
2017-04-24,1492992000,341.1,341.41,333.66,335.69,6000
2017-04-25,1493078400,337.99,343.27,337.31,342.27,6800
2017-04-26,1493164800,340.79,343.32,340.77,341.87,9400
2017-04-27,1493251200,340.32,342.53,340.13,340.13,3200
2017-04-28,1493337600,340.31,340.6,338.06,339.39,6400
2017-05-01,1493596800,337.38,339.31,327.94,337.5,10800
2017-05-02,1493683200,340.97,340.97,331.58,336.17,10500
2017-05-03,1493769600,337.04,337.04,331.1,333.83,7800
2017-05-04,1493856000,336.87,336.87,324.08,327.37,6000
2017-05-05,1493942400,327.25,327.25,321.4,324.27,8900
2017-05-08,1494201600,322.91,324.9,320.93,324.9,5900
2017-05-09,1494288000,322.64,325.72,322.63,325.72,4800
2017-05-10,1494374400,323.75,339.34,323.75,335.93,10000
2017-05-11,1494460800,338.31,338.31,328.61,329.42,9400
2017-05-12,1494547200,327.46,332.46,324.29,326.39,8800
2017-05-15,1494806400,326.86,329.37,326.32,326.91,6400
2017-05-16,1494892800,329.09,329.36,325.38,326.69,12000
2017-05-17,1494979200,324.38,326.92,323.67,323.76,7200
2017-05-18,1495065600,323.8,326.35,323.22,324.28,6200
2017-05-19,1495152000,323.69,326.6,323.37,325.71,7600
2017-05-22,1495411200,326.03,326.19,322.69,323.33,6700
2017-05-23,1495497600,323.47,324.82,320.85,323.04,5000
2017-05-24,1495584000,323.24,323.24,321.81,323.17,5400
2017-05-25,1495670400,323.66,324.02,322.92,323.25,2600
