Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,130.07,132.83,129.42,132.59,3640900
2017-01-04,1483488000,133.79,135.22,133.51,134.48,3945900
2017-01-05,1483574400,134.34,134.94,133.28,134.57,3441700
2017-01-06,1483660800,140.64,141.63,137.82,137.91,9899300
2017-01-09,1483920000,138.12,139.82,137.78,139.73,4247700
2017-01-10,1484006400,139.42,139.98,138.32,139.66,3324400
2017-01-11,1484092800,140.01,140.01,135.91,137.77,4821300
2017-01-12,1484179200,136.74,137.36,135.96,136.67,3234800
2017-01-13,1484265600,136.6,138.29,136.25,137.33,2637500
2017-01-17,1484611200,136.47,137.33,135.06,136.17,3404900
2017-01-18,1484697600,136.96,137.18,135.92,137.03,2432600
2017-01-19,1484784000,136.46,136.96,134.81,135.29,2571900
2017-01-20,1484870400,136.09,136.66,135.31,136.06,3067400
2017-01-23,1485129600,135.65,135.95,134.06,134.34,2458200
2017-01-24,1485216000,134.43,134.59,132.28,133.58,3027700
2017-01-25,1485302400,134.18,136.19,133.51,135.56,3479500
2017-01-26,1485388800,136.35,137.05,134.5,134.57,3366900
2017-01-27,1485475200,134.79,138.55,134.38,138.25,4885200
2017-01-30,1485734400,138.2,138.27,135.27,135.85,3758400
2017-01-31,1485820800,135.21,138.07,134.72,137.83,3351300
2017-02-01,1485907200,139.51,140.53,138.15,140.46,3924800
2017-02-02,1485993600,140.51,140.69,138.03,140.38,4445400
2017-02-03,1486080000,146.11,147.65,145.02,147.37,7366600
2017-02-06,1486339200,146.18,146.81,145.26,146.54,4389200
2017-02-07,1486425600,146.9,147.54,145.67,146.75,3584300
2017-02-08,1486512000,146.46,148.09,146.31,147.89,3493400
2017-02-09,1486598400,145.81,147.6,145.59,147.32,4281400
2017-02-10,1486684800,147.61,148.06,146.93,147.69,2931200
2017-02-13,1486944000,148.56,149.03,147.63,148.5,3602800
2017-02-14,1487030400,147.98,148.87,146.65,148.85,3116700
2017-02-15,1487116800,148.2,152.35,147.92,152.16,4058800
2017-02-16,1487203200,151.96,152.5,150.84,152.44,2660600
2017-02-17,1487289600,151.77,153.55,149.59,153.49,4154900
2017-02-21,1487635200,153.1,153.68,152.22,153.36,3941200
2017-02-22,1487721600,152.64,154.74,152.25,152.89,2579800
2017-02-23,1487808000,153.01,154.13,152.25,154.13,2190800
2017-02-24,1487894400,153.49,154.76,152.77,154.61,2677300
2017-02-27,1488153600,154.3,156.13,153.86,156.0,2850700
2017-02-28,1488240000,155.41,157.88,155.38,156.36,3370400
2017-03-01,1488326400,157.66,159.15,155.68,157.87,3532300
2017-03-02,1488412800,157.41,158.42,156.62,157.72,3493000
2017-03-03,1488499200,158.07,159.9,157.26,159.61,2893800
2017-03-06,1488758400,159.03,159.73,157.8,158.95,3280100
2017-03-07,1488844800,157.13,158.18,156.14,157.11,3328900
2017-03-08,1488931200,157.0,158.33,156.9,157.47,2320800
2017-03-09,1489017600,157.71,158.65,156.84,158.48,2505300
2017-03-10,1489104000,158.96,161.14,158.64,160.71,4589000
2017-03-13,1489363200,161.14,161.2,159.72,160.36,2531000
2017-03-14,1489449600,159.8,160.81,159.1,159.54,2746300
2017-03-15,1489536000,159.71,163.16,159.71,161.74,4197300
2017-03-16,1489622400,160.85,161.06,157.68,159.53,6014400
2017-03-17,1489708800,148.25,151.98,146.99,149.34,23936800
2017-03-20,1489968000,150.25,150.32,148.59,149.9,5831500
2017-03-21,1490054400,150.62,150.76,147.47,147.79,4922700
2017-03-22,1490140800,148.74,148.79,147.55,148.32,5070400
2017-03-23,1490227200,148.34,148.82,146.65,147.07,4432200
2017-03-24,1490313600,147.64,147.86,146.22,146.8,3175600
2017-03-27,1490572800,145.94,147.57,144.38,146.07,4734000
2017-03-28,1490659200,145.36,147.26,145.02,145.89,6526400
2017-03-29,1490745600,145.68,146.34,144.32,144.43,4070800
2017-03-30,1490832000,145.32,145.97,144.56,145.6,2262300
2017-03-31,1490918400,145.54,146.57,145.13,145.32,2811800
2017-04-03,1491177600,145.82,146.16,144.84,145.16,3047800
2017-04-04,1491264000,145.07,145.69,144.48,145.58,2239400
2017-04-05,1491350400,144.61,145.93,143.21,143.7,3542300
2017-04-06,1491436800,143.67,144.77,143.14,143.71,3024200
2017-04-07,1491523200,144.3,145.47,143.71,144.71,2204400
2017-04-10,1491782400,145.13,145.47,144.04,144.19,1772000
2017-04-11,1491868800,144.28,144.73,143.1,144.47,1990300
2017-04-12,1491955200,145.33,145.35,143.63,144.42,2248600
2017-04-13,1492041600,144.62,144.93,142.9,143.14,2568800
2017-04-17,1492387200,142.9,143.95,142.83,143.59,2364900
2017-04-18,1492473600,143.43,143.43,141.97,142.82,2532100
