Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,38.9,39.65,38.2,39.2,497300
2017-01-04,1483488000,39.35,39.8,39.1,39.4,645500
2017-01-05,1483574400,38.4,39.2,38.21,38.3,660100
2017-01-06,1483660800,38.25,38.4,37.63,37.75,502900
2017-01-09,1483920000,37.65,38.2,37.35,38.2,525600
2017-01-10,1484006400,38.1,38.75,37.65,37.65,643400
2017-01-11,1484092800,37.65,38.67,37.45,38.55,451700
2017-01-12,1484179200,38.4,38.5,37.05,37.05,683300
2017-01-13,1484265600,37.35,38.1,36.85,37.2,757500
2017-01-17,1484611200,36.8,37.35,36.15,37.15,536300
2017-01-18,1484697600,37.3,37.35,36.95,37.1,360900
2017-01-19,1484784000,37.15,37.3,36.1,36.45,403300
2017-01-20,1484870400,36.7,37.66,36.7,37.0,486800
2017-01-23,1485129600,37.05,37.23,36.25,36.55,366500
2017-01-24,1485216000,35.8,36.25,33.61,36.1,758100
2017-01-25,1485302400,36.35,36.7,35.75,36.5,700000
2017-01-26,1485388800,36.4,36.65,35.95,36.3,458900
2017-01-27,1485475200,36.45,36.58,35.95,36.4,360300
2017-01-30,1485734400,36.05,36.05,34.55,35.6,440200
2017-01-31,1485820800,35.6,36.1,35.55,35.85,396400
2017-02-01,1485907200,36.0,36.75,35.92,36.15,640200
2017-02-02,1485993600,36.0,36.65,35.85,36.3,312500
2017-02-03,1486080000,36.6,37.5,36.3,37.2,385800
2017-02-06,1486339200,36.9,37.4,36.35,36.55,348500
2017-02-07,1486425600,36.65,37.45,36.5,36.6,302000
2017-02-08,1486512000,36.4,39.2,36.0,36.65,580800
2017-02-09,1486598400,36.6,37.8,36.5,37.75,267600
2017-02-10,1486684800,37.9,37.95,37.45,37.7,250300
2017-02-13,1486944000,37.9,38.6,37.8,38.15,424200
2017-02-14,1487030400,38.1,39.35,38.05,38.9,638700
2017-02-15,1487116800,38.85,39.55,38.2,39.15,678000
2017-02-16,1487203200,38.9,40.2,38.28,39.35,1364700
2017-02-17,1487289600,39.75,40.85,38.65,40.7,1768600
2017-02-21,1487635200,40.9,42.65,40.9,42.25,1019000
2017-02-22,1487721600,42.15,42.45,41.8,42.0,499200
2017-02-23,1487808000,42.05,42.3,41.28,41.85,614500
2017-02-24,1487894400,41.6,42.0,41.55,41.8,330200
2017-02-27,1488153600,41.75,42.25,41.5,41.8,498300
2017-02-28,1488240000,41.5,41.6,40.85,41.15,561400
2017-03-01,1488326400,41.7,42.1,41.3,41.4,793500
2017-03-02,1488412800,41.35,41.85,41.0,41.6,403800
2017-03-03,1488499200,41.6,42.2,41.3,41.75,509400
2017-03-06,1488758400,41.6,41.6,40.35,40.75,412100
2017-03-07,1488844800,40.55,40.55,39.9,39.95,720400
2017-03-08,1488931200,40.05,40.75,39.71,40.0,352000
2017-03-09,1489017600,39.85,40.85,39.85,40.25,442200
2017-03-10,1489104000,40.25,40.8,40.25,40.8,355300
2017-03-13,1489363200,40.8,41.25,40.75,41.05,244600
2017-03-14,1489449600,40.75,41.1,40.35,40.8,283600
2017-03-15,1489536000,40.95,42.3,40.66,41.9,375000
2017-03-16,1489622400,41.95,42.95,41.95,42.85,679000
2017-03-17,1489708800,42.75,43.85,42.68,43.2,1055500
2017-03-20,1489968000,43.3,43.6,42.7,43.1,320300
2017-03-21,1490054400,43.2,43.4,42.23,42.5,531000
2017-03-22,1490140800,42.35,42.55,40.33,40.7,945400
2017-03-23,1490227200,40.45,40.45,38.25,38.6,1055500
2017-03-24,1490313600,38.65,38.9,37.65,38.5,1009300
2017-03-27,1490572800,38.1,40.3,38.01,40.25,869600
2017-03-28,1490659200,40.3,41.35,39.88,41.3,728100
2017-03-29,1490745600,41.05,41.16,39.85,40.05,726700
2017-03-30,1490832000,40.0,40.25,39.8,40.1,497200
2017-03-31,1490918400,40.15,41.3,39.7,40.6,550000
2017-04-03,1491177600,40.55,40.7,39.2,39.35,581800
2017-04-04,1491264000,39.4,39.75,38.65,39.05,555300
2017-04-05,1491350400,39.2,39.8,39.05,39.4,657200
2017-04-06,1491436800,39.5,39.6,39.2,39.6,754800
2017-04-07,1491523200,39.55,39.67,39.3,39.65,928700
2017-04-10,1491782400,39.55,39.85,38.55,38.75,589600
2017-04-11,1491868800,38.65,39.65,38.65,39.55,524100
2017-04-12,1491955200,39.65,40.3,39.45,39.85,402900
2017-04-13,1492041600,39.85,40.25,39.63,40.1,552600
2017-04-17,1492387200,40.1,40.35,39.9,40.3,376700
2017-04-18,1492473600,40.15,40.58,40.1,40.4,414900
2017-04-19,1492560000,40.6,40.75,40.25,40.35,308900
2017-04-20,1492646400,40.4,40.7,40.33,40.6,513500
2017-04-21,1492732800,40.6,41.15,40.42,41.0,546100
2017-04-24,1492992000,41.65,42.4,41.3,41.45,382000
2017-04-25,1493078400,41.8,42.2,41.5,41.95,417500
2017-04-26,1493164800,42.1,42.7,41.83,41.85,486700
2017-04-27,1493251200,42.0,42.55,41.65,41.75,350100
2017-04-28,1493337600,41.85,42.15,40.85,40.85,364200
2017-05-01,1493596800,41.0,41.68,40.85,41.4,357500
2017-05-02,1493683200,41.5,41.8,41.35,41.5,1174100
2017-05-03,1493769600,41.3,41.3,40.75,40.9,802100
2017-05-04,1493856000,40.25,40.6,39.15,39.65,1450900
2017-05-05,1493942400,39.45,39.53,37.0,38.1,1584100
2017-05-08,1494201600,37.95,38.6,37.9,38.05,623700
2017-05-09,1494288000,38.05,39.05,38.0,38.35,583000
2017-05-10,1494374400,38.2,39.03,38.05,38.5,532600
2017-05-11,1494460800,38.25,38.65,37.9,38.2,526500
2017-05-12,1494547200,38.15,38.85,38.1,38.55,512200
2017-05-15,1494806400,38.5,39.15,38.45,38.9,558900
2017-05-16,1494892800,39.0,39.13,38.4,38.8,722100
2017-05-17,1494979200,38.8,39.15,37.9,37.9,635000
2017-05-18,1495065600,37.85,38.25,37.6,37.85,356900
2017-05-19,1495152000,37.85,38.48,37.58,37.65,577100
2017-05-22,1495411200,37.65,37.9,36.75,36.85,612700
2017-05-23,1495497600,36.85,36.95,36.35,36.5,731800
2017-05-24,1495584000,36.4,36.85,36.0,36.5,664700
2017-05-25,1495670400,36.55,36.65,36.15,36.4,650500
2017-05-26,1495756800,36.4,36.45,35.7,35.75,543800
2017-05-30,1496102400,35.6,36.25,35.3,36.25,626400
2017-05-31,1496188800,36.2,36.45,35.9,36.25,363400
2017-06-01,1496275200,36.4,37.05,36.25,37.05,581000
2017-06-02,1496361600,37.05,37.58,36.85,37.2,617000
2017-06-05,1496620800,37.05,37.05,36.65,36.75,312000
2017-06-06,1496707200,36.5,37.5,36.3,37.5,451000
2017-06-07,1496793600,37.55,37.55,35.25,35.4,1281200
2017-06-08,1496880000,35.35,36.85,34.71,36.55,1004700
2017-06-09,1496966400,36.75,37.2,35.75,36.75,921300
2017-06-12,1497225600,36.95,37.05,36.3,36.65,324600
2017-06-13,1497312000,36.75,36.95,36.3,36.45,408400
2017-06-14,1497398400,36.55,37.03,36.25,36.6,806900
2017-06-15,1497484800,36.4,36.6,35.83,36.05,597700
2017-06-16,1497571200,35.9,36.2,35.7,36.05,603800
2017-06-19,1497830400,36.2,36.42,35.83,36.05,572300
