Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,10.95,11.25,10.5,11.25,64140
2017-01-04,1483488000,11.4,11.7,10.95,11.7,88980
2017-01-05,1483574400,11.55,12.0,11.25,11.85,137260
2017-01-06,1483660800,11.85,12.15,11.7,12.15,304647
2017-01-09,1483920000,12.0,12.45,11.85,12.3,242933
2017-01-10,1484006400,12.3,12.45,11.85,12.0,202493
2017-01-11,1484092800,12.15,12.15,11.7,12.0,62500
2017-01-12,1484179200,12.3,12.3,10.8,11.1,185627
2017-01-13,1484265600,11.25,11.25,10.5,10.8,106820
2017-01-17,1484611200,10.95,10.95,10.2,10.35,137940
2017-01-18,1484697600,10.35,10.35,9.6,10.05,143807
2017-01-19,1484784000,10.05,10.05,9.45,9.6,102007
2017-01-20,1484870400,9.75,9.9,9.6,9.9,87907
2017-01-23,1485129600,10.05,10.2,9.45,9.45,89327
2017-01-24,1485216000,9.75,9.75,8.1,9.3,203100
2017-01-25,1485302400,9.0,9.45,8.7,9.15,95093
2017-01-26,1485388800,9.3,9.6,9.15,9.3,61193
2017-01-27,1485475200,9.45,9.75,9.0,9.3,65607
2017-01-30,1485734400,8.85,9.3,8.85,9.0,59180
2017-01-31,1485820800,8.85,9.3,7.5,7.95,237253
2017-02-01,1485907200,7.95,8.4,7.8,7.95,132920
2017-02-02,1485993600,7.8,7.95,6.75,6.75,483187
2017-02-03,1486080000,8.1,8.25,7.35,7.35,365133
2017-02-06,1486339200,7.8,8.25,7.5,7.65,233153
2017-02-07,1486425600,7.95,7.95,7.35,7.65,96113
2017-02-08,1486512000,7.95,7.95,7.05,7.8,122200
2017-02-09,1486598400,7.5,7.95,7.2,7.65,149640
2017-02-10,1486684800,7.65,8.25,7.5,7.95,160540
2017-02-13,1486944000,8.7,8.85,8.1,8.7,445553
2017-02-14,1487030400,9.0,9.0,8.4,8.4,323693
2017-02-15,1487116800,8.4,8.4,7.65,7.8,297247
2017-02-16,1487203200,7.8,8.25,7.5,8.25,99413
2017-02-17,1487289600,8.1,8.55,7.95,8.4,119147
2017-02-21,1487635200,8.55,8.55,8.25,8.4,104167
2017-02-22,1487721600,8.1,8.4,7.8,7.8,187833
2017-02-23,1487808000,8.1,8.4,7.8,7.95,198980
2017-02-24,1487894400,7.8,8.1,7.65,7.8,143080
2017-02-27,1488153600,7.95,8.25,7.8,8.1,72253
2017-02-28,1488240000,8.1,8.1,7.5,7.65,244720
2017-03-01,1488326400,7.95,7.95,7.5,7.5,193040
2017-03-02,1488412800,7.5,8.1,7.5,7.95,241680
2017-03-03,1488499200,7.65,7.65,6.6,7.05,510100
2017-03-06,1488758400,7.2,7.35,6.75,6.9,224353
2017-03-07,1488844800,6.9,7.05,6.3,6.6,358273
2017-03-08,1488931200,6.75,6.75,6.45,6.45,140700
2017-03-09,1489017600,6.3,7.65,6.3,7.65,216727
2017-03-10,1489104000,7.65,7.8,7.2,7.5,112240
2017-03-13,1489363200,7.35,7.95,7.2,7.5,121040
2017-03-14,1489449600,7.2,7.5,6.75,7.05,102913
2017-03-15,1489536000,6.9,7.2,6.75,7.05,104953
2017-03-16,1489622400,6.9,7.5,6.9,7.5,132173
2017-03-17,1489708800,7.2,7.65,7.2,7.2,140900
2017-03-20,1489968000,7.5,7.65,7.2,7.5,60420
2017-03-21,1490054400,7.35,7.5,7.05,7.5,95867
2017-03-22,1490140800,7.05,7.5,6.9,7.35,87353
2017-03-23,1490227200,7.2,7.35,7.05,7.35,35253
2017-03-24,1490313600,7.2,7.5,7.2,7.5,32740
2017-03-27,1490572800,7.35,7.35,7.2,7.35,57747
2017-03-28,1490659200,7.35,7.5,7.05,7.35,83040
2017-03-29,1490745600,7.2,8.25,7.2,7.95,191540
2017-03-30,1490832000,7.65,8.1,7.35,7.95,181460
2017-03-31,1490918400,7.95,8.1,7.65,7.95,125913
2017-04-03,1491177600,7.8,8.25,7.8,7.8,115827
2017-04-04,1491264000,7.8,7.95,7.2,7.35,219633
2017-04-05,1491350400,7.35,7.35,6.45,6.6,336947
2017-04-06,1491436800,6.9,7.2,6.6,7.2,106933
2017-04-07,1491523200,7.2,7.65,6.75,7.5,135593
2017-04-10,1491782400,7.5,7.8,7.2,7.2,64187
2017-04-11,1491868800,7.2,7.35,7.2,7.2,42920
2017-04-12,1491955200,7.2,9.0,7.2,8.7,324127
2017-04-13,1492041600,9.0,10.5,8.7,10.2,666227
2017-04-17,1492387200,10.5,10.65,9.15,10.5,680953
2017-04-18,1492473600,9.15,9.75,8.55,9.0,468687
2017-04-19,1492560000,9.0,9.3,8.25,8.4,266253
2017-04-20,1492646400,8.25,8.25,7.35,7.65,234007
2017-04-21,1492732800,7.5,8.1,7.35,7.95,114260
2017-04-24,1492992000,8.4,8.4,7.65,7.65,99107
2017-04-25,1493078400,7.5,7.95,7.35,7.8,125227
2017-04-26,1493164800,7.95,8.55,7.65,8.4,214953
2017-04-27,1493251200,8.25,8.85,8.1,8.25,144053
2017-04-28,1493337600,8.1,8.4,7.95,8.1,111500
2017-05-01,1493596800,8.1,9.3,7.8,7.8,182067
2017-05-02,1493683200,8.7,8.7,7.95,8.1,125127
2017-05-03,1493769600,8.1,8.4,7.95,8.1,40753
2017-05-04,1493856000,8.1,8.25,7.8,7.8,103513
2017-05-05,1493942400,7.95,8.25,7.8,8.1,65647
2017-05-08,1494201600,5.7,5.7,4.95,5.1,1720393
2017-05-09,1494288000,5.25,5.25,4.8,4.95,641753
2017-05-10,1494374400,5.1,5.1,4.65,5.1,726693
2017-05-11,1494460800,5.1,5.1,4.8,4.95,493607
2017-05-12,1494547200,4.95,4.95,4.8,4.95,411813
2017-05-15,1494806400,4.95,5.1,4.8,4.8,536507
2017-05-16,1494892800,4.8,4.8,4.2,4.35,903100
2017-05-17,1494979200,4.5,4.5,3.6,3.9,521200
2017-05-18,1495065600,3.9,4.8,3.9,4.5,344253
2017-05-19,1495152000,4.35,4.5,4.2,4.35,177287
2017-05-22,1495411200,4.35,4.8,4.2,4.35,282473
2017-05-23,1495497600,4.5,4.5,4.2,4.2,176333
2017-05-24,1495584000,4.35,4.35,3.9,4.05,210867
2017-05-25,1495670400,4.05,4.2,4.05,4.05,65593
2017-05-26,1495756800,3.9,4.2,3.9,4.05,79747
2017-05-30,1496102400,4.2,4.2,3.9,3.9,157107
2017-05-31,1496188800,4.05,4.05,3.75,3.9,137067
2017-06-01,1496275200,4.05,4.05,3.75,3.75,166193
2017-06-02,1496361600,3.75,3.9,3.75,3.75,86060
2017-06-05,1496620800,3.9,3.9,3.15,3.3,486600
2017-06-06,1496707200,2.76,3.64,2.67,3.6,1291100
2017-06-07,1496793600,3.52,3.58,3.25,3.35,433900
2017-06-08,1496880000,3.28,3.38,3.18,3.25,242700
2017-06-09,1496966400,3.22,3.47,2.95,3.25,319500
2017-06-12,1497225600,3.25,3.25,3.12,3.16,71600
2017-06-13,1497312000,3.09,3.2,3.09,3.12,89300
2017-06-14,1497398400,3.12,3.15,3.01,3.12,116200
2017-06-15,1497484800,3.06,3.4,3.05,3.28,184500
2017-06-16,1497571200,3.26,3.27,2.95,3.06,247200
2017-06-19,1497830400,3.14,3.2,2.98,2.98,183400
2017-06-20,1497916800,3.0,3.08,2.85,2.92,296100
2017-06-21,1498003200,2.87,2.89,2.63,2.71,414200
2017-06-22,1498089600,2.67,3.29,2.67,3.29,320200
2017-06-23,1498176000,3.33,3.69,3.3,3.41,594400
2017-06-26,1498435200,3.41,3.42,3.21,3.28,159700
2017-06-27,1498521600,3.3,3.3,3.14,3.22,115700
2017-06-28,1498608000,3.2,3.29,3.19,3.27,90500
2017-06-29,1498694400,3.26,3.35,3.15,3.16,127900
2017-06-30,1498780800,3.19,3.31,3.02,3.18,238100
2017-07-03,1499040000,3.22,3.33,3.13,3.26,44100
2017-07-05,1499212800,3.27,3.29,3.07,3.23,76000
2017-07-06,1499299200,3.18,3.24,3.1,3.2,52400
2017-07-07,1499385600,3.14,3.34,3.13,3.32,80700
2017-07-10,1499644800,3.34,3.47,3.34,3.38,89900
2017-07-11,1499731200,3.41,3.47,3.17,3.43,107500
2017-07-12,1499817600,3.49,3.49,3.31,3.37,47500
2017-07-13,1499904000,3.31,3.37,3.25,3.36,97400
2017-07-14,1499990400,3.33,3.46,3.3,3.39,81600
2017-07-17,1500249600,3.61,3.8,3.57,3.65,206500
2017-07-18,1500336000,3.71,3.8,3.63,3.76,145700
2017-07-19,1500422400,3.8,4.19,3.69,3.92,367900
2017-07-20,1500508800,4.12,4.32,3.95,4.13,354200
2017-07-21,1500595200,4.15,4.2,3.93,4.09,227400
2017-07-24,1500854400,4.09,4.15,3.9,3.93,153000
2017-07-25,1500940800,3.9,4.03,3.76,3.96,143600
2017-07-26,1501027200,3.96,4.09,3.93,3.95,132000
2017-07-27,1501113600,3.99,4.06,3.83,4.04,146000
2017-07-28,1501200000,4.01,4.15,3.88,4.13,130700
2017-07-31,1501459200,4.13,4.15,4.01,4.05,72200
2017-08-01,1501545600,4.05,4.07,3.81,3.98,140300
2017-08-02,1501632000,3.94,3.97,3.85,3.93,89400
2017-08-03,1501718400,4.01,4.28,3.82,3.85,484700
2017-08-04,1501804800,3.95,3.95,3.41,3.56,470000
2017-08-07,1502064000,3.5,3.5,3.05,3.06,644800
2017-08-08,1502150400,3.1,3.14,2.74,2.78,651200
2017-08-09,1502236800,2.85,2.85,2.46,2.5,792600
2017-08-10,1502323200,2.53,2.84,2.51,2.69,688900
2017-08-11,1502409600,2.97,2.98,2.4,2.43,1160900
2017-08-14,1502668800,2.5,2.64,2.4,2.49,394300
2017-08-15,1502755200,2.57,2.6,2.34,2.4,531400
2017-08-16,1502841600,2.4,2.43,2.18,2.21,452800
2017-08-17,1502928000,2.23,2.24,1.86,2.02,1105000
2017-08-18,1503014400,2.02,2.51,1.97,2.41,764200
2017-08-21,1503273600,2.45,2.53,2.29,2.45,265200
2017-08-22,1503360000,2.43,2.53,2.34,2.45,250900
2017-08-23,1503446400,2.43,2.49,2.37,2.41,180200
2017-08-24,1503532800,2.41,2.45,2.34,2.38,121000
2017-08-25,1503619200,2.39,2.53,2.38,2.46,140200
2017-08-28,1503878400,2.46,2.53,2.32,2.39,216800
2017-08-29,1503964800,2.4,2.44,2.27,2.41,172100
2017-08-30,1504051200,2.43,2.45,2.27,2.43,248400
2017-08-31,1504137600,2.42,2.5,2.37,2.47,230200
2017-09-01,1504224000,2.49,2.63,2.4,2.5,206000
2017-09-05,1504569600,2.46,2.55,2.4,2.52,192900
2017-09-06,1504656000,2.52,2.7,2.51,2.69,259700
2017-09-07,1504742400,2.69,2.88,2.65,2.71,315500
2017-09-08,1504828800,2.74,2.79,2.71,2.76,120900
2017-09-11,1505088000,2.75,2.95,2.74,2.92,202900
2017-09-12,1505174400,2.97,3.2,2.91,3.19,460900
2017-09-13,1505260800,3.25,3.84,3.23,3.72,889100
2017-09-14,1505347200,3.93,4.0,3.5,3.74,834600
2017-09-15,1505433600,3.72,3.75,3.55,3.55,606300
2017-09-18,1505692800,3.5,3.64,3.26,3.35,508400
2017-09-19,1505779200,3.34,3.46,3.25,3.43,329800
2017-09-20,1505865600,3.47,3.79,3.41,3.7,413300
2017-09-21,1505952000,3.72,3.78,3.45,3.57,340300
2017-09-22,1506038400,3.68,3.68,3.45,3.5,272600
2017-09-25,1506297600,3.49,3.55,3.15,3.21,515900
2017-09-26,1506384000,3.28,3.48,3.2,3.22,209100
2017-09-27,1506470400,3.2,3.24,3.05,3.16,315600
2017-09-28,1506556800,3.16,3.42,3.16,3.25,354500
2017-09-29,1506643200,3.24,3.27,3.1,3.2,245100
2017-10-02,1506902400,3.18,3.34,3.12,3.28,170900
2017-10-03,1506988800,3.31,3.36,3.26,3.36,177100
2017-10-04,1507075200,3.34,3.47,3.3,3.32,215700
2017-10-05,1507161600,3.43,3.49,3.21,3.27,323000
2017-10-06,1507248000,3.26,3.41,3.17,3.38,269100
2017-10-09,1507507200,3.39,3.55,3.27,3.32,194600
2017-10-10,1507593600,3.36,3.45,3.29,3.33,51700
2017-10-11,1507680000,3.29,3.36,3.28,3.32,110000
2017-10-12,1507766400,3.4,3.41,3.25,3.33,113100
2017-10-13,1507852800,3.25,3.43,3.22,3.3,331800
2017-10-16,1508112000,3.33,3.33,3.16,3.28,147900
2017-10-17,1508198400,3.25,3.26,3.16,3.23,101600
2017-10-18,1508284800,3.21,3.21,2.95,3.01,458000
2017-10-19,1508371200,2.95,3.05,2.82,3.0,346800
2017-10-20,1508457600,3.18,3.18,2.95,3.0,202800
2017-10-23,1508716800,3.01,3.01,2.82,2.89,217300
