Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,75.75,76.55,75.25,76.35,76900
2017-01-04,1483488000,76.55,77.45,76.3,77.3,78400
2017-01-05,1483574400,77.15,77.65,75.9,76.15,67600
2017-01-06,1483660800,76.15,76.4,75.55,76.1,72900
2017-01-09,1483920000,75.95,76.4,75.3,75.75,160300
2017-01-10,1484006400,75.9,77.22,74.85,75.35,90500
2017-01-11,1484092800,75.3,75.5,74.3,74.85,83500
2017-01-12,1484179200,74.55,74.55,72.55,74.2,97600
2017-01-13,1484265600,74.25,75.55,74.1,74.85,49000
2017-01-17,1484611200,74.55,74.55,72.0,72.15,126800
2017-01-18,1484697600,72.3,73.35,70.55,71.7,120100
2017-01-19,1484784000,71.8,72.95,69.8,70.0,153900
2017-01-20,1484870400,70.25,71.3,70.2,71.3,105800
2017-01-23,1485129600,71.15,72.08,69.65,71.1,200500
2017-01-24,1485216000,71.3,73.1,71.3,73.05,155400
2017-01-25,1485302400,73.2,74.9,73.2,74.4,114700
2017-01-26,1485388800,74.15,74.3,72.55,73.4,103300
2017-01-27,1485475200,73.55,74.5,72.25,74.3,135700
2017-01-30,1485734400,73.65,73.65,72.05,72.5,83600
2017-01-31,1485820800,72.25,72.25,70.3,71.2,169300
2017-02-01,1485907200,71.85,73.55,71.8,73.45,127400
2017-02-02,1485993600,73.45,73.45,71.9,71.95,94400
2017-02-03,1486080000,72.55,73.65,71.75,73.65,72800
2017-02-06,1486339200,73.35,74.43,72.75,73.15,77800
2017-02-07,1486425600,73.25,73.97,72.8,73.8,70300
2017-02-08,1486512000,73.55,75.15,73.15,75.15,116900
2017-02-09,1486598400,76.3,76.65,74.22,76.6,99300
2017-02-10,1486684800,77.0,77.75,76.1,77.4,60500
2017-02-13,1486944000,77.9,78.72,77.3,77.75,102100
2017-02-14,1487030400,77.75,78.05,76.3,77.4,74200
2017-02-15,1487116800,77.05,78.4,76.65,78.2,52600
2017-02-16,1487203200,78.35,78.75,76.7,77.6,52900
2017-02-17,1487289600,77.6,78.3,77.2,77.75,68500
2017-02-21,1487635200,77.95,79.25,76.92,78.95,136200
2017-02-22,1487721600,79.0,79.75,78.5,79.0,94400
2017-02-23,1487808000,79.25,79.4,77.85,78.55,78200
2017-02-24,1487894400,77.75,81.5,77.7,80.95,171900
2017-02-27,1488153600,87.65,91.7,84.28,85.3,519300
2017-02-28,1488240000,86.8,87.5,85.35,86.45,209800
2017-03-01,1488326400,87.3,89.85,87.3,88.9,160000
2017-03-02,1488412800,88.8,90.15,86.75,87.0,124600
2017-03-03,1488499200,86.5,89.1,85.25,86.1,126000
2017-03-06,1488758400,85.55,86.05,83.7,85.7,116800
2017-03-07,1488844800,85.4,86.4,85.4,86.2,96200
2017-03-08,1488931200,86.5,86.95,85.75,85.9,113800
2017-03-09,1489017600,85.95,86.95,84.95,85.6,83700
2017-03-10,1489104000,85.95,86.85,85.25,86.2,93400
2017-03-13,1489363200,86.2,87.0,85.8,86.85,68100
2017-03-14,1489449600,86.4,87.45,85.15,86.3,58800
2017-03-15,1489536000,86.75,88.0,86.35,87.55,85600
2017-03-16,1489622400,88.0,89.4,86.2,89.4,153000
2017-03-17,1489708800,88.65,88.8,87.5,88.0,209900
2017-03-20,1489968000,88.1,88.8,87.6,88.45,80200
2017-03-21,1490054400,88.3,88.3,85.35,85.55,110900
2017-03-22,1490140800,85.55,86.6,84.65,86.6,86700
2017-03-23,1490227200,86.65,88.3,85.8,88.2,121500
2017-03-24,1490313600,88.3,90.15,88.1,89.8,202400
2017-03-27,1490572800,89.1,89.35,87.25,88.95,118400
2017-03-28,1490659200,88.65,89.15,87.65,88.9,113900
2017-03-29,1490745600,88.75,89.8,87.55,89.7,133900
2017-03-30,1490832000,89.8,90.68,89.7,90.2,138900
2017-03-31,1490918400,90.3,92.25,90.1,91.8,130000
2017-04-03,1491177600,92.1,92.15,87.3,87.85,104200
2017-04-04,1491264000,87.55,88.5,87.2,87.7,49800
2017-04-05,1491350400,88.15,88.7,86.8,87.0,108000
2017-04-06,1491436800,87.1,88.45,86.95,87.9,71700
2017-04-07,1491523200,87.65,88.75,87.35,88.2,140300
2017-04-10,1491782400,87.85,89.3,87.0,87.8,76900
2017-04-11,1491868800,87.45,89.5,86.8,89.4,113500
2017-04-12,1491955200,89.25,89.25,88.0,88.75,91700
2017-04-13,1492041600,88.45,88.9,85.95,86.05,81600
2017-04-17,1492387200,86.7,87.1,85.7,87.0,106300
