Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,108.15,108.15,106.87,107.36,19600
2017-01-04,1483488000,107.01,109.05,106.29,106.93,23900
2017-01-05,1483574400,107.26,108.1,103.56,105.44,16700
2017-01-06,1483660800,105.26,106.68,104.17,106.2,18900
2017-01-09,1483920000,105.51,106.79,105.3,105.9,26400
2017-01-10,1484006400,105.68,106.8,104.86,106.63,8800
2017-01-11,1484092800,106.68,106.88,105.98,106.29,12100
2017-01-12,1484179200,105.93,106.78,104.78,106.04,14400
2017-01-13,1484265600,106.42,107.62,105.97,106.29,14800
2017-01-17,1484611200,106.3,106.72,104.98,105.34,13800
2017-01-18,1484697600,105.32,106.18,104.0,104.28,16500
2017-01-19,1484784000,104.53,104.53,100.97,103.5,11200
2017-01-20,1484870400,103.65,104.65,103.4,103.9,9700
2017-01-23,1485129600,104.95,104.95,101.44,101.94,13000
2017-01-24,1485216000,102.14,104.03,101.74,102.77,13600
2017-01-25,1485302400,103.53,103.78,102.43,103.32,13000
2017-01-26,1485388800,104.99,104.99,102.58,103.09,99700
2017-01-27,1485475200,102.59,103.02,101.71,102.11,14300
2017-01-30,1485734400,101.17,101.6,99.94,100.52,36500
2017-01-31,1485820800,100.29,101.5,99.21,100.58,35700
2017-02-01,1485907200,101.13,104.84,100.13,101.64,16400
2017-02-02,1485993600,99.56,101.64,98.36,99.69,17400
2017-02-03,1486080000,101.02,102.15,98.56,100.87,22700
2017-02-06,1486339200,100.31,103.15,99.74,100.16,13400
2017-02-07,1486425600,100.33,102.66,100.33,101.67,23800
2017-02-08,1486512000,102.18,102.18,100.27,101.2,18000
2017-02-09,1486598400,100.39,102.52,100.38,101.37,28900
2017-02-10,1486684800,102.32,102.99,100.76,102.99,26000
2017-02-13,1486944000,103.01,105.83,103.01,104.78,18700
2017-02-14,1487030400,103.99,105.38,102.25,104.82,15400
2017-02-15,1487116800,104.82,105.93,102.96,103.75,22000
2017-02-16,1487203200,103.34,105.34,102.23,104.73,25200
2017-02-17,1487289600,104.14,104.79,103.09,104.53,11400
2017-02-21,1487635200,104.42,108.4,102.37,105.12,26400
2017-02-22,1487721600,104.99,105.73,104.22,104.34,12900
2017-02-23,1487808000,104.12,105.89,104.12,104.91,11000
2017-02-24,1487894400,104.31,104.94,102.23,104.85,39100
2017-02-27,1488153600,104.72,104.72,102.32,104.06,18500
2017-02-28,1488240000,103.2,105.4,102.07,103.61,25100
2017-03-01,1488326400,104.47,107.44,103.61,106.84,20100
2017-03-02,1488412800,106.42,106.42,102.31,103.97,25800
2017-03-03,1488499200,103.97,105.64,103.7,104.41,14800
2017-03-06,1488758400,103.7,105.08,103.62,104.53,20100
2017-03-07,1488844800,102.1,105.55,102.1,104.92,9700
2017-03-08,1488931200,104.71,105.29,102.58,103.02,26600
2017-03-09,1489017600,103.11,103.37,101.94,102.64,26400
2017-03-10,1489104000,102.53,103.35,102.21,102.25,16300
2017-03-13,1489363200,102.09,103.3,102.03,102.55,12100
2017-03-14,1489449600,101.78,102.74,101.15,102.04,14400
2017-03-15,1489536000,101.66,102.36,100.1,101.95,27100
2017-03-16,1489622400,101.75,103.04,100.71,101.63,21500
2017-03-17,1489708800,102.06,104.02,100.02,101.58,59800
2017-03-20,1489968000,101.89,101.9,100.14,100.52,6400
2017-03-21,1490054400,100.52,102.03,98.81,100.19,25800
2017-03-22,1490140800,100.27,100.27,98.89,99.33,14300
2017-03-23,1490227200,99.51,100.41,99.04,99.92,15500
2017-03-24,1490313600,100.13,101.41,99.43,100.09,23100
2017-03-27,1490572800,99.05,101.04,98.25,101.04,17500
2017-03-28,1490659200,100.95,101.55,99.92,100.94,12400
2017-03-29,1490745600,100.84,100.97,98.0,100.69,15000
2017-03-30,1490832000,100.87,101.85,100.77,101.85,12200
2017-03-31,1490918400,100.78,102.88,100.77,102.53,54000
2017-04-03,1491177600,102.18,102.9,100.8,101.5,21400
2017-04-04,1491264000,102.05,102.06,100.99,101.5,15300
2017-04-05,1491350400,102.24,102.24,100.81,100.98,22700
2017-04-06,1491436800,100.38,102.15,100.36,101.37,10600
2017-04-07,1491523200,100.35,102.44,100.07,101.83,12500
2017-04-10,1491782400,101.46,101.55,99.77,99.99,17000
2017-04-11,1491868800,100.45,101.18,99.75,100.54,15500
2017-04-12,1491955200,99.94,100.75,99.12,99.94,25900
2017-04-13,1492041600,98.28,99.48,98.28,98.46,20900
2017-04-17,1492387200,99.45,100.95,99.03,100.72,12200
2017-04-18,1492473600,100.12,101.11,100.12,100.67,10400
2017-04-19,1492560000,99.9,100.84,99.25,99.25,9700
2017-04-20,1492646400,99.5,102.27,99.46,101.2,12100
2017-04-21,1492732800,101.07,101.63,100.25,100.64,9800
2017-04-24,1492992000,102.06,102.21,100.76,102.03,7000
2017-04-25,1493078400,102.16,104.1,102.16,102.94,14100
2017-04-26,1493164800,102.37,103.69,101.75,102.59,7100
2017-04-27,1493251200,102.69,103.84,101.14,103.09,5700
2017-04-28,1493337600,103.25,103.49,101.28,101.57,12700
2017-05-01,1493596800,102.16,103.55,101.05,101.94,9100
2017-05-02,1493683200,101.28,103.16,99.92,102.65,34300
2017-05-03,1493769600,100.15,101.07,99.42,100.68,17100
2017-05-04,1493856000,102.07,102.07,99.31,101.07,24200
2017-05-05,1493942400,101.56,101.56,100.45,101.11,9200
2017-05-08,1494201600,100.64,101.88,100.64,101.34,7900
2017-05-09,1494288000,102.03,102.03,100.19,101.05,14900
2017-05-10,1494374400,101.13,102.1,100.01,102.06,14900
