Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,62.0,64.0,56.0,57.6,11466
2017-01-04,1483488000,59.6,59.6,53.0,56.2,8567
2017-01-05,1483574400,55.4,58.0,52.4,54.0,5085
2017-01-06,1483660800,58.0,71.6,56.0,57.6,40008
2017-01-09,1483920000,59.0,63.8,56.4,58.2,12211
2017-01-10,1484006400,58.0,59.6,55.0,57.2,6338
2017-01-11,1484092800,58.2,58.2,55.0,57.8,3690
2017-01-12,1484179200,57.8,68.0,56.8,58.0,18222
2017-01-13,1484265600,61.4,61.4,58.0,59.0,4416
2017-01-17,1484611200,60.0,65.0,57.0,63.4,9453
2017-01-18,1484697600,64.0,66.0,59.0,60.0,6054
2017-01-19,1484784000,92.0,112.0,71.8,73.0,103413
2017-01-20,1484870400,70.0,76.0,66.0,69.4,16787
2017-01-23,1485129600,73.0,73.0,62.4,65.6,5056
2017-01-24,1485216000,62.4,66.0,62.0,65.8,5292
2017-01-25,1485302400,67.0,68.0,64.2,67.8,2621
2017-01-26,1485388800,68.0,78.0,66.4,72.2,17855
2017-01-27,1485475200,71.4,72.0,66.4,70.0,8882
2017-01-30,1485734400,75.6,86.0,72.0,74.0,15020
2017-01-31,1485820800,78.0,78.0,62.0,64.4,11294
2017-02-01,1485907200,68.0,72.0,66.0,69.8,6073
2017-02-02,1485993600,66.0,68.0,64.4,67.6,5513
2017-02-03,1486080000,65.0,68.0,64.0,64.8,4210
2017-02-06,1486339200,64.0,68.0,59.0,62.0,5595
2017-02-07,1486425600,60.0,62.0,56.0,62.0,6128
2017-02-08,1486512000,62.0,62.0,56.2,57.4,4702
2017-02-09,1486598400,57.4,62.0,52.2,56.4,5917
2017-02-10,1486684800,54.2,60.0,54.2,57.8,2670
2017-02-13,1486944000,64.0,64.0,58.0,60.0,4222
2017-02-14,1487030400,61.8,62.0,58.2,60.0,2453
2017-02-15,1487116800,61.0,62.0,60.0,60.0,2316
2017-02-16,1487203200,61.6,64.0,61.0,63.2,3114
2017-02-17,1487289600,65.6,65.8,61.0,62.0,2803
2017-02-21,1487635200,62.0,66.0,61.0,65.0,2873
2017-02-22,1487721600,66.0,66.0,63.6,64.0,1913
2017-02-23,1487808000,66.2,69.8,64.0,64.8,4001
2017-02-24,1487894400,63.4,69.0,61.2,64.0,5993
2017-02-27,1488153600,67.2,67.4,64.0,64.6,1548
2017-02-28,1488240000,65.0,66.0,56.4,59.6,6101
2017-03-01,1488326400,60.0,64.0,58.0,61.8,2147
2017-03-02,1488412800,59.4,62.0,58.0,58.2,3369
2017-03-03,1488499200,58.4,59.8,56.8,59.2,3932
2017-03-06,1488758400,56.8,59.0,55.0,57.0,6307
2017-03-07,1488844800,56.0,58.0,55.0,56.4,3712
2017-03-08,1488931200,56.0,57.6,55.8,56.2,2996
2017-03-09,1489017600,57.4,57.4,55.8,56.0,1811
2017-03-10,1489104000,55.4,57.0,55.4,56.0,1151
2017-03-13,1489363200,57.0,57.2,55.6,57.0,1636
2017-03-14,1489449600,57.6,62.0,56.2,59.4,4245
2017-03-15,1489536000,61.4,67.6,58.4,58.6,15366
2017-03-16,1489622400,62.0,63.0,59.4,59.6,4330
2017-03-17,1489708800,60.0,64.6,60.0,62.4,6983
2017-03-20,1489968000,64.0,66.0,59.2,60.0,6329
2017-03-21,1490054400,62.8,62.8,58.0,59.8,4224
2017-03-22,1490140800,62.0,62.0,56.0,56.0,6324
2017-03-23,1490227200,56.4,61.0,56.4,58.0,4505
2017-03-24,1490313600,59.6,59.8,40.2,44.4,35713
2017-03-27,1490572800,46.0,47.0,40.4,42.8,13469
2017-03-28,1490659200,44.8,46.0,42.0,43.6,13936
2017-03-29,1490745600,46.0,49.8,43.6,44.2,12301
2017-03-30,1490832000,52.0,56.0,46.0,49.2,47982
2017-03-31,1490918400,50.8,51.0,42.4,43.2,31155
2017-04-03,1491177600,45.8,46.0,42.2,43.4,13986
2017-04-04,1491264000,43.6,45.8,40.4,41.0,19303
2017-04-05,1491350400,40.4,41.2,36.4,38.2,20797
2017-04-06,1491436800,38.0,40.8,37.0,40.0,9291
2017-04-07,1491523200,44.0,44.0,40.0,41.8,14992
2017-04-10,1491782400,44.0,45.0,42.0,43.0,15126
2017-04-11,1491868800,44.0,44.0,41.2,41.6,9228
2017-04-12,1491955200,40.0,42.0,39.8,40.6,6750
2017-04-13,1492041600,40.0,41.0,38.4,40.0,11357
2017-04-17,1492387200,40.0,41.0,39.0,39.6,9836
2017-04-18,1492473600,40.0,40.0,38.2,38.8,6277
2017-04-19,1492560000,39.4,39.4,37.4,38.0,7961
2017-04-20,1492646400,40.0,40.0,37.0,39.0,6150
2017-04-21,1492732800,39.0,39.6,38.2,38.6,3597
2017-04-24,1492992000,40.0,40.0,37.2,38.0,5567
2017-04-25,1493078400,37.4,38.6,32.0,36.0,11721
2017-04-26,1493164800,36.6,37.0,32.4,36.6,12051
