Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,21.42,21.87,21.17,21.61,125300
2017-01-04,1483488000,21.91,21.91,21.26,21.46,114600
2017-01-05,1483574400,21.43,21.68,21.02,21.02,109800
2017-01-06,1483660800,21.01,21.34,20.88,20.89,91200
2017-01-09,1483920000,20.97,21.32,20.87,21.26,136300
2017-01-10,1484006400,21.25,21.74,21.22,21.5,94300
2017-01-11,1484092800,21.41,22.46,21.36,22.2,260400
2017-01-12,1484179200,22.14,22.27,21.72,22.24,145800
2017-01-13,1484265600,22.42,23.0,22.26,22.89,134100
2017-01-17,1484611200,22.81,22.81,21.84,22.18,134100
2017-01-18,1484697600,22.21,22.27,21.37,21.64,95500
2017-01-19,1484784000,21.57,21.6,20.62,20.63,177900
2017-01-20,1484870400,20.61,21.13,20.54,20.61,139100
2017-01-23,1485129600,20.58,21.0,20.54,20.96,177500
2017-01-24,1485216000,20.99,21.68,20.99,21.4,109400
2017-01-25,1485302400,21.54,21.77,21.02,21.06,71200
2017-01-26,1485388800,21.0,21.18,20.87,20.92,95900
2017-01-27,1485475200,20.96,21.61,20.96,21.44,91500
2017-01-30,1485734400,21.36,21.36,20.81,21.16,78900
2017-01-31,1485820800,21.13,21.13,20.15,20.35,92000
2017-02-01,1485907200,20.63,20.94,20.48,20.7,76400
2017-02-02,1485993600,20.56,21.2,20.53,20.75,83800
2017-02-03,1486080000,20.87,21.52,20.79,21.48,106600
2017-02-06,1486339200,21.38,21.52,20.79,20.86,75500
2017-02-07,1486425600,20.88,21.08,20.65,20.74,93000
2017-02-08,1486512000,20.71,20.89,20.3,20.83,109700
2017-02-09,1486598400,22.0,22.38,20.74,21.04,242700
2017-02-10,1486684800,21.08,21.94,21.06,21.87,204700
2017-02-13,1486944000,21.9,22.2,21.08,21.08,149400
2017-02-14,1487030400,21.09,21.71,21.05,21.48,111300
2017-02-15,1487116800,21.34,21.68,21.28,21.59,70400
2017-02-16,1487203200,21.5,21.52,21.0,21.34,152800
2017-02-17,1487289600,21.33,21.73,21.24,21.44,75000
2017-02-21,1487635200,21.35,21.7,21.03,21.32,100200
