Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,5.15,5.48,5.15,5.43,482000
2017-01-04,1483488000,5.43,5.48,5.29,5.38,210600
2017-01-05,1483574400,5.38,5.48,5.32,5.34,894200
2017-01-06,1483660800,5.29,5.38,5.2,5.34,259000
2017-01-09,1483920000,5.29,5.43,5.2,5.29,226700
2017-01-10,1484006400,5.34,5.51,5.29,5.38,335000
2017-01-11,1484092800,5.38,5.48,5.24,5.38,496500
2017-01-12,1484179200,5.34,5.48,5.29,5.38,875700
2017-01-13,1484265600,5.38,5.38,5.34,5.38,279300
2017-01-17,1484611200,5.38,5.41,5.29,5.31,290000
2017-01-18,1484697600,5.29,5.43,5.29,5.34,424100
2017-01-19,1484784000,5.34,5.53,5.34,5.38,284100
2017-01-20,1484870400,5.38,5.38,5.34,5.38,253000
2017-01-23,1485129600,5.38,5.43,5.29,5.38,247800
2017-01-24,1485216000,5.38,5.43,5.34,5.34,476100
2017-01-25,1485302400,5.38,5.43,5.34,5.34,157900
2017-01-26,1485388800,5.38,5.48,5.29,5.34,463100
2017-01-27,1485475200,5.34,5.43,5.29,5.43,411200
2017-01-30,1485734400,5.43,5.48,5.34,5.48,366100
2017-01-31,1485820800,5.43,5.62,5.43,5.48,767200
2017-02-01,1485907200,5.53,5.86,5.51,5.71,988500
2017-02-02,1485993600,5.76,6.0,5.57,5.9,1354900
2017-02-03,1486080000,5.9,6.22,5.81,6.14,1275600
2017-02-06,1486339200,6.14,6.23,5.95,6.0,965300
2017-02-07,1486425600,6.0,6.12,5.9,6.05,630900
2017-02-08,1486512000,5.95,6.07,5.95,5.95,499800
2017-02-09,1486598400,5.95,6.05,5.95,6.0,237300
2017-02-10,1486684800,6.0,6.07,5.86,5.9,538100
2017-02-13,1486944000,6.09,6.09,5.9,5.95,875700
2017-02-14,1487030400,5.95,6.0,5.86,5.95,323200
2017-02-15,1487116800,5.95,6.0,5.9,5.9,323200
2017-02-16,1487203200,5.95,6.05,5.9,5.95,236400
2017-02-17,1487289600,5.9,6.14,5.9,6.05,543400
2017-02-21,1487635200,6.05,6.12,5.95,5.95,454200
2017-02-22,1487721600,6.0,6.0,5.71,5.76,381600
2017-02-23,1487808000,5.81,5.86,5.71,5.71,370100
2017-02-24,1487894400,5.71,5.73,5.53,5.62,810200
2017-02-27,1488153600,5.62,5.71,5.57,5.67,266100
2017-02-28,1488240000,5.67,5.86,5.67,5.86,670500
2017-03-01,1488326400,5.86,5.86,5.67,5.86,407300
2017-03-02,1488412800,5.86,5.88,5.81,5.86,432500
2017-03-03,1488499200,5.86,5.9,5.81,5.9,546800
2017-03-06,1488758400,5.86,5.95,5.81,5.86,403900
2017-03-07,1488844800,5.9,5.95,5.86,5.9,631300
2017-03-08,1488931200,5.9,6.0,5.9,5.9,278400
2017-03-09,1489017600,5.9,5.95,5.76,5.81,323300
2017-03-10,1489104000,5.86,5.95,5.71,5.95,449000
2017-03-13,1489363200,5.95,5.95,5.9,5.95,304900
2017-03-14,1489449600,5.95,6.14,5.9,6.0,823400
2017-03-15,1489536000,6.19,7.37,6.09,7.18,2469800
2017-03-16,1489622400,7.27,7.46,6.99,7.32,1843000
2017-03-17,1489708800,7.32,7.37,6.8,6.94,1133400
2017-03-20,1489968000,6.99,7.04,6.8,6.85,687100
2017-03-21,1490054400,6.8,7.08,6.71,6.9,877100
2017-03-22,1490140800,6.94,7.04,6.85,6.99,218300
2017-03-23,1490227200,7.08,7.18,6.94,6.99,968900
2017-03-24,1490313600,6.9,7.08,6.85,6.94,723300
2017-03-27,1490572800,6.9,7.13,6.85,7.04,761200
2017-03-28,1490659200,7.08,7.37,6.9,7.18,1243200
2017-03-29,1490745600,7.18,7.32,7.13,7.27,533000
2017-03-30,1490832000,7.27,7.79,7.27,7.7,926900
2017-03-31,1490918400,7.65,7.65,7.46,7.6,425600
2017-04-03,1491177600,7.7,7.75,7.37,7.51,386900
2017-04-04,1491264000,7.51,7.65,7.4,7.51,186300
2017-04-05,1491350400,7.56,7.6,7.37,7.46,828000
2017-04-06,1491436800,7.51,7.51,7.32,7.37,374700
2017-04-07,1491523200,7.37,7.37,7.27,7.32,602800
2017-04-10,1491782400,7.23,7.49,7.13,7.42,554400
2017-04-11,1491868800,7.7,7.93,7.56,7.65,1966900
2017-04-12,1491955200,7.65,7.7,7.56,7.6,776000
2017-04-13,1492041600,7.6,7.65,7.51,7.56,682200
2017-04-17,1492387200,7.6,7.6,7.51,7.56,371100
2017-04-18,1492473600,7.46,7.56,7.37,7.56,2100100
2017-04-19,1492560000,7.6,7.79,7.46,7.56,2217500
2017-04-20,1492646400,7.56,7.93,7.56,7.65,645100
2017-04-21,1492732800,7.6,7.65,7.51,7.51,191500
2017-04-24,1492992000,7.6,7.62,7.37,7.42,773200
2017-04-25,1493078400,7.46,7.6,7.32,7.56,2712000
2017-04-26,1493164800,7.56,7.62,7.51,7.56,463700
2017-04-27,1493251200,7.56,7.65,7.51,7.6,917100
2017-04-28,1493337600,7.6,7.93,7.6,7.75,1277100
2017-05-01,1493596800,7.75,7.93,7.7,7.89,575000
2017-05-02,1493683200,7.89,8.17,7.89,8.12,1466300
2017-05-03,1493769600,8.55,9.0,8.41,8.78,2708800
2017-05-04,1493856000,8.78,8.83,8.64,8.69,1293200
2017-05-05,1493942400,8.69,8.73,8.55,8.64,833500
2017-05-08,1494201600,8.74,8.78,8.5,8.6,490800
2017-05-09,1494288000,8.64,8.64,8.41,8.5,329500
