Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,15.01,15.09,14.65,14.69,65200
2017-01-04,1483488000,14.73,15.13,14.58,14.93,17500
2017-01-05,1483574400,14.93,15.09,14.85,14.93,29700
2017-01-06,1483660800,14.93,15.36,14.93,15.01,22700
2017-01-09,1483920000,14.97,14.97,14.18,14.22,34100
2017-01-10,1484006400,14.06,14.26,14.06,14.1,21800
2017-01-11,1484092800,14.1,14.2,13.99,13.99,27700
2017-01-12,1484179200,14.22,14.22,13.87,13.91,32600
2017-01-13,1484265600,13.87,14.02,13.83,13.83,45400
2017-01-17,1484611200,13.99,14.06,13.55,13.55,41200
2017-01-18,1484697600,13.51,14.26,13.51,14.18,231700
2017-01-19,1484784000,14.3,15.84,14.3,15.68,224300
2017-01-20,1484870400,15.8,16.51,15.76,15.99,82400
2017-01-23,1485129600,15.95,16.51,15.76,16.47,87000
2017-01-24,1485216000,16.51,16.51,15.92,15.92,49500
2017-01-25,1485302400,15.88,16.05,15.48,15.64,44100
2017-01-26,1485388800,15.76,15.76,15.51,15.56,19900
2017-01-27,1485475200,15.56,15.68,15.48,15.52,20400
2017-01-30,1485734400,15.52,15.52,15.21,15.32,49200
2017-01-31,1485820800,15.25,15.72,15.17,15.48,37700
2017-02-01,1485907200,15.6,15.92,15.25,15.64,34700
2017-02-02,1485993600,15.56,15.76,15.4,15.44,25600
2017-02-03,1486080000,15.36,15.44,15.09,15.4,34400
2017-02-06,1486339200,15.25,15.6,15.25,15.44,19700
2017-02-07,1486425600,15.6,15.64,14.58,14.93,69500
2017-02-08,1486512000,14.81,15.29,14.69,15.21,37000
2017-02-09,1486598400,15.29,15.64,15.01,15.64,31000
2017-02-10,1486684800,15.56,16.43,15.56,16.39,32800
2017-02-13,1486944000,16.47,16.94,16.46,16.55,78000
2017-02-14,1487030400,16.39,16.59,16.39,16.47,18100
2017-02-15,1487116800,16.92,17.1,16.62,16.66,45100
2017-02-16,1487203200,16.65,16.7,16.47,16.58,19100
2017-02-17,1487289600,16.55,16.66,16.43,16.59,54500
2017-02-21,1487635200,16.66,17.22,16.61,17.14,61300
2017-02-22,1487721600,17.22,17.73,17.1,17.57,65300
2017-02-23,1487808000,17.85,18.32,17.61,18.16,64700
2017-02-24,1487894400,18.32,18.32,17.77,18.32,53000
2017-02-27,1488153600,18.32,18.32,16.19,17.18,132600
2017-02-28,1488240000,17.33,17.33,16.82,17.02,55000
2017-03-01,1488326400,17.29,17.61,17.14,17.33,62800
