Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,63.0,70.0,63.0,68.6,2617
2017-01-04,1483488000,77.0,77.0,67.2,71.4,3860
2017-01-05,1483574400,70.0,70.0,64.4,65.8,2283
2017-01-06,1483660800,67.2,72.8,65.8,68.6,1489
2017-01-09,1483920000,71.4,71.4,67.2,67.2,1622
2017-01-10,1484006400,70.0,71.4,67.2,68.6,2699
2017-01-11,1484092800,70.0,71.4,65.8,67.2,1719
2017-01-12,1484179200,68.6,78.4,64.4,75.6,7569
2017-01-13,1484265600,89.6,95.2,71.4,71.4,21053
2017-01-17,1484611200,77.0,77.0,65.8,65.8,4176
2017-01-18,1484697600,65.8,68.6,64.4,64.4,3302
2017-01-19,1484784000,65.8,67.2,64.4,64.4,2541
2017-01-20,1484870400,64.4,67.2,61.6,67.2,2724
2017-01-23,1485129600,67.2,68.6,65.8,65.8,951
2017-01-24,1485216000,67.2,67.2,63.0,64.4,855
2017-01-25,1485302400,67.2,67.2,64.4,64.4,552
2017-01-26,1485388800,67.2,67.2,65.8,65.8,622
2017-01-27,1485475200,65.8,65.8,64.4,65.8,708
2017-01-30,1485734400,67.2,67.2,63.0,64.4,1300
2017-01-31,1485820800,65.8,65.8,63.0,63.0,1015
2017-02-01,1485907200,63.0,64.4,58.8,63.0,1592
2017-02-02,1485993600,60.2,61.6,58.8,60.2,1691
2017-02-03,1486080000,60.2,71.4,58.8,70.0,7926
2017-02-06,1486339200,72.8,72.8,63.0,65.8,2149
2017-02-07,1486425600,68.6,72.8,65.8,71.4,5873
2017-02-08,1486512000,72.8,95.2,71.4,75.6,26996
2017-02-09,1486598400,70.0,74.2,65.8,72.8,4809
2017-02-10,1486684800,75.6,75.6,68.6,74.2,1266
2017-02-13,1486944000,77.0,77.0,70.0,71.4,1433
2017-02-14,1487030400,75.6,75.6,70.0,72.8,1254
2017-02-15,1487116800,72.8,74.2,68.6,70.0,1536
2017-02-16,1487203200,72.8,74.2,67.2,68.6,888
2017-02-17,1487289600,68.6,74.2,65.8,74.2,2879
2017-02-21,1487635200,74.2,75.6,67.2,71.4,1089
2017-02-22,1487721600,68.6,72.8,67.2,70.0,1340
2017-02-23,1487808000,81.2,81.2,68.6,68.6,946
2017-02-24,1487894400,70.0,70.0,65.8,67.2,981
2017-02-27,1488153600,65.8,71.4,65.8,71.4,1779
