Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,32.61,32.61,31.89,32.29,15407
2017-01-04,1483488000,32.57,32.57,32.01,32.45,16500
2017-01-05,1483574400,32.41,32.41,31.17,31.33,29176
2017-01-06,1483660800,31.49,31.49,29.34,30.93,62067
2017-01-09,1483920000,30.62,31.13,30.42,30.58,29941
2017-01-10,1484006400,30.58,31.05,30.5,30.89,26225
2017-01-11,1484092800,30.93,31.05,30.38,30.85,18686
2017-01-12,1484179200,30.69,30.69,29.86,30.5,17811
2017-01-13,1484265600,30.69,31.09,30.69,30.89,16937
2017-01-17,1484611200,30.5,30.5,29.74,29.86,20434
2017-01-18,1484697600,29.86,30.02,29.14,29.5,37808
2017-01-19,1484784000,29.5,29.5,28.9,29.06,23057
2017-01-20,1484870400,28.94,29.82,28.94,29.46,29067
2017-01-23,1485129600,29.02,29.94,28.7,28.9,27865
2017-01-24,1485216000,28.94,29.58,28.47,29.3,21417
2017-01-25,1485302400,29.66,29.86,29.46,29.62,21855
2017-01-26,1485388800,29.78,29.78,29.3,29.38,12676
2017-01-27,1485475200,29.3,29.46,28.94,29.18,9070
2017-01-30,1485734400,28.82,28.82,27.71,28.07,53434
2017-01-31,1485820800,27.91,28.27,27.51,28.11,27427
2017-02-01,1485907200,28.39,28.51,27.83,27.83,16500
2017-02-02,1485993600,27.83,28.55,26.99,27.15,33656
2017-02-03,1486080000,27.55,27.79,27.11,27.63,40212
2017-02-06,1486339200,27.31,28.51,27.31,28.11,79878
2017-02-07,1486425600,28.19,28.47,27.99,28.19,60537
2017-02-08,1486512000,27.87,28.02,27.23,27.23,35514
2017-02-09,1486598400,27.47,27.51,27.19,27.27,31361
2017-02-10,1486684800,27.15,27.63,27.11,27.27,32126
2017-02-13,1486944000,27.59,28.07,27.59,27.79,26881
2017-02-14,1487030400,27.77,28.35,27.63,28.35,22729
2017-02-15,1487116800,28.27,28.51,28.19,28.43,8086
2017-02-16,1487203200,28.55,28.74,28.43,28.47,17484
2017-02-17,1487289600,28.47,28.66,28.35,28.51,23821
2017-02-21,1487635200,28.66,28.97,28.23,28.58,17047
2017-02-22,1487721600,28.31,28.74,28.31,28.62,8851
2017-02-23,1487808000,28.74,28.78,28.19,28.43,22729
2017-02-24,1487894400,28.19,28.51,28.15,28.43,19888
2017-02-27,1488153600,28.59,28.75,28.35,28.55,20215
2017-02-28,1488240000,28.47,28.51,27.94,27.98,29504
2017-03-01,1488326400,28.59,28.75,28.19,28.39,30815
2017-03-02,1488412800,28.63,28.63,27.54,27.62,23603
2017-03-03,1488499200,27.86,27.86,27.42,27.86,27974
2017-03-06,1488758400,27.58,27.82,27.46,27.7,10272
2017-03-07,1488844800,27.7,27.82,27.42,27.62,20434
2017-03-08,1488931200,27.86,27.94,27.14,27.18,23384
2017-03-09,1489017600,27.22,27.62,27.06,27.14,29394
2017-03-10,1489104000,27.54,27.62,27.02,27.18,24914
2017-03-13,1489363200,27.22,27.58,27.08,27.42,18576
2017-03-14,1489449600,27.26,27.7,27.26,27.62,20653
2017-03-15,1489536000,27.9,28.06,27.66,27.86,21855
2017-03-16,1489622400,28.15,28.31,28.02,28.19,14970
2017-03-17,1489708800,28.1,28.71,27.94,28.67,94958
2017-03-20,1489968000,28.43,28.51,28.06,28.23,17484
2017-03-21,1490054400,28.35,28.43,26.82,26.86,39338
2017-03-22,1490140800,26.7,26.98,26.38,26.54,55183
2017-03-23,1490227200,26.74,27.26,26.7,27.06,24368
2017-03-24,1490313600,27.22,27.3,26.9,26.98,11911
2017-03-27,1490572800,26.5,27.06,26.27,27.06,15735
2017-03-28,1490659200,26.86,27.62,26.86,27.58,20980
2017-03-29,1490745600,27.3,27.62,27.06,27.42,31143
2017-03-30,1490832000,27.34,28.39,27.26,28.31,26444
2017-03-31,1490918400,28.43,28.43,27.06,27.18,46659
2017-04-03,1491177600,27.3,27.5,26.82,27.3,33875
2017-04-04,1491264000,27.22,27.58,26.9,27.3,22292
2017-04-05,1491350400,27.5,27.73,26.7,26.74,22182
2017-04-06,1491436800,26.58,27.16,26.58,27.02,21527
2017-04-07,1491523200,26.9,27.1,26.82,26.94,11255
2017-04-10,1491782400,27.18,27.54,26.58,26.66,16719
2017-04-11,1491868800,26.54,27.26,26.54,27.22,13331
2017-04-12,1491955200,27.06,27.06,26.38,26.54,15407
2017-04-13,1492041600,26.5,26.5,26.1,26.14,21308
2017-04-17,1492387200,26.54,26.58,26.02,26.54,27100
2017-04-18,1492473600,26.22,27.02,26.22,26.94,19560
2017-04-19,1492560000,26.94,27.22,26.75,26.9,13550
2017-04-20,1492646400,27.14,27.22,27.02,27.18,14752
2017-04-21,1492732800,26.98,27.14,26.74,26.78,20434
2017-04-24,1492992000,27.42,28.02,27.42,27.86,22182
2017-04-25,1493078400,27.98,28.47,27.7,28.15,22619
