Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,13.26,13.43,13.21,13.39,565100
2017-01-04,1483488000,13.22,13.39,13.16,13.38,729100
2017-01-05,1483574400,13.37,13.55,13.35,13.47,476500
2017-01-06,1483660800,13.45,13.55,13.43,13.5,329300
2017-01-09,1483920000,13.53,13.58,13.41,13.49,386700
2017-01-10,1484006400,13.49,13.55,13.35,13.52,452400
2017-01-11,1484092800,13.52,13.65,13.45,13.57,338200
2017-01-12,1484179200,13.49,13.61,13.29,13.36,562100
2017-01-13,1484265600,13.32,13.44,13.17,13.28,502300
2017-01-17,1484611200,13.26,13.44,13.25,13.37,303600
2017-01-18,1484697600,13.37,13.48,13.36,13.4,377600
2017-01-19,1484784000,13.37,13.4,13.26,13.33,275900
2017-01-20,1484870400,13.28,13.4,13.28,13.29,256400
2017-01-23,1485129600,13.36,13.42,13.32,13.34,267500
2017-01-24,1485216000,13.34,13.39,13.31,13.34,283900
2017-01-25,1485302400,13.34,13.42,13.26,13.3,323400
2017-01-26,1485388800,13.28,13.32,13.25,13.25,357700
2017-01-27,1485475200,13.25,13.26,13.16,13.18,499700
2017-01-30,1485734400,13.17,13.21,13.02,13.08,458400
2017-01-31,1485820800,13.06,13.08,12.76,12.89,557400
2017-02-01,1485907200,12.92,13.16,12.91,13.0,554700
2017-02-02,1485993600,13.06,13.18,13.04,13.1,328200
2017-02-03,1486080000,13.14,13.19,13.11,13.16,384800
2017-02-06,1486339200,13.17,13.34,13.17,13.26,374300
2017-02-07,1486425600,13.27,13.31,13.15,13.24,293800
2017-02-08,1486512000,13.21,13.36,13.12,13.35,392200
2017-02-09,1486598400,13.35,13.39,13.18,13.34,583800
2017-02-10,1486684800,13.34,13.42,13.26,13.35,508700
2017-02-13,1486944000,13.39,13.5,13.36,13.45,346900
2017-02-14,1487030400,13.42,13.48,13.3,13.36,394400
2017-02-15,1487116800,13.31,13.36,13.19,13.29,296900
2017-02-16,1487203200,13.31,13.64,13.31,13.62,926900
2017-02-17,1487289600,13.64,13.66,13.42,13.43,577000
2017-02-21,1487635200,13.45,13.57,13.21,13.55,748800
2017-02-22,1487721600,13.53,13.64,13.45,13.58,455700
2017-02-23,1487808000,13.61,13.76,13.6,13.67,613200
2017-02-24,1487894400,13.68,13.89,13.64,13.86,760300
2017-02-27,1488153600,13.85,14.05,13.83,13.88,801700
2017-02-28,1488240000,13.93,14.05,13.84,13.91,841200
2017-03-01,1488326400,13.98,14.1,13.88,13.94,714400
2017-03-02,1488412800,13.96,14.06,13.92,13.95,689500
2017-03-03,1488499200,13.98,13.98,13.73,13.81,473100
2017-03-06,1488758400,13.81,13.86,13.73,13.82,413700
2017-03-07,1488844800,13.79,13.86,13.73,13.75,314200
2017-03-08,1488931200,13.73,13.73,13.44,13.44,700100
2017-03-09,1489017600,13.42,13.55,13.24,13.25,582500
2017-03-10,1489104000,13.3,13.58,13.3,13.54,626100
2017-03-13,1489363200,13.55,13.65,13.44,13.47,329100
2017-03-14,1489449600,13.45,13.46,13.29,13.3,307000
2017-03-15,1489536000,13.31,13.6,13.31,13.57,411300
2017-03-16,1489622400,13.58,13.72,13.56,13.68,386800
2017-03-17,1489708800,13.71,13.82,13.65,13.82,676700
2017-03-20,1489968000,13.82,13.83,13.69,13.73,362400
2017-03-21,1490054400,13.75,13.88,13.68,13.82,538300
2017-03-22,1490140800,13.81,13.88,13.78,13.87,386200
2017-03-23,1490227200,13.88,14.0,13.82,13.93,386000
2017-03-24,1490313600,13.89,14.0,13.79,13.8,366400
2017-03-27,1490572800,13.8,13.94,13.78,13.91,249500
2017-03-28,1490659200,13.9,14.26,13.87,14.23,639800
2017-03-29,1490745600,14.25,14.46,14.23,14.43,549500
2017-03-30,1490832000,14.45,14.48,14.24,14.26,433200
2017-03-31,1490918400,14.23,14.27,14.08,14.17,562600
2017-04-03,1491177600,14.2,14.29,14.18,14.24,373400
2017-04-04,1491264000,14.25,14.43,14.2,14.42,395800
2017-04-05,1491350400,14.43,14.47,14.3,14.35,542700
2017-04-06,1491436800,14.35,14.43,14.22,14.42,336400
2017-04-07,1491523200,14.41,14.5,14.36,14.38,465000
2017-04-10,1491782400,14.43,14.63,14.38,14.58,562800
2017-04-11,1491868800,14.58,14.76,14.48,14.7,572900
2017-04-12,1491955200,14.66,14.69,14.54,14.59,328100
2017-04-13,1492041600,14.59,14.71,14.58,14.66,327400
2017-04-17,1492387200,14.7,14.88,14.68,14.88,373700
2017-04-18,1492473600,14.85,14.92,14.8,14.85,286100
2017-04-19,1492560000,14.86,14.88,14.76,14.81,335300
2017-04-20,1492646400,14.81,14.92,14.74,14.83,309200
2017-04-21,1492732800,14.84,15.0,14.79,14.94,306000
2017-04-24,1492992000,14.97,15.09,14.94,15.06,333300
2017-04-25,1493078400,15.04,15.23,15.03,15.14,384900
2017-04-26,1493164800,15.1,15.41,15.1,15.33,350900
2017-04-27,1493251200,15.33,15.49,15.29,15.43,392700
2017-04-28,1493337600,15.44,15.47,15.12,15.14,562200
