Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,8.4,8.62,8.33,8.42,295700
2017-01-04,1483488000,8.42,8.71,8.41,8.71,377800
2017-01-05,1483574400,8.59,8.77,8.46,8.55,288400
2017-01-06,1483660800,8.57,8.57,8.4,8.5,242800
2017-01-09,1483920000,8.51,8.67,8.43,8.54,220900
2017-01-10,1484006400,8.53,8.75,8.52,8.66,270400
2017-01-11,1484092800,8.65,8.72,8.55,8.57,187000
2017-01-12,1484179200,8.54,8.62,8.31,8.39,320300
2017-01-13,1484265600,8.4,8.55,8.4,8.45,296000
2017-01-17,1484611200,8.45,8.49,8.11,8.17,521400
2017-01-18,1484697600,8.2,8.24,8.12,8.18,357300
2017-01-19,1484784000,8.18,8.24,8.07,8.13,236800
2017-01-20,1484870400,8.13,8.2,7.94,8.0,485900
2017-01-23,1485129600,8.0,8.03,7.82,7.94,318200
2017-01-24,1485216000,7.9,8.21,7.9,8.16,293700
2017-01-25,1485302400,8.25,8.32,8.14,8.16,203300
2017-01-26,1485388800,8.15,8.17,7.86,7.89,362900
2017-01-27,1485475200,7.9,8.17,7.9,7.96,361500
2017-01-30,1485734400,7.87,7.96,7.79,7.84,346800
2017-01-31,1485820800,7.79,8.0,7.77,7.97,249200
2017-02-01,1485907200,8.01,8.14,7.89,7.93,174100
2017-02-02,1485993600,7.88,7.88,7.66,7.72,655700
2017-02-03,1486080000,7.78,7.93,7.75,7.92,427000
2017-02-06,1486339200,7.86,7.98,7.86,7.95,278400
2017-02-07,1486425600,7.95,8.3,7.95,8.15,397500
2017-02-08,1486512000,8.17,8.3,8.03,8.3,487700
2017-02-09,1486598400,8.31,8.69,8.31,8.6,914800
2017-02-10,1486684800,9.01,9.87,9.01,9.52,1769200
2017-02-13,1486944000,9.54,9.94,9.52,9.78,874700
2017-02-14,1487030400,9.78,9.87,9.58,9.72,453900
2017-02-15,1487116800,9.64,9.78,9.55,9.74,385400
2017-02-16,1487203200,9.8,9.8,9.6,9.76,276800
2017-02-17,1487289600,9.65,9.69,9.41,9.5,691000
2017-02-21,1487635200,9.47,9.59,9.39,9.55,347300
2017-02-22,1487721600,9.48,9.66,9.41,9.52,433600
2017-02-23,1487808000,9.58,9.6,9.32,9.46,321200
2017-02-24,1487894400,9.35,9.56,9.35,9.47,391000
2017-02-27,1488153600,9.5,9.73,9.44,9.65,820800
2017-02-28,1488240000,9.62,9.65,9.4,9.46,448900
