Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,23.0,25.55,22.6,25.3,65200
2017-01-04,1483488000,25.2,25.7,24.7,25.6,30800
2017-01-05,1483574400,26.1,26.1,25.14,25.75,18200
2017-01-06,1483660800,25.85,26.1,25.69,26.0,17700
2017-01-09,1483920000,25.8,25.83,24.85,24.85,8800
2017-01-10,1484006400,25.2,25.2,24.45,25.0,25500
2017-01-11,1484092800,24.62,25.25,24.2,24.9,9300
2017-01-12,1484179200,24.7,24.95,24.17,24.65,9800
2017-01-13,1484265600,24.85,24.85,24.1,24.3,18800
2017-01-17,1484611200,24.6,25.2,24.33,24.75,30300
2017-01-18,1484697600,25.0,25.0,23.2,24.5,14200
2017-01-19,1484784000,25.05,25.05,24.25,24.25,13900
2017-01-20,1484870400,24.4,25.05,24.0,24.1,18800
2017-01-23,1485129600,24.25,24.75,22.7,22.8,37300
2017-01-24,1485216000,22.9,23.5,22.7,23.35,24900
2017-01-25,1485302400,24.2,24.35,23.34,23.65,17100
2017-01-26,1485388800,23.45,23.92,22.4,22.7,17400
2017-01-27,1485475200,22.65,22.65,21.85,22.05,22200
2017-01-30,1485734400,22.0,22.0,21.5,21.9,22400
2017-01-31,1485820800,21.9,21.9,20.9,21.3,34600
2017-02-01,1485907200,22.05,22.2,20.4,20.5,32600
2017-02-02,1485993600,20.1,20.8,20.1,20.4,24200
2017-02-03,1486080000,20.55,21.55,20.25,21.25,21900
2017-02-06,1486339200,21.25,21.77,19.8,20.2,34900
2017-02-07,1486425600,20.9,21.15,19.6,19.7,45300
2017-02-08,1486512000,19.1,21.75,18.7,20.95,44100
2017-02-09,1486598400,21.0,21.35,19.8,19.8,23500
2017-02-10,1486684800,19.9,21.25,19.9,20.15,29700
2017-02-13,1486944000,20.2,20.4,20.05,20.15,14400
2017-02-14,1487030400,20.6,21.05,20.55,20.85,20300
2017-02-15,1487116800,20.7,21.1,20.7,20.95,8300
2017-02-16,1487203200,21.0,21.75,21.0,21.3,14700
2017-02-17,1487289600,21.6,22.75,21.35,22.65,31400
2017-02-21,1487635200,22.65,23.1,22.4,23.05,12900
2017-02-22,1487721600,23.45,24.08,23.3,23.45,34900
2017-02-23,1487808000,23.75,24.55,23.25,24.45,56000
2017-02-24,1487894400,24.5,27.4,24.5,26.85,86000
2017-02-27,1488153600,26.65,27.5,26.01,27.15,93000
2017-02-28,1488240000,27.05,27.15,24.65,25.75,217800
2017-03-01,1488326400,26.0,26.0,23.7,23.8,32800
2017-03-02,1488412800,23.85,24.9,22.5,22.65,21800
2017-03-03,1488499200,22.7,22.7,21.55,21.8,42300
2017-03-06,1488758400,21.6,22.3,20.55,21.05,35400
2017-03-07,1488844800,21.1,21.4,21.0,21.0,22100
2017-03-08,1488931200,21.15,21.23,20.55,20.95,23300
2017-03-09,1489017600,21.15,21.8,21.1,21.45,14100
2017-03-10,1489104000,21.55,22.4,21.1,21.15,30200
2017-03-13,1489363200,21.15,22.3,21.15,22.1,13500
2017-03-14,1489449600,21.95,22.0,21.0,21.0,17700
2017-03-15,1489536000,21.65,21.8,21.0,21.6,17300
2017-03-16,1489622400,21.8,22.9,21.7,22.4,19800
2017-03-17,1489708800,22.4,23.85,22.4,23.75,43800
