Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,2.68,2.83,2.67,2.81,13406700
2017-01-04,1483488000,2.88,2.9,2.79,2.85,13695300
2017-01-05,1483574400,2.94,3.07,2.93,3.04,17445200
2017-01-06,1483660800,3.01,3.02,2.85,2.92,14840600
2017-01-09,1483920000,3.0,3.09,2.93,2.99,20129400
2017-01-10,1484006400,3.05,3.09,2.95,3.0,15101800
2017-01-11,1484092800,3.0,3.06,2.89,3.01,14259500
2017-01-12,1484179200,3.09,3.1,2.91,2.95,15085800
2017-01-13,1484265600,2.88,3.01,2.86,2.99,8835500
2017-01-17,1484611200,3.1,3.12,3.05,3.07,12775600
2017-01-18,1484697600,3.07,3.09,2.93,2.98,8836900
2017-01-19,1484784000,2.93,3.02,2.91,2.97,8104200
2017-01-20,1484870400,2.97,3.06,2.94,3.03,6960600
2017-01-23,1485129600,3.07,3.12,3.02,3.11,8284900
2017-01-24,1485216000,3.1,3.2,3.09,3.14,11104300
2017-01-25,1485302400,3.09,3.11,3.02,3.06,8735800
2017-01-26,1485388800,2.99,3.04,2.95,2.99,8358100
2017-01-27,1485475200,2.99,3.04,2.98,3.01,4835600
2017-01-30,1485734400,3.03,3.1,3.0,3.03,8961600
2017-01-31,1485820800,3.1,3.12,3.05,3.12,13046600
2017-02-01,1485907200,3.06,3.16,3.03,3.13,11179100
2017-02-02,1485993600,3.21,3.24,3.14,3.16,10623900
2017-02-03,1486080000,3.15,3.23,3.13,3.21,8842500
2017-02-06,1486339200,3.24,3.38,3.21,3.37,12916600
2017-02-07,1486425600,3.33,3.39,3.3,3.35,11042500
2017-02-08,1486512000,3.38,3.44,3.35,3.41,11457800
2017-02-09,1486598400,3.41,3.43,3.26,3.3,10469100
2017-02-10,1486684800,3.24,3.35,3.22,3.33,6556900
2017-02-13,1486944000,3.29,3.32,3.26,3.27,6310900
2017-02-14,1487030400,3.31,3.32,3.18,3.23,11812000
2017-02-15,1487116800,3.19,3.21,3.14,3.16,10133000
2017-02-16,1487203200,3.2,3.25,3.17,3.24,11657200
2017-02-17,1487289600,3.19,3.2,2.9,2.91,29809200
2017-02-21,1487635200,2.9,2.91,2.78,2.8,19532100
2017-02-22,1487721600,2.78,2.8,2.63,2.69,18180600
2017-02-23,1487808000,2.75,2.77,2.66,2.67,8737300
2017-02-24,1487894400,2.72,2.72,2.58,2.63,16459700
2017-02-27,1488153600,2.66,2.77,2.57,2.58,23457700
2017-02-28,1488240000,2.64,2.72,2.58,2.62,15429200
2017-03-01,1488326400,2.59,2.62,2.52,2.59,15485700
2017-03-02,1488412800,2.55,2.58,2.43,2.43,12844300
2017-03-03,1488499200,2.44,2.49,2.37,2.47,15522300
2017-03-06,1488758400,2.49,2.49,2.32,2.39,15471700
2017-03-07,1488844800,2.36,2.41,2.33,2.36,8754600
2017-03-08,1488931200,2.35,2.39,2.34,2.35,8422100
2017-03-09,1489017600,2.36,2.4,2.33,2.35,11300600
2017-03-10,1489104000,2.38,2.5,2.35,2.47,13405200
2017-03-13,1489363200,2.52,2.53,2.42,2.47,10974100
2017-03-14,1489449600,2.46,2.51,2.38,2.39,12135500
2017-03-15,1489536000,2.4,2.63,2.39,2.61,33710600
2017-03-16,1489622400,2.7,2.71,2.64,2.67,14750600
2017-03-17,1489708800,2.68,2.71,2.56,2.61,19669600
2017-03-20,1489968000,2.63,2.65,2.55,2.62,5779500
2017-03-21,1490054400,2.62,2.72,2.59,2.69,11040200
2017-03-22,1490140800,2.72,2.72,2.64,2.71,8701400
2017-03-23,1490227200,2.7,2.72,2.56,2.63,10502700
2017-03-24,1490313600,2.61,2.66,2.59,2.62,7932100
