Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,29.2,29.39,28.21,28.4,938400
2017-01-04,1483488000,28.47,29.52,28.47,29.37,762900
2017-01-05,1483574400,29.26,29.48,28.52,29.11,622600
2017-01-06,1483660800,28.91,29.4,28.75,28.85,535300
2017-01-09,1483920000,29.3,29.3,28.59,28.92,661100
2017-01-10,1484006400,28.95,29.43,28.51,28.9,847000
2017-01-11,1484092800,28.92,29.28,28.68,29.2,492600
2017-01-12,1484179200,29.11,29.11,28.02,28.66,764600
2017-01-13,1484265600,28.9,29.53,28.7,29.15,687100
2017-01-17,1484611200,29.15,29.18,27.87,27.91,850000
2017-01-18,1484697600,28.0,28.13,27.4,28.08,678000
2017-01-19,1484784000,28.18,28.18,27.32,27.38,575100
2017-01-20,1484870400,27.43,27.72,26.75,27.14,848000
2017-01-23,1485129600,27.03,27.24,26.17,26.31,1033300
2017-01-24,1485216000,26.41,27.25,26.35,27.08,691700
2017-01-25,1485302400,27.5,28.09,27.48,27.82,832400
2017-01-26,1485388800,27.78,28.5,27.69,28.09,495300
2017-01-27,1485475200,28.01,28.47,27.8,28.42,466200
2017-01-30,1485734400,28.39,28.5,27.68,28.36,1039400
2017-01-31,1485820800,28.31,30.6,28.29,29.5,1895300
2017-02-01,1485907200,29.88,30.45,29.43,29.75,1218600
2017-02-02,1485993600,29.63,29.63,28.12,28.65,998800
2017-02-03,1486080000,28.91,29.4,28.58,29.15,686400
2017-02-06,1486339200,29.17,29.71,28.77,28.87,655600
2017-02-07,1486425600,28.94,29.33,28.69,28.87,680100
2017-02-08,1486512000,28.81,28.96,28.15,28.57,527400
2017-02-09,1486598400,28.77,29.56,28.68,29.53,704100
2017-02-10,1486684800,29.57,29.7,29.29,29.56,421500
2017-02-13,1486944000,29.72,30.6,29.66,30.33,693100
2017-02-14,1487030400,30.27,30.47,29.09,30.27,516200
2017-02-15,1487116800,30.33,30.73,29.87,30.15,529100
2017-02-16,1487203200,30.0,30.3,29.64,30.19,385500
2017-02-17,1487289600,30.11,30.11,29.44,29.72,681800
2017-02-21,1487635200,29.82,30.0,29.41,29.6,563400
2017-02-22,1487721600,29.51,30.4,29.26,30.28,771300
2017-02-23,1487808000,30.36,30.8,30.07,30.65,603800
2017-02-24,1487894400,30.4,31.07,29.9,30.84,947500
2017-02-27,1488153600,31.0,31.54,30.42,31.32,1167300
2017-02-28,1488240000,31.3,31.8,30.91,31.54,1035200
2017-03-01,1488326400,32.05,32.57,31.57,32.11,910600
2017-03-02,1488412800,32.26,32.36,29.52,29.64,2043800
2017-03-03,1488499200,29.58,29.86,28.74,29.29,1463500
2017-03-06,1488758400,29.44,29.44,28.8,29.03,808500
2017-03-07,1488844800,29.01,29.72,29.0,29.17,518900
2017-03-08,1488931200,29.55,30.11,29.1,29.58,784900
2017-03-09,1489017600,29.63,30.19,29.55,29.86,604500
2017-03-10,1489104000,30.0,30.14,28.8,29.13,747500
2017-03-13,1489363200,29.03,29.57,28.87,28.94,493200
2017-03-14,1489449600,28.65,28.85,27.54,28.84,789000
2017-03-15,1489536000,28.88,29.35,28.67,28.82,664600
2017-03-16,1489622400,28.82,29.13,28.65,29.1,898100
2017-03-17,1489708800,29.02,29.19,28.73,29.0,1630100
2017-03-20,1489968000,29.0,29.14,28.48,28.65,537200
2017-03-21,1490054400,28.79,28.84,26.54,26.64,1434700
2017-03-22,1490140800,26.52,27.45,26.32,27.44,859600
2017-03-23,1490227200,27.31,27.91,27.14,27.6,485700
2017-03-24,1490313600,27.77,28.2,27.28,27.47,615600
2017-03-27,1490572800,26.73,27.79,25.78,27.73,961200
2017-03-28,1490659200,27.64,28.54,27.28,28.08,801000
2017-03-29,1490745600,28.02,28.19,24.88,26.95,5281100
2017-03-30,1490832000,26.88,27.99,26.87,27.58,995800
2017-03-31,1490918400,26.88,27.47,26.1,26.13,2232800
2017-04-03,1491177600,26.0,26.4,24.6,25.14,2454800
2017-04-04,1491264000,24.9,25.4,24.53,24.71,1092900
2017-04-05,1491350400,24.96,25.23,24.02,24.31,1564600
2017-04-06,1491436800,24.26,24.79,24.06,24.46,1135500
2017-04-07,1491523200,24.22,24.59,23.72,24.15,1598100
2017-04-10,1491782400,24.2,24.42,23.82,24.12,703200
2017-04-11,1491868800,23.98,24.9,23.86,24.79,1324900
2017-04-12,1491955200,24.75,25.06,24.52,24.65,658400
2017-04-13,1492041600,24.88,25.25,24.55,24.71,956700
2017-04-17,1492387200,24.74,24.92,24.02,24.77,858200
2017-04-18,1492473600,24.43,25.15,24.37,24.73,685800
2017-04-19,1492560000,25.0,25.56,24.89,25.03,1019900
2017-04-20,1492646400,25.34,25.62,25.11,25.54,1070100
2017-04-21,1492732800,25.58,26.42,25.53,25.79,1313600
2017-04-24,1492992000,26.43,26.69,26.17,26.43,867200
2017-04-25,1493078400,26.65,26.87,26.15,26.35,1549300
2017-04-26,1493164800,26.66,26.85,22.75,24.24,5499100
2017-04-27,1493251200,24.51,25.12,24.0,24.76,1522700
2017-04-28,1493337600,24.88,24.88,23.66,23.89,1448600
2017-05-01,1493596800,23.9,24.89,23.81,24.51,1231500
2017-05-02,1493683200,24.48,24.51,23.84,24.18,901800
2017-05-03,1493769600,24.04,24.04,23.4,23.91,981200
2017-05-04,1493856000,24.04,24.32,23.66,23.88,592800
2017-05-05,1493942400,24.02,24.08,23.72,24.03,531400
2017-05-08,1494201600,24.11,24.68,23.97,24.57,742400
2017-05-09,1494288000,24.56,25.15,23.98,24.21,1005200
2017-05-10,1494374400,24.1,24.16,23.71,23.79,759400
2017-05-11,1494460800,23.73,23.96,23.26,23.5,818600
2017-05-12,1494547200,23.37,23.67,22.93,23.42,928200
2017-05-15,1494806400,23.43,23.95,23.4,23.63,496500
2017-05-16,1494892800,23.65,23.91,23.32,23.88,598000
2017-05-17,1494979200,23.46,23.48,22.58,22.58,977500
2017-05-18,1495065600,22.57,23.19,22.55,22.91,763000
2017-05-19,1495152000,23.01,23.04,22.18,22.48,1112300
2017-05-22,1495411200,22.21,22.99,22.03,22.88,853700
2017-05-23,1495497600,22.88,23.04,22.39,23.0,655000
2017-05-24,1495584000,23.07,23.15,21.94,22.1,961800
2017-05-25,1495670400,22.14,22.68,21.93,22.64,847600
2017-05-26,1495756800,22.56,22.8,22.1,22.43,752500
2017-05-30,1496102400,22.38,22.38,21.76,22.08,885400
2017-05-31,1496188800,22.15,22.37,21.86,22.2,879100
2017-06-01,1496275200,22.2,22.88,22.13,22.57,744000
2017-06-02,1496361600,22.41,22.72,22.21,22.32,551600
2017-06-05,1496620800,22.3,22.82,22.27,22.3,556000
2017-06-06,1496707200,22.04,22.3,21.86,21.91,633900
2017-06-07,1496793600,21.99,22.3,21.84,21.95,565500
2017-06-08,1496880000,21.91,23.09,21.6,22.73,778500
2017-06-09,1496966400,22.92,23.83,22.9,23.27,889800
2017-06-12,1497225600,23.27,23.73,22.67,22.74,585900
2017-06-13,1497312000,22.99,23.7,22.42,22.58,544800
2017-06-14,1497398400,22.44,22.63,22.08,22.52,583100
2017-06-15,1497484800,22.48,23.22,22.43,23.02,496800
2017-06-16,1497571200,22.95,23.2,22.64,23.14,787000
2017-06-19,1497830400,23.36,23.62,23.16,23.38,468300
2017-06-20,1497916800,23.39,23.44,22.92,22.96,441000
2017-06-21,1498003200,22.97,23.14,22.63,22.75,492300
2017-06-22,1498089600,22.67,23.2,22.67,23.02,590700
2017-06-23,1498176000,23.14,23.21,22.71,23.11,1543500
2017-06-26,1498435200,23.3,23.58,23.02,23.49,571000
2017-06-27,1498521600,23.66,24.4,23.62,23.93,686400
2017-06-28,1498608000,24.05,24.59,23.0,23.82,2055300
2017-06-29,1498694400,24.15,24.44,23.58,23.9,844800
2017-06-30,1498780800,25.19,25.19,23.55,23.72,525800
2017-07-03,1499040000,23.8,24.25,23.62,24.07,360800
2017-07-05,1499212800,24.18,24.33,23.66,24.0,418200
