Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,69.53,70.33,69.39,69.96,5853900
2017-01-04,1483488000,70.17,71.37,69.98,71.1,4635800
2017-01-05,1483574400,70.86,71.03,69.76,70.23,3383000
2017-01-06,1483660800,70.3,70.79,69.98,70.37,3089600
2017-01-09,1483920000,70.99,71.33,70.42,70.73,4818700
2017-01-10,1484006400,71.35,72.73,70.97,71.47,9561400
2017-01-11,1484092800,71.49,72.2,70.95,71.71,4500200
2017-01-12,1484179200,71.63,71.75,70.71,71.68,4056700
2017-01-13,1484265600,71.73,72.38,71.24,71.44,3454300
2017-01-17,1484611200,72.17,72.45,71.3,71.42,6450300
2017-01-18,1484697600,71.9,72.36,71.34,72.25,5988400
2017-01-19,1484784000,72.36,72.52,71.43,71.5,8111400
2017-01-20,1484870400,70.85,71.71,70.29,71.05,8465900
2017-01-23,1485129600,70.79,71.31,70.61,70.83,4444300
2017-01-24,1485216000,71.17,72.41,70.94,72.19,4024300
2017-01-25,1485302400,72.73,72.74,71.23,71.69,5278300
2017-01-26,1485388800,71.75,72.22,71.45,71.73,3344900
2017-01-27,1485475200,71.79,72.07,71.36,71.65,3530900
2017-01-30,1485734400,71.63,72.09,71.36,72.05,5344500
2017-01-31,1485820800,71.66,72.03,70.83,71.22,5568100
2017-02-01,1485907200,71.65,72.2,71.4,71.57,3916800
2017-02-02,1485993600,71.08,71.69,70.92,71.34,3655500
2017-02-03,1486080000,71.92,73.12,71.71,72.76,5235800
2017-02-06,1486339200,72.46,73.11,72.24,72.56,3229500
2017-02-07,1486425600,72.78,73.08,72.28,72.46,2060200
2017-02-08,1486512000,72.3,72.67,71.87,72.54,2223100
2017-02-09,1486598400,72.54,73.07,72.42,72.89,3031800
2017-02-10,1486684800,73.19,73.37,72.94,73.17,2191200
2017-02-13,1486944000,73.49,73.83,73.17,73.57,3317100
2017-02-14,1487030400,73.66,74.08,73.35,74.04,3511200
2017-02-15,1487116800,74.39,74.68,73.35,74.22,5704100
2017-02-16,1487203200,74.09,74.22,73.58,74.13,4295000
2017-02-17,1487289600,73.86,74.39,73.56,74.32,2690300
2017-02-21,1487635200,74.52,75.01,74.25,74.56,3505500
2017-02-22,1487721600,74.43,74.56,74.02,74.46,2943000
2017-02-23,1487808000,74.47,75.01,74.38,74.64,3339500
2017-02-24,1487894400,74.37,74.49,73.9,74.37,3932300
2017-02-27,1488153600,74.36,74.88,74.21,74.75,2619400
2017-02-28,1488240000,74.7,75.05,74.38,74.65,4415300
