Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,17.0,17.35,16.52,17.15,23100
2017-01-04,1483488000,17.13,17.7,16.56,16.85,32200
2017-01-05,1483574400,16.9,17.71,16.7,17.02,48100
2017-01-06,1483660800,17.13,17.15,16.25,16.55,32300
2017-01-09,1483920000,16.71,17.45,16.25,16.75,16300
2017-01-10,1484006400,16.69,17.26,16.5,16.77,34000
2017-01-11,1484092800,16.65,17.22,16.2,16.47,26600
2017-01-12,1484179200,16.59,16.85,16.1,16.1,42700
2017-01-13,1484265600,16.51,16.88,16.1,16.88,17200
2017-01-17,1484611200,16.88,16.88,16.88,16.88,0
2017-01-18,1484697600,16.61,16.69,16.5,16.57,3200
2017-01-19,1484784000,16.5,16.57,16.4,16.4,1900
2017-01-20,1484870400,16.45,16.92,16.4,16.45,15700
2017-01-23,1485129600,16.4,16.56,16.2,16.38,10300
2017-01-24,1485216000,16.3,16.55,16.3,16.4,7700
2017-01-25,1485302400,16.35,16.44,16.3,16.41,10600
2017-01-26,1485388800,16.4,16.95,16.3,16.89,14400
2017-01-27,1485475200,16.8,17.4,16.42,16.65,14800
2017-01-30,1485734400,16.9,17.0,16.5,16.85,23100
2017-01-31,1485820800,16.7,17.6,16.5,16.64,19500
2017-02-01,1485907200,16.6,17.66,16.6,17.5,19000
2017-02-02,1485993600,17.72,18.3,16.76,17.96,20700
2017-02-03,1486080000,17.85,18.75,17.27,18.25,26300
2017-02-06,1486339200,18.4,18.4,17.26,17.55,9400
2017-02-07,1486425600,17.52,19.99,17.51,17.9,50900
2017-02-08,1486512000,17.85,17.85,17.14,17.47,8600
2017-02-09,1486598400,17.47,18.26,16.9,17.8,15200
2017-02-10,1486684800,17.65,18.08,17.3,17.7,28900
2017-02-13,1486944000,18.08,18.08,17.26,17.87,12100
2017-02-14,1487030400,18.15,18.16,17.27,17.5,16500
2017-02-15,1487116800,17.52,18.08,17.25,17.63,27100
2017-02-16,1487203200,17.65,17.65,16.7,17.14,13400
2017-02-17,1487289600,16.91,16.95,16.77,16.82,3900
2017-02-21,1487635200,17.02,17.49,17.02,17.2,6000
2017-02-22,1487721600,17.02,17.13,16.95,16.95,3900
2017-02-23,1487808000,16.81,17.13,16.8,16.8,3900
2017-02-24,1487894400,16.68,17.16,14.29,14.33,14700
2017-02-27,1488153600,15.21,17.48,15.21,16.89,31600
2017-02-28,1488240000,17.05,17.19,16.63,17.03,6700
2017-03-01,1488326400,17.5,17.5,16.74,17.05,10700
2017-03-02,1488412800,17.4,17.4,17.0,17.0,4200
2017-03-03,1488499200,17.43,17.43,16.95,16.95,500
2017-03-06,1488758400,17.22,17.22,16.65,17.1,7600
2017-03-07,1488844800,17.25,18.0,16.68,17.01,42700
2017-03-08,1488931200,17.27,17.45,16.39,16.5,21900
2017-03-09,1489017600,16.99,16.99,16.26,16.5,18300
2017-03-10,1489104000,16.6,16.74,16.54,16.7,17300
2017-03-13,1489363200,16.84,17.05,16.53,16.91,6400
2017-03-14,1489449600,17.04,17.75,16.5,17.24,32500
2017-03-15,1489536000,17.36,17.36,16.8,17.0,1900
2017-03-16,1489622400,16.82,16.97,16.2,16.45,13300
2017-03-17,1489708800,16.45,17.46,16.45,17.25,138100
2017-03-20,1489968000,17.25,17.5,17.06,17.34,3300
2017-03-21,1490054400,17.48,17.99,16.91,17.2,33200
2017-03-22,1490140800,17.2,17.32,17.06,17.06,2700
2017-03-23,1490227200,17.2,17.32,17.15,17.15,2800
2017-03-24,1490313600,17.29,17.63,17.1,17.46,2500
2017-03-27,1490572800,17.05,17.55,17.05,17.42,11200
2017-03-28,1490659200,17.56,17.95,17.56,17.94,4100
2017-03-29,1490745600,17.99,18.09,17.82,18.09,7800
2017-03-30,1490832000,18.5,18.65,18.22,18.31,32200
2017-03-31,1490918400,18.5,18.69,18.32,18.66,11400
2017-04-03,1491177600,18.59,21.75,18.59,21.75,10100
2017-04-04,1491264000,21.75,22.0,21.0,21.07,32000
2017-04-05,1491350400,21.4,21.53,19.87,19.98,15300
2017-04-06,1491436800,20.15,20.2,19.89,19.98,18200
2017-04-07,1491523200,19.96,20.0,19.25,19.25,11500
2017-04-10,1491782400,19.35,19.54,19.2,19.2,11900
2017-04-11,1491868800,19.95,19.95,19.2,19.2,23600
2017-04-12,1491955200,19.08,19.11,18.32,18.32,6400
2017-04-13,1492041600,18.47,18.75,18.32,18.45,4700
2017-04-17,1492387200,18.33,18.37,18.1,18.1,3400
2017-04-18,1492473600,18.0,18.3,18.0,18.3,2000
2017-04-19,1492560000,18.35,18.5,18.25,18.25,1900
2017-04-20,1492646400,18.01,18.17,16.67,16.84,6500
2017-04-21,1492732800,16.98,17.08,16.1,16.1,5900
2017-04-24,1492992000,16.25,16.74,16.11,16.39,4600
2017-04-25,1493078400,16.65,16.69,16.4,16.4,4400
2017-04-26,1493164800,16.5,16.6,16.3,16.37,7500
2017-04-27,1493251200,16.35,16.48,16.15,16.48,2100
2017-04-28,1493337600,16.28,17.14,16.28,16.73,32300
2017-05-01,1493596800,16.95,17.07,16.78,16.97,18900
2017-05-02,1493683200,16.87,17.08,16.77,16.8,40500
2017-05-03,1493769600,16.78,16.99,16.78,16.84,20700
2017-05-04,1493856000,16.77,16.89,16.77,16.89,800
2017-05-05,1493942400,16.77,16.91,16.28,16.42,3600
2017-05-08,1494201600,16.0,17.19,15.14,16.99,52100
2017-05-09,1494288000,17.0,17.5,17.0,17.3,6400
2017-05-10,1494374400,17.33,17.58,16.9,16.92,3200
2017-05-11,1494460800,17.0,17.0,16.58,16.58,2400
2017-05-12,1494547200,16.75,16.92,16.5,16.64,4500
