Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,130.94,134.22,128.82,132.16,220600
2017-01-04,1483488000,132.73,134.12,132.45,134.04,221800
2017-01-05,1483574400,133.9,134.45,133.22,134.36,199700
2017-01-06,1483660800,134.18,134.98,133.26,134.78,264600
2017-01-09,1483920000,135.05,135.34,133.51,133.56,169900
2017-01-10,1484006400,134.62,135.68,133.89,135.03,199800
2017-01-11,1484092800,134.29,134.65,132.13,133.87,162900
2017-01-12,1484179200,133.87,134.41,132.58,133.67,156300
2017-01-13,1484265600,133.69,133.86,131.51,131.96,209400
2017-01-17,1484611200,130.61,131.98,129.42,131.53,225500
2017-01-18,1484697600,132.12,133.11,130.79,132.32,238100
2017-01-19,1484784000,132.39,132.86,129.66,130.13,144700
2017-01-20,1484870400,130.34,131.07,129.32,131.04,183600
2017-01-23,1485129600,131.69,134.37,130.75,134.31,215800
2017-01-24,1485216000,135.03,136.33,133.84,135.65,348100
2017-01-25,1485302400,135.35,138.21,134.9,137.57,276900
2017-01-26,1485388800,138.14,138.14,134.93,135.03,359800
2017-01-27,1485475200,135.73,136.6,134.98,135.96,202000
2017-01-30,1485734400,135.04,136.52,134.04,134.27,137800
2017-01-31,1485820800,133.49,134.53,132.68,133.95,141000
2017-02-01,1485907200,135.34,135.6,133.29,133.64,166200
2017-02-02,1485993600,133.61,133.62,132.42,132.81,192200
2017-02-03,1486080000,133.85,134.67,133.43,134.18,211900
2017-02-06,1486339200,133.39,134.52,132.43,132.95,425500
2017-02-07,1486425600,133.4,139.08,133.4,136.55,822900
2017-02-08,1486512000,137.04,137.9,135.75,137.69,444000
2017-02-09,1486598400,137.24,139.22,137.24,139.12,380500
2017-02-10,1486684800,138.73,141.16,138.73,140.85,252700
2017-02-13,1486944000,141.34,142.24,138.63,138.73,171500
2017-02-14,1487030400,138.05,138.86,136.38,136.51,317500
2017-02-15,1487116800,136.91,137.91,136.55,137.43,291100
2017-02-16,1487203200,137.33,138.4,135.94,136.39,147800
2017-02-17,1487289600,136.04,136.9,135.05,136.05,246300
2017-02-21,1487635200,137.54,140.0,137.19,139.7,270700
2017-02-22,1487721600,139.13,140.12,138.88,139.86,200800
2017-02-23,1487808000,139.62,140.24,138.81,139.22,204500
2017-02-24,1487894400,136.59,137.87,135.85,137.24,278100
2017-02-27,1488153600,137.51,137.99,136.17,136.24,298500
2017-02-28,1488240000,135.42,136.6,133.67,134.72,262800
2017-03-01,1488326400,136.47,137.67,136.12,137.03,196400
2017-03-02,1488412800,136.11,136.49,134.99,135.16,278200
2017-03-03,1488499200,136.33,137.52,135.34,137.11,245700
2017-03-06,1488758400,137.4,137.81,135.14,135.66,218700
2017-03-07,1488844800,135.27,135.7,133.04,133.27,271800
2017-03-08,1488931200,133.43,133.43,131.01,131.33,311700
2017-03-09,1489017600,132.13,132.34,129.76,130.35,361900
2017-03-10,1489104000,130.11,130.97,128.38,129.48,457400
2017-03-13,1489363200,129.72,130.16,128.32,129.59,334200
2017-03-14,1489449600,129.25,129.58,128.47,128.96,312100
2017-03-15,1489536000,128.62,131.11,127.81,131.07,576800
2017-03-16,1489622400,132.02,134.26,131.53,133.9,412200
2017-03-17,1489708800,134.22,135.12,133.72,134.22,569600
2017-03-20,1489968000,134.22,134.63,133.75,134.17,421100
2017-03-21,1490054400,135.12,135.12,130.33,131.2,523400
2017-03-22,1490140800,130.3,132.24,129.83,132.05,417200
2017-03-23,1490227200,132.35,135.17,131.93,134.27,423300
2017-03-24,1490313600,135.03,136.52,134.17,134.39,367800
2017-03-27,1490572800,132.7,134.58,131.86,134.1,463500
2017-03-28,1490659200,133.95,137.47,133.95,135.95,442600
2017-03-29,1490745600,135.52,136.29,133.97,135.37,315700
2017-03-30,1490832000,134.49,135.58,134.23,135.22,335000
2017-03-31,1490918400,134.49,135.47,132.32,133.64,340500
2017-04-03,1491177600,134.49,134.49,132.77,133.72,343300
2017-04-04,1491264000,133.92,135.59,132.54,135.14,145000
2017-04-05,1491350400,135.94,136.34,134.22,134.52,148700
2017-04-06,1491436800,134.0,134.49,131.96,132.35,341400
2017-04-07,1491523200,132.39,132.39,130.97,131.09,211300
2017-04-10,1491782400,130.98,131.55,130.41,130.97,194400
2017-04-11,1491868800,130.91,132.68,129.85,130.99,284200
2017-04-12,1491955200,131.01,132.27,129.37,129.99,252800
2017-04-13,1492041600,130.17,130.59,128.0,128.11,281600
2017-04-17,1492387200,128.95,130.79,128.29,130.0,252300
2017-04-18,1492473600,129.16,129.49,127.42,128.53,324800
2017-04-19,1492560000,127.38,128.77,127.04,127.65,743000
2017-04-20,1492646400,128.85,130.72,128.01,130.38,334000
2017-04-21,1492732800,130.02,130.7,127.99,128.28,156000
2017-04-24,1492992000,130.09,130.86,127.22,127.74,373800
2017-04-25,1493078400,129.09,129.09,127.26,127.84,191500
2017-04-26,1493164800,128.13,128.83,127.05,127.97,246700
2017-04-27,1493251200,127.57,127.69,126.31,127.36,299300
2017-04-28,1493337600,127.84,128.83,126.96,128.78,233800
2017-05-01,1493596800,128.88,130.95,128.27,130.64,289300
2017-05-02,1493683200,131.03,131.94,130.41,131.86,249900
2017-05-03,1493769600,131.79,132.3,131.39,131.82,208000
2017-05-04,1493856000,130.84,132.42,130.84,131.63,313400
2017-05-05,1493942400,130.64,131.93,127.5,131.87,286400
2017-05-08,1494201600,131.41,132.51,129.92,131.84,274300
2017-05-09,1494288000,132.55,133.8,131.99,133.76,241400
2017-05-10,1494374400,134.52,137.23,133.66,136.4,445400
2017-05-11,1494460800,136.59,138.67,136.06,137.17,418000
2017-05-12,1494547200,136.31,141.05,136.18,140.18,542300
2017-05-15,1494806400,141.59,143.81,139.35,143.58,632100
2017-05-16,1494892800,143.13,143.95,141.77,143.07,264900
2017-05-17,1494979200,141.44,144.25,140.81,144.0,448700
2017-05-18,1495065600,142.56,144.13,140.88,142.77,561700
2017-05-19,1495152000,143.95,145.51,142.9,144.59,412400
2017-05-22,1495411200,144.37,146.52,144.31,145.78,595900
2017-05-23,1495497600,146.84,147.71,144.8,145.13,290000
2017-05-24,1495584000,144.36,145.71,143.89,144.15,287800
2017-05-25,1495670400,144.74,144.74,141.77,142.37,339900
2017-05-26,1495756800,141.82,142.8,141.1,141.64,354800
2017-05-30,1496102400,140.27,141.51,140.01,140.59,303500
2017-05-31,1496188800,140.32,142.48,139.71,140.4,327900
2017-06-01,1496275200,141.44,142.18,139.96,141.29,209200
2017-06-02,1496361600,141.32,141.46,140.29,140.6,181400
2017-06-05,1496620800,141.12,141.83,140.37,141.81,105800
2017-06-06,1496707200,141.31,144.2,140.14,144.15,304700
2017-06-07,1496793600,143.89,145.44,143.66,145.34,295500
2017-06-08,1496880000,145.85,146.73,143.9,144.51,336000
2017-06-09,1496966400,144.06,145.85,143.9,145.52,393500
2017-06-12,1497225600,144.99,146.41,142.92,144.88,237200
2017-06-13,1497312000,145.19,149.08,145.02,149.07,364000
2017-06-14,1497398400,150.16,151.63,148.15,150.83,375300
2017-06-15,1497484800,148.4,150.57,148.4,149.85,364400
2017-06-16,1497571200,149.98,150.55,149.1,149.66,328800
2017-06-19,1497830400,150.27,152.95,150.02,152.16,207700
2017-06-20,1497916800,151.44,153.39,150.47,152.54,356100
2017-06-21,1498003200,153.32,154.95,152.62,153.34,280800
2017-06-22,1498089600,153.58,155.13,151.33,151.61,287300
2017-06-23,1498176000,151.41,152.21,149.83,151.15,375300
2017-06-26,1498435200,152.04,153.38,150.43,151.1,137200
2017-06-27,1498521600,150.73,151.51,147.43,150.79,460100
2017-06-28,1498608000,151.1,152.25,150.51,150.93,534100
2017-06-29,1498694400,151.76,151.76,149.91,151.31,424300
2017-06-30,1498780800,151.45,152.43,149.8,150.35,397500
2017-07-03,1499040000,151.1,153.32,150.66,153.19,100600
2017-07-05,1499212800,152.28,153.06,150.86,152.85,219500
2017-07-06,1499299200,152.91,153.3,151.5,151.66,165800
2017-07-07,1499385600,151.92,153.27,150.57,152.56,136900
2017-07-10,1499644800,152.85,153.37,151.7,152.82,139000
2017-07-11,1499731200,153.17,155.0,152.14,154.65,191600
2017-07-12,1499817600,155.7,157.82,153.96,155.82,347100
2017-07-13,1499904000,156.02,156.38,153.89,155.38,324000
2017-07-14,1499990400,155.82,156.88,154.59,156.31,131200
2017-07-17,1500249600,155.78,156.37,154.75,155.44,138900
2017-07-18,1500336000,155.31,156.3,154.55,156.13,209900
2017-07-19,1500422400,156.66,156.73,154.31,155.52,203100
2017-07-20,1500508800,155.75,156.78,154.92,155.18,238100
2017-07-21,1500595200,154.7,155.91,154.7,155.55,105400
2017-07-24,1500854400,155.87,157.49,154.04,154.2,215800
2017-07-25,1500940800,154.64,155.49,153.67,155.34,165000
2017-07-26,1501027200,155.91,157.44,155.61,157.04,222200
2017-07-27,1501113600,157.4,157.69,156.11,157.61,216100
2017-07-28,1501200000,157.25,158.36,156.84,158.33,156500
2017-07-31,1501459200,158.35,159.1,155.05,155.17,344600
2017-08-01,1501545600,155.65,159.11,155.56,158.99,249000
2017-08-02,1501632000,158.06,158.91,156.39,157.55,284400
2017-08-03,1501718400,156.87,159.22,156.22,158.78,190700
2017-08-04,1501804800,159.24,159.66,157.82,158.49,118500
2017-08-07,1502064000,158.79,159.78,156.89,157.54,175000
2017-08-08,1502150400,157.77,163.98,157.65,163.83,266100
2017-08-09,1502236800,163.64,169.85,161.11,168.23,376900
2017-08-10,1502323200,167.2,167.2,162.12,162.22,176300
2017-08-11,1502409600,162.95,163.47,160.72,163.24,169400
2017-08-14,1502668800,163.48,165.46,163.02,165.42,176300
2017-08-15,1502755200,166.05,167.03,164.69,166.94,141500
