Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,23.38,23.43,23.18,23.2,3200
2017-01-04,1483488000,23.17,23.73,23.17,23.62,16400
2017-01-05,1483574400,23.64,24.07,23.56,24.07,8400
2017-01-06,1483660800,23.85,23.85,23.51,23.51,8500
2017-01-09,1483920000,23.67,23.69,23.42,23.67,7200
2017-01-10,1484006400,23.65,23.65,22.84,23.16,36100
2017-01-11,1484092800,23.01,23.29,22.97,23.05,4400
2017-01-12,1484179200,23.08,23.91,23.08,23.79,7200
2017-01-13,1484265600,23.8,24.35,23.73,24.2,26100
2017-01-17,1484611200,24.23,24.55,24.23,24.43,10500
2017-01-18,1484697600,24.3,24.4,24.08,24.11,17000
2017-01-19,1484784000,24.0,24.17,23.83,23.89,10400
2017-01-20,1484870400,23.88,24.04,23.71,23.82,6100
2017-01-23,1485129600,23.82,24.01,23.61,23.71,11700
2017-01-24,1485216000,24.03,24.31,23.96,24.09,10400
2017-01-25,1485302400,24.11,24.75,24.11,24.28,7700
2017-01-26,1485388800,24.46,24.55,24.02,24.07,10000
2017-01-27,1485475200,24.13,24.36,24.0,24.02,17100
2017-01-30,1485734400,23.94,24.36,23.91,24.21,5500
2017-01-31,1485820800,24.23,24.36,23.59,23.59,17800
2017-02-01,1485907200,24.11,24.18,23.63,23.7,20100
2017-02-02,1485993600,23.71,24.0,23.7,24.0,3400
2017-02-03,1486080000,23.91,24.23,23.88,24.21,4200
2017-02-06,1486339200,24.06,24.06,23.55,23.74,7400
2017-02-07,1486425600,23.63,23.9,23.55,23.9,9900
2017-02-08,1486512000,23.84,24.23,23.79,24.18,7700
2017-02-09,1486598400,24.16,24.54,24.11,24.52,16300
2017-02-10,1486684800,24.51,25.55,24.51,25.25,16600
2017-02-13,1486944000,25.39,25.58,25.25,25.39,13300
2017-02-14,1487030400,25.45,25.45,25.12,25.31,4900
2017-02-15,1487116800,25.39,25.39,25.12,25.13,6800
2017-02-16,1487203200,25.15,25.41,25.15,25.36,8400
2017-02-17,1487289600,25.39,25.39,25.09,25.35,12600
2017-02-21,1487635200,25.26,25.39,25.17,25.25,3400
2017-02-22,1487721600,25.23,25.23,25.0,25.11,8800
2017-02-23,1487808000,25.14,25.39,25.12,25.23,7800
2017-02-24,1487894400,25.18,25.18,24.7,24.75,3900
2017-02-27,1488153600,24.67,24.89,24.58,24.62,3000
2017-02-28,1488240000,24.56,24.63,24.42,24.55,2500
2017-03-01,1488326400,24.69,25.0,24.33,24.8,15000
2017-03-02,1488412800,24.84,24.87,24.48,24.48,6500
2017-03-03,1488499200,24.48,24.59,24.12,24.4,19600
2017-03-06,1488758400,24.22,24.22,23.72,23.75,11100
2017-03-07,1488844800,23.78,23.99,23.76,23.9,5800
2017-03-08,1488931200,23.77,23.85,23.6,23.66,7700
2017-03-09,1489017600,23.59,24.15,23.59,24.15,7900
2017-03-10,1489104000,24.0,24.45,24.0,24.3,9400
2017-03-13,1489363200,24.36,24.67,24.19,24.21,9000
2017-03-14,1489449600,24.11,24.32,24.11,24.19,13400
2017-03-15,1489536000,24.3,24.63,24.23,24.54,16100
2017-03-16,1489622400,24.38,24.84,24.14,24.14,12000
2017-03-17,1489708800,24.25,24.75,24.19,24.2,24500
2017-03-20,1489968000,24.25,24.25,23.76,23.88,10700
2017-03-21,1490054400,23.91,23.95,23.38,23.39,11600
2017-03-22,1490140800,23.49,23.49,23.05,23.05,10900
2017-03-23,1490227200,23.09,23.56,23.09,23.41,16600
2017-03-24,1490313600,23.41,23.79,23.41,23.75,18000
2017-03-27,1490572800,23.54,23.87,23.36,23.79,14700
2017-03-28,1490659200,23.72,24.0,23.21,23.21,11900
2017-03-29,1490745600,23.65,23.87,23.56,23.8,10000
2017-03-30,1490832000,23.69,24.23,23.69,24.21,7600
2017-03-31,1490918400,24.16,24.19,23.81,23.84,8300
2017-04-03,1491177600,23.88,23.89,23.48,23.69,7600
2017-04-04,1491264000,23.67,23.98,23.55,23.72,11800
2017-04-05,1491350400,23.7,23.7,23.41,23.57,3500
2017-04-06,1491436800,23.51,23.66,23.4,23.66,5200
2017-04-07,1491523200,23.44,23.77,23.44,23.64,2500
2017-04-10,1491782400,23.43,23.9,23.41,23.75,2400
2017-04-11,1491868800,23.62,23.81,23.62,23.81,4100
2017-04-12,1491955200,23.71,23.84,23.5,23.6,3600
2017-04-13,1492041600,23.5,23.64,23.41,23.41,3400
2017-04-17,1492387200,23.37,23.87,23.37,23.56,3100
2017-04-18,1492473600,23.45,23.66,23.39,23.42,2600
2017-04-19,1492560000,23.42,24.11,23.42,24.11,5800
2017-04-20,1492646400,24.19,24.76,24.12,24.54,16000
2017-04-21,1492732800,24.75,25.15,24.43,25.15,8000
2017-04-24,1492992000,25.16,25.5,25.16,25.43,4400
2017-04-25,1493078400,25.28,25.28,24.93,25.13,10100
2017-04-26,1493164800,25.15,25.3,25.07,25.11,11600
2017-04-27,1493251200,25.18,25.44,25.18,25.36,3100
2017-04-28,1493337600,25.37,25.68,25.22,25.6,5100
2017-05-01,1493596800,25.6,26.03,25.42,25.84,13800
2017-05-02,1493683200,25.89,25.89,25.74,25.75,1100
2017-05-03,1493769600,25.69,25.69,25.36,25.51,7400
2017-05-04,1493856000,25.68,25.76,25.31,25.31,4200
2017-05-05,1493942400,25.43,25.84,25.43,25.84,11800
2017-05-08,1494201600,25.97,26.08,25.89,25.89,14700
2017-05-09,1494288000,26.01,26.06,25.81,25.98,9400
2017-05-10,1494374400,26.01,26.34,25.72,26.33,6300
2017-05-11,1494460800,26.39,26.81,26.39,26.51,7300
2017-05-12,1494547200,26.56,26.58,26.02,26.27,8200
2017-05-15,1494806400,26.1,26.34,25.88,26.12,9600
2017-05-16,1494892800,26.19,26.24,25.79,25.97,17900
2017-05-17,1494979200,25.71,25.71,25.23,25.28,7400
2017-05-18,1495065600,25.21,25.5,24.95,25.19,8100
2017-05-19,1495152000,25.24,26.18,25.24,26.18,3700
2017-05-22,1495411200,26.16,26.97,25.91,26.61,9200
2017-05-23,1495497600,26.63,26.63,25.86,26.17,6400
2017-05-24,1495584000,26.19,26.38,25.99,26.25,2600
2017-05-25,1495670400,26.5,26.5,25.87,25.87,3300
2017-05-26,1495756800,26.14,26.24,25.89,26.06,4900
2017-05-30,1496102400,26.18,26.18,25.22,25.49,10700
2017-05-31,1496188800,25.46,25.66,25.32,25.66,6400
2017-06-01,1496275200,25.84,25.98,25.3,25.56,7400
2017-06-02,1496361600,25.51,25.77,25.51,25.77,4700
2017-06-05,1496620800,25.81,25.81,25.7,25.75,3200
2017-06-06,1496707200,25.72,25.87,25.59,25.59,10400
2017-06-07,1496793600,25.44,25.56,25.26,25.32,2100
2017-06-08,1496880000,25.33,25.36,25.16,25.36,1900
2017-06-09,1496966400,25.37,25.7,25.37,25.63,1600
2017-06-12,1497225600,25.56,26.11,25.56,26.11,2900
2017-06-13,1497312000,26.12,26.24,26.07,26.12,2300
2017-06-14,1497398400,26.21,26.21,25.85,25.85,2100
2017-06-15,1497484800,25.88,25.88,25.61,25.87,3300
2017-06-16,1497571200,25.8,26.15,25.66,26.15,2000
2017-06-19,1497830400,25.92,26.08,25.74,25.83,5200
2017-06-20,1497916800,25.63,25.88,25.63,25.68,1900
2017-06-21,1498003200,25.63,25.76,25.51,25.57,3600
2017-06-22,1498089600,25.74,26.29,25.74,25.99,4300
2017-06-23,1498176000,26.17,26.17,25.69,26.04,6800
2017-06-26,1498435200,26.04,26.07,25.65,25.72,8700
2017-06-27,1498521600,25.83,26.16,25.79,26.0,2400
2017-06-28,1498608000,26.0,26.26,26.0,26.19,10900
2017-06-29,1498694400,26.35,26.35,26.0,26.22,3400
2017-06-30,1498780800,26.35,26.35,26.07,26.23,3100
2017-07-03,1499040000,26.27,26.33,26.27,26.33,500
2017-07-05,1499212800,26.34,26.49,26.29,26.49,7200
2017-07-06,1499299200,26.39,26.52,26.28,26.37,5500
2017-07-07,1499385600,26.37,26.44,26.33,26.39,2600
2017-07-10,1499644800,26.54,26.54,26.23,26.24,7700
2017-07-11,1499731200,26.37,26.38,26.23,26.38,2900
2017-07-12,1499817600,26.35,26.82,26.35,26.58,6100
2017-07-13,1499904000,26.75,26.75,26.55,26.72,8000
2017-07-14,1499990400,26.63,27.06,26.63,27.06,3700
2017-07-17,1500249600,27.04,27.39,26.88,27.35,8100
2017-07-18,1500336000,27.13,27.4,27.13,27.16,4100
2017-07-19,1500422400,27.27,27.39,27.14,27.3,2300
2017-07-20,1500508800,27.26,27.38,27.03,27.38,2300
2017-07-21,1500595200,27.19,27.64,27.02,27.35,5300
2017-07-24,1500854400,27.51,27.59,27.23,27.49,4100
2017-07-25,1500940800,27.38,27.74,27.31,27.61,5100
2017-07-26,1501027200,27.62,28.13,27.62,28.07,7600
2017-07-27,1501113600,28.05,28.15,27.56,27.75,7000
2017-07-28,1501200000,27.86,28.07,27.68,27.68,5500
2017-07-31,1501459200,27.94,27.94,26.88,26.88,6800
