Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,52.84,54.16,52.84,53.82,3473991
2017-01-04,1483488000,54.16,55.33,54.16,54.44,3990933
2017-01-05,1483574400,52.26,52.47,49.31,50.15,10058666
2017-01-06,1483660800,49.74,49.96,49.32,49.5,5098296
2017-01-09,1483920000,49.42,50.06,49.04,49.56,3139753
2017-01-10,1484006400,49.36,50.39,49.17,49.6,2583846
2017-01-11,1484092800,49.55,49.77,48.95,49.53,2997870
2017-01-12,1484179200,49.29,49.47,48.59,49.08,2836070
2017-01-13,1484265600,48.91,49.33,48.54,49.06,2629615
2017-01-17,1484611200,49.19,50.32,49.19,49.43,2940596
2017-01-18,1484697600,49.45,50.08,48.63,50.02,3521986
2017-01-19,1484784000,49.98,50.12,48.75,49.25,2945544
2017-01-20,1484870400,49.34,49.78,49.13,49.59,2608709
2017-01-23,1485129600,49.54,49.77,49.03,49.44,2350919
2017-01-24,1485216000,49.72,50.03,49.5,49.75,2509873
2017-01-25,1485302400,49.94,50.32,49.8,50.0,2161534
2017-01-26,1485388800,50.02,50.17,49.26,49.52,3364269
2017-01-27,1485475200,49.66,49.84,47.49,47.7,4630957
2017-01-30,1485734400,47.66,47.88,47.21,47.46,6096926
2017-01-31,1485820800,47.05,48.71,47.03,48.67,5507495
2017-02-01,1485907200,48.78,48.83,47.36,47.53,4124282
2017-02-02,1485993600,47.31,48.88,46.47,47.92,5152847
2017-02-03,1486080000,48.01,48.51,47.52,48.16,2358712
2017-02-06,1486339200,48.12,48.35,47.54,47.82,2292780
2017-02-07,1486425600,48.0,48.19,47.05,47.11,2907197
2017-02-08,1486512000,47.24,47.57,46.97,47.42,3426737
2017-02-09,1486598400,47.42,48.42,47.28,47.63,4481280
2017-02-10,1486684800,47.67,48.41,47.27,47.63,4143455
2017-02-13,1486944000,48.0,48.24,46.7,46.74,3931928
2017-02-14,1487030400,46.73,47.45,46.56,47.0,4752678
2017-02-15,1487116800,46.64,47.19,46.52,47.07,3930320
2017-02-16,1487203200,47.1,47.31,46.2,46.47,3678838
2017-02-17,1487289600,45.97,46.5,45.28,46.49,4782613
2017-02-21,1487635200,46.79,47.49,46.43,46.65,5284464
2017-02-22,1487721600,46.65,47.15,46.23,46.99,7509580
2017-02-23,1487808000,40.82,41.23,38.75,39.56,34384765
2017-02-24,1487894400,39.39,41.7,39.25,41.22,13244930
2017-02-27,1488153600,41.0,42.67,40.84,42.35,7674101
2017-02-28,1488240000,42.35,42.6,41.72,42.54,6084061
2017-03-01,1488326400,42.79,43.0,42.13,42.7,5000201
2017-03-02,1488412800,43.05,43.42,42.68,43.18,6794470
2017-03-03,1488499200,43.04,43.23,41.74,42.31,4017529
2017-03-06,1488758400,42.13,42.26,41.37,41.58,4844216
2017-03-07,1488844800,41.41,41.82,40.42,40.56,4429079
2017-03-08,1488931200,40.48,41.33,40.36,41.16,4607701
2017-03-09,1489017600,41.03,41.22,40.3,40.47,3310831
2017-03-10,1489104000,40.79,40.88,40.36,40.66,4205800
2017-03-13,1489363200,40.66,41.33,40.03,40.3,4964947
2017-03-14,1489449600,40.09,40.76,40.02,40.53,2868232
2017-03-15,1489536000,40.47,41.12,40.17,40.97,3967430
2017-03-16,1489622400,40.99,41.21,40.23,40.4,4810075
2017-03-17,1489708800,41.16,41.45,40.79,41.37,12728483
2017-03-20,1489968000,41.43,41.46,40.47,40.79,4379104
2017-03-21,1490054400,40.96,40.98,39.22,39.76,5245499
