Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,82.26,82.26,80.98,81.48,165400
2017-01-04,1483488000,81.7,83.38,79.64,82.97,151500
2017-01-05,1483574400,82.75,83.04,81.75,82.19,81700
2017-01-06,1483660800,82.44,82.44,80.44,81.22,107200
2017-01-09,1483920000,80.6,81.62,80.24,81.23,168900
2017-01-10,1484006400,80.95,81.63,78.95,80.92,81000
2017-01-11,1484092800,80.99,82.13,80.89,81.99,85300
2017-01-12,1484179200,81.48,82.0,80.41,81.56,78800
2017-01-13,1484265600,81.91,82.77,81.25,81.81,87300
2017-01-17,1484611200,81.29,81.29,80.23,80.23,149200
2017-01-18,1484697600,80.38,81.09,79.53,80.34,65300
2017-01-19,1484784000,80.52,80.68,79.32,79.78,94300
2017-01-20,1484870400,79.74,80.56,78.88,79.3,132800
2017-01-23,1485129600,78.77,80.84,78.77,80.56,66100
2017-01-24,1485216000,80.66,82.9,80.56,82.64,80800
2017-01-25,1485302400,83.17,84.06,82.27,83.79,85100
2017-01-26,1485388800,83.67,83.96,82.19,82.65,57700
2017-01-27,1485475200,82.71,83.77,82.12,83.58,82700
2017-01-30,1485734400,83.35,83.7,81.38,83.3,133800
2017-01-31,1485820800,83.26,83.7,82.28,83.42,165900
2017-02-01,1485907200,83.99,85.13,83.82,84.8,126300
2017-02-02,1485993600,84.66,85.1,81.53,81.71,122700
2017-02-03,1486080000,82.36,82.94,81.74,82.84,85500
2017-02-06,1486339200,82.58,82.61,81.7,82.44,53600
2017-02-07,1486425600,82.6,82.6,80.42,81.05,80500
2017-02-08,1486512000,80.82,81.5,79.86,81.11,68300
2017-02-09,1486598400,81.15,83.43,81.15,83.18,66600
2017-02-10,1486684800,83.47,84.35,82.57,84.17,69400
2017-02-13,1486944000,84.41,85.05,83.5,83.98,97400
2017-02-14,1487030400,83.43,83.43,81.4,81.9,132700
2017-02-15,1487116800,82.43,83.9,81.52,83.71,92100
2017-02-16,1487203200,84.01,84.01,82.16,82.23,132500
2017-02-17,1487289600,82.2,82.42,81.6,82.07,134300
2017-02-21,1487635200,82.57,83.79,81.6,83.57,138400
2017-02-22,1487721600,83.19,83.67,82.06,82.54,84300
2017-02-23,1487808000,82.62,82.96,81.13,82.67,108600
2017-02-24,1487894400,82.58,83.17,81.53,82.44,91300
2017-02-27,1488153600,82.43,83.59,82.43,83.0,177000
2017-02-28,1488240000,84.28,87.46,82.95,85.3,266400
2017-03-01,1488326400,86.22,87.58,85.72,87.32,182600
2017-03-02,1488412800,87.56,87.56,85.93,86.25,126600
2017-03-03,1488499200,86.16,86.27,84.74,84.84,117900
2017-03-06,1488758400,84.38,84.85,83.52,84.02,105000
