Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,1.75,1.8,1.65,1.75,685300
2017-01-04,1483488000,1.75,1.8,1.75,1.75,320300
2017-01-05,1483574400,1.8,1.9,1.75,1.85,599200
2017-01-06,1483660800,1.9,2.0,1.85,1.9,378400
2017-01-09,1483920000,1.95,1.95,1.8,1.85,324400
2017-01-10,1484006400,1.9,1.95,1.8,1.85,192400
2017-01-11,1484092800,1.9,1.9,1.8,1.9,226800
2017-01-12,1484179200,1.9,1.95,1.8,1.95,417100
2017-01-13,1484265600,1.9,2.0,1.9,2.0,362500
2017-01-17,1484611200,1.9,1.95,1.85,1.85,471400
2017-01-18,1484697600,1.9,1.9,1.8,1.85,628900
2017-01-19,1484784000,1.9,1.9,1.85,1.85,132000
2017-01-20,1484870400,1.85,1.9,1.85,1.9,69600
2017-01-23,1485129600,1.9,1.9,1.85,1.9,96400
2017-01-24,1485216000,1.9,1.9,1.8,1.8,206300
2017-01-25,1485302400,1.8,1.85,1.75,1.8,366600
2017-01-26,1485388800,1.8,1.9,1.8,1.9,139800
2017-01-27,1485475200,1.85,1.95,1.85,1.95,187000
2017-01-30,1485734400,1.95,2.0,1.9,2.0,244700
2017-01-31,1485820800,2.0,2.0,1.92,1.95,191900
2017-02-01,1485907200,1.95,2.05,1.8,1.9,955000
2017-02-02,1485993600,2.0,2.05,1.8,1.88,532300
2017-02-03,1486080000,1.9,1.95,1.78,1.85,1411000
2017-02-06,1486339200,1.85,1.9,1.8,1.8,600500
2017-02-07,1486425600,1.85,1.95,1.8,1.95,412900
2017-02-08,1486512000,1.9,2.01,1.9,1.98,354800
2017-02-09,1486598400,2.05,2.1,2.0,2.05,372800
2017-02-10,1486684800,2.1,2.1,2.0,2.05,478200
2017-02-13,1486944000,2.05,2.05,2.0,2.0,246800
2017-02-14,1487030400,2.0,2.05,1.99,2.05,301500
2017-02-15,1487116800,2.0,2.03,1.9,1.9,284600
2017-02-16,1487203200,1.9,1.95,1.85,1.88,342300
2017-02-17,1487289600,1.85,1.9,1.8,1.88,436300
2017-02-21,1487635200,1.9,1.9,1.8,1.9,387600
2017-02-22,1487721600,1.9,2.06,1.88,2.05,916500
2017-02-23,1487808000,2.1,2.1,1.9,1.9,618200
2017-02-24,1487894400,1.95,1.95,1.85,1.88,580400
2017-02-27,1488153600,1.9,2.0,1.85,2.0,450200
2017-02-28,1488240000,2.0,2.05,1.95,2.0,341300
2017-03-01,1488326400,2.1,2.1,2.0,2.03,520500
2017-03-02,1488412800,2.05,2.1,2.0,2.05,368000
2017-03-03,1488499200,2.05,2.05,2.0,2.03,164900
2017-03-06,1488758400,2.05,2.08,1.95,2.05,450700
2017-03-07,1488844800,2.05,2.06,2.0,2.05,190200
2017-03-08,1488931200,2.1,2.1,2.0,2.05,256100
2017-03-09,1489017600,2.05,2.1,2.0,2.0,441100
2017-03-10,1489104000,2.0,2.15,2.0,2.0,1128600
2017-03-13,1489363200,2.05,2.1,2.0,2.0,293500
2017-03-14,1489449600,2.05,2.1,2.0,2.08,266500
2017-03-15,1489536000,2.05,2.1,2.0,2.0,184500
2017-03-16,1489622400,2.0,2.05,2.0,2.0,301600
2017-03-17,1489708800,2.0,2.05,1.9,1.9,743400
2017-03-20,1489968000,1.95,2.0,1.85,1.9,519100
2017-03-21,1490054400,1.9,1.95,1.85,1.9,488100
2017-03-22,1490140800,1.9,1.95,1.9,1.93,259800
2017-03-23,1490227200,1.95,1.95,1.9,1.93,344500
2017-03-24,1490313600,1.95,1.95,1.75,1.75,975400
2017-03-27,1490572800,1.8,1.9,1.76,1.9,410000
2017-03-28,1490659200,1.9,1.95,1.9,1.9,284600
2017-03-29,1490745600,1.9,1.95,1.85,1.9,349400
2017-03-30,1490832000,1.85,1.93,1.85,1.88,122400
2017-03-31,1490918400,2.05,2.1,1.9,1.9,869000
2017-04-03,1491177600,1.9,1.95,1.85,1.88,346000
2017-04-04,1491264000,1.9,1.9,1.75,1.75,608900
2017-04-05,1491350400,1.8,1.85,1.75,1.75,485600
2017-04-06,1491436800,1.75,1.8,1.7,1.8,302500
2017-04-07,1491523200,1.8,1.85,1.75,1.78,479000
2017-04-10,1491782400,1.75,1.85,1.75,1.75,220300
2017-04-11,1491868800,1.8,1.85,1.7,1.7,484500
2017-04-12,1491955200,1.7,1.75,1.7,1.7,441200
2017-04-13,1492041600,1.75,1.78,1.69,1.7,469100
2017-04-17,1492387200,1.7,1.75,1.68,1.7,345400
2017-04-18,1492473600,1.7,1.73,1.55,1.65,590100
2017-04-19,1492560000,1.7,1.75,1.55,1.6,738800
2017-04-20,1492646400,1.6,1.7,1.6,1.65,195200
2017-04-21,1492732800,1.65,1.7,1.6,1.6,400200
2017-04-24,1492992000,1.65,1.75,1.6,1.7,506000
2017-04-25,1493078400,1.7,1.78,1.7,1.7,253800
2017-04-26,1493164800,1.7,1.8,1.7,1.7,117700
2017-04-27,1493251200,1.7,1.75,1.65,1.7,396500
2017-04-28,1493337600,1.7,1.85,1.65,1.83,349500
2017-05-01,1493596800,1.85,1.85,1.7,1.75,266400
2017-05-02,1493683200,1.95,2.0,1.7,1.7,3030900
2017-05-03,1493769600,1.7,1.8,1.65,1.75,362300
2017-05-04,1493856000,1.8,1.85,1.7,1.8,506800
2017-05-05,1493942400,1.8,1.85,1.75,1.85,202400
2017-05-08,1494201600,1.85,1.95,1.8,1.95,465200
2017-05-09,1494288000,1.95,2.0,1.88,1.95,684100
2017-05-10,1494374400,1.95,1.95,1.84,1.85,338500
2017-05-11,1494460800,1.85,1.95,1.8,1.9,441700
2017-05-12,1494547200,1.9,1.95,1.9,1.9,848600
2017-05-15,1494806400,1.95,2.05,1.9,2.0,1793000
2017-05-16,1494892800,2.1,2.15,1.9,1.95,1735200
2017-05-17,1494979200,2.05,2.1,2.0,2.05,1382500
2017-05-18,1495065600,2.1,2.35,2.05,2.3,2223000
2017-05-19,1495152000,2.3,2.55,2.3,2.45,2196500
2017-05-22,1495411200,2.5,2.55,2.35,2.35,868800
2017-05-23,1495497600,2.4,2.4,2.25,2.3,636400
2017-05-24,1495584000,2.3,2.35,2.2,2.2,417300
2017-05-25,1495670400,2.2,2.25,2.15,2.2,472600
2017-05-26,1495756800,2.3,2.45,2.25,2.4,1105400
2017-05-30,1496102400,2.45,2.5,2.3,2.35,634800
2017-05-31,1496188800,2.3,2.33,2.2,2.2,546500
2017-06-01,1496275200,2.25,2.4,2.21,2.3,500000
2017-06-02,1496361600,2.3,2.4,2.25,2.35,332200
2017-06-05,1496620800,2.3,2.35,2.25,2.25,405500
2017-06-06,1496707200,2.25,2.3,2.2,2.3,780000
2017-06-07,1496793600,2.3,2.3,2.2,2.25,454300
2017-06-08,1496880000,2.25,2.3,2.17,2.25,662800
2017-06-09,1496966400,2.2,2.3,2.2,2.3,231600
2017-06-12,1497225600,2.3,2.3,2.2,2.28,338500
2017-06-13,1497312000,2.25,2.3,2.2,2.28,372000
2017-06-14,1497398400,2.25,2.3,2.2,2.3,325700
2017-06-15,1497484800,2.3,2.3,2.2,2.3,213900
2017-06-16,1497571200,2.25,2.3,2.25,2.3,309300
2017-06-19,1497830400,2.3,2.35,2.25,2.35,362800
