Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,27.9,28.31,27.67,28.04,256100
2017-01-04,1483488000,28.18,28.4,27.99,28.27,287400
2017-01-05,1483574400,28.27,28.45,27.77,27.9,260700
2017-01-06,1483660800,27.95,27.95,27.45,27.81,205600
2017-01-09,1483920000,27.72,27.75,27.49,27.49,293400
2017-01-10,1484006400,27.63,28.29,27.63,28.22,314500
2017-01-11,1484092800,28.18,28.39,27.86,28.31,343400
2017-01-12,1484179200,28.36,28.36,27.67,28.22,234100
2017-01-13,1484265600,28.36,28.54,28.09,28.09,371800
2017-01-17,1484611200,28.09,28.13,27.31,27.45,343000
2017-01-18,1484697600,27.58,27.58,27.17,27.54,469800
2017-01-19,1484784000,27.45,27.81,27.02,27.08,286600
2017-01-20,1484870400,27.31,27.63,27.17,27.4,292300
2017-01-23,1485129600,27.31,27.4,27.08,27.31,144800
2017-01-24,1485216000,27.49,27.84,27.49,27.58,395500
2017-01-25,1485302400,27.86,28.13,27.67,27.95,364800
2017-01-26,1485388800,27.95,28.09,27.77,27.9,368800
2017-01-27,1485475200,27.86,28.09,27.86,27.99,336100
2017-01-30,1485734400,27.77,27.95,27.4,27.86,467300
2017-01-31,1485820800,27.9,28.04,27.4,27.9,485400
2017-02-01,1485907200,28.22,28.36,27.84,28.09,387300
2017-02-02,1485993600,28.09,28.13,27.72,27.81,316800
2017-02-03,1486080000,27.9,28.27,27.9,28.18,398600
2017-02-06,1486339200,28.18,28.18,27.67,27.81,227100
2017-02-07,1486425600,27.95,28.13,27.45,27.67,410400
2017-02-08,1486512000,27.49,28.5,27.08,28.09,864300
2017-02-09,1486598400,28.5,29.91,28.5,29.86,929400
2017-02-10,1486684800,30.09,30.5,29.04,29.18,484700
2017-02-13,1486944000,29.23,29.86,28.95,29.32,767600
2017-02-14,1487030400,29.32,29.64,29.0,29.54,423200
2017-02-15,1487116800,29.5,30.18,29.45,30.0,422000
2017-02-16,1487203200,29.95,30.09,29.41,29.86,370400
2017-02-17,1487289600,29.86,29.86,29.45,29.73,615800
2017-02-21,1487635200,29.68,29.95,29.54,29.73,328500
2017-02-22,1487721600,29.64,29.82,29.5,29.68,185500
2017-02-23,1487808000,29.59,29.73,29.23,29.5,246900
2017-02-24,1487894400,29.09,29.41,29.04,29.32,230800
2017-02-27,1488153600,29.04,29.36,28.81,29.18,350900
2017-02-28,1488240000,29.09,29.09,28.34,28.36,396500
2017-03-01,1488326400,28.72,29.13,28.59,29.04,474600
2017-03-02,1488412800,28.95,29.18,28.75,28.86,194700
2017-03-03,1488499200,28.77,29.09,28.52,28.63,246500
2017-03-06,1488758400,28.59,28.59,28.22,28.22,288600
2017-03-07,1488844800,28.27,28.63,28.18,28.4,316200
2017-03-08,1488931200,28.54,28.68,28.31,28.4,242000
2017-03-09,1489017600,28.27,28.54,28.18,28.27,157900
2017-03-10,1489104000,28.36,28.63,28.09,28.13,238500
2017-03-13,1489363200,28.18,28.36,28.12,28.27,171100
2017-03-14,1489449600,28.27,28.86,28.22,28.77,225400
2017-03-15,1489536000,28.86,29.32,28.86,29.13,240900
2017-03-16,1489622400,29.23,29.66,29.13,29.5,288500
2017-03-17,1489708800,29.68,29.91,29.23,29.86,588800
2017-03-20,1489968000,29.86,29.91,29.23,29.27,204500
2017-03-21,1490054400,29.36,29.41,28.4,28.54,267600
2017-03-22,1490140800,28.59,29.09,28.54,29.04,422900
2017-03-23,1490227200,29.04,29.32,28.91,29.18,250200
2017-03-24,1490313600,29.27,29.45,28.95,29.18,254700
2017-03-27,1490572800,28.72,29.41,28.31,29.32,208800
2017-03-28,1490659200,29.23,29.36,28.91,29.18,289900
2017-03-29,1490745600,29.13,29.27,28.91,29.09,205600
2017-03-30,1490832000,29.09,29.27,28.91,29.18,358500
2017-03-31,1490918400,29.13,29.3,28.91,29.0,347900
2017-04-03,1491177600,29.04,29.09,28.31,28.54,287800
2017-04-04,1491264000,28.54,28.93,28.45,28.59,214800
2017-04-05,1491350400,28.68,28.81,28.04,28.13,283000
2017-04-06,1491436800,28.22,28.54,27.99,28.4,237400
2017-04-07,1491523200,28.36,28.45,27.99,28.22,326200
2017-04-10,1491782400,28.22,28.72,27.95,28.09,200900
2017-04-11,1491868800,28.04,28.48,27.81,28.36,222600
2017-04-12,1491955200,28.31,28.45,27.81,28.04,130100
2017-04-13,1492041600,27.99,28.18,27.63,27.67,201200
2017-04-17,1492387200,27.81,28.2,27.77,28.13,190400
2017-04-18,1492473600,28.13,28.27,27.81,28.22,131000
2017-04-19,1492560000,28.36,28.63,28.18,28.4,190300
2017-04-20,1492646400,28.22,29.64,28.22,29.27,730400
2017-04-21,1492732800,29.13,29.13,28.27,28.27,430200
2017-04-24,1492992000,28.63,29.0,28.5,28.86,479900
2017-04-25,1493078400,29.09,29.45,28.77,29.18,317800
2017-04-26,1493164800,29.18,29.62,28.86,29.13,377300
2017-04-27,1493251200,29.13,29.54,29.13,29.45,358800
2017-04-28,1493337600,29.54,29.64,28.84,28.91,233800
2017-05-01,1493596800,29.0,29.36,28.81,29.27,500500
2017-05-02,1493683200,29.36,29.36,28.93,29.04,219400
2017-05-03,1493769600,28.86,29.0,28.72,28.86,249900
2017-05-04,1493856000,29.0,29.27,28.86,29.09,251000
2017-05-05,1493942400,29.18,29.27,28.68,29.18,297500
2017-05-08,1494201600,29.09,29.82,29.09,29.32,450400
2017-05-09,1494288000,29.32,29.73,29.04,29.41,306100
2017-05-10,1494374400,29.41,29.5,28.95,29.36,243400
2017-05-11,1494460800,29.18,29.5,28.86,29.36,277200
2017-05-12,1494547200,29.18,29.5,29.13,29.27,312700
2017-05-15,1494806400,29.41,29.54,29.18,29.41,220200
2017-05-16,1494892800,29.5,29.58,29.16,29.54,300800
2017-05-17,1494979200,29.54,29.54,28.22,28.27,282000
2017-05-18,1495065600,28.13,28.36,27.98,28.09,303700
2017-05-19,1495152000,28.13,28.68,28.13,28.4,477300
2017-05-22,1495411200,28.5,29.0,28.36,28.91,238800
