Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,53.01,53.01,51.73,52.16,440800
2017-01-04,1483488000,52.39,53.13,51.84,52.41,650300
2017-01-05,1483574400,52.47,53.01,51.98,52.41,263100
2017-01-06,1483660800,52.18,52.98,52.18,52.77,208000
2017-01-09,1483920000,52.99,53.0,52.5,52.72,373100
2017-01-10,1484006400,52.73,53.22,52.41,52.6,492300
2017-01-11,1484092800,52.72,53.09,52.57,52.73,417500
2017-01-12,1484179200,52.92,53.12,52.15,52.53,191000
2017-01-13,1484265600,52.54,52.92,52.21,52.69,267800
2017-01-17,1484611200,52.87,53.3,52.66,53.21,200100
2017-01-18,1484697600,53.26,53.97,53.07,53.62,244600
2017-01-19,1484784000,53.18,53.61,53.01,53.06,733300
2017-01-20,1484870400,52.98,53.54,52.84,53.05,232700
2017-01-23,1485129600,53.15,53.4,52.89,53.19,186600
2017-01-24,1485216000,53.22,53.65,53.1,53.33,213800
2017-01-25,1485302400,53.49,54.03,53.28,53.57,295900
2017-01-26,1485388800,53.75,54.04,53.47,53.75,220200
2017-01-27,1485475200,53.84,53.92,53.23,53.51,294500
2017-01-30,1485734400,53.53,53.53,52.43,53.05,839900
2017-01-31,1485820800,53.23,53.97,52.75,53.91,457400
2017-02-01,1485907200,53.5,53.9,52.56,52.9,267500
2017-02-02,1485993600,53.42,53.86,52.63,52.9,366400
2017-02-03,1486080000,53.19,53.58,52.92,53.07,225200
2017-02-06,1486339200,53.37,53.37,52.63,52.64,183200
2017-02-07,1486425600,52.65,52.81,52.42,52.53,229100
2017-02-08,1486512000,52.71,53.09,52.23,52.67,199900
2017-02-09,1486598400,52.67,52.91,52.01,52.33,217800
2017-02-10,1486684800,52.35,53.27,52.24,53.05,191100
2017-02-13,1486944000,53.13,53.72,52.97,53.71,264700
2017-02-14,1487030400,53.46,53.66,52.84,53.33,594300
2017-02-15,1487116800,53.0,53.45,52.75,53.38,243000
2017-02-16,1487203200,53.33,54.05,53.33,54.02,261700
2017-02-17,1487289600,54.25,54.41,53.81,54.38,257300
2017-02-21,1487635200,54.27,54.97,54.16,54.91,225400
2017-02-22,1487721600,55.02,55.37,54.66,55.2,178400
2017-02-23,1487808000,55.48,55.97,54.97,55.81,249900
2017-02-24,1487894400,55.98,56.18,55.77,56.1,180600
2017-02-27,1488153600,55.86,56.42,55.72,56.28,264000
2017-02-28,1488240000,56.1,56.62,56.09,56.33,393500
2017-03-01,1488326400,55.94,57.4,55.91,56.9,320000
