Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,4.28,4.28,4.2,4.28,8100
2017-01-04,1483488000,4.28,4.37,4.23,4.28,11500
2017-01-05,1483574400,4.23,4.41,4.23,4.41,3600
2017-01-06,1483660800,4.41,4.41,4.37,4.41,4800
2017-01-09,1483920000,4.41,4.41,4.37,4.37,2600
2017-01-10,1484006400,4.28,4.37,4.28,4.32,19500
2017-01-11,1484092800,4.37,4.37,4.28,4.28,8600
2017-01-12,1484179200,4.28,4.37,4.28,4.28,19800
2017-01-13,1484265600,4.41,4.41,4.26,4.32,3600
2017-01-17,1484611200,4.29,4.32,4.23,4.23,17000
2017-01-18,1484697600,4.28,4.32,4.23,4.32,1900
2017-01-19,1484784000,4.41,4.41,4.28,4.32,41800
2017-01-20,1484870400,4.33,4.37,4.32,4.32,11200
2017-01-23,1485129600,4.23,4.32,4.23,4.28,4200
2017-01-24,1485216000,4.23,4.32,4.23,4.31,10800
2017-01-25,1485302400,4.37,4.37,4.32,4.32,28700
2017-01-26,1485388800,4.32,4.37,4.28,4.37,17300
2017-01-27,1485475200,4.37,4.37,4.35,4.37,5500
2017-01-30,1485734400,4.32,4.41,4.32,4.37,4700
2017-01-31,1485820800,4.28,4.41,4.28,4.37,7700
2017-02-01,1485907200,4.37,4.41,4.32,4.41,15300
2017-02-02,1485993600,4.41,4.59,4.37,4.59,26500
2017-02-03,1486080000,4.54,4.59,4.54,4.59,3400
2017-02-06,1486339200,4.5,4.63,4.5,4.51,5000
2017-02-07,1486425600,4.53,4.63,4.53,4.59,14400
2017-02-08,1486512000,4.63,4.68,4.62,4.68,13900
2017-02-09,1486598400,4.68,4.83,4.68,4.76,19600
2017-02-10,1486684800,4.72,4.76,4.63,4.76,21700
2017-02-13,1486944000,4.72,4.9,4.72,4.85,18600
2017-02-14,1487030400,4.9,4.9,4.85,4.85,13100
2017-02-15,1487116800,4.85,4.9,4.83,4.9,13700
2017-02-16,1487203200,4.85,4.9,4.85,4.85,2500
2017-02-17,1487289600,4.81,4.9,4.68,4.85,3000
2017-02-21,1487635200,4.81,4.81,4.68,4.68,5500
2017-02-22,1487721600,4.63,4.63,4.41,4.63,12800
2017-02-23,1487808000,4.54,4.54,4.5,4.54,16400
2017-02-24,1487894400,4.5,4.54,4.46,4.46,21400
2017-02-27,1488153600,4.46,4.72,4.46,4.72,8100
2017-02-28,1488240000,4.59,4.59,4.46,4.46,7500
2017-03-01,1488326400,4.5,4.68,4.46,4.46,22700
2017-03-02,1488412800,4.46,4.68,4.41,4.54,14900
2017-03-03,1488499200,4.54,4.54,4.41,4.47,14000
2017-03-06,1488758400,4.46,4.46,4.28,4.28,39400
2017-03-07,1488844800,4.38,4.46,4.28,4.44,31600
2017-03-08,1488931200,4.46,4.59,4.46,4.59,72100
2017-03-09,1489017600,4.54,4.59,4.46,4.46,6100
2017-03-10,1489104000,4.48,4.54,4.32,4.32,97300
2017-03-13,1489363200,4.5,4.54,4.41,4.41,43800
2017-03-14,1489449600,4.45,4.45,4.37,4.41,24000
2017-03-15,1489536000,4.37,4.37,4.15,4.15,91100
2017-03-16,1489622400,4.15,4.44,4.15,4.32,40000
2017-03-17,1489708800,4.28,4.5,4.26,4.5,33000
2017-03-20,1489968000,4.5,4.54,4.32,4.5,16100
2017-03-21,1490054400,4.54,4.54,4.46,4.46,2900
2017-03-22,1490140800,4.5,4.5,4.46,4.5,7700
2017-03-23,1490227200,4.41,4.5,4.41,4.5,2700
2017-03-24,1490313600,4.46,4.5,4.46,4.5,1400
2017-03-27,1490572800,4.5,4.5,4.46,4.5,5000
2017-03-28,1490659200,4.46,4.5,4.46,4.46,4100
2017-03-29,1490745600,4.54,4.58,4.54,4.58,1000
2017-03-30,1490832000,4.54,4.54,4.49,4.49,2800
2017-03-31,1490918400,4.46,4.54,4.46,4.49,7300
2017-04-03,1491177600,4.54,4.58,4.49,4.49,28500
2017-04-04,1491264000,4.54,4.61,4.45,4.45,14100
2017-04-05,1491350400,4.51,4.54,4.49,4.49,2200
2017-04-06,1491436800,4.54,4.58,4.45,4.45,18300
2017-04-07,1491523200,4.45,4.58,4.45,4.58,1300
2017-04-10,1491782400,4.58,4.94,4.54,4.9,69300
2017-04-11,1491868800,4.63,4.9,4.58,4.58,17800
2017-04-12,1491955200,4.67,4.76,4.54,4.76,6600
2017-04-13,1492041600,4.61,4.67,4.59,4.65,4100
2017-04-17,1492387200,4.76,4.85,4.63,4.67,11100
2017-04-18,1492473600,4.56,4.76,4.56,4.63,8600
2017-04-19,1492560000,4.72,4.76,4.63,4.63,4600
2017-04-20,1492646400,4.63,4.67,4.54,4.54,25100
2017-04-21,1492732800,4.76,4.76,4.49,4.58,40500
2017-04-24,1492992000,4.49,4.61,4.49,4.58,2000
2017-04-25,1493078400,4.63,4.63,4.45,4.49,10100
2017-04-26,1493164800,4.49,4.54,4.49,4.49,16800
2017-04-27,1493251200,4.49,4.58,4.49,4.49,38700
2017-04-28,1493337600,4.54,4.63,4.45,4.54,109200
2017-05-01,1493596800,4.54,4.63,4.45,4.45,12500
