Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,15.55,15.65,15.35,15.5,29100
2017-01-04,1483488000,15.45,15.9,15.45,15.7,18600
2017-01-05,1483574400,15.5,15.95,15.5,15.75,40900
2017-01-06,1483660800,15.95,16.2,15.8,16.1,22000
2017-01-09,1483920000,16.2,16.2,15.8,15.9,36000
2017-01-10,1484006400,15.88,16.05,15.88,16.05,52200
2017-01-11,1484092800,16.1,16.45,16.05,16.4,11800
2017-01-12,1484179200,16.4,16.4,15.8,15.85,17200
2017-01-13,1484265600,15.95,16.17,15.85,16.05,51100
2017-01-17,1484611200,16.0,16.55,15.98,16.3,20100
2017-01-18,1484697600,16.25,16.7,16.1,16.25,33500
2017-01-19,1484784000,16.15,16.4,16.1,16.25,35200
2017-01-20,1484870400,16.25,16.35,15.85,16.0,113100
2017-01-23,1485129600,16.05,16.35,16.05,16.25,22100
2017-01-24,1485216000,16.25,16.3,16.0,16.25,52600
2017-01-25,1485302400,16.35,16.8,16.35,16.7,180100
2017-01-26,1485388800,16.65,17.0,16.65,16.7,89700
2017-01-27,1485475200,16.85,17.05,16.8,16.95,63600
2017-01-30,1485734400,16.95,17.25,16.75,16.95,33700
2017-01-31,1485820800,17.05,17.1,16.65,16.85,54700
2017-02-01,1485907200,16.9,18.15,16.9,17.05,58600
2017-02-02,1485993600,16.95,17.2,16.6,16.9,20800
2017-02-03,1486080000,16.75,17.05,16.55,17.0,47900
2017-02-06,1486339200,16.8,17.05,16.75,16.95,81700
2017-02-07,1486425600,17.0,17.25,16.8,16.9,83900
2017-02-08,1486512000,16.85,16.85,16.55,16.55,17900
2017-02-09,1486598400,16.6,16.96,16.55,16.65,24900
2017-02-10,1486684800,16.0,17.05,16.0,16.95,46800
2017-02-13,1486944000,17.05,17.05,16.8,17.0,49700
2017-02-14,1487030400,17.05,17.15,16.9,17.0,332100
2017-02-15,1487116800,17.05,17.05,16.85,17.0,36100
2017-02-16,1487203200,17.05,17.1,16.5,16.85,35800
2017-02-17,1487289600,16.9,17.0,16.7,16.95,30300
2017-02-21,1487635200,16.95,17.05,16.85,17.0,181700
2017-02-22,1487721600,17.0,17.05,16.9,16.95,46400
2017-02-23,1487808000,17.0,17.05,16.7,16.7,39200
2017-02-24,1487894400,16.55,16.8,16.35,16.7,28100
2017-02-27,1488153600,16.74,17.0,16.7,16.95,126200
2017-02-28,1488240000,16.85,17.15,16.75,17.0,76600
2017-03-01,1488326400,17.05,17.2,16.75,17.05,118300
2017-03-02,1488412800,17.1,17.1,16.9,16.9,35900
2017-03-03,1488499200,17.0,17.0,16.4,16.9,28300
2017-03-06,1488758400,16.7,16.85,16.3,16.8,41200
2017-03-07,1488844800,16.75,17.0,16.7,16.9,61000
2017-03-08,1488931200,16.95,17.0,16.7,16.9,435200
2017-03-09,1489017600,17.0,17.0,16.55,16.65,379700
2017-03-10,1489104000,16.75,16.85,16.2,16.55,50500
2017-03-13,1489363200,16.35,16.7,16.05,16.1,30600
2017-03-14,1489449600,16.1,16.15,15.85,16.0,36400
2017-03-15,1489536000,16.15,16.5,16.0,16.4,53500
2017-03-16,1489622400,16.4,16.7,16.4,16.65,26100
2017-03-17,1489708800,16.55,16.9,16.5,16.85,281700
2017-03-20,1489968000,16.85,17.05,16.8,16.9,533100
2017-03-21,1490054400,17.0,17.0,16.25,16.3,140400
2017-03-22,1490140800,16.35,16.4,15.95,16.3,77600
2017-03-23,1490227200,16.4,16.55,16.3,16.55,48700
2017-03-24,1490313600,16.65,17.0,16.65,16.95,80300
2017-03-27,1490572800,16.85,17.15,16.8,16.95,109900
2017-03-28,1490659200,16.95,17.05,16.95,17.05,23800
2017-03-29,1490745600,17.05,17.05,16.8,17.05,92800
2017-03-30,1490832000,17.05,17.16,17.0,17.15,116200
2017-03-31,1490918400,17.2,17.35,17.08,17.15,48400
2017-04-03,1491177600,17.1,17.4,16.4,17.2,210700
2017-04-04,1491264000,17.25,17.4,17.05,17.4,67500
2017-04-05,1491350400,17.4,17.75,17.2,17.45,99500
2017-04-06,1491436800,17.4,17.7,17.25,17.6,57000
2017-04-07,1491523200,17.6,17.85,17.55,17.7,44100
2017-04-10,1491782400,17.75,18.35,17.75,18.15,109800
2017-04-11,1491868800,18.15,18.55,18.12,18.5,111300
2017-04-12,1491955200,18.45,18.5,18.0,18.15,39300
2017-04-13,1492041600,17.95,18.05,17.6,17.65,55100
2017-04-17,1492387200,17.7,17.85,17.6,17.85,54800
2017-04-18,1492473600,17.75,18.05,17.5,18.0,61400
2017-04-19,1492560000,18.05,18.2,18.0,18.05,89800
2017-04-20,1492646400,18.1,18.17,18.0,18.1,113900
2017-04-21,1492732800,18.05,18.15,18.0,18.0,154200
