Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,160.0,165.0,157.5,165.0,84
2017-01-04,1483488000,167.5,172.5,155.0,157.5,143
2017-01-05,1483574400,165.0,167.5,165.0,165.0,31
2017-01-06,1483660800,165.0,175.0,165.0,167.5,286
2017-01-09,1483920000,175.0,177.5,167.5,167.5,317
2017-01-10,1484006400,175.0,177.5,170.0,175.0,122
2017-01-11,1484092800,177.5,195.0,175.0,185.0,1351
2017-01-12,1484179200,185.0,185.0,170.0,175.0,206
2017-01-13,1484265600,175.0,185.0,175.0,180.0,116
2017-01-17,1484611200,187.5,187.5,170.0,182.5,265
2017-01-18,1484697600,182.5,182.5,167.5,172.5,121
2017-01-19,1484784000,182.5,182.5,172.5,180.0,96
2017-01-20,1484870400,180.0,180.0,172.5,172.5,182
2017-01-23,1485129600,175.0,192.5,175.0,185.0,684
2017-01-24,1485216000,187.5,195.0,180.0,190.0,598
2017-01-25,1485302400,195.0,195.0,185.0,187.5,162
2017-01-26,1485388800,192.5,192.5,182.5,185.0,183
2017-01-27,1485475200,190.0,195.0,182.5,192.5,201
2017-01-30,1485734400,195.0,195.0,167.5,175.0,915
2017-01-31,1485820800,175.0,175.0,165.0,175.0,456
2017-02-01,1485907200,175.0,177.5,155.0,157.5,430
2017-02-02,1485993600,157.5,175.0,157.5,160.0,185
2017-02-03,1486080000,157.5,165.0,155.0,157.5,184
2017-02-06,1486339200,160.0,165.0,155.0,162.5,215
2017-02-07,1486425600,160.0,160.0,155.0,160.0,257
2017-02-08,1486512000,155.0,162.5,155.0,157.5,145
2017-02-09,1486598400,165.0,165.0,157.5,157.5,175
2017-02-10,1486684800,162.5,162.5,157.5,157.5,166
2017-02-13,1486944000,160.0,170.0,160.0,167.5,578
2017-02-14,1487030400,190.0,190.0,172.5,175.0,1439
2017-02-15,1487116800,182.5,185.0,175.0,177.5,256
2017-02-16,1487203200,182.5,182.5,167.5,167.5,538
2017-02-17,1487289600,170.0,172.5,162.5,162.5,372
2017-02-21,1487635200,162.5,167.5,155.0,160.0,438
2017-02-22,1487721600,157.5,165.0,157.5,157.5,157
2017-02-23,1487808000,165.0,165.0,157.5,162.5,128
2017-02-24,1487894400,157.5,177.5,155.0,155.0,3151
2017-02-27,1488153600,160.0,175.0,155.0,175.0,989
2017-02-28,1488240000,167.5,177.5,162.5,162.5,167
2017-03-01,1488326400,162.5,182.5,160.0,180.0,5167
2017-03-02,1488412800,175.0,220.0,175.0,220.0,6120
2017-03-03,1488499200,212.5,235.0,180.0,207.5,7478
2017-03-06,1488758400,200.0,217.5,192.5,210.0,2568
2017-03-07,1488844800,217.5,240.0,195.0,212.5,8373
2017-03-08,1488931200,217.5,227.5,205.0,212.5,1862
2017-03-09,1489017600,212.5,217.5,195.0,210.0,1256
2017-03-10,1489104000,217.5,220.0,202.5,215.0,1752
2017-03-13,1489363200,222.5,255.0,207.5,227.5,8900
2017-03-14,1489449600,215.0,235.0,205.0,225.0,2368
2017-03-15,1489536000,230.0,230.0,212.5,225.0,456
2017-03-16,1489622400,225.0,225.0,215.0,220.0,619
2017-03-17,1489708800,217.5,222.5,212.5,212.5,538
2017-03-20,1489968000,217.5,217.5,205.0,205.0,560
2017-03-21,1490054400,210.0,210.0,192.5,195.0,747
2017-03-22,1490140800,202.5,210.0,190.0,200.0,342
2017-03-23,1490227200,205.0,205.0,195.0,197.5,140
2017-03-24,1490313600,202.5,205.0,197.5,205.0,185
2017-03-27,1490572800,205.0,207.5,197.5,200.0,575
2017-03-28,1490659200,202.5,210.0,200.0,210.0,348
2017-03-29,1490745600,210.0,210.0,202.5,207.5,214
2017-03-30,1490832000,205.0,210.0,197.5,205.0,190
2017-03-31,1490918400,200.0,207.5,197.5,207.5,117
2017-04-03,1491177600,202.5,207.5,197.5,207.5,252
2017-04-04,1491264000,202.5,202.5,197.5,200.0,114
2017-04-05,1491350400,197.5,200.0,190.0,192.5,532
2017-04-06,1491436800,190.0,197.5,190.0,192.5,73
2017-04-07,1491523200,192.5,197.5,192.5,195.0,76
2017-04-10,1491782400,195.0,200.0,195.0,197.5,72
2017-04-11,1491868800,197.5,220.0,192.5,200.0,1658
2017-04-12,1491955200,200.0,200.0,190.0,197.5,465
2017-04-13,1492041600,197.5,200.0,190.0,190.0,258
2017-04-17,1492387200,190.0,190.0,187.5,190.0,101
2017-04-18,1492473600,190.0,190.0,187.5,187.5,112
2017-04-19,1492560000,187.5,190.0,187.5,187.5,95
2017-04-20,1492646400,187.5,190.0,185.0,185.0,87
2017-04-21,1492732800,185.0,190.0,180.0,180.0,413
2017-04-24,1492992000,180.0,190.0,180.0,182.5,65
2017-04-25,1493078400,182.5,190.0,177.5,190.0,108
2017-04-26,1493164800,187.5,195.0,187.5,190.0,115
2017-04-27,1493251200,190.0,190.0,185.0,190.0,63
2017-04-28,1493337600,190.0,190.0,185.0,190.0,47
2017-05-01,1493596800,187.5,190.0,185.0,190.0,96
2017-05-02,1493683200,190.0,192.5,187.5,187.5,212
2017-05-03,1493769600,187.5,192.5,187.5,187.5,54
2017-05-04,1493856000,195.0,197.5,187.5,190.0,128
2017-05-05,1493942400,192.5,197.5,190.0,197.5,57
2017-05-08,1494201600,192.5,202.5,192.5,202.5,134
2017-05-09,1494288000,205.0,212.5,202.5,207.5,463
2017-05-10,1494374400,207.5,217.5,187.5,195.0,297
2017-05-11,1494460800,190.0,200.0,190.0,192.5,148
2017-05-12,1494547200,200.0,200.0,195.0,195.0,183
2017-05-15,1494806400,202.5,202.5,195.0,197.5,185
2017-05-16,1494892800,182.5,200.0,175.0,177.5,731
2017-05-17,1494979200,187.5,187.5,162.5,167.5,864
2017-05-18,1495065600,167.5,172.5,165.0,172.5,141
2017-05-19,1495152000,172.5,182.5,142.5,142.5,1254
2017-05-22,1495411200,152.5,162.5,152.5,157.5,638
2017-05-23,1495497600,162.5,167.5,160.0,162.5,296
2017-05-24,1495584000,167.5,167.5,160.0,160.0,145
2017-05-25,1495670400,157.5,165.0,150.0,162.5,339
2017-05-26,1495756800,165.0,165.0,152.5,155.0,89
2017-05-30,1496102400,155.0,162.5,147.5,147.5,183
2017-05-31,1496188800,150.0,160.0,150.0,160.0,16
2017-06-01,1496275200,155.0,162.5,150.0,157.5,32
2017-06-02,1496361600,157.5,160.0,152.5,155.0,238
2017-06-05,1496620800,152.5,152.5,147.5,150.0,23
2017-06-06,1496707200,147.5,152.5,142.5,145.0,964
2017-06-07,1496793600,142.5,145.0,135.0,137.5,481
2017-06-08,1496880000,137.5,152.5,135.0,150.0,209
2017-06-09,1496966400,150.0,152.5,142.5,152.5,428
2017-06-12,1497225600,140.0,152.5,140.0,150.0,18
2017-06-13,1497312000,150.0,160.0,145.0,155.0,687
2017-06-14,1497398400,150.0,160.0,150.0,160.0,45
2017-06-15,1497484800,160.0,160.0,145.0,147.5,255
2017-06-16,1497571200,152.5,152.5,145.0,145.0,146
2017-06-19,1497830400,147.5,152.5,145.0,147.5,15
2017-06-20,1497916800,145.0,150.0,145.0,145.0,56
2017-06-21,1498003200,142.5,145.0,137.5,137.5,65
2017-06-22,1498089600,137.5,160.0,137.5,142.5,48
2017-06-23,1498176000,142.5,145.0,140.0,142.5,12
2017-06-26,1498435200,142.5,147.5,142.5,145.0,273
2017-06-27,1498521600,140.0,145.0,127.5,132.5,454
2017-06-28,1498608000,135.0,145.0,135.0,140.0,65
2017-06-29,1498694400,140.0,162.5,130.0,137.5,797
2017-06-30,1498780800,140.0,142.5,135.0,140.0,60
2017-07-03,1499040000,140.0,142.5,137.5,142.5,74
2017-07-05,1499212800,140.0,160.0,140.0,145.0,183
2017-07-06,1499299200,150.0,150.0,142.5,150.0,90
2017-07-07,1499385600,150.0,150.0,140.0,140.0,20
2017-07-10,1499644800,147.5,147.5,140.0,145.0,28
2017-07-11,1499731200,145.0,150.0,140.0,150.0,110
2017-07-12,1499817600,150.0,150.0,142.5,142.5,172
2017-07-13,1499904000,145.0,147.5,142.5,147.5,164
2017-07-14,1499990400,150.0,157.5,145.0,147.5,68
2017-07-17,1500249600,147.5,170.0,147.5,147.5,1782
2017-07-18,1500336000,140.0,157.5,137.5,137.5,457
2017-07-19,1500422400,135.0,142.5,135.0,142.5,155
2017-07-20,1500508800,147.5,150.0,137.5,142.5,150
2017-07-21,1500595200,137.5,155.0,137.5,147.5,283
2017-07-24,1500854400,145.0,152.5,137.5,140.0,136
2017-07-25,1500940800,129.5,162.5,129.5,155.0,2744
2017-07-26,1501027200,148.0,161.5,119.5,156.0,912
2017-07-27,1501113600,157.0,157.0,153.0,155.0,200
2017-07-28,1501200000,155.0,155.0,142.5,144.5,636
2017-07-31,1501459200,146.0,155.0,141.0,155.0,946
2017-08-01,1501545600,166.0,175.0,141.5,141.5,3706
2017-08-02,1501632000,143.5,152.5,134.0,137.0,852
2017-08-03,1501718400,132.0,135.0,120.5,122.0,2280
2017-08-04,1501804800,123.0,123.0,93.0,115.0,872
2017-08-07,1502064000,112.5,115.0,108.0,111.0,1288
2017-08-08,1502150400,112.5,113.0,110.0,110.0,522
2017-08-09,1502236800,110.0,111.0,106.0,106.0,498
2017-08-10,1502323200,107.0,113.5,104.0,106.5,628
2017-08-11,1502409600,109.0,112.0,107.0,111.5,206
2017-08-14,1502668800,114.5,116.5,111.0,115.0,450
2017-08-15,1502755200,118.5,131.0,118.5,124.0,1268
2017-08-16,1502841600,123.0,124.5,119.0,122.0,398
2017-08-17,1502928000,123.0,129.0,121.0,121.0,300
2017-08-18,1503014400,120.5,140.5,120.5,130.0,1148
2017-08-21,1503273600,131.0,140.0,127.5,136.0,526
2017-08-22,1503360000,137.5,139.0,130.5,130.5,342
2017-08-23,1503446400,136.0,136.5,131.0,136.0,194
2017-08-24,1503532800,130.5,136.0,129.0,134.5,56
2017-08-25,1503619200,132.0,135.5,128.0,132.5,204
2017-08-28,1503878400,135.5,135.5,133.5,135.0,108
2017-08-29,1503964800,132.5,135.5,132.0,135.5,36
2017-08-30,1504051200,131.5,133.5,130.5,132.5,78
2017-08-31,1504137600,128.0,133.5,128.0,132.0,354
2017-09-01,1504224000,133.0,134.0,126.0,128.0,148
2017-09-05,1504569600,131.0,132.5,123.5,131.5,364
2017-09-06,1504656000,131.5,137.0,127.5,137.0,238
2017-09-07,1504742400,130.5,137.0,130.5,137.0,172
2017-09-08,1504828800,137.0,139.5,137.0,138.5,182
2017-09-11,1505088000,137.0,147.5,137.0,145.0,390
2017-09-12,1505174400,143.5,147.5,140.0,147.5,274
2017-09-13,1505260800,145.0,145.0,136.0,143.5,266
2017-09-14,1505347200,146.5,147.5,144.0,147.5,204
2017-09-15,1505433600,147.5,149.0,131.5,133.5,668
2017-09-18,1505692800,134.0,141.0,134.0,138.0,234
2017-09-19,1505779200,137.5,137.5,132.0,134.5,62
2017-09-20,1505865600,138.0,140.5,132.5,136.0,42
2017-09-21,1505952000,134.0,142.5,130.5,142.5,138
2017-09-22,1506038400,142.5,142.5,139.5,142.5,60
2017-09-25,1506297600,141.5,142.0,139.5,139.5,20
2017-09-26,1506384000,138.5,145.5,134.0,138.0,94
2017-09-27,1506470400,136.5,140.5,129.0,140.5,266
2017-09-28,1506556800,140.5,142.0,135.0,141.0,402
2017-09-29,1506643200,142.0,145.0,137.0,143.5,576
2017-10-02,1506902400,141.0,148.0,135.5,146.0,272
2017-10-03,1506988800,142.0,146.5,137.5,137.5,220
2017-10-04,1507075200,137.5,137.5,133.0,134.5,226
2017-10-05,1507161600,140.5,141.5,135.0,135.5,46
2017-10-06,1507248000,135.0,137.5,130.0,132.5,150
2017-10-09,1507507200,137.0,137.5,126.0,137.0,342
2017-10-10,1507593600,134.0,136.5,126.0,130.5,230
2017-10-11,1507680000,129.5,134.5,129.0,134.0,46
2017-10-12,1507766400,134.5,158.0,134.5,143.5,2940
2017-10-13,1507852800,146.5,149.0,142.5,149.0,690
2017-10-16,1508112000,153.5,153.5,137.5,139.0,770
2017-10-17,1508198400,140.0,144.5,137.5,138.5,214
2017-10-18,1508284800,141.5,149.0,135.5,146.0,474
2017-10-19,1508371200,148.5,154.5,137.0,139.5,486
2017-10-20,1508457600,149.5,149.5,140.0,141.0,114
2017-10-23,1508716800,139.0,148.0,139.0,139.0,272
2017-10-24,1508803200,145.0,145.0,140.5,142.5,300
2017-10-25,1508889600,140.0,144.5,138.5,144.5,274
2017-10-26,1508976000,141.5,144.0,141.0,142.5,290
2017-10-27,1509062400,137.5,139.5,123.0,131.5,422
2017-10-30,1509321600,126.5,131.5,126.0,128.5,364
