Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,63.71,64.49,63.25,63.84,253700
2017-01-04,1483488000,64.2,65.78,64.0,65.54,255900
2017-01-05,1483574400,65.49,66.16,65.12,65.6,214100
2017-01-06,1483660800,65.82,65.82,64.38,64.96,150300
2017-01-09,1483920000,65.02,65.74,64.57,65.06,226300
2017-01-10,1484006400,65.27,65.91,64.61,65.21,189500
2017-01-11,1484092800,65.18,67.27,65.03,67.12,301400
2017-01-12,1484179200,66.9,67.71,65.43,66.88,230800
2017-01-13,1484265600,66.81,68.12,66.68,67.47,213500
2017-01-17,1484611200,67.05,67.05,65.7,66.03,238500
2017-01-18,1484697600,66.3,66.65,65.64,66.37,154100
2017-01-19,1484784000,66.4,66.76,65.33,65.34,195300
2017-01-20,1484870400,65.38,66.51,65.08,65.5,198200
2017-01-23,1485129600,65.45,65.96,64.69,65.34,206300
2017-01-24,1485216000,65.42,66.83,65.27,66.63,222600
2017-01-25,1485302400,67.32,67.5,65.77,66.08,320700
2017-01-26,1485388800,65.9,66.34,65.32,65.96,253600
2017-01-27,1485475200,66.09,66.5,65.68,65.92,215300
2017-01-30,1485734400,65.59,65.59,63.93,65.0,275400
2017-01-31,1485820800,64.71,64.98,64.01,64.41,244800
2017-02-01,1485907200,64.54,64.79,61.7,62.7,396100
2017-02-02,1485993600,62.7,64.03,62.03,63.63,259200
2017-02-03,1486080000,64.25,64.8,63.72,64.26,317600
2017-02-06,1486339200,64.0,64.48,63.12,63.58,345800
2017-02-07,1486425600,63.77,63.81,62.31,62.35,635800
2017-02-08,1486512000,62.07,62.1,60.85,60.93,505100
2017-02-09,1486598400,65.8,70.44,63.64,69.12,2637100
2017-02-10,1486684800,69.39,69.58,65.95,69.45,763000
2017-02-13,1486944000,69.35,70.45,69.04,70.35,662800
2017-02-14,1487030400,69.64,70.94,68.86,70.84,333600
2017-02-15,1487116800,69.77,72.57,68.9,72.08,373500
2017-02-16,1487203200,71.53,72.07,71.4,71.93,462100
2017-02-17,1487289600,72.05,72.28,67.36,72.09,539800
2017-02-21,1487635200,72.14,72.62,71.64,71.94,308400
2017-02-22,1487721600,71.62,72.39,70.88,71.55,313300
2017-02-23,1487808000,72.06,72.29,71.07,71.69,342900
2017-02-24,1487894400,70.62,71.98,70.62,71.76,232600
2017-02-27,1488153600,71.89,72.58,71.5,72.4,209100
2017-02-28,1488240000,71.26,71.54,70.29,70.33,318600
2017-03-01,1488326400,71.3,72.79,70.39,72.47,311600
2017-03-02,1488412800,72.43,73.05,71.32,72.47,177700
2017-03-03,1488499200,72.45,72.89,71.86,72.64,192800
2017-03-06,1488758400,72.08,72.89,71.94,72.38,189000
2017-03-07,1488844800,72.27,72.98,71.88,72.56,174800
2017-03-08,1488931200,72.82,73.46,72.19,72.45,173800
2017-03-09,1489017600,72.31,72.98,72.06,72.53,192400
2017-03-10,1489104000,73.09,73.51,72.58,73.25,212900
2017-03-13,1489363200,73.24,74.11,73.24,73.98,219000
2017-03-14,1489449600,73.57,74.56,73.57,73.98,291100
2017-03-15,1489536000,74.44,74.95,74.13,74.88,407700
2017-03-16,1489622400,75.38,75.44,74.38,75.32,219000
2017-03-17,1489708800,75.13,75.88,74.43,75.34,562400
2017-03-20,1489968000,75.33,76.42,74.94,75.87,249300
2017-03-21,1490054400,76.43,76.56,73.77,73.86,304900
2017-03-22,1490140800,73.64,74.79,73.48,74.77,237700
2017-03-23,1490227200,74.69,75.48,73.57,74.73,247200
2017-03-24,1490313600,75.18,75.54,74.1,74.87,231800
2017-03-27,1490572800,73.81,74.6,73.22,74.14,260300
2017-03-28,1490659200,73.9,74.99,73.24,74.78,203400
2017-03-29,1490745600,74.74,75.21,74.41,74.82,124600
2017-03-30,1490832000,74.8,76.07,74.8,75.37,296000
2017-03-31,1490918400,75.24,75.84,75.04,75.4,194500
2017-04-03,1491177600,75.44,76.21,74.2,74.66,330400
2017-04-04,1491264000,74.38,75.9,74.38,75.55,227300
