Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,34.49,34.49,33.35,33.67,204800
2017-01-04,1483488000,33.85,34.12,33.49,33.62,219200
2017-01-05,1483574400,33.58,33.76,33.22,33.26,162400
2017-01-06,1483660800,33.27,33.4,32.9,33.27,109800
2017-01-09,1483920000,33.17,33.17,32.26,32.49,156000
2017-01-10,1484006400,32.58,33.27,32.58,33.22,167500
2017-01-11,1484092800,33.17,33.45,32.95,33.22,134500
2017-01-12,1484179200,33.08,33.22,32.49,32.72,137700
2017-01-13,1484265600,32.95,33.22,32.76,32.95,183700
2017-01-17,1484611200,32.63,33.08,32.54,32.9,130800
2017-01-18,1484697600,32.9,33.13,32.81,33.08,104000
2017-01-19,1484784000,33.17,33.36,32.63,32.67,122300
2017-01-20,1484870400,32.72,33.04,32.58,32.99,164400
2017-01-23,1485129600,32.86,33.08,32.58,32.95,98400
2017-01-24,1485216000,32.99,34.0,32.99,33.95,185000
2017-01-25,1485302400,34.18,34.32,33.59,33.81,132100
2017-01-26,1485388800,33.77,33.81,32.99,33.08,118300
2017-01-27,1485475200,33.13,33.17,32.76,32.9,101800
2017-01-30,1485734400,32.58,32.86,32.31,32.76,130300
2017-01-31,1485820800,32.72,33.2,32.31,33.17,161100
2017-02-01,1485907200,33.4,33.49,32.54,32.86,226800
2017-02-02,1485993600,32.72,32.95,32.17,32.26,146300
2017-02-03,1486080000,32.31,33.27,32.31,32.86,165200
2017-02-06,1486339200,32.76,32.76,32.29,32.35,97800
2017-02-07,1486425600,32.4,32.58,31.9,32.4,122400
2017-02-08,1486512000,32.26,32.26,31.81,32.03,98700
2017-02-09,1486598400,32.08,33.59,32.08,33.59,215800
2017-02-10,1486684800,33.72,34.59,33.22,34.59,208100
2017-02-13,1486944000,34.73,34.77,34.18,34.45,127900
2017-02-14,1487030400,34.32,34.32,33.68,34.04,194100
2017-02-15,1487116800,35.23,35.91,35.14,35.59,272500
2017-02-16,1487203200,35.64,35.87,35.27,35.82,197900
2017-02-17,1487289600,35.46,36.05,35.46,36.05,200500
2017-02-21,1487635200,35.96,36.0,35.46,35.91,127600
