Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,7.34,7.4,7.24,7.36,1431000
2017-01-04,1483488000,7.45,7.53,7.4,7.49,1380500
2017-01-05,1483574400,7.49,7.6,7.47,7.53,1233900
2017-01-06,1483660800,7.43,7.52,7.42,7.45,685700
2017-01-09,1483920000,7.44,7.68,7.4,7.6,1195400
2017-01-10,1484006400,7.68,7.72,7.6,7.65,1198100
2017-01-11,1484092800,7.4,7.82,7.37,7.79,1340700
2017-01-12,1484179200,7.87,8.11,7.83,8.06,1546000
2017-01-13,1484265600,8.0,8.07,7.88,8.01,1301700
2017-01-17,1484611200,8.16,8.33,7.97,8.2,1714700
2017-01-18,1484697600,8.13,8.15,7.91,7.92,1256500
2017-01-19,1484784000,7.93,7.95,7.73,7.83,1651300
2017-01-20,1484870400,7.89,8.03,7.86,7.97,728700
2017-01-23,1485129600,8.02,8.29,8.02,8.29,1743300
2017-01-24,1485216000,8.02,8.08,7.97,8.06,2052200
2017-01-25,1485302400,8.11,8.31,8.11,8.23,1277100
2017-01-26,1485388800,8.21,8.28,8.11,8.25,979600
2017-01-27,1485475200,8.27,8.27,8.2,8.22,844400
2017-01-30,1485734400,8.13,8.16,8.05,8.1,1066300
2017-01-31,1485820800,8.11,8.16,8.03,8.13,849100
2017-02-01,1485907200,8.21,8.39,8.2,8.32,1142000
2017-02-02,1485993600,8.41,8.49,8.4,8.45,1227300
2017-02-03,1486080000,8.46,8.58,8.43,8.48,1563100
2017-02-06,1486339200,8.41,8.52,8.35,8.4,1406100
2017-02-07,1486425600,8.4,8.47,8.29,8.3,1275800
2017-02-08,1486512000,8.31,8.42,8.26,8.38,1309400
2017-02-09,1486598400,8.48,8.66,8.48,8.53,1747900
2017-02-10,1486684800,8.74,9.15,8.72,9.12,2097100
2017-02-13,1486944000,9.16,9.43,9.16,9.32,2310400
2017-02-14,1487030400,9.28,9.33,9.08,9.19,1831000
2017-02-15,1487116800,9.26,9.64,9.25,9.53,1850300
2017-02-16,1487203200,9.6,9.61,9.24,9.28,2275500
2017-02-17,1487289600,9.08,9.28,9.05,9.13,1319200
2017-02-21,1487635200,9.07,9.33,9.06,9.32,1324100
2017-02-22,1487721600,9.33,9.41,9.31,9.41,1000300
2017-02-23,1487808000,9.58,9.61,9.21,9.25,1147600
2017-02-24,1487894400,9.18,9.2,9.05,9.07,1347900
2017-02-27,1488153600,9.11,9.14,9.02,9.12,1001200
2017-02-28,1488240000,9.11,9.12,8.93,8.99,1088900
2017-03-01,1488326400,9.16,9.24,9.08,9.14,2192700
2017-03-02,1488412800,9.11,9.13,8.91,8.97,1413900
2017-03-03,1488499200,9.01,9.25,9.0,9.19,1174300
2017-03-06,1488758400,9.15,9.18,9.02,9.02,970200
2017-03-07,1488844800,9.05,9.06,8.88,8.89,944900
2017-03-08,1488931200,8.67,8.73,8.45,8.51,1710200
2017-03-09,1489017600,8.43,8.43,8.23,8.26,2373900
2017-03-10,1489104000,8.41,8.49,8.25,8.35,1512400
2017-03-13,1489363200,8.34,8.51,8.26,8.47,951700
2017-03-14,1489449600,8.42,8.48,8.3,8.34,1133100
2017-03-15,1489536000,8.36,8.6,8.26,8.57,1289100
2017-03-16,1489622400,8.61,8.62,8.38,8.42,1426000
2017-03-17,1489708800,8.57,8.61,8.29,8.32,1656500
2017-03-20,1489968000,8.34,8.63,8.34,8.48,1491200
2017-03-21,1490054400,8.55,8.61,8.17,8.23,1445500
2017-03-22,1490140800,8.14,8.33,8.0,8.05,2163900
2017-03-23,1490227200,8.02,8.15,7.97,8.07,1532100
2017-03-24,1490313600,8.07,8.18,8.02,8.12,1959000
2017-03-27,1490572800,8.04,8.12,7.94,8.02,2876500
2017-03-28,1490659200,7.63,7.65,7.29,7.29,10905300
2017-03-29,1490745600,7.39,7.41,7.11,7.17,7015900
2017-03-30,1490832000,7.24,7.36,7.2,7.29,3378900
2017-03-31,1490918400,7.31,7.31,7.13,7.24,2861000
2017-04-03,1491177600,7.22,7.32,7.08,7.27,3550100
2017-04-04,1491264000,7.26,7.31,7.14,7.23,2227200
2017-04-05,1491350400,7.3,7.3,6.83,6.86,8279700
2017-04-06,1491436800,6.78,6.8,6.46,6.48,46460600
2017-04-07,1491523200,6.56,6.63,6.46,6.47,12723700
2017-04-10,1491782400,6.52,6.56,6.39,6.39,4861300
2017-04-11,1491868800,6.38,6.46,6.32,6.41,5218400
2017-04-12,1491955200,6.42,6.43,6.32,6.39,7604000
2017-04-13,1492041600,6.43,6.43,6.19,6.19,5807600
2017-04-17,1492387200,6.28,6.39,6.21,6.37,3204900
2017-04-18,1492473600,6.48,6.67,6.42,6.56,6985200
2017-04-19,1492560000,6.66,6.67,6.52,6.52,4766400
2017-04-20,1492646400,6.59,6.64,6.5,6.53,3459600
2017-04-21,1492732800,6.51,6.56,6.46,6.46,2656000
