Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,15.43,15.48,14.53,14.7,193400
2017-01-04,1483488000,14.74,14.99,14.64,14.66,133100
2017-01-05,1483574400,14.74,14.86,14.35,14.65,160100
2017-01-06,1483660800,14.68,14.69,14.15,14.19,136700
2017-01-09,1483920000,14.27,14.27,13.8,13.89,139900
2017-01-10,1484006400,13.95,14.05,13.67,14.02,166600
2017-01-11,1484092800,14.03,14.65,13.96,14.64,141100
2017-01-12,1484179200,14.65,14.65,14.12,14.29,177800
2017-01-13,1484265600,14.23,14.3,13.69,14.04,210400
2017-01-17,1484611200,13.96,14.28,13.8,14.26,96700
2017-01-18,1484697600,14.42,14.5,13.84,14.13,175700
2017-01-19,1484784000,14.15,14.47,13.92,14.4,193200
2017-01-20,1484870400,14.45,14.45,13.74,13.95,288400
2017-01-23,1485129600,14.03,14.03,13.2,13.48,541800
2017-01-24,1485216000,13.57,13.57,13.12,13.5,152100
2017-01-25,1485302400,13.49,13.5,13.21,13.33,85800
2017-01-26,1485388800,13.34,13.39,13.0,13.12,197900
2017-01-27,1485475200,13.12,13.12,12.9,13.01,67300
2017-01-30,1485734400,13.01,13.06,12.8,13.02,37200
2017-01-31,1485820800,12.97,13.45,12.82,13.41,51400
2017-02-01,1485907200,13.5,13.53,13.24,13.32,82300
2017-02-02,1485993600,13.38,13.49,13.2,13.26,58500
2017-02-03,1486080000,13.31,13.5,13.21,13.32,110600
2017-02-06,1486339200,13.36,13.55,13.18,13.24,118400
2017-02-07,1486425600,13.2,13.59,13.01,13.3,344300
2017-02-08,1486512000,13.3,13.58,13.26,13.55,377900
2017-02-09,1486598400,13.61,13.99,13.54,13.65,259500
2017-02-10,1486684800,13.7,13.9,13.52,13.59,146900
2017-02-13,1486944000,13.59,13.66,13.47,13.55,143000
2017-02-14,1487030400,13.04,13.28,12.48,12.7,667400
2017-02-15,1487116800,12.74,13.5,12.67,13.46,347200
2017-02-16,1487203200,13.48,13.48,13.06,13.14,267800
2017-02-17,1487289600,13.18,13.18,12.69,12.73,216800
2017-02-21,1487635200,12.81,12.89,12.53,12.63,205400
2017-02-22,1487721600,12.59,12.76,12.43,12.49,154600
2017-02-23,1487808000,12.59,13.2,12.59,12.66,268900
2017-02-24,1487894400,12.65,12.72,12.38,12.68,209800
2017-02-27,1488153600,12.72,13.0,12.6,12.99,224000
