Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,93.51,93.51,92.73,93.29,1606900
2017-01-04,1483488000,94.31,94.31,93.62,93.9,1816300
2017-01-05,1483574400,94.46,95.71,94.35,95.31,2046200
2017-01-06,1483660800,94.55,94.81,94.36,94.53,1424400
2017-01-09,1483920000,94.81,94.88,94.06,94.54,1188900
2017-01-10,1484006400,94.65,94.82,93.97,94.09,1222200
2017-01-11,1484092800,93.95,94.43,93.18,93.84,1160000
2017-01-12,1484179200,94.69,94.76,94.06,94.54,1513000
2017-01-13,1484265600,94.61,94.7,93.95,94.47,1070700
2017-01-17,1484611200,93.89,94.86,93.86,94.82,1554900
2017-01-18,1484697600,94.35,94.46,93.87,94.04,998100
2017-01-19,1484784000,94.21,94.28,93.46,93.58,977500
2017-01-20,1484870400,94.35,94.41,93.79,94.05,1434700
2017-01-23,1485129600,94.77,94.99,94.09,94.81,1268300
2017-01-24,1485216000,94.64,94.91,94.31,94.74,854300
2017-01-25,1485302400,94.95,95.13,94.55,94.78,1043700
2017-01-26,1485388800,94.15,94.35,93.47,93.54,1486600
2017-01-27,1485475200,94.29,94.38,93.79,93.86,1167100
2017-01-30,1485734400,92.78,93.5,92.75,93.25,1206100
2017-01-31,1485820800,92.9,93.22,92.65,93.04,1143000
2017-02-01,1485907200,92.55,93.52,92.41,93.12,1119900
2017-02-02,1485993600,93.8,94.17,92.93,93.25,1570200
2017-02-03,1486080000,94.58,94.85,93.95,93.97,1487700
2017-02-06,1486339200,93.79,93.81,93.34,93.71,1216900
2017-02-07,1486425600,94.02,94.19,93.81,94.05,1329100
2017-02-08,1486512000,94.84,94.98,94.37,94.51,1640100
2017-02-09,1486598400,94.51,95.24,94.51,94.92,1525800
2017-02-10,1486684800,94.13,95.1,94.07,94.49,1806600
2017-02-13,1486944000,95.05,95.49,94.86,95.33,893100
2017-02-14,1487030400,95.78,96.88,95.15,96.77,2268400
2017-02-15,1487116800,95.61,96.49,95.44,96.34,1746800
2017-02-16,1487203200,96.51,97.15,96.34,97.07,934800
2017-02-17,1487289600,96.92,97.38,96.63,97.11,1801800
2017-02-21,1487635200,97.38,97.72,97.21,97.57,1395500
2017-02-22,1487721600,96.08,97.63,96.08,97.42,1561500
2017-02-23,1487808000,97.15,97.56,97.01,97.06,1004500
2017-02-24,1487894400,97.0,97.6,96.77,97.51,924700
2017-02-27,1488153600,97.24,97.68,97.19,97.58,1086000
2017-02-28,1488240000,97.07,97.84,96.85,97.71,1115600
2017-03-01,1488326400,97.91,98.33,97.6,98.11,2410800
2017-03-02,1488412800,95.08,95.56,94.25,94.46,5856400
2017-03-03,1488499200,95.61,97.24,95.54,97.03,2838000
2017-03-06,1488758400,96.32,96.52,95.58,95.69,1897900
2017-03-07,1488844800,95.03,96.69,94.62,96.11,4399100
2017-03-08,1488931200,95.29,95.53,94.4,94.62,2846100
2017-03-09,1489017600,94.77,95.43,94.57,95.32,1410600
2017-03-10,1489104000,95.32,96.32,95.32,96.03,1743700
2017-03-13,1489363200,95.49,96.38,95.43,96.32,1236600
2017-03-14,1489449600,95.93,96.26,95.56,95.7,987800
2017-03-15,1489536000,95.91,97.19,95.46,96.95,1480500
2017-03-16,1489622400,98.13,99.01,97.86,98.93,2920300
2017-03-17,1489708800,99.76,100.42,99.51,99.73,2546300
2017-03-20,1489968000,99.88,100.34,99.57,99.91,1249000
2017-03-21,1490054400,100.51,100.86,99.41,99.52,1294300
2017-03-22,1490140800,99.4,99.44,98.76,99.01,1066200
2017-03-23,1490227200,98.49,99.37,98.43,99.04,958100
2017-03-24,1490313600,98.97,99.07,98.52,98.93,933700
2017-03-27,1490572800,99.29,99.63,98.8,99.39,1117200
2017-03-28,1490659200,99.25,99.86,99.09,99.53,922500
2017-03-29,1490745600,98.59,99.61,98.36,99.35,1981100
2017-03-30,1490832000,98.3,98.84,97.83,98.4,3030200
2017-03-31,1490918400,97.93,98.46,97.73,97.95,1339600
2017-04-03,1491177600,97.89,98.87,97.89,98.83,1133000
2017-04-04,1491264000,98.49,99.0,98.33,98.93,757900
2017-04-05,1491350400,98.63,99.26,98.12,98.6,1411800
2017-04-06,1491436800,98.6,98.71,98.31,98.6,1079300
2017-04-07,1491523200,98.08,98.52,98.03,98.11,1470500
2017-04-10,1491782400,98.08,99.04,98.03,98.76,961700
2017-04-11,1491868800,98.57,98.91,97.77,98.2,1136900
2017-04-12,1491955200,97.69,98.4,97.58,98.38,991800
2017-04-13,1492041600,97.98,98.07,97.3,97.3,804100
2017-04-17,1492387200,97.85,98.57,97.68,98.51,1003700
2017-04-18,1492473600,98.21,99.04,98.21,98.9,1162300
2017-04-19,1492560000,98.27,98.68,97.93,98.12,2353500
2017-04-20,1492646400,97.93,97.93,97.2,97.35,1730600
2017-04-21,1492732800,96.89,97.16,96.34,96.63,1880500
2017-04-24,1492992000,99.84,100.76,99.82,100.44,2937300
2017-04-25,1493078400,101.13,102.03,100.86,101.67,2332800
2017-04-26,1493164800,101.09,101.3,99.86,100.13,2002400
2017-04-27,1493251200,100.0,100.41,99.76,100.16,1669200
2017-04-28,1493337600,100.41,101.28,100.34,101.06,1878700
2017-05-01,1493596800,101.2,102.02,101.02,101.38,1672700
2017-05-02,1493683200,101.9,102.44,101.57,102.17,1280000
2017-05-03,1493769600,103.64,103.86,102.59,102.87,3183900
2017-05-04,1493856000,107.39,108.94,107.2,108.72,3969200
2017-05-05,1493942400,108.89,109.76,108.62,109.73,2943700
2017-05-08,1494201600,108.98,109.01,108.18,108.4,1448100
2017-05-09,1494288000,108.71,108.81,108.02,108.4,1322700
2017-05-10,1494374400,107.9,108.45,107.9,108.29,1068800
2017-05-11,1494460800,107.91,108.39,107.77,108.2,823500
2017-05-12,1494547200,108.73,109.4,108.23,109.05,1373800
2017-05-15,1494806400,109.0,109.09,108.58,108.86,1131700
2017-05-16,1494892800,109.2,109.64,108.83,109.62,1020700
2017-05-17,1494979200,109.68,110.15,108.67,108.76,1349600
2017-05-18,1495065600,105.28,106.53,104.77,106.48,5584700
2017-05-19,1495152000,107.15,107.84,107.1,107.39,1479200
2017-05-22,1495411200,108.1,108.16,107.58,107.77,1059700
2017-05-23,1495497600,107.88,108.2,107.63,107.92,765700
2017-05-24,1495584000,107.66,107.9,107.02,107.87,963700
2017-05-25,1495670400,108.07,108.11,107.6,107.71,867100
2017-05-26,1495756800,106.46,107.84,106.4,107.83,991700
2017-05-30,1496102400,106.35,106.62,106.01,106.2,2070300
2017-05-31,1496188800,106.93,107.43,106.22,106.43,1097000
2017-06-01,1496275200,106.28,107.04,106.09,106.81,1013500
2017-06-02,1496361600,107.9,108.12,107.25,107.58,739200
2017-06-05,1496620800,107.37,107.81,107.04,107.75,651800
2017-06-06,1496707200,106.82,107.7,106.8,107.4,697300
2017-06-07,1496793600,107.26,107.69,105.99,106.61,1504700
2017-06-08,1496880000,105.03,105.17,103.4,104.18,4617300
2017-06-09,1496966400,103.14,103.58,102.98,103.29,1729400
2017-06-12,1497225600,103.29,103.29,102.54,102.8,1414800
2017-06-13,1497312000,103.28,103.97,103.1,103.64,716300
2017-06-14,1497398400,104.35,104.44,103.34,103.73,818300
2017-06-15,1497484800,102.55,103.45,102.27,103.03,952500
2017-06-16,1497571200,103.75,103.85,103.09,103.65,967200
2017-06-19,1497830400,104.12,104.31,103.75,103.88,957100
2017-06-20,1497916800,104.9,104.98,103.6,103.91,1050600
2017-06-21,1498003200,103.73,104.14,103.39,103.58,1093200
2017-06-22,1498089600,103.73,103.85,103.1,103.15,1445900
2017-06-23,1498176000,102.8,103.25,102.53,103.11,908400
2017-06-26,1498435200,104.64,104.8,103.63,103.67,853500
2017-06-27,1498521600,103.84,104.14,103.36,103.4,795600
2017-06-28,1498608000,103.64,103.83,103.18,103.47,910100
2017-06-29,1498694400,102.12,102.16,100.0,100.71,3108100
2017-06-30,1498780800,101.24,101.28,100.25,100.43,1558500
2017-07-03,1499040000,100.11,100.67,99.94,100.49,496800
2017-07-05,1499212800,100.24,100.25,99.7,100.11,817200
2017-07-06,1499299200,99.43,100.6,99.17,100.44,3441900
2017-07-07,1499385600,100.39,101.22,100.31,100.85,1381600
2017-07-10,1499644800,102.01,102.49,101.58,101.71,1138500
2017-07-11,1499731200,100.25,101.38,99.88,101.08,1892100
2017-07-12,1499817600,101.94,102.88,101.93,102.39,919200
2017-07-13,1499904000,102.81,102.99,102.58,102.88,631900
2017-07-14,1499990400,103.69,104.16,103.29,104.01,1115600
2017-07-17,1500249600,103.98,104.68,103.83,103.92,2205500
2017-07-18,1500336000,104.16,104.5,103.85,104.19,911400
2017-07-19,1500422400,103.96,104.48,103.61,104.48,780600
2017-07-20,1500508800,105.47,106.09,104.79,105.12,1981200
2017-07-21,1500595200,104.62,105.0,104.14,104.42,1405600
2017-07-24,1500854400,103.77,103.92,103.36,103.54,999400
2017-07-25,1500940800,104.4,104.47,103.35,103.71,1022900
2017-07-26,1501027200,104.94,105.78,104.76,105.3,2802000
2017-07-27,1501113600,111.15,112.86,110.77,111.79,7421100
2017-07-28,1501200000,110.04,111.02,109.76,110.28,2116000
2017-07-31,1501459200,110.65,110.78,109.14,109.81,1105600
2017-08-01,1501545600,109.21,109.52,108.55,109.04,1349100
2017-08-02,1501632000,108.81,108.92,107.77,108.08,2525800
2017-08-03,1501718400,109.07,109.63,108.03,109.01,1084700
2017-08-04,1501804800,109.22,109.49,108.59,109.23,886700
2017-08-07,1502064000,108.42,109.21,108.39,108.78,510900
2017-08-08,1502150400,108.48,108.9,107.72,108.13,978700
2017-08-09,1502236800,106.9,107.48,106.79,107.06,2470600
2017-08-10,1502323200,105.83,106.37,105.55,105.62,1367500
2017-08-11,1502409600,105.5,106.19,105.01,105.4,1332200
2017-08-14,1502668800,106.48,106.68,105.91,105.94,707300
2017-08-15,1502755200,106.16,106.52,105.91,106.5,923900
2017-08-16,1502841600,107.07,107.44,106.73,107.16,1419200
2017-08-17,1502928000,107.63,107.81,106.34,106.36,873800
2017-08-18,1503014400,105.88,106.2,105.51,105.84,1449400
2017-08-21,1503273600,106.71,106.83,105.99,106.26,992900
2017-08-22,1503360000,106.07,106.72,105.91,106.38,1370500
2017-08-23,1503446400,105.65,106.04,105.47,105.65,1162800
2017-08-24,1503532800,106.06,106.15,105.37,105.45,1153300
2017-08-25,1503619200,106.03,106.38,105.63,106.01,756900
2017-08-28,1503878400,106.33,106.33,105.21,105.39,753200
2017-08-29,1503964800,105.98,106.46,105.87,106.34,1023100
2017-08-30,1504051200,107.09,107.6,106.93,107.17,1044800
2017-08-31,1504137600,108.14,108.22,107.49,107.72,897500
2017-09-01,1504224000,108.51,108.61,107.82,107.96,862100
2017-09-05,1504569600,108.28,108.58,107.61,108.15,944300
2017-09-06,1504656000,108.79,108.85,108.36,108.71,1047400
2017-09-07,1504742400,110.21,110.33,109.47,110.31,4907800
2017-09-08,1504828800,111.11,111.33,110.35,110.56,1080900
2017-09-11,1505088000,110.22,110.84,110.1,110.69,1383200
2017-09-12,1505174400,110.59,110.93,110.45,110.75,832100
2017-09-13,1505260800,111.05,111.14,110.41,110.48,739100
2017-09-14,1505347200,110.48,111.16,110.42,110.79,1135300
2017-09-15,1505433600,110.83,110.84,109.75,109.99,1006100
2017-09-18,1505692800,109.87,109.87,108.69,109.36,1806800
2017-09-19,1505779200,109.24,109.73,109.03,109.28,1520900
2017-09-20,1505865600,107.93,108.01,105.79,107.48,1910900
2017-09-21,1505952000,106.42,106.71,105.92,106.46,853000
2017-09-22,1506038400,106.12,106.5,105.77,105.92,1094500
2017-09-25,1506297600,106.47,106.9,106.03,106.33,1365800
2017-09-26,1506384000,105.88,107.04,105.83,106.92,3017400
2017-09-27,1506470400,105.95,107.84,105.95,107.84,2739700
2017-09-28,1506556800,107.84,108.88,107.84,108.3,2200300
2017-09-29,1506643200,108.61,108.92,108.3,108.57,1225000
2017-10-02,1506902400,108.19,108.31,107.67,108.28,1462400
2017-10-03,1506988800,108.24,109.36,108.24,109.28,964200
2017-10-04,1507075200,109.3,110.29,109.29,110.07,2106100
2017-10-05,1507161600,110.65,111.56,110.62,111.55,1565400
2017-10-06,1507248000,110.63,111.09,110.09,110.67,749500
2017-10-09,1507507200,111.71,111.95,111.31,111.39,1244600
2017-10-10,1507593600,112.08,113.12,112.02,112.94,2079400
2017-10-11,1507680000,112.74,113.26,112.65,113.01,959800
2017-10-12,1507766400,112.29,113.49,112.23,113.41,1394400
2017-10-13,1507852800,113.55,114.67,113.45,114.08,1668700
2017-10-16,1508112000,114.11,114.6,113.84,114.41,1260300
2017-10-17,1508198400,113.93,114.78,113.83,114.68,864900
2017-10-18,1508284800,114.6,115.12,114.12,114.48,1915400
2017-10-19,1508371200,114.0,114.65,113.85,114.61,769900
2017-10-20,1508457600,114.53,114.77,114.01,114.2,913700
2017-10-23,1508716800,113.66,114.37,113.66,113.85,1969800
2017-10-24,1508803200,112.77,113.28,112.35,112.85,1855300
2017-10-25,1508889600,111.93,112.03,109.81,110.63,3260300
2017-10-26,1508976000,108.38,109.62,108.03,109.58,5686100
2017-10-27,1509062400,109.59,109.66,108.13,108.92,2383300
2017-10-30,1509321600,109.24,110.25,109.08,109.94,1343500
2017-10-31,1509408000,111.13,111.84,110.97,111.74,1603400
2017-11-01,1509494400,111.43,112.15,111.03,111.15,1347600
2017-11-02,1509580800,110.93,110.98,109.77,110.05,925400
2017-11-03,1509667200,111.03,111.36,110.63,110.78,892000
2017-11-06,1509926400,110.72,111.4,109.67,109.73,1566500
2017-11-07,1510012800,107.93,109.05,107.81,107.99,2582200
2017-11-08,1510099200,107.36,107.92,107.3,107.52,1811200
2017-11-09,1510185600,107.13,107.77,106.93,107.57,1262800
2017-11-10,1510272000,106.69,107.59,106.41,107.53,1466300
2017-11-13,1510531200,106.47,107.7,106.39,107.18,2739500
2017-11-14,1510617600,106.14,106.86,105.78,106.12,2154100
2017-11-15,1510704000,105.13,105.5,104.9,104.94,2739200
2017-11-16,1510790400,107.05,107.17,106.13,106.25,2016800
2017-11-17,1510876800,106.26,106.5,105.94,106.32,1591900
2017-11-20,1511136000,106.13,106.89,106.06,106.82,1393300
2017-11-21,1511222400,106.59,107.01,106.37,106.9,1300100
2017-11-22,1511308800,107.85,107.9,106.5,107.02,727500
2017-11-24,1511481600,108.45,108.75,108.19,108.7,731300
2017-11-27,1511740800,108.86,108.97,108.27,108.65,2067600
2017-11-28,1511827200,109.32,109.33,108.31,108.58,1175900
2017-11-29,1511913600,108.08,108.19,106.91,107.15,1579900
2017-11-30,1512000000,107.46,107.46,105.68,105.86,2183300
2017-12-01,1512086400,106.39,106.86,105.76,106.75,1313500
2017-12-04,1512345600,106.41,107.23,106.26,106.71,1063900
2017-12-05,1512432000,106.47,106.78,104.34,104.45,2386100
2017-12-06,1512518400,103.76,104.63,103.55,104.48,1402500
2017-12-07,1512604800,103.34,103.63,102.78,102.87,2227400
2017-12-08,1512691200,102.73,103.31,102.38,103.26,1480800
2017-12-11,1512950400,102.96,103.19,102.75,103.02,1803600
2017-12-12,1513036800,102.18,103.27,102.12,102.74,1821500
2017-12-13,1513123200,102.38,102.71,101.84,102.55,1589000
2017-12-14,1513209600,101.96,102.73,101.87,102.17,1250300
2017-12-15,1513296000,101.96,102.52,101.77,102.28,1898100
2017-12-18,1513555200,103.65,104.28,102.96,103.03,1348900
2017-12-19,1513641600,104.49,104.55,103.34,103.35,1405300
2017-12-20,1513728000,104.09,104.09,103.05,103.21,1356900
2017-12-21,1513814400,103.65,104.02,102.94,102.95,1129100
2017-12-22,1513900800,102.82,103.2,102.75,103.15,987000
2017-12-26,1514246400,103.14,103.67,102.91,103.01,549500
2017-12-27,1514332800,103.67,103.83,103.27,103.69,937700
2017-12-28,1514419200,103.55,103.66,102.6,102.87,837200
2017-12-29,1514505600,103.43,103.89,103.06,103.15,866400
2018-01-02,1514851200,103.53,104.23,103.14,103.94,1259900
2018-01-03,1514937600,103.57,104.91,103.57,104.75,1641700
2018-01-04,1515024000,105.57,105.76,104.91,105.03,1314700
2018-01-05,1515110400,106.29,106.39,105.69,106.09,1616500
2018-01-08,1515369600,105.56,105.62,104.8,105.36,1730700
2018-01-09,1515456000,106.47,106.64,105.16,105.71,1195900
2018-01-10,1515542400,105.99,106.02,104.94,105.33,1036600
2018-01-11,1515628800,105.8,106.19,105.51,105.59,1403500
2018-01-12,1515715200,106.5,106.52,106.0,106.24,3307900
2018-01-16,1516060800,107.33,107.49,106.83,106.83,1428700
2018-01-17,1516147200,107.1,107.62,106.71,107.23,3069400
2018-01-18,1516233600,106.59,106.79,106.13,106.44,2133800
2018-01-19,1516320000,107.01,107.27,106.35,106.54,1066600
2018-01-22,1516579200,106.17,106.84,106.11,106.53,1067700
2018-01-23,1516665600,105.77,105.89,105.2,105.87,2112900
2018-01-24,1516752000,106.22,106.22,104.91,105.64,1604000
2018-01-25,1516838400,106.0,106.22,104.8,105.11,1542900
2018-01-26,1516924800,105.85,106.55,105.64,106.25,1162100
2018-01-29,1517184000,104.33,105.28,103.75,104.96,5740200
2018-01-30,1517270400,105.22,105.42,104.39,104.42,1717600
2018-01-31,1517356800,105.47,105.62,104.35,104.92,1916400
2018-02-01,1517443200,105.27,105.79,104.92,105.5,1163900
2018-02-02,1517529600,104.31,104.36,102.8,103.33,2037300
2018-02-05,1517788800,101.48,101.86,98.35,98.9,2854200
2018-02-06,1517875200,98.04,100.76,97.83,100.74,2316000
2018-02-07,1517961600,99.25,100.55,98.97,99.0,1546500
2018-02-08,1518048000,98.38,98.65,95.75,95.79,2112900
2018-02-09,1518134400,95.63,96.38,93.58,95.37,2436200
2018-02-12,1518393600,96.04,96.87,95.97,96.34,2398100
2018-02-13,1518480000,96.0,96.19,95.52,95.97,1875900
2018-02-14,1518566400,95.23,96.67,95.15,96.34,5361800
2018-02-15,1518652800,95.55,96.8,95.27,96.77,1649900
2018-02-16,1518739200,98.34,98.67,97.99,98.12,1805200
2018-02-20,1519084800,97.28,97.81,97.07,97.41,1556700
2018-02-21,1519171200,97.6,98.32,97.0,97.14,1791900
2018-02-22,1519257600,96.94,97.93,96.71,97.4,2745600
2018-02-23,1519344000,97.42,99.19,97.2,99.16,1269400
2018-02-26,1519603200,99.89,101.28,99.77,100.78,2231400
2018-02-27,1519689600,99.42,99.73,98.19,98.23,1798400
2018-02-28,1519776000,99.43,99.96,98.17,98.17,2137500
2018-03-01,1519862400,103.26,103.55,99.93,101.2,4454300
2018-03-02,1519948800,103.49,103.52,100.82,102.29,2888600
2018-03-05,1520208000,101.9,103.48,101.85,103.24,2234800
2018-03-06,1520294400,103.65,104.46,103.51,104.26,1882000
2018-03-07,1520380800,103.54,104.42,103.36,104.3,1330100
2018-03-08,1520467200,105.39,107.04,105.38,106.55,2723500
2018-03-09,1520553600,106.32,106.86,105.94,106.5,2300500
2018-03-12,1520812800,107.48,108.23,106.63,106.88,4160700
2018-03-13,1520899200,107.07,107.23,105.97,106.05,4374000
2018-03-14,1520985600,106.18,106.25,104.51,104.94,2655700
2018-03-15,1521072000,104.41,104.92,103.99,104.36,2401800
2018-03-16,1521158400,104.72,104.93,104.29,104.49,6405400
2018-03-19,1521417600,104.21,104.93,103.48,103.77,1425700
2018-03-20,1521504000,103.66,104.48,103.23,104.17,1418100
2018-03-21,1521590400,102.75,103.09,101.84,101.92,1735300
2018-03-22,1521676800,100.84,101.47,100.19,100.3,1606100
2018-03-23,1521763200,100.37,100.77,98.71,98.75,1526800
2018-03-26,1522022400,99.77,99.94,98.4,99.63,1482900
2018-03-27,1522108800,99.78,100.63,98.9,99.37,2651000
2018-03-28,1522195200,100.41,101.96,100.11,101.36,2695400
2018-03-29,1522281600,102.57,102.61,101.28,101.65,1810600
2018-04-02,1522627200,101.39,101.87,99.49,99.66,1304900
2018-04-03,1522713600,99.54,100.65,98.79,100.58,1666600
2018-04-04,1522800000,99.06,101.2,99.06,101.0,1326400
2018-04-05,1522886400,102.0,102.37,101.63,101.74,1508300
2018-04-06,1522972800,101.85,101.85,99.5,99.8,2044800
2018-04-09,1523232000,100.65,101.54,100.38,100.51,1049300
2018-04-10,1523318400,101.02,101.09,99.62,100.15,1649500
2018-04-11,1523404800,99.79,99.87,98.19,98.24,2111100
2018-04-12,1523491200,97.71,98.07,97.26,97.27,2713000
2018-04-13,1523577600,97.23,97.29,96.59,96.9,1326300
2018-04-16,1523836800,97.08,97.14,96.33,96.45,1457600
2018-04-17,1523923200,97.78,98.8,97.03,98.66,2721300
2018-04-18,1524009600,99.07,99.51,98.53,98.93,1678200
2018-04-19,1524096000,99.13,99.13,96.57,97.14,2079500
2018-04-20,1524182400,97.55,97.57,95.79,96.1,2071000
2018-04-23,1524441600,95.5,95.74,95.14,95.3,1450200
2018-04-24,1524528000,95.79,95.83,94.27,94.75,1862100
2018-04-25,1524614400,95.11,95.72,94.78,95.45,1867900
2018-04-26,1524700800,96.63,96.74,94.09,94.22,3232200
2018-04-27,1524787200,94.76,94.76,92.22,92.32,5325800
2018-04-30,1525046400,93.63,93.87,92.36,92.53,3787200
2018-05-01,1525132800,92.92,92.92,91.07,92.44,2882800
2018-05-02,1525219200,92.05,92.05,89.58,89.68,6471600
2018-05-03,1525305600,91.21,91.95,91.13,91.52,4498000
2018-05-04,1525392000,92.21,92.92,91.84,92.3,3615300
2018-05-07,1525651200,92.54,92.72,92.24,92.49,1406100
2018-05-08,1525737600,92.72,93.05,91.85,93.05,1952100
2018-05-09,1525824000,95.85,96.34,92.42,92.76,3763600
2018-05-10,1525910400,90.46,90.64,89.44,90.36,4196000
2018-05-11,1525996800,90.38,90.79,89.55,90.04,1941900
2018-05-14,1526256000,91.22,91.34,90.32,90.44,2874500
2018-05-15,1526342400,88.44,89.13,88.06,88.65,2817200
2018-05-16,1526428800,88.7,89.12,88.7,88.97,1333000
2018-05-17,1526515200,90.08,90.12,89.09,89.44,1864600
2018-05-18,1526601600,90.12,90.16,89.09,89.32,1632300
2018-05-21,1526860800,89.52,89.65,88.99,89.23,2700100
2018-05-22,1526947200,90.71,90.81,89.64,89.92,3011800
2018-05-23,1527033600,89.42,89.85,89.14,89.77,2736900
2018-05-24,1527120000,90.39,90.8,89.99,90.7,1688300
2018-05-25,1527206400,89.29,90.04,89.26,89.72,1883400
2018-05-29,1527552000,87.92,88.4,86.86,87.47,3130000
2018-05-30,1527638400,89.16,89.3,88.12,89.18,1955300
2018-05-31,1527724800,89.66,89.69,88.19,88.65,2063000
2018-06-01,1527811200,89.46,89.58,87.93,88.49,2048900
2018-06-04,1528070400,91.64,91.64,91.02,91.2,2477200
2018-06-05,1528156800,91.6,91.62,89.86,90.12,1965400
2018-06-06,1528243200,89.78,89.91,89.27,89.86,1763100
2018-06-07,1528329600,89.51,89.65,88.66,89.0,3119800
2018-06-08,1528416000,89.06,89.75,88.93,89.67,1011800
2018-06-11,1528675200,90.87,92.0,90.7,91.81,1914400
2018-06-12,1528761600,92.58,92.93,92.19,92.5,1304800
2018-06-13,1528848000,93.28,93.43,92.11,92.64,1376900
2018-06-14,1528934400,92.92,93.08,92.2,92.23,1302400
2018-06-15,1529020800,93.94,93.94,92.83,93.33,1561500
2018-06-18,1529280000,91.86,91.9,90.78,91.5,1780700
2018-06-19,1529366400,90.32,91.42,90.22,91.33,1168900
2018-06-20,1529452800,92.07,92.12,91.33,91.69,1727800
2018-06-21,1529539200,92.73,92.81,91.98,92.15,1312400
2018-06-22,1529625600,93.29,94.12,93.2,93.9,1993700
2018-06-25,1529884800,93.76,93.94,92.17,92.67,1437900
