Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,3.7,3.75,3.58,3.58,8600
2017-01-04,1483488000,3.75,3.75,3.75,3.75,200
2017-01-05,1483574400,3.75,3.75,3.75,3.75,600
2017-01-06,1483660800,3.75,3.75,3.75,3.75,0
2017-01-09,1483920000,3.8,3.8,3.8,3.8,300
2017-01-10,1484006400,3.79,3.8,3.79,3.8,1100
2017-01-11,1484092800,3.74,3.75,3.72,3.75,800
2017-01-12,1484179200,3.8,7.4,3.77,3.96,920900
2017-01-13,1484265600,4.01,4.1,3.65,3.71,99400
2017-01-17,1484611200,4.43,5.8,4.2,5.23,492900
2017-01-18,1484697600,5.4,5.5,5.0,5.25,197500
2017-01-19,1484784000,4.91,5.0,4.5,4.6,41800
2017-01-20,1484870400,4.4,4.7,4.27,4.56,18100
2017-01-23,1485129600,4.5,4.54,4.27,4.3,16900
2017-01-24,1485216000,4.3,4.4,4.27,4.32,3900
2017-01-25,1485302400,5.14,5.14,4.5,4.64,16700
2017-01-26,1485388800,5.14,5.53,4.6,4.77,43200
2017-01-27,1485475200,4.73,4.77,4.6,4.6,7600
2017-01-30,1485734400,4.89,4.89,4.68,4.71,1700
2017-01-31,1485820800,4.65,5.05,4.65,5.05,5400
2017-02-01,1485907200,5.0,5.05,4.95,5.05,8200
2017-02-02,1485993600,5.01,5.01,4.76,4.9,6900
2017-02-03,1486080000,5.03,5.03,4.76,5.0,2200
2017-02-06,1486339200,4.95,5.25,4.94,5.1,33000
2017-02-07,1486425600,5.0,5.18,4.74,5.17,18800
2017-02-08,1486512000,5.2,5.2,5.0,5.1,14500
2017-02-09,1486598400,5.23,5.5,5.03,5.45,49100
2017-02-10,1486684800,5.7,5.7,5.3,5.47,21300
2017-02-13,1486944000,5.65,5.75,5.5,5.51,43100
2017-02-14,1487030400,5.53,5.71,5.53,5.55,25800
2017-02-15,1487116800,5.6,5.63,5.52,5.61,4100
2017-02-16,1487203200,5.55,5.66,5.4,5.65,9800
