Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,7.51,7.79,7.51,7.7,2700
2017-01-04,1483488000,7.71,7.77,7.67,7.76,1300
2017-01-05,1483574400,7.72,7.8,7.65,7.74,8300
2017-01-06,1483660800,7.79,7.79,7.58,7.58,800
2017-01-09,1483920000,7.68,7.68,7.31,7.36,4400
2017-01-10,1484006400,7.31,7.43,6.94,7.17,20600
2017-01-11,1484092800,7.15,7.28,7.14,7.19,5700
2017-01-12,1484179200,7.2,7.22,7.16,7.21,700
2017-01-13,1484265600,7.16,7.16,6.55,6.98,10700
2017-01-17,1484611200,6.77,7.2,6.6,6.65,50100
2017-01-18,1484697600,6.7,6.78,6.4,6.62,15700
2017-01-19,1484784000,6.6,6.62,6.59,6.6,2200
2017-01-20,1484870400,6.61,6.87,6.61,6.77,8700
2017-01-23,1485129600,6.75,6.76,6.7,6.74,1800
2017-01-24,1485216000,6.77,6.83,6.68,6.68,3200
2017-01-25,1485302400,6.85,6.87,6.72,6.84,4300
2017-01-26,1485388800,6.83,6.83,6.55,6.57,7100
2017-01-27,1485475200,6.59,6.6,6.48,6.59,4100
2017-01-30,1485734400,6.58,6.71,6.45,6.59,15900
2017-01-31,1485820800,6.57,6.59,6.38,6.58,2900
2017-02-01,1485907200,6.57,6.64,6.43,6.56,4800
2017-02-02,1485993600,6.55,6.71,6.47,6.49,3000
2017-02-03,1486080000,6.55,6.55,6.45,6.49,9500
2017-02-06,1486339200,6.51,6.53,6.48,6.53,3100
2017-02-07,1486425600,6.48,6.51,6.45,6.45,6500
2017-02-08,1486512000,6.43,6.5,6.43,6.46,3000
2017-02-09,1486598400,6.47,6.53,6.45,6.46,4900
2017-02-10,1486684800,6.47,6.51,6.46,6.46,1700
2017-02-13,1486944000,6.46,6.61,6.45,6.45,1000
2017-02-14,1487030400,6.46,6.48,6.44,6.44,1500
2017-02-15,1487116800,6.47,6.68,6.45,6.64,7400
2017-02-16,1487203200,6.6,6.6,6.6,6.6,200
2017-02-17,1487289600,6.6,6.64,6.6,6.64,600
2017-02-21,1487635200,6.59,6.73,6.36,6.47,57800
2017-02-22,1487721600,6.37,7.01,6.37,6.65,70200
2017-02-23,1487808000,6.67,6.79,6.63,6.65,4400
2017-02-24,1487894400,6.73,7.02,6.6,6.84,13800
2017-02-27,1488153600,6.82,7.35,6.82,6.88,11700
2017-02-28,1488240000,6.94,6.94,6.78,6.83,2200
2017-03-01,1488326400,6.86,7.12,6.73,6.9,30400
2017-03-02,1488412800,6.88,7.35,6.88,7.35,29300
2017-03-03,1488499200,7.37,7.5,7.25,7.34,8500
2017-03-06,1488758400,7.33,7.33,7.22,7.22,13900
2017-03-07,1488844800,7.45,7.46,7.23,7.3,2300
2017-03-08,1488931200,7.24,7.36,6.96,7.0,37900
2017-03-09,1489017600,7.07,7.44,7.07,7.21,5000
2017-03-10,1489104000,7.41,7.76,7.31,7.6,71500
2017-03-13,1489363200,7.8,8.32,7.59,7.98,79200
2017-03-14,1489449600,7.96,8.0,7.75,7.82,19600
2017-03-15,1489536000,7.87,7.97,7.62,7.88,29700
2017-03-16,1489622400,7.89,8.01,7.75,7.93,26400
2017-03-17,1489708800,7.85,8.33,7.8,8.28,33400
2017-03-20,1489968000,8.34,8.46,7.83,8.04,59800
2017-03-21,1490054400,8.06,8.14,7.71,8.14,106100
2017-03-22,1490140800,8.1,8.14,7.81,8.04,77300
2017-03-23,1490227200,7.87,8.06,7.77,7.88,61300
2017-03-24,1490313600,7.83,8.1,7.7,8.1,160000
2017-03-27,1490572800,8.08,8.38,7.84,8.24,162700
2017-03-28,1490659200,8.26,8.67,7.88,8.5,162500
2017-03-29,1490745600,8.51,8.68,8.2,8.53,129900
2017-03-30,1490832000,8.46,8.71,8.38,8.68,15400
2017-03-31,1490918400,8.68,9.16,8.47,9.1,108300
2017-04-03,1491177600,9.34,9.34,8.83,8.88,134900
2017-04-04,1491264000,8.89,9.17,8.49,8.6,53900
2017-04-05,1491350400,8.62,8.79,8.4,8.43,17900
2017-04-06,1491436800,8.46,8.99,8.45,8.93,18000
2017-04-07,1491523200,8.88,9.0,8.65,8.7,60400
2017-04-10,1491782400,8.7,9.2,8.62,9.08,32800
2017-04-11,1491868800,8.98,9.42,8.98,9.33,39400
2017-04-12,1491955200,9.32,9.32,8.92,9.21,8300
2017-04-13,1492041600,9.19,9.24,8.83,9.24,17600
2017-04-17,1492387200,8.71,9.17,8.71,9.16,38200
2017-04-18,1492473600,9.15,9.23,8.75,9.18,45400
2017-04-19,1492560000,9.11,9.22,9.04,9.04,12700
2017-04-20,1492646400,9.06,9.5,9.05,9.5,59400
2017-04-21,1492732800,9.45,9.84,9.29,9.77,81600
2017-04-24,1492992000,9.99,10.46,9.6,9.94,47200
2017-04-25,1493078400,10.06,10.33,9.99,10.22,31700
2017-04-26,1493164800,10.17,10.43,9.99,10.18,61400
2017-04-27,1493251200,10.17,10.39,10.14,10.32,47100
2017-04-28,1493337600,10.27,11.06,10.2,10.92,117200
2017-05-01,1493596800,10.72,11.25,10.69,10.86,134100
2017-05-02,1493683200,10.87,11.16,10.83,10.92,26100
2017-05-03,1493769600,10.92,11.19,10.22,10.35,43000
2017-05-04,1493856000,9.95,10.07,8.67,9.12,133800
2017-05-05,1493942400,9.08,9.58,8.27,9.35,138600
2017-05-08,1494201600,9.1,9.23,8.7,9.15,100100
2017-05-09,1494288000,9.03,9.24,8.68,9.23,62100
2017-05-10,1494374400,9.15,9.67,8.95,9.43,42600
2017-05-11,1494460800,9.43,10.1,9.23,9.74,47300
2017-05-12,1494547200,9.77,10.24,9.65,10.07,60600
2017-05-15,1494806400,9.92,10.21,9.52,10.08,67500
2017-05-16,1494892800,10.07,10.24,9.49,10.04,23400
2017-05-17,1494979200,9.92,10.08,9.16,9.58,73500
2017-05-18,1495065600,9.8,9.9,9.35,9.66,55500
2017-05-19,1495152000,9.62,9.85,9.31,9.43,18300
2017-05-22,1495411200,9.35,9.99,8.55,9.72,40400
2017-05-23,1495497600,9.69,9.92,9.55,9.65,9800
2017-05-24,1495584000,9.83,9.99,9.59,9.91,12700
2017-05-25,1495670400,9.92,10.09,9.46,9.99,9500
2017-05-26,1495756800,9.84,9.97,9.5,9.52,29000
2017-05-30,1496102400,9.45,9.8,9.43,9.55,28900
2017-05-31,1496188800,9.55,9.57,9.45,9.47,14000
2017-06-01,1496275200,9.48,9.69,9.48,9.51,4400
2017-06-02,1496361600,9.51,9.99,9.43,9.76,16300
2017-06-05,1496620800,9.64,9.71,9.46,9.6,19600
2017-06-06,1496707200,9.59,10.2,9.53,10.01,13400
2017-06-07,1496793600,10.0,10.08,9.73,10.0,54700
2017-06-08,1496880000,9.98,10.42,9.9,10.18,38600
2017-06-09,1496966400,10.46,10.5,10.12,10.39,9000
2017-06-12,1497225600,10.43,10.96,10.43,10.96,16500
2017-06-13,1497312000,10.82,11.0,10.64,11.0,29900
2017-06-14,1497398400,10.9,11.02,10.5,10.5,30400
2017-06-15,1497484800,10.5,10.94,10.5,10.91,10700
2017-06-16,1497571200,10.94,10.94,10.65,10.93,13300
2017-06-19,1497830400,11.01,11.07,10.65,10.65,32600
2017-06-20,1497916800,10.86,10.96,10.7,10.86,4100
2017-06-21,1498003200,10.98,10.98,10.7,10.92,7400
2017-06-22,1498089600,10.88,10.89,10.67,10.89,3800
2017-06-23,1498176000,10.8,11.02,10.8,11.02,24000
2017-06-26,1498435200,10.95,11.08,10.95,11.0,7100
2017-06-27,1498521600,10.99,11.08,10.99,11.0,13000
2017-06-28,1498608000,10.96,11.0,10.93,11.0,2600
2017-06-29,1498694400,10.88,11.0,10.64,10.96,9100
2017-06-30,1498780800,10.94,10.98,10.85,10.94,6500
2017-07-03,1499040000,10.87,10.94,10.85,10.9,2900
2017-07-05,1499212800,10.92,10.94,10.51,10.69,10200
2017-07-06,1499299200,10.52,10.63,10.2,10.44,13500
2017-07-07,1499385600,10.65,10.73,10.42,10.62,10100
2017-07-10,1499644800,10.69,10.99,10.57,10.79,17000
2017-07-11,1499731200,10.78,10.99,10.55,10.87,55700
2017-07-12,1499817600,10.88,11.0,10.8,10.98,40100
2017-07-13,1499904000,10.98,11.0,10.73,10.73,27200
2017-07-14,1499990400,10.84,10.84,10.43,10.7,23500
2017-07-17,1500249600,10.62,10.84,10.36,10.61,29500
2017-07-18,1500336000,10.87,10.87,10.6,10.82,3800
2017-07-19,1500422400,10.75,10.9,10.75,10.89,8200
2017-07-20,1500508800,10.81,10.88,10.75,10.75,3000
2017-07-21,1500595200,10.77,10.88,10.77,10.88,2200
2017-07-24,1500854400,10.83,11.08,10.74,10.92,28500
2017-07-25,1500940800,10.93,11.1,10.56,10.56,33700
2017-07-26,1501027200,10.58,10.58,10.31,10.55,7900
2017-07-27,1501113600,10.45,10.66,10.23,10.65,10200
2017-07-28,1501200000,10.5,10.55,10.17,10.31,25500
2017-07-31,1501459200,10.31,10.55,10.3,10.45,17000
2017-08-01,1501545600,10.49,10.53,10.26,10.37,12300
2017-08-02,1501632000,10.41,10.67,10.41,10.46,3900
2017-08-03,1501718400,10.44,10.52,10.04,10.07,8200
