Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,20.47,20.72,20.43,20.71,489000
2017-01-04,1483488000,20.71,21.02,20.71,20.87,719800
2017-01-05,1483574400,20.87,20.98,20.83,20.95,563600
2017-01-06,1483660800,20.95,21.08,20.91,20.96,420800
2017-01-09,1483920000,20.94,20.95,20.77,20.77,717500
2017-01-10,1484006400,20.8,21.04,20.79,20.94,909000
2017-01-11,1484092800,21.02,21.08,20.9,20.97,493000
2017-01-12,1484179200,20.97,21.02,20.85,20.95,406200
2017-01-13,1484265600,21.04,21.07,20.96,21.06,395800
2017-01-17,1484611200,21.1,21.13,20.94,21.02,467800
2017-01-18,1484697600,21.05,21.14,20.91,21.01,343800
2017-01-19,1484784000,20.91,21.06,20.91,20.97,572500
2017-01-20,1484870400,20.95,21.16,20.95,21.07,510600
2017-01-23,1485129600,21.08,21.25,20.98,21.12,466300
2017-01-24,1485216000,21.12,21.3,21.12,21.19,642600
2017-01-25,1485302400,21.19,21.27,20.91,20.93,823000
2017-01-26,1485388800,20.95,21.06,20.91,20.93,714600
2017-01-27,1485475200,20.97,20.99,20.82,20.85,462300
2017-01-30,1485734400,20.85,20.93,20.66,20.72,818600
2017-01-31,1485820800,20.72,20.81,20.49,20.68,529200
2017-02-01,1485907200,20.71,20.83,20.57,20.59,1233900
2017-02-02,1485993600,20.79,20.85,20.68,20.78,419000
2017-02-03,1486080000,20.9,21.17,20.87,21.1,810300
2017-02-06,1486339200,21.18,21.27,21.12,21.25,633600
2017-02-07,1486425600,21.26,21.31,21.14,21.17,578400
2017-02-08,1486512000,21.25,21.27,21.08,21.13,632600
2017-02-09,1486598400,21.2,21.29,21.14,21.23,340900
2017-02-10,1486684800,21.18,21.34,21.16,21.25,564300
2017-02-13,1486944000,21.28,21.38,21.23,21.27,632500
2017-02-14,1487030400,21.27,21.29,21.02,21.08,882900
2017-02-15,1487116800,20.95,21.04,20.66,20.81,1164000
2017-02-16,1487203200,20.7,20.81,20.51,20.73,1396400
2017-02-17,1487289600,20.75,20.77,20.64,20.71,619400
2017-02-21,1487635200,20.78,20.87,20.69,20.79,501300
2017-02-22,1487721600,20.75,20.81,20.66,20.77,512700
2017-02-23,1487808000,20.77,21.09,20.77,21.05,953900
2017-02-24,1487894400,21.02,21.05,20.9,21.02,410600
2017-02-27,1488153600,21.05,21.16,20.95,21.08,934200
2017-02-28,1488240000,21.06,21.18,20.89,21.12,850500
2017-03-01,1488326400,21.12,21.12,20.9,21.0,848700
2017-03-02,1488412800,20.95,21.1,20.83,20.85,946900
2017-03-03,1488499200,20.85,20.91,20.69,20.8,742800
2017-03-06,1488758400,20.8,20.81,20.63,20.77,455000
2017-03-07,1488844800,20.79,21.08,20.72,20.99,614300
2017-03-08,1488931200,20.99,20.99,20.73,20.76,571400
2017-03-09,1489017600,20.75,20.83,20.34,20.41,1163200
2017-03-10,1489104000,20.43,20.65,20.36,20.47,647300
2017-03-13,1489363200,20.51,20.64,20.38,20.41,522700
2017-03-14,1489449600,20.44,20.44,20.18,20.34,593900
2017-03-15,1489536000,20.4,20.72,20.4,20.68,689500
2017-03-16,1489622400,20.73,20.83,20.63,20.76,594800
2017-03-17,1489708800,20.79,20.91,20.73,20.89,603100
2017-03-20,1489968000,20.89,20.95,20.74,20.81,750500
2017-03-21,1490054400,20.83,20.9,20.72,20.78,561400
2017-03-22,1490140800,20.78,20.87,20.71,20.82,673300
2017-03-23,1490227200,20.82,21.01,20.81,20.94,518800
2017-03-24,1490313600,20.93,21.27,20.87,20.9,858100
2017-03-27,1490572800,20.85,21.06,20.79,21.01,654100
2017-03-28,1490659200,21.1,21.1,20.99,21.04,847800
2017-03-29,1490745600,21.05,21.42,21.04,21.35,847000
2017-03-30,1490832000,21.35,21.43,21.3,21.42,756300
2017-03-31,1490918400,21.45,21.45,21.33,21.42,549200
2017-04-03,1491177600,21.41,21.42,21.29,21.4,447900
2017-04-04,1491264000,21.37,21.44,21.31,21.38,582900
2017-04-05,1491350400,21.45,21.48,21.24,21.35,493000
2017-04-06,1491436800,21.36,21.38,21.22,21.33,702400
2017-04-07,1491523200,21.36,21.48,21.23,21.41,466000
2017-04-10,1491782400,21.45,21.53,21.38,21.46,391200
2017-04-11,1491868800,21.46,21.67,21.4,21.58,1124900
2017-04-12,1491955200,21.58,21.6,21.46,21.55,373700
2017-04-13,1492041600,21.57,21.66,21.49,21.5,499200
2017-04-17,1492387200,21.58,21.66,21.51,21.63,460900
2017-04-18,1492473600,21.66,21.71,21.54,21.7,524200
2017-04-19,1492560000,21.7,21.72,21.35,21.38,1136200
2017-04-20,1492646400,21.46,21.51,21.24,21.31,1155600
2017-04-21,1492732800,21.38,21.44,21.23,21.29,747500
2017-04-24,1492992000,21.26,21.38,21.1,21.2,1219100
2017-04-25,1493078400,21.2,21.53,21.2,21.39,956400
2017-04-26,1493164800,21.34,21.78,21.19,21.58,1244100
2017-04-27,1493251200,21.64,21.64,21.34,21.38,1095300
2017-04-28,1493337600,21.38,21.4,21.2,21.37,687900
2017-05-01,1493596800,21.35,21.55,21.33,21.46,1255400
2017-05-02,1493683200,21.46,21.5,21.2,21.22,1144800
2017-05-03,1493769600,21.25,21.25,20.8,20.83,1159000
2017-05-04,1493856000,20.8,20.93,20.63,20.93,1172600
2017-05-05,1493942400,20.93,21.13,20.86,21.11,683600
2017-05-08,1494201600,21.17,21.19,21.04,21.14,594300
2017-05-09,1494288000,21.14,21.19,20.91,20.97,678300
2017-05-10,1494374400,20.97,21.12,20.92,20.97,428600
2017-05-11,1494460800,21.0,21.11,20.9,21.08,452700
2017-05-12,1494547200,21.13,21.21,20.99,21.01,479900
2017-05-15,1494806400,21.05,21.21,21.01,21.12,497600
2017-05-16,1494892800,21.09,21.13,21.01,21.07,389200
2017-05-17,1494979200,21.04,21.15,20.94,20.97,580300
2017-05-18,1495065600,20.97,21.12,20.95,21.03,346800
2017-05-19,1495152000,21.04,21.14,20.97,21.13,587800
2017-05-22,1495411200,21.14,21.44,21.14,21.38,564100
2017-05-23,1495497600,21.41,21.63,21.39,21.57,780600
2017-05-24,1495584000,21.58,21.67,21.57,21.66,418500
2017-05-25,1495670400,21.69,21.82,21.64,21.67,767300
2017-05-26,1495756800,21.67,21.71,21.55,21.68,394500
2017-05-30,1496102400,21.66,21.71,21.55,21.58,387800
2017-05-31,1496188800,21.63,21.68,21.28,21.49,673000
2017-06-01,1496275200,21.47,21.65,21.41,21.59,605900
2017-06-02,1496361600,21.64,21.73,21.57,21.6,474700
2017-06-05,1496620800,21.55,21.73,21.47,21.57,516200
2017-06-06,1496707200,21.56,21.56,21.37,21.42,512900
2017-06-07,1496793600,21.46,21.46,21.35,21.43,425000
2017-06-08,1496880000,21.44,21.53,21.34,21.5,402000
2017-06-09,1496966400,21.53,21.76,21.47,21.69,461500
2017-06-12,1497225600,21.71,21.89,21.71,21.84,712100
2017-06-13,1497312000,21.84,22.05,21.77,22.04,582900
2017-06-14,1497398400,22.05,22.12,21.94,22.07,671200
2017-06-15,1497484800,22.07,22.2,22.0,22.14,552400
2017-06-16,1497571200,22.14,22.21,22.11,22.21,944300
2017-06-19,1497830400,22.28,22.44,22.22,22.36,657500
2017-06-20,1497916800,22.37,22.4,22.22,22.38,716600
2017-06-21,1498003200,22.4,22.45,22.24,22.35,761900
2017-06-22,1498089600,22.39,22.43,22.29,22.39,511800
2017-06-23,1498176000,22.43,22.47,22.27,22.39,639200
2017-06-26,1498435200,22.43,22.46,22.34,22.41,592900
2017-06-27,1498521600,22.43,22.43,22.14,22.21,865700
2017-06-28,1498608000,22.21,22.52,22.14,22.44,1278600
2017-06-29,1498694400,22.45,22.45,22.21,22.33,911800
2017-06-30,1498780800,22.34,22.45,22.2,22.3,616200
2017-07-03,1499040000,22.37,22.4,22.26,22.37,271300
2017-07-05,1499212800,22.39,22.49,22.3,22.38,619600
2017-07-06,1499299200,22.33,22.37,21.94,22.03,1029400
2017-07-07,1499385600,22.05,22.09,21.8,21.83,778500
2017-07-10,1499644800,21.84,21.92,21.7,21.74,569300
2017-07-11,1499731200,21.82,22.0,21.77,21.89,632900
2017-07-12,1499817600,21.97,21.99,21.84,21.88,319700
2017-07-13,1499904000,21.87,21.92,21.63,21.72,401300
2017-07-14,1499990400,21.77,21.95,21.67,21.89,497000
2017-07-17,1500249600,21.94,21.97,21.85,21.89,467500
2017-07-18,1500336000,21.83,21.9,21.73,21.77,923100
2017-07-19,1500422400,21.77,21.97,21.71,21.89,790500
2017-07-20,1500508800,21.92,22.04,21.86,21.95,600000
2017-07-21,1500595200,22.09,22.21,22.01,22.14,937600
2017-07-24,1500854400,22.19,22.2,22.01,22.05,727000
2017-07-25,1500940800,22.06,22.17,21.83,21.85,994100
2017-07-26,1501027200,21.83,21.98,21.59,21.71,986900
2017-07-27,1501113600,21.69,21.75,21.49,21.63,941500
2017-07-28,1501200000,21.62,21.65,21.52,21.6,534300
2017-07-31,1501459200,21.71,21.82,21.61,21.78,519400
2017-08-01,1501545600,21.81,21.85,21.61,21.65,906000
2017-08-02,1501632000,21.77,21.77,21.56,21.64,493600
2017-08-03,1501718400,21.65,21.72,21.6,21.68,532400
2017-08-04,1501804800,21.68,21.76,21.5,21.62,678300
2017-08-07,1502064000,21.63,21.76,21.56,21.66,483000
2017-08-08,1502150400,21.63,21.99,21.62,21.95,1330300
2017-08-09,1502236800,21.87,22.11,21.83,22.01,748100
2017-08-10,1502323200,21.99,22.04,21.85,21.99,832700
2017-08-11,1502409600,21.84,22.04,21.78,21.97,733300
2017-08-14,1502668800,22.08,22.15,22.01,22.06,516500
2017-08-15,1502755200,22.01,22.22,21.92,22.13,565100
2017-08-16,1502841600,22.12,22.16,21.97,21.98,357100
2017-08-17,1502928000,21.97,22.08,21.87,21.89,357100
2017-08-18,1503014400,21.89,21.99,21.81,21.94,375000
2017-08-21,1503273600,22.02,22.13,21.94,21.99,515100
2017-08-22,1503360000,21.99,22.08,21.94,22.04,427500
2017-08-23,1503446400,22.01,22.16,21.95,22.06,389300
2017-08-24,1503532800,22.14,22.14,22.0,22.06,418400
2017-08-25,1503619200,22.07,22.21,22.01,22.03,408600
2017-08-28,1503878400,22.03,22.06,21.93,22.03,422100
2017-08-29,1503964800,22.09,22.11,21.86,21.89,629700
2017-08-30,1504051200,21.88,22.0,21.85,21.91,607900
2017-08-31,1504137600,21.97,22.18,21.92,22.12,717500
2017-09-01,1504224000,22.17,22.2,22.06,22.15,415800
2017-09-05,1504569600,22.15,22.19,21.87,21.9,639700
2017-09-06,1504656000,21.9,22.01,21.87,21.89,575500
2017-09-07,1504742400,21.92,22.0,21.81,21.83,428500
2017-09-08,1504828800,21.84,21.9,21.64,21.66,640700
2017-09-11,1505088000,21.73,21.92,21.67,21.9,591900
2017-09-12,1505174400,21.91,22.02,21.88,21.97,400700
2017-09-13,1505260800,22.07,22.07,21.87,21.94,324300
2017-09-14,1505347200,21.87,21.93,21.8,21.89,499100
2017-09-15,1505433600,21.89,22.08,21.82,21.99,1015300
2017-09-18,1505692800,22.01,22.06,21.93,22.02,391300
2017-09-19,1505779200,22.05,22.12,21.98,22.03,557700
2017-09-20,1505865600,22.08,22.11,21.91,22.02,527100
2017-09-21,1505952000,22.03,22.06,21.88,21.99,606400
2017-09-22,1506038400,22.14,22.19,21.98,22.16,622300
2017-09-25,1506297600,22.2,22.26,22.14,22.24,467300
2017-09-26,1506384000,22.29,22.32,22.17,22.18,716800
2017-09-27,1506470400,22.23,22.29,22.1,22.25,784300
2017-09-28,1506556800,22.31,22.34,22.09,22.33,1086400
2017-09-29,1506643200,22.31,22.4,22.17,22.33,695400
2017-10-02,1506902400,22.33,22.47,22.28,22.43,484400
2017-10-03,1506988800,22.43,22.46,22.35,22.41,579900
2017-10-04,1507075200,22.41,22.49,22.36,22.49,454100
2017-10-05,1507161600,22.49,22.62,22.48,22.54,795100
2017-10-06,1507248000,22.55,22.56,22.36,22.49,461400
2017-10-09,1507507200,22.49,22.59,22.49,22.54,260400
2017-10-10,1507593600,22.61,22.74,22.52,22.52,358100
2017-10-11,1507680000,22.55,22.64,22.52,22.55,393100
2017-10-12,1507766400,22.6,22.61,22.51,22.58,720500
2017-10-13,1507852800,22.67,22.71,22.55,22.64,479600
2017-10-16,1508112000,22.66,22.79,22.64,22.74,783500
2017-10-17,1508198400,22.84,22.84,22.68,22.72,288500
2017-10-18,1508284800,22.8,22.8,22.68,22.74,321600
2017-10-19,1508371200,22.67,22.74,22.59,22.73,496400
2017-10-20,1508457600,22.74,22.92,22.72,22.91,1005600
2017-10-23,1508716800,22.89,22.94,22.74,22.84,741400
2017-10-24,1508803200,22.9,23.0,22.74,22.76,621800
2017-10-25,1508889600,23.13,23.2,22.9,23.1,1256800
2017-10-26,1508976000,23.12,23.12,22.75,22.79,731700
2017-10-27,1509062400,22.92,23.09,22.69,23.02,591600
2017-10-30,1509321600,23.04,23.13,23.0,23.02,342700
2017-10-31,1509408000,23.02,23.03,22.88,22.91,643600
2017-11-01,1509494400,22.97,23.03,22.85,22.99,644400
2017-11-02,1509580800,23.0,23.0,22.74,22.98,655000
2017-11-03,1509667200,22.9,23.18,22.85,23.08,516100
2017-11-06,1509926400,23.04,23.11,22.91,22.95,444300
2017-11-07,1510012800,22.95,23.1,22.9,22.95,550500
