Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,53.07,53.43,52.26,52.99,18322400
2017-01-04,1483488000,53.08,53.9,53.01,53.71,16947500
2017-01-05,1483574400,53.32,53.72,52.4,52.77,18317900
2017-01-06,1483660800,53.07,53.21,52.54,52.96,16778400
2017-01-09,1483920000,52.61,53.03,52.19,52.67,14593000
2017-01-10,1484006400,52.65,53.22,52.43,52.68,13483300
2017-01-11,1484092800,52.18,52.47,51.82,52.44,20737600
2017-01-12,1484179200,52.06,52.32,51.39,51.8,22778900
2017-01-13,1484265600,51.99,52.75,51.93,52.15,21045200
2017-01-17,1484611200,51.61,51.88,50.75,51.06,25013800
2017-01-18,1484697600,50.72,50.97,49.94,50.19,29276200
2017-01-19,1484784000,50.31,50.38,49.32,49.55,24932400
2017-01-20,1484870400,49.81,49.96,49.0,49.07,27722300
2017-01-23,1485129600,49.08,49.23,48.47,48.7,23130200
2017-01-24,1485216000,48.94,49.98,48.7,49.62,18416400
2017-01-25,1485302400,50.64,50.66,49.94,50.45,21492900
2017-01-26,1485388800,50.38,50.71,49.89,50.17,20792700
2017-01-27,1485475200,50.19,50.21,49.61,49.95,17074200
2017-01-30,1485734400,49.42,49.57,48.77,49.51,17537600
2017-01-31,1485820800,49.26,49.82,48.61,48.83,29221000
2017-02-01,1485907200,49.61,49.83,48.87,49.02,17441500
2017-02-02,1485993600,48.67,49.3,48.44,49.1,15586800
2017-02-03,1486080000,50.03,50.77,49.63,50.66,21404100
2017-02-06,1486339200,50.44,51.18,50.29,50.55,15680200
2017-02-07,1486425600,50.87,50.93,50.0,50.16,13996900
2017-02-08,1486512000,49.92,49.92,49.24,49.4,18626600
2017-02-09,1486598400,49.4,50.47,49.4,50.22,18054100
2017-02-10,1486684800,50.71,50.83,50.11,50.55,14421700
2017-02-13,1486944000,50.86,52.07,50.86,51.7,22779800
2017-02-14,1487030400,51.75,52.72,51.53,52.48,22359300
2017-02-15,1487116800,52.76,53.39,52.36,53.06,22423900
2017-02-16,1487203200,52.93,53.06,52.41,52.96,15916600
2017-02-17,1487289600,52.36,52.77,52.1,52.77,15120600
2017-02-21,1487635200,52.88,53.23,52.83,53.11,15812700
2017-02-22,1487721600,52.78,53.46,52.64,53.17,16025700
2017-02-23,1487808000,53.19,53.36,52.83,53.17,14624400
2017-02-24,1487894400,52.52,52.78,51.84,52.24,19900300
2017-02-27,1488153600,52.24,52.84,52.11,52.64,15711400
2017-02-28,1488240000,52.34,52.7,52.17,52.46,17237500
2017-03-01,1488326400,53.68,54.33,53.5,53.98,26421700
2017-03-02,1488412800,54.1,54.26,53.14,53.18,17270300
2017-03-03,1488499200,52.97,53.72,52.91,53.5,15178600
2017-03-06,1488758400,53.33,53.4,52.85,52.87,14979400
2017-03-07,1488844800,52.79,53.25,52.43,53.06,17297800
2017-03-08,1488931200,53.99,54.84,53.55,53.6,30724000
2017-03-09,1489017600,53.82,54.46,53.7,53.98,21429300
2017-03-10,1489104000,54.33,54.4,53.43,53.93,17421900
2017-03-13,1489363200,53.98,54.19,53.48,53.97,13481500
2017-03-14,1489449600,53.79,53.91,53.33,53.89,11819700
2017-03-15,1489536000,54.12,54.19,53.03,53.36,20086900
2017-03-16,1489622400,53.55,53.86,53.3,53.63,15198300
2017-03-17,1489708800,53.64,53.74,52.8,52.95,32281900
2017-03-20,1489968000,52.71,52.96,52.26,52.26,14813800
2017-03-21,1490054400,52.74,52.8,50.83,50.91,34140400
