Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,5.42,5.59,5.32,5.4,63700
2017-01-04,1483488000,5.45,5.59,5.37,5.45,82500
2017-01-05,1483574400,5.43,5.51,5.37,5.45,30300
2017-01-06,1483660800,5.48,5.52,5.44,5.5,27700
2017-01-09,1483920000,5.53,5.86,5.53,5.68,144000
2017-01-10,1484006400,5.76,6.05,5.76,5.9,136100
2017-01-11,1484092800,5.99,5.99,5.65,5.67,96900
2017-01-12,1484179200,5.67,5.75,5.45,5.5,45800
2017-01-13,1484265600,5.52,5.56,5.44,5.46,31800
2017-01-17,1484611200,5.47,5.57,5.45,5.51,47300
2017-01-18,1484697600,5.51,5.57,5.41,5.43,24800
2017-01-19,1484784000,5.46,5.54,5.42,5.43,17600
2017-01-20,1484870400,5.48,5.54,5.44,5.47,25800
2017-01-23,1485129600,5.48,5.51,5.12,5.17,70900
2017-01-24,1485216000,5.17,5.28,5.16,5.22,28700
2017-01-25,1485302400,5.2,5.22,4.99,4.99,93200
2017-01-26,1485388800,5.02,5.1,5.0,5.03,45300
2017-01-27,1485475200,5.0,5.02,4.71,4.76,75100
2017-01-30,1485734400,4.7,4.7,4.36,4.51,108200
2017-01-31,1485820800,4.47,4.6,4.45,4.47,62800
2017-02-01,1485907200,4.47,4.57,4.35,4.38,47100
2017-02-02,1485993600,4.35,4.49,4.35,4.43,36000
2017-02-03,1486080000,4.45,4.56,4.45,4.51,26900
2017-02-06,1486339200,4.51,4.75,4.51,4.73,76500
2017-02-07,1486425600,4.77,4.95,4.69,4.7,44500
2017-02-08,1486512000,4.72,4.8,4.66,4.66,57700
2017-02-09,1486598400,4.66,4.8,4.66,4.77,27500
2017-02-10,1486684800,4.76,4.97,4.76,4.92,57800
2017-02-13,1486944000,4.97,5.24,4.91,4.91,82800
2017-02-14,1487030400,4.92,4.95,4.88,4.91,43400
2017-02-15,1487116800,4.9,4.91,4.65,4.79,99500
2017-02-16,1487203200,4.75,4.91,4.75,4.84,56200
2017-02-17,1487289600,4.84,4.88,4.78,4.87,23700
2017-02-21,1487635200,4.88,4.88,4.8,4.85,35300
2017-02-22,1487721600,4.86,4.89,4.82,4.87,10100
2017-02-23,1487808000,4.86,4.97,4.81,4.93,43100
2017-02-24,1487894400,4.95,4.95,4.79,4.86,28700
2017-02-27,1488153600,4.83,4.93,4.78,4.86,39600
2017-02-28,1488240000,4.88,4.88,4.75,4.8,21900
2017-03-01,1488326400,4.85,4.88,4.79,4.83,21900
2017-03-02,1488412800,4.82,4.83,4.73,4.73,23400
2017-03-03,1488499200,4.71,4.79,4.65,4.67,23400
2017-03-06,1488758400,4.66,4.7,4.56,4.63,18300
2017-03-07,1488844800,4.61,4.65,4.56,4.57,19100
2017-03-08,1488931200,4.57,4.57,4.42,4.53,36700
2017-03-09,1489017600,4.49,4.56,4.45,4.55,10200
2017-03-10,1489104000,4.54,4.57,4.51,4.55,8600
2017-03-13,1489363200,4.52,4.97,4.52,4.97,58300
2017-03-14,1489449600,4.94,5.15,4.81,5.1,71300
2017-03-15,1489536000,5.19,5.51,4.77,5.31,104700
2017-03-16,1489622400,5.49,5.55,5.25,5.35,79400
2017-03-17,1489708800,5.38,5.5,5.28,5.43,93200
2017-03-20,1489968000,5.45,5.68,5.45,5.48,69600
2017-03-21,1490054400,5.48,5.64,5.21,5.22,84100
2017-03-22,1490140800,5.19,5.21,5.05,5.1,56600
2017-03-23,1490227200,5.2,5.44,5.13,5.2,33500
2017-03-24,1490313600,5.16,5.19,5.08,5.1,15200
2017-03-27,1490572800,5.1,5.46,4.97,5.09,78200
2017-03-28,1490659200,5.2,5.38,5.05,5.29,23500
2017-03-29,1490745600,5.3,5.54,5.3,5.41,134200
2017-03-30,1490832000,5.4,5.4,5.0,5.15,92600
2017-03-31,1490918400,5.15,5.15,4.95,4.99,55800
2017-04-03,1491177600,5.1,5.25,4.95,5.17,48700
2017-04-04,1491264000,5.13,5.17,4.95,5.12,71600
2017-04-05,1491350400,5.15,5.19,4.99,4.99,39900
2017-04-06,1491436800,4.98,5.0,4.77,4.99,35200
2017-04-07,1491523200,5.01,5.12,4.91,4.92,23500
2017-04-10,1491782400,4.9,5.02,4.77,4.88,30600
2017-04-11,1491868800,4.84,5.05,4.83,4.93,38600
2017-04-12,1491955200,4.85,4.94,4.8,4.88,15900
2017-04-13,1492041600,4.92,4.99,4.85,4.87,48300
2017-04-17,1492387200,4.85,4.85,4.6,4.74,70800
2017-04-18,1492473600,4.66,4.75,4.65,4.69,27700
2017-04-19,1492560000,4.67,4.77,4.64,4.67,29500
2017-04-20,1492646400,4.71,4.94,4.68,4.93,64900
2017-04-21,1492732800,4.81,4.94,4.67,4.74,62100
2017-04-24,1492992000,4.74,4.85,4.74,4.83,25300
2017-04-25,1493078400,4.87,4.89,4.81,4.84,15300
2017-04-26,1493164800,4.79,4.9,4.79,4.84,13700
2017-04-27,1493251200,4.81,4.87,4.81,4.86,10200
2017-04-28,1493337600,4.9,4.9,4.71,4.77,62300
2017-05-01,1493596800,4.8,4.88,4.72,4.83,14800
2017-05-02,1493683200,4.75,4.78,4.69,4.7,23500
2017-05-03,1493769600,4.65,4.7,4.4,4.5,64200
2017-05-04,1493856000,4.54,4.67,4.43,4.49,24600
2017-05-05,1493942400,4.51,4.67,4.5,4.57,3100
2017-05-08,1494201600,4.62,4.64,4.54,4.58,8500
2017-05-09,1494288000,4.62,4.62,4.4,4.46,91700
2017-05-10,1494374400,4.46,4.59,4.4,4.53,57300
2017-05-11,1494460800,4.36,4.53,4.35,4.41,54700
2017-05-12,1494547200,4.36,4.5,4.3,4.45,69000
2017-05-15,1494806400,4.8,5.14,4.8,5.1,180000
2017-05-16,1494892800,5.1,5.1,4.93,5.06,41400
2017-05-17,1494979200,5.04,5.04,4.93,4.97,30300
2017-05-18,1495065600,4.99,5.03,4.91,4.95,8000
2017-05-19,1495152000,4.98,5.12,4.98,5.05,53200
2017-05-22,1495411200,5.1,5.12,5.05,5.06,37900
2017-05-23,1495497600,5.06,5.06,5.0,5.02,36400
2017-05-24,1495584000,5.05,5.05,5.01,5.05,21900
2017-05-25,1495670400,5.04,5.08,5.0,5.01,14700
2017-05-26,1495756800,5.07,5.13,5.02,5.07,14900
2017-05-30,1496102400,5.05,5.23,5.05,5.1,82700
2017-05-31,1496188800,5.1,5.15,5.03,5.11,31200
2017-06-01,1496275200,5.06,5.12,5.06,5.07,9400
2017-06-02,1496361600,5.01,5.1,5.01,5.07,18200
2017-06-05,1496620800,5.04,5.05,5.01,5.02,13400
2017-06-06,1496707200,5.02,5.05,4.95,4.99,41100
2017-06-07,1496793600,4.97,5.01,4.95,4.96,9000
2017-06-08,1496880000,4.96,4.98,4.96,4.98,21700
2017-06-09,1496966400,4.96,5.05,4.91,4.96,14900
2017-06-12,1497225600,4.95,4.96,4.82,4.88,46800
2017-06-13,1497312000,4.88,4.96,4.82,4.82,37500
2017-06-14,1497398400,4.85,4.95,4.85,4.86,32100
2017-06-15,1497484800,4.82,4.84,4.8,4.82,23600
2017-06-16,1497571200,4.8,4.84,4.71,4.81,114100
2017-06-19,1497830400,4.81,4.89,4.72,4.83,47200
2017-06-20,1497916800,4.81,4.9,4.8,4.82,25500
2017-06-21,1498003200,4.85,4.85,4.73,4.76,36600
2017-06-22,1498089600,4.74,4.83,4.73,4.82,8400
2017-06-23,1498176000,4.82,4.83,4.79,4.81,13000
2017-06-26,1498435200,4.8,4.8,4.76,4.78,8100
2017-06-27,1498521600,4.79,4.88,4.79,4.83,17100
2017-06-28,1498608000,4.83,4.85,4.75,4.78,19500
2017-06-29,1498694400,4.78,4.81,4.75,4.81,33200
2017-06-30,1498780800,4.81,4.85,4.81,4.84,15700
2017-07-03,1499040000,4.85,4.85,4.84,4.85,2100
2017-07-05,1499212800,4.86,4.89,4.85,4.89,10300
2017-07-06,1499299200,4.92,4.92,4.77,4.81,29800
2017-07-07,1499385600,4.84,4.86,4.77,4.84,8700
2017-07-10,1499644800,4.85,4.85,4.81,4.81,6600
2017-07-11,1499731200,4.8,4.91,4.8,4.83,14400
2017-07-12,1499817600,4.94,4.94,4.84,4.84,2800
2017-07-13,1499904000,4.88,4.92,4.82,4.87,13600
2017-07-14,1499990400,4.86,4.88,4.82,4.85,13300
2017-07-17,1500249600,4.87,4.87,4.85,4.87,7300
2017-07-18,1500336000,4.86,4.87,4.8,4.85,9400
2017-07-19,1500422400,4.81,4.92,4.81,4.88,10400
2017-07-20,1500508800,4.89,4.9,4.82,4.83,4600
2017-07-21,1500595200,4.83,4.85,4.81,4.83,15900
2017-07-24,1500854400,4.77,4.87,4.76,4.81,24700
2017-07-25,1500940800,4.83,4.88,4.79,4.79,4400
2017-07-26,1501027200,4.78,4.83,4.78,4.81,7100
2017-07-27,1501113600,4.78,4.8,4.75,4.78,14000
2017-07-28,1501200000,4.8,4.85,4.77,4.84,16500
2017-07-31,1501459200,4.84,4.84,4.77,4.83,9900
2017-08-01,1501545600,4.81,4.81,4.77,4.81,8900
2017-08-02,1501632000,4.77,4.8,4.77,4.79,8100
2017-08-03,1501718400,4.77,4.79,4.72,4.77,33400
2017-08-04,1501804800,4.72,4.76,4.7,4.72,15500
2017-08-07,1502064000,4.77,4.8,4.72,4.76,18100
2017-08-08,1502150400,4.72,4.76,4.7,4.71,9900
2017-08-09,1502236800,4.77,4.79,4.64,4.76,35300
2017-08-10,1502323200,5.0,5.04,4.83,4.89,78600
2017-08-11,1502409600,4.88,4.89,4.82,4.83,18000
2017-08-14,1502668800,4.8,5.06,4.8,5.0,43000
2017-08-15,1502755200,5.06,5.22,5.04,5.04,95500
2017-08-16,1502841600,5.13,5.3,5.11,5.19,87700
2017-08-17,1502928000,5.25,5.3,5.15,5.15,56600
2017-08-18,1503014400,5.2,5.35,5.06,5.23,67400
2017-08-21,1503273600,5.4,5.41,5.18,5.29,94500
2017-08-22,1503360000,5.26,5.38,5.26,5.33,36300
2017-08-23,1503446400,5.34,5.42,5.2,5.23,76300
2017-08-24,1503532800,5.23,5.35,5.07,5.13,65200
2017-08-25,1503619200,5.23,5.26,5.15,5.25,24100
2017-08-28,1503878400,5.3,5.45,5.25,5.36,138500
2017-08-29,1503964800,5.4,5.41,5.33,5.37,17300
2017-08-30,1504051200,5.39,5.5,5.39,5.49,44500
2017-08-31,1504137600,5.48,5.49,5.34,5.39,33700
2017-09-01,1504224000,5.5,5.5,5.23,5.35,70300
2017-09-05,1504569600,5.45,5.5,5.37,5.49,106900
2017-09-06,1504656000,5.5,5.51,5.45,5.5,47000
2017-09-07,1504742400,5.5,5.58,5.48,5.55,80100
2017-09-08,1504828800,5.58,5.59,5.55,5.59,45000
2017-09-11,1505088000,5.65,5.88,5.59,5.85,150300
2017-09-12,1505174400,5.9,5.9,5.64,5.75,98000
2017-09-13,1505260800,5.72,5.76,5.57,5.57,46700
2017-09-14,1505347200,5.47,5.55,5.35,5.48,51300
2017-09-15,1505433600,5.45,5.45,5.2,5.24,129400
2017-09-18,1505692800,5.22,5.4,5.22,5.29,134100
2017-09-19,1505779200,5.38,5.5,5.34,5.48,68500
2017-09-20,1505865600,5.48,5.51,5.29,5.3,37000
2017-09-21,1505952000,5.3,5.32,5.2,5.27,43200
2017-09-22,1506038400,5.25,5.3,5.2,5.22,37600
2017-09-25,1506297600,5.25,5.4,5.22,5.31,42900
2017-09-26,1506384000,5.35,5.38,5.26,5.27,30800
2017-09-27,1506470400,5.3,5.36,5.26,5.3,22500
2017-09-28,1506556800,5.28,5.38,5.2,5.38,26300
2017-09-29,1506643200,5.29,5.29,5.2,5.2,28100
2017-10-02,1506902400,5.1,5.26,5.1,5.12,56400
2017-10-03,1506988800,5.2,5.27,5.2,5.21,32500
2017-10-04,1507075200,5.24,5.26,5.2,5.2,27400
2017-10-05,1507161600,5.18,5.37,5.15,5.24,47000
2017-10-06,1507248000,5.23,5.47,5.23,5.3,123200
2017-10-09,1507507200,5.3,5.35,5.26,5.27,42300
2017-10-10,1507593600,5.38,5.38,5.28,5.35,34800
2017-10-11,1507680000,5.32,5.35,5.28,5.29,32300
2017-10-12,1507766400,5.25,5.28,5.22,5.23,30500
2017-10-13,1507852800,5.3,5.38,5.23,5.27,56200
2017-10-16,1508112000,5.24,5.25,5.17,5.19,52100
2017-10-17,1508198400,5.17,5.2,5.11,5.13,25200
2017-10-18,1508284800,5.15,5.19,5.14,5.16,12200
2017-10-19,1508371200,5.14,5.14,5.07,5.09,30400
2017-10-20,1508457600,5.09,5.19,5.09,5.17,19000
2017-10-23,1508716800,5.16,5.21,5.08,5.09,63900
2017-10-24,1508803200,5.13,5.15,5.03,5.05,34700
2017-10-25,1508889600,5.02,5.15,5.01,5.06,17300
2017-10-26,1508976000,5.08,5.19,5.06,5.17,17000
2017-10-27,1509062400,5.15,5.15,5.01,5.06,28800
2017-10-30,1509321600,5.03,5.07,5.03,5.06,26400
2017-10-31,1509408000,5.04,5.07,5.04,5.05,14400
2017-11-01,1509494400,5.05,5.1,5.05,5.07,22500
2017-11-02,1509580800,5.09,5.1,5.07,5.1,37200
2017-11-03,1509667200,5.09,5.18,5.09,5.15,32300
2017-11-06,1509926400,5.16,5.2,5.15,5.16,30100
2017-11-07,1510012800,5.15,5.23,5.15,5.23,22300
2017-11-08,1510099200,5.25,5.25,5.0,5.11,46000
2017-11-09,1510185600,5.11,5.17,5.08,5.11,55600
2017-11-10,1510272000,5.11,5.15,5.08,5.12,16400
2017-11-13,1510531200,5.13,5.2,5.09,5.11,30700
2017-11-14,1510617600,5.11,5.12,5.09,5.12,18900
2017-11-15,1510704000,5.05,5.11,5.05,5.1,16000
2017-11-16,1510790400,5.1,5.11,5.08,5.08,28400
2017-11-17,1510876800,5.1,5.12,5.08,5.09,15800
2017-11-20,1511136000,5.08,5.14,5.08,5.12,26600
2017-11-21,1511222400,5.15,5.15,5.09,5.12,41100
2017-11-22,1511308800,5.1,5.21,5.08,5.09,31900
2017-11-24,1511481600,5.08,5.11,5.06,5.07,19700
2017-11-27,1511740800,5.05,5.06,5.0,5.0,30400
2017-11-28,1511827200,5.0,5.06,5.0,5.01,14100
2017-11-29,1511913600,5.0,5.04,5.0,5.0,18600
2017-11-30,1512000000,5.0,5.02,5.0,5.02,18200
2017-12-01,1512086400,5.01,5.09,4.95,5.09,47100
2017-12-04,1512345600,5.09,5.11,4.95,4.97,22100
2017-12-05,1512432000,5.0,5.01,4.95,4.95,17400
2017-12-06,1512518400,4.95,4.97,4.9,4.91,46800
2017-12-07,1512604800,4.9,4.96,4.9,4.92,49700
2017-12-08,1512691200,4.92,4.93,4.9,4.91,15600
2017-12-11,1512950400,4.9,4.98,4.9,4.95,32700
2017-12-12,1513036800,4.95,4.95,4.92,4.92,45200
2017-12-13,1513123200,4.94,4.99,4.92,4.96,19000
2017-12-14,1513209600,4.93,4.96,4.9,4.93,50700
2017-12-15,1513296000,4.92,5.18,4.88,4.88,115500
2017-12-18,1513555200,4.73,5.02,4.73,4.92,25900
2017-12-19,1513641600,4.89,4.94,4.85,4.86,30100
2017-12-20,1513728000,4.86,4.95,4.86,4.87,29000
