Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,8.51,9.4,8.37,9.34,51400
2017-01-04,1483488000,9.37,9.7,9.06,9.7,130600
2017-01-05,1483574400,9.71,10.01,9.64,9.91,271900
2017-01-06,1483660800,9.91,11.16,9.84,11.04,136700
2017-01-09,1483920000,10.91,10.91,10.27,10.5,44700
2017-01-10,1484006400,10.6,11.02,10.44,10.71,37600
2017-01-11,1484092800,10.74,10.91,10.52,10.84,39200
2017-01-12,1484179200,10.92,10.92,10.37,10.63,45200
2017-01-13,1484265600,10.74,13.08,10.74,12.51,286900
2017-01-17,1484611200,12.51,12.64,11.26,12.27,95800
2017-01-18,1484697600,12.24,13.08,11.91,12.99,162600
2017-01-19,1484784000,12.92,12.95,12.32,12.68,60800
2017-01-20,1484870400,12.83,13.29,12.83,13.07,107000
2017-01-23,1485129600,13.22,13.56,12.88,13.14,97200
2017-01-24,1485216000,13.26,14.59,13.26,14.51,204000
2017-01-25,1485302400,14.82,15.98,14.54,15.52,215400
2017-01-26,1485388800,15.49,16.52,15.44,16.06,253700
2017-01-27,1485475200,16.08,16.2,15.63,15.97,163500
2017-01-30,1485734400,15.93,16.21,15.69,15.99,109800
2017-01-31,1485820800,15.93,16.02,15.33,15.53,145900
2017-02-01,1485907200,15.74,16.26,15.44,15.78,124200
2017-02-02,1485993600,15.75,15.93,15.29,15.47,81800
2017-02-03,1486080000,15.59,15.76,14.59,15.1,182500
2017-02-06,1486339200,15.08,15.33,14.33,14.42,108400
2017-02-07,1486425600,14.59,14.86,13.97,14.15,147700
2017-02-08,1486512000,14.13,14.67,13.8,14.5,92600
2017-02-09,1486598400,14.35,14.67,14.2,14.29,59300
2017-02-10,1486684800,14.38,14.51,14.0,14.13,60300
2017-02-13,1486944000,14.34,14.85,13.98,14.06,92100
2017-02-14,1487030400,14.06,14.87,13.97,14.03,147800
2017-02-15,1487116800,13.75,15.6,13.38,14.51,292600
2017-02-16,1487203200,14.42,15.74,14.22,15.29,188500
2017-02-17,1487289600,15.63,16.84,15.4,16.52,280700
2017-02-21,1487635200,16.74,17.24,15.5,16.47,350100
2017-02-22,1487721600,16.47,16.69,15.79,16.06,119200
2017-02-23,1487808000,16.2,16.2,15.4,15.52,113800
2017-02-24,1487894400,15.24,15.43,14.28,14.77,243000
2017-02-27,1488153600,14.47,14.98,13.78,14.67,162900
2017-02-28,1488240000,14.67,15.41,14.34,14.89,220800
2017-03-01,1488326400,15.19,16.6,15.09,16.03,254900
2017-03-02,1488412800,15.94,16.0,15.07,15.09,77000
2017-03-03,1488499200,14.98,15.28,14.65,14.82,96800
2017-03-06,1488758400,14.45,14.68,14.2,14.28,54300
2017-03-07,1488844800,14.28,14.4,14.06,14.27,71400
2017-03-08,1488931200,14.43,14.92,14.22,14.43,130900
2017-03-09,1489017600,14.31,14.34,13.29,13.43,89800
2017-03-10,1489104000,13.59,13.8,13.39,13.71,80600
2017-03-13,1489363200,13.91,14.42,13.56,13.71,66900
2017-03-14,1489449600,13.53,14.01,13.06,14.0,88800
2017-03-15,1489536000,13.94,14.63,13.8,14.47,78600
2017-03-16,1489622400,14.45,14.74,14.16,14.34,46600
2017-03-17,1489708800,14.47,14.73,14.29,14.42,167600
2017-03-20,1489968000,14.42,14.42,13.84,13.96,50000
2017-03-21,1490054400,14.15,14.3,13.6,13.63,91700
2017-03-22,1490140800,13.46,13.78,13.3,13.65,112200
2017-03-23,1490227200,13.56,13.91,13.49,13.71,65900
2017-03-24,1490313600,13.74,14.66,13.61,13.91,55200
2017-03-27,1490572800,13.57,14.49,13.52,14.43,84900
2017-03-28,1490659200,14.57,15.57,14.48,15.05,107700
2017-03-29,1490745600,15.05,15.1,14.5,14.8,77800
2017-03-30,1490832000,14.78,15.04,14.54,14.93,87400
2017-03-31,1490918400,14.89,15.37,14.83,15.15,168700
2017-04-03,1491177600,15.15,15.37,14.42,14.59,87500
2017-04-04,1491264000,14.58,14.84,14.27,14.49,74700
2017-04-05,1491350400,14.62,14.9,14.24,14.43,108600
2017-04-06,1491436800,14.45,15.12,14.27,15.03,96000
2017-04-07,1491523200,15.08,15.56,14.75,15.52,84600
2017-04-10,1491782400,15.52,15.81,15.02,15.13,58100
2017-04-11,1491868800,15.06,15.36,14.79,15.24,39000
2017-04-12,1491955200,15.2,15.2,14.4,14.45,40400
2017-04-13,1492041600,14.41,14.59,13.96,14.02,80500
2017-04-17,1492387200,14.24,14.24,13.91,14.16,66200
2017-04-18,1492473600,14.05,14.43,13.89,14.27,77000
2017-04-19,1492560000,14.25,14.8,14.18,14.3,60900
2017-04-20,1492646400,14.48,15.24,14.43,14.92,78200
2017-04-21,1492732800,15.64,18.64,15.64,17.87,723000
2017-04-24,1492992000,18.28,20.39,18.28,20.07,565200
2017-04-25,1493078400,20.21,20.69,19.82,20.4,287500
2017-04-26,1493164800,20.26,21.38,20.23,20.83,261200
2017-04-27,1493251200,20.87,21.72,20.31,20.47,158600
2017-04-28,1493337600,20.4,20.4,19.35,19.84,128000
2017-05-01,1493596800,19.81,21.06,19.67,20.51,163700
2017-05-02,1493683200,20.59,21.06,20.25,20.83,126400
2017-05-03,1493769600,20.69,20.9,19.52,19.77,102900
2017-05-04,1493856000,19.84,19.87,18.55,18.76,205700
2017-05-05,1493942400,19.01,20.79,18.98,20.08,174400
2017-05-08,1494201600,20.05,20.07,19.0,19.64,214500
2017-05-09,1494288000,19.77,19.88,19.17,19.52,85600
2017-05-10,1494374400,19.58,19.73,19.02,19.15,290700
2017-05-11,1494460800,19.26,19.95,18.82,19.52,119200
2017-05-12,1494547200,19.48,19.48,18.48,18.94,157900
2017-05-15,1494806400,19.17,19.91,18.85,19.27,112800
2017-05-16,1494892800,19.27,19.27,18.61,18.91,99800
2017-05-17,1494979200,18.54,18.59,17.43,17.53,132800
2017-05-18,1495065600,17.42,17.76,17.01,17.05,151000
2017-05-19,1495152000,17.31,18.3,17.23,18.13,119100
2017-05-22,1495411200,18.16,19.23,17.64,19.12,152000
2017-05-23,1495497600,19.45,20.03,18.42,19.96,235600
2017-05-24,1495584000,20.09,20.24,19.18,19.43,139700
2017-05-25,1495670400,19.54,19.84,18.49,18.83,68600
2017-05-26,1495756800,18.8,19.24,18.64,19.17,71100
2017-05-30,1496102400,19.08,19.53,18.48,18.56,84000
2017-05-31,1496188800,18.57,18.91,18.11,18.52,99400
2017-06-01,1496275200,18.62,19.71,18.48,19.56,82000
2017-06-02,1496361600,19.71,20.75,19.57,20.34,130200
2017-06-05,1496620800,20.21,20.84,20.16,20.58,144700
2017-06-06,1496707200,20.54,20.89,19.51,20.21,129500
2017-06-07,1496793600,20.21,20.65,19.97,20.26,62700
2017-06-08,1496880000,20.4,21.17,20.23,21.06,98100
2017-06-09,1496966400,21.16,22.35,20.91,21.16,214900
2017-06-12,1497225600,21.18,22.13,20.62,21.06,194200
2017-06-13,1497312000,21.07,21.44,20.42,21.11,94000
2017-06-14,1497398400,21.39,21.39,20.02,20.46,106200
2017-06-15,1497484800,20.02,20.66,19.97,20.45,51200
2017-06-16,1497571200,20.21,20.53,20.04,20.19,166800
2017-06-19,1497830400,21.79,23.57,21.79,23.23,560900
2017-06-20,1497916800,23.23,23.58,22.35,22.82,224600
2017-06-21,1498003200,22.94,23.11,22.14,22.31,150500
2017-06-22,1498089600,22.4,23.02,22.2,22.63,134100
2017-06-23,1498176000,22.8,23.45,22.45,23.3,298600
2017-06-26,1498435200,23.58,23.58,22.42,23.1,94500
2017-06-27,1498521600,23.13,23.13,22.19,22.22,110800
2017-06-28,1498608000,22.48,23.32,22.33,23.02,86300
2017-06-29,1498694400,22.98,22.98,21.87,22.57,72400
2017-06-30,1498780800,22.65,23.06,22.18,22.71,213800
2017-07-03,1499040000,22.91,22.91,22.24,22.47,64500
2017-07-05,1499212800,22.61,23.2,22.18,22.99,143000
2017-07-06,1499299200,22.62,22.91,22.01,22.46,161600
2017-07-07,1499385600,22.59,23.09,22.16,22.33,143200
2017-07-10,1499644800,22.19,23.0,21.75,22.7,125100
2017-07-11,1499731200,22.6,22.88,22.13,22.45,136300
2017-07-12,1499817600,22.79,23.64,22.5,23.1,245200
2017-07-13,1499904000,23.1,23.67,22.84,23.56,217400
2017-07-14,1499990400,23.68,23.86,23.23,23.31,215300
2017-07-17,1500249600,23.69,24.18,23.32,23.51,446300
2017-07-18,1500336000,23.52,23.64,22.62,23.46,228000
2017-07-19,1500422400,23.44,23.84,23.31,23.55,193800
2017-07-20,1500508800,23.58,23.62,23.2,23.3,182400
2017-07-21,1500595200,23.48,25.14,23.01,24.95,342700
2017-07-24,1500854400,24.78,26.45,24.59,25.91,427600
2017-07-25,1500940800,26.08,26.08,25.14,25.3,303200
2017-07-26,1501027200,25.39,26.01,24.52,25.14,483800
2017-07-27,1501113600,27.38,28.01,24.68,25.98,1167200
2017-07-28,1501200000,25.84,26.22,24.78,26.01,395300
2017-07-31,1501459200,26.36,26.53,24.25,25.24,518000
2017-08-01,1501545600,25.24,26.01,25.06,25.99,294100
2017-08-02,1501632000,26.01,26.43,25.3,26.12,330600
2017-08-03,1501718400,26.45,26.93,25.65,26.84,342900
2017-08-04,1501804800,26.89,27.53,26.67,27.04,297100
2017-08-07,1502064000,27.14,27.91,26.62,27.51,251400
2017-08-08,1502150400,27.51,27.85,27.06,27.24,249600
2017-08-09,1502236800,27.06,27.52,26.01,26.95,226900
2017-08-10,1502323200,26.6,26.74,25.5,25.51,259200
2017-08-11,1502409600,24.64,26.56,24.64,26.2,205700
2017-08-14,1502668800,26.41,27.37,26.41,27.2,161900
2017-08-15,1502755200,27.45,28.2,27.13,27.55,235300
2017-08-16,1502841600,27.55,27.89,27.08,27.24,196800
2017-08-17,1502928000,27.22,28.06,26.94,27.29,247800
2017-08-18,1503014400,27.11,27.43,26.52,26.57,255700
2017-08-21,1503273600,26.48,26.65,25.99,26.42,183400
2017-08-22,1503360000,26.66,27.81,26.58,27.33,302700
2017-08-23,1503446400,27.07,27.74,26.95,27.6,119700
2017-08-24,1503532800,27.58,28.14,27.42,27.97,164300
2017-08-25,1503619200,28.31,28.46,27.3,27.69,143400
2017-08-28,1503878400,27.81,29.47,27.71,29.39,280800
2017-08-29,1503964800,29.14,29.7,27.72,29.57,285900
2017-08-30,1504051200,29.63,29.83,29.07,29.82,230500
2017-08-31,1504137600,30.01,30.42,29.45,29.82,240200
2017-09-01,1504224000,29.96,30.28,29.39,29.8,235000
2017-09-05,1504569600,29.56,29.73,28.7,29.15,159500
2017-09-06,1504656000,29.35,29.44,28.46,28.65,184800
2017-09-07,1504742400,28.65,28.79,27.65,28.54,180600
2017-09-08,1504828800,28.48,28.69,27.91,28.03,126900
2017-09-11,1505088000,28.43,29.36,28.43,28.87,215800
2017-09-12,1505174400,28.87,29.06,28.11,28.54,137900
2017-09-13,1505260800,28.64,28.69,28.04,28.33,93500
2017-09-14,1505347200,28.13,28.13,26.27,26.39,230900
2017-09-15,1505433600,26.19,26.97,25.55,26.93,422600
2017-09-18,1505692800,27.19,28.18,27.01,27.52,226500
2017-09-19,1505779200,27.69,27.9,27.39,27.69,233900
2017-09-20,1505865600,27.69,28.34,27.49,28.22,232700
2017-09-21,1505952000,28.29,28.68,28.01,28.45,156200
2017-09-22,1506038400,28.39,28.48,27.77,28.2,87200
2017-09-25,1506297600,28.2,28.54,27.23,27.34,243000
2017-09-26,1506384000,27.36,27.9,27.29,27.67,146400
2017-09-27,1506470400,27.92,28.38,27.6,28.0,190700
2017-09-28,1506556800,28.0,29.83,27.67,29.77,213600
2017-09-29,1506643200,29.47,29.75,28.91,29.18,220800
2017-10-02,1506902400,29.22,29.58,28.97,29.57,117700
2017-10-03,1506988800,29.7,29.93,28.97,29.6,142700
2017-10-04,1507075200,29.63,29.79,28.43,28.87,136200
2017-10-05,1507161600,28.97,29.25,28.74,29.08,99300
2017-10-06,1507248000,28.9,29.51,28.53,29.49,317600
2017-10-09,1507507200,29.73,30.15,29.48,29.76,203100
2017-10-10,1507593600,29.92,30.02,29.63,29.75,111200
2017-10-11,1507680000,29.83,29.97,29.48,29.82,93700
2017-10-12,1507766400,29.8,30.04,29.51,29.58,102700
2017-10-13,1507852800,29.83,29.83,28.98,29.03,166100
2017-10-16,1508112000,29.33,30.04,29.13,29.42,106700
2017-10-17,1508198400,29.27,29.87,29.07,29.29,116700
2017-10-18,1508284800,29.78,30.79,29.37,30.24,358200
2017-10-19,1508371200,30.24,31.18,29.14,30.2,233100
2017-10-20,1508457600,31.92,35.96,31.76,35.86,1007600
2017-10-23,1508716800,38.3,38.6,36.84,37.3,569600
2017-10-24,1508803200,37.19,38.32,36.99,37.41,400000
2017-10-25,1508889600,37.41,37.63,34.66,36.21,561900
2017-10-26,1508976000,36.21,36.57,35.38,35.45,286900
2017-10-27,1509062400,35.56,36.16,35.08,35.92,270900
2017-10-30,1509321600,37.14,37.14,34.93,35.37,248400
2017-10-31,1509408000,35.43,35.8,34.93,35.62,236700
2017-11-01,1509494400,36.01,36.23,33.97,34.86,314000
2017-11-02,1509580800,34.79,35.53,34.57,35.1,268500
2017-11-03,1509667200,35.12,35.28,34.55,34.58,213600
2017-11-06,1509926400,34.45,35.23,34.28,35.03,311000
2017-11-07,1510012800,35.56,35.59,34.19,35.23,273500
2017-11-08,1510099200,35.06,35.06,33.69,34.73,156700
2017-11-09,1510185600,34.63,35.28,33.91,35.1,351900
2017-11-10,1510272000,35.35,35.39,34.22,34.73,234200
2017-11-13,1510531200,34.39,34.56,33.71,34.41,184900
2017-11-14,1510617600,34.1,34.58,33.86,34.53,123300
2017-11-15,1510704000,34.11,34.11,32.89,33.19,310400
2017-11-16,1510790400,33.46,34.96,33.46,34.66,254200
2017-11-17,1510876800,34.66,34.92,33.58,33.9,182000
2017-11-20,1511136000,33.92,34.63,33.32,34.56,425900
2017-11-21,1511222400,34.72,34.99,33.05,33.73,226100
2017-11-22,1511308800,33.71,34.04,33.01,33.18,187900
2017-11-24,1511481600,33.29,33.52,32.73,32.96,71400
2017-11-27,1511740800,32.69,32.97,31.52,32.02,489000
2017-11-28,1511827200,32.09,33.58,32.09,33.16,216500
2017-11-29,1511913600,33.32,33.56,31.93,32.5,149500
2017-11-30,1512000000,32.93,33.36,32.43,32.96,306400
2017-12-01,1512086400,32.86,33.17,30.33,31.54,275100
2017-12-04,1512345600,32.2,32.71,30.79,31.13,254500
2017-12-05,1512432000,31.27,32.11,31.01,31.11,168900
2017-12-06,1512518400,30.8,31.04,30.24,30.45,195700
2017-12-07,1512604800,30.22,32.47,30.14,31.53,342800
2017-12-08,1512691200,31.95,31.99,29.13,29.31,308600
2017-12-11,1512950400,29.06,29.97,28.91,28.95,308400
2017-12-12,1513036800,28.86,29.23,27.66,28.21,386700
2017-12-13,1513123200,28.22,29.68,28.04,28.87,285900
2017-12-14,1513209600,28.93,29.35,28.02,28.13,191200
2017-12-15,1513296000,28.51,29.63,28.43,28.85,350800
2017-12-18,1513555200,29.22,29.63,28.74,29.0,158100
2017-12-19,1513641600,29.02,29.55,28.68,28.99,250100
2017-12-20,1513728000,29.29,30.98,29.12,30.17,450500
2017-12-21,1513814400,30.19,30.46,29.18,29.31,253400
2017-12-22,1513900800,29.23,29.41,27.41,27.96,322600
2017-12-26,1514246400,27.76,27.85,27.2,27.42,329400
2017-12-27,1514332800,27.51,27.81,26.98,27.78,244600
2017-12-28,1514419200,27.88,28.85,27.86,28.3,264400
2017-12-29,1514505600,28.27,28.46,27.23,27.25,530200
2018-01-02,1514851200,27.24,28.78,26.85,28.56,370100
2018-01-03,1514937600,28.47,29.62,27.83,28.3,293800
2018-01-04,1515024000,28.36,28.71,27.89,27.89,226800
2018-01-05,1515110400,28.02,28.17,27.38,27.97,147600
2018-01-08,1515369600,28.05,28.6,27.47,28.49,172000
2018-01-09,1515456000,28.46,28.72,28.11,28.14,115200
2018-01-10,1515542400,27.91,28.5,27.47,28.01,149300
2018-01-11,1515628800,28.11,29.26,27.77,29.1,180400
2018-01-12,1515715200,29.1,29.59,28.89,29.2,191600
2018-01-16,1516060800,29.43,30.16,28.02,28.31,300600
2018-01-17,1516147200,28.42,29.4,27.81,29.26,388900
2018-01-18,1516233600,29.08,29.22,28.05,28.22,260000
2018-01-19,1516320000,28.22,29.06,27.67,28.85,273700
2018-01-22,1516579200,28.77,29.78,28.46,29.76,250300
2018-01-23,1516665600,29.62,30.17,29.02,30.11,281200
2018-01-24,1516752000,30.06,30.51,29.21,29.34,374300
2018-01-25,1516838400,29.42,29.93,29.21,29.9,193200
2018-01-26,1516924800,30.1,30.1,29.37,29.72,259300
2018-01-29,1517184000,29.47,29.79,28.26,28.42,243100
2018-01-30,1517270400,27.94,28.21,27.43,27.64,212900
2018-01-31,1517356800,27.99,28.46,26.98,27.19,350900
2018-02-01,1517443200,27.0,27.18,25.96,26.9,358300
2018-02-02,1517529600,26.57,27.07,24.24,24.44,432400
2018-02-05,1517788800,23.98,25.15,23.47,23.59,331200
2018-02-06,1517875200,22.96,25.32,22.61,25.22,360600
2018-02-07,1517961600,25.18,25.54,23.32,23.6,239800
2018-02-08,1518048000,23.75,24.03,22.81,22.81,268100
2018-02-09,1518134400,23.24,23.24,20.95,22.35,446200
2018-02-12,1518393600,22.64,23.28,21.93,22.84,283200
2018-02-13,1518480000,22.68,24.33,22.68,23.33,325100
2018-02-14,1518566400,24.79,25.92,24.5,25.65,537800
2018-02-15,1518652800,22.9,23.09,19.86,21.36,1594300
2018-02-16,1518739200,21.23,21.56,20.32,21.07,918300
2018-02-20,1519084800,21.18,23.61,20.79,22.22,773500
2018-02-21,1519171200,22.22,22.45,21.05,21.5,699100
2018-02-22,1519257600,21.6,21.97,20.53,20.58,533500
2018-02-23,1519344000,20.74,21.41,20.74,21.15,554200
2018-02-26,1519603200,21.17,21.52,20.26,20.71,445200
2018-02-27,1519689600,20.75,20.97,20.07,20.08,351500
2018-02-28,1519776000,20.22,20.45,19.41,19.44,337400
2018-03-01,1519862400,19.3,19.81,18.93,19.11,437500
2018-03-02,1519948800,18.92,19.84,18.62,19.73,414200
2018-03-05,1520208000,19.43,19.55,18.76,18.9,301500
2018-03-06,1520294400,19.05,19.58,18.81,19.52,262200
2018-03-07,1520380800,19.35,19.6,18.7,19.02,377200
2018-03-08,1520467200,19.13,19.89,19.13,19.72,371900
2018-03-09,1520553600,19.87,20.62,19.82,20.48,360500
2018-03-12,1520812800,20.49,21.4,20.49,21.07,338400
2018-03-13,1520899200,21.24,21.85,21.24,21.65,567200
2018-03-14,1520985600,21.73,22.13,20.88,21.03,437000
2018-03-15,1521072000,21.17,21.47,20.92,21.18,283800
2018-03-16,1521158400,21.15,21.7,21.01,21.56,350300
2018-03-19,1521417600,21.4,21.4,20.98,21.26,358700
2018-03-20,1521504000,21.28,21.7,21.0,21.05,234100
2018-03-21,1521590400,20.95,21.22,20.62,20.87,370200
2018-03-22,1521676800,20.61,21.21,20.44,20.73,308200
2018-03-23,1521763200,20.73,20.73,20.08,20.1,181800
2018-03-26,1522022400,20.69,20.86,20.1,20.78,233400
2018-03-27,1522108800,20.83,20.91,19.67,19.78,291600
2018-03-28,1522195200,19.78,20.32,19.64,20.06,215200
2018-03-29,1522281600,20.2,20.98,19.81,20.46,279800
2018-04-02,1522627200,20.31,20.59,19.57,19.79,259800
2018-04-03,1522713600,19.87,20.03,19.38,19.88,186600
2018-04-04,1522800000,19.45,20.58,19.27,20.54,180200
2018-04-05,1522886400,20.68,21.04,20.46,20.69,217000
2018-04-06,1522972800,20.45,20.71,19.47,19.86,139600
2018-04-09,1523232000,20.06,20.11,19.58,19.61,147000
2018-04-10,1523318400,20.03,20.63,19.9,20.26,130100
2018-04-11,1523404800,20.09,20.13,19.55,19.78,140400
2018-04-12,1523491200,19.78,20.96,19.76,20.59,260300
2018-04-13,1523577600,20.82,20.86,20.29,20.39,238900
2018-04-16,1523836800,20.37,21.1,19.97,20.84,199200
2018-04-17,1523923200,21.03,21.07,20.42,20.64,226900
2018-04-18,1524009600,20.68,21.8,20.67,21.6,361300
2018-04-19,1524096000,21.45,21.72,20.81,21.39,216900
2018-04-20,1524182400,21.43,21.46,20.7,20.87,172600
2018-04-23,1524441600,20.83,20.83,20.34,20.54,134400
2018-04-24,1524528000,21.12,21.4,20.38,20.54,156800
2018-04-25,1524614400,20.51,20.51,19.93,20.2,189000
2018-04-26,1524700800,20.37,20.54,20.04,20.38,184500
2018-04-27,1524787200,20.21,22.33,20.21,22.19,458400
2018-04-30,1525046400,22.25,23.19,21.46,21.63,419200
2018-05-01,1525132800,21.56,22.45,21.4,22.4,291900
2018-05-02,1525219200,22.7,23.83,22.7,23.51,375200
2018-05-03,1525305600,23.43,23.73,22.45,23.58,356900
2018-05-04,1525392000,23.53,24.28,23.15,23.75,251300
2018-05-07,1525651200,23.92,24.37,23.61,24.13,176800
2018-05-08,1525737600,24.09,24.45,23.45,23.47,262300
2018-05-09,1525824000,23.52,23.71,22.54,23.27,326400
2018-05-10,1525910400,23.31,23.92,23.24,23.55,228400
2018-05-11,1525996800,23.47,23.93,23.37,23.72,138800
2018-05-14,1526256000,23.87,24.0,23.51,23.68,117900
2018-05-15,1526342400,23.54,23.89,23.39,23.86,160000
2018-05-16,1526428800,24.42,24.91,24.08,24.64,221600
2018-05-17,1526515200,24.6,25.13,24.31,24.69,209800
2018-05-18,1526601600,24.74,24.93,24.41,24.78,123000
2018-05-21,1526860800,25.03,25.39,24.82,25.03,148100
2018-05-22,1526947200,25.18,25.18,24.38,24.41,122500
2018-05-23,1527033600,24.16,24.44,23.76,24.05,147300
2018-05-24,1527120000,24.03,24.48,23.87,24.16,161200
2018-05-25,1527206400,24.09,24.3,23.86,24.13,98600
