Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,9.75,10.05,9.6,9.9,7813
2017-01-04,1483488000,9.45,10.5,9.45,10.35,21693
2017-01-05,1483574400,9.9,10.5,9.9,9.9,4920
2017-01-06,1483660800,10.35,10.5,10.05,10.35,15593
2017-01-09,1483920000,10.35,10.5,9.75,9.75,6600
2017-01-10,1484006400,9.75,10.35,9.75,10.2,5853
2017-01-11,1484092800,10.5,10.5,9.9,9.9,7213
2017-01-12,1484179200,9.9,10.5,9.9,10.2,48373
2017-01-13,1484265600,10.35,11.55,8.85,9.75,87627
2017-01-17,1484611200,9.6,10.05,8.7,9.0,17313
2017-01-18,1484697600,9.15,9.3,8.7,8.85,9433
2017-01-19,1484784000,8.85,9.15,8.25,8.55,12407
2017-01-20,1484870400,8.55,8.85,8.25,8.85,9247
2017-01-23,1485129600,8.7,9.0,8.25,8.55,5667
2017-01-24,1485216000,8.7,8.7,8.25,8.4,9507
2017-01-25,1485302400,8.4,9.0,8.4,8.4,8100
2017-01-26,1485388800,8.55,9.0,8.25,8.55,5327
2017-01-27,1485475200,8.55,9.6,8.25,9.15,37507
2017-01-30,1485734400,9.45,9.45,8.55,8.55,7647
2017-01-31,1485820800,8.55,9.15,8.55,8.7,5873
2017-02-01,1485907200,10.35,10.5,8.25,8.7,117293
2017-02-02,1485993600,8.4,8.7,8.25,8.25,23460
2017-02-03,1486080000,8.25,8.25,7.05,7.65,34173
2017-02-06,1486339200,7.65,7.65,6.75,7.35,17133
2017-02-07,1486425600,7.35,9.3,7.35,8.85,129980
2017-02-08,1486512000,8.55,8.85,7.8,8.1,32533
2017-02-09,1486598400,8.1,8.4,7.65,8.25,12993
2017-02-10,1486684800,7.5,7.95,7.05,7.8,67353
2017-02-13,1486944000,8.03,10.95,8.03,9.5,427600
2017-02-14,1487030400,10.65,10.82,7.59,7.83,583500
2017-02-15,1487116800,7.64,7.84,7.0,7.27,147700
