Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,10.0,10.06,9.74,9.9,2431100
2017-01-04,1483488000,9.99,10.2,9.96,10.18,2504900
2017-01-05,1483574400,10.29,10.71,10.25,10.41,4701000
2017-01-06,1483660800,10.47,10.49,10.16,10.26,1632000
2017-01-09,1483920000,10.33,10.33,10.12,10.24,2388600
2017-01-10,1484006400,10.3,11.36,10.29,11.29,7319600
2017-01-11,1484092800,11.42,11.85,11.3,11.84,8587500
2017-01-12,1484179200,12.17,12.72,11.9,12.06,8491000
2017-01-13,1484265600,12.01,12.67,11.81,12.66,5358500
2017-01-17,1484611200,12.67,12.72,12.32,12.64,4791200
2017-01-18,1484697600,11.32,11.54,10.2,10.33,15215200
2017-01-19,1484784000,10.34,11.38,10.32,11.35,7462100
2017-01-20,1484870400,11.39,11.7,11.06,11.18,4186300
2017-01-23,1485129600,11.22,11.54,11.16,11.5,2983900
2017-01-24,1485216000,11.67,12.37,11.63,12.33,5783200
2017-01-25,1485302400,12.4,12.7,12.01,12.23,6476500
2017-01-26,1485388800,12.24,12.44,12.16,12.35,3844000
2017-01-27,1485475200,12.31,12.43,12.18,12.36,2693400
2017-01-30,1485734400,12.32,12.34,11.86,12.01,3851400
2017-01-31,1485820800,12.06,12.21,11.96,12.14,2193900
2017-02-01,1485907200,10.88,10.88,10.5,10.73,9550900
2017-02-02,1485993600,10.74,10.77,10.0,10.23,8041900
2017-02-03,1486080000,10.2,10.33,10.07,10.16,3810900
2017-02-06,1486339200,10.2,10.22,9.85,9.95,3716500
2017-02-07,1486425600,9.88,10.25,9.88,10.17,3655900
2017-02-08,1486512000,10.21,10.5,10.1,10.37,4177200
2017-02-09,1486598400,10.37,10.51,10.19,10.32,3807400
2017-02-10,1486684800,10.38,10.79,10.35,10.6,4136600
2017-02-13,1486944000,10.8,11.2,10.7,11.17,4073800
2017-02-14,1487030400,11.44,11.78,11.3,11.77,4856000
2017-02-15,1487116800,11.68,11.74,11.18,11.29,4926100
2017-02-16,1487203200,11.34,11.52,11.18,11.28,2710200
2017-02-17,1487289600,11.23,11.37,11.12,11.16,1737100
2017-02-21,1487635200,11.21,11.21,10.89,10.94,3000800
2017-02-22,1487721600,10.83,10.94,10.75,10.87,2939400
2017-02-23,1487808000,10.9,10.96,10.72,10.73,2796500
2017-02-24,1487894400,10.72,10.74,10.41,10.43,3944900
2017-02-27,1488153600,10.56,10.81,10.39,10.75,2481700
