Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,52.34,53.01,52.17,52.85,861000
2017-01-04,1483488000,52.94,53.63,52.94,53.63,779700
2017-01-05,1483574400,53.6,53.9,53.15,53.71,1067000
2017-01-06,1483660800,53.75,54.2,53.53,54.01,848000
2017-01-09,1483920000,53.86,53.86,52.18,52.56,1304300
2017-01-10,1484006400,52.56,53.25,52.4,52.86,1110400
2017-01-11,1484092800,53.04,53.53,52.74,53.51,695200
2017-01-12,1484179200,53.31,54.11,53.14,54.09,1081500
2017-01-13,1484265600,53.84,54.49,53.7,54.41,1555000
2017-01-17,1484611200,54.42,54.42,53.99,54.18,763600
2017-01-18,1484697600,54.21,54.62,54.09,54.37,728700
2017-01-19,1484784000,54.25,54.65,53.44,53.79,688200
2017-01-20,1484870400,53.88,54.03,52.67,52.91,974000
2017-01-23,1485129600,52.72,53.14,52.46,53.14,657700
2017-01-24,1485216000,53.05,54.12,52.82,53.88,788000
2017-01-25,1485302400,54.02,54.09,53.45,53.64,1139100
2017-01-26,1485388800,53.83,54.09,53.17,53.94,835300
2017-01-27,1485475200,53.97,54.17,53.41,53.71,475000
2017-01-30,1485734400,53.27,53.74,52.67,53.35,502100
2017-01-31,1485820800,53.3,53.92,53.08,53.85,984600
2017-02-01,1485907200,54.29,54.66,53.39,53.49,1884300
2017-02-02,1485993600,53.31,53.88,52.76,53.75,1681900
2017-02-03,1486080000,53.19,53.88,52.24,52.77,2279500
2017-02-06,1486339200,52.74,53.28,52.08,52.67,1965300
2017-02-07,1486425600,52.68,52.9,52.36,52.39,1350600
2017-02-08,1486512000,52.39,52.96,52.24,52.78,953000
2017-02-09,1486598400,52.68,52.93,52.39,52.78,770200
2017-02-10,1486684800,53.06,53.1,52.38,52.77,771400
2017-02-13,1486944000,52.98,53.36,52.71,53.01,876900
2017-02-14,1487030400,52.82,52.98,52.43,52.62,703300
2017-02-15,1487116800,52.62,52.87,52.5,52.62,712600
2017-02-16,1487203200,52.55,53.27,52.55,52.72,784700
2017-02-17,1487289600,52.74,52.84,52.21,52.47,1184100
2017-02-21,1487635200,52.49,53.36,52.49,53.26,864200
2017-02-22,1487721600,53.14,53.14,52.55,52.88,599300
2017-02-23,1487808000,53.12,53.53,52.95,53.31,862500
2017-02-24,1487894400,52.92,53.26,52.77,53.02,529500
2017-02-27,1488153600,53.01,53.18,52.72,53.04,540700
2017-02-28,1488240000,53.03,53.79,52.71,53.28,1500700
2017-03-01,1488326400,53.67,54.09,53.36,53.62,863900
2017-03-02,1488412800,53.56,53.56,52.79,52.95,641800
2017-03-03,1488499200,52.87,53.22,52.62,53.19,689800
2017-03-06,1488758400,52.88,53.03,52.38,52.41,650400
2017-03-07,1488844800,52.45,52.54,51.95,52.17,857200
2017-03-08,1488931200,52.24,52.67,52.09,52.61,815300
2017-03-09,1489017600,52.69,53.05,52.27,52.96,1292800
2017-03-10,1489104000,53.0,53.81,53.0,53.63,1312200
2017-03-13,1489363200,53.69,53.8,53.14,53.41,645900
2017-03-14,1489449600,53.1,53.55,53.1,53.17,499600
2017-03-15,1489536000,53.38,53.61,52.96,53.38,938400
2017-03-16,1489622400,53.58,53.74,53.4,53.47,617100
2017-03-17,1489708800,53.34,53.64,53.34,53.59,736300
2017-03-20,1489968000,53.6,54.07,53.36,53.73,792600
2017-03-21,1490054400,53.8,53.83,52.7,52.79,796000
2017-03-22,1490140800,52.8,53.1,52.49,53.02,799200
2017-03-23,1490227200,52.83,53.32,52.78,53.01,476400
2017-03-24,1490313600,53.22,53.28,51.92,52.23,1267700
2017-03-27,1490572800,51.6,52.29,51.46,52.2,1263300
2017-03-28,1490659200,52.1,52.63,51.97,52.36,767200
2017-03-29,1490745600,52.28,52.51,52.03,52.32,700000
2017-03-30,1490832000,52.26,52.42,52.01,52.21,422300
2017-03-31,1490918400,52.16,52.82,52.09,52.64,783900
2017-04-03,1491177600,52.68,52.96,52.5,52.79,1138000
2017-04-04,1491264000,52.51,52.62,52.11,52.21,1039800
2017-04-05,1491350400,52.36,52.74,52.19,52.59,1184500
2017-04-06,1491436800,52.66,52.92,52.33,52.7,1355900
2017-04-07,1491523200,52.52,52.84,52.49,52.59,1031900
2017-04-10,1491782400,52.65,53.33,52.38,53.1,805500
2017-04-11,1491868800,52.9,53.61,52.9,53.55,1009900
2017-04-12,1491955200,53.11,53.33,52.85,53.24,1471200
2017-04-13,1492041600,53.13,53.66,52.97,53.03,749400
2017-04-17,1492387200,53.31,54.09,53.26,54.08,1073700
2017-04-18,1492473600,53.67,54.3,53.62,54.14,1093200
2017-04-19,1492560000,54.48,54.84,54.38,54.54,1157300
2017-04-20,1492646400,55.29,55.29,53.64,54.43,1736200
2017-04-21,1492732800,54.45,55.35,54.39,54.75,1366400
2017-04-24,1492992000,55.43,55.52,54.67,55.41,1230300
2017-04-25,1493078400,55.69,55.98,55.44,55.59,636700
2017-04-26,1493164800,55.7,56.05,55.4,55.44,937100
2017-04-27,1493251200,55.39,55.99,55.18,55.78,732900
2017-04-28,1493337600,55.73,55.83,55.55,55.76,626000
2017-05-01,1493596800,55.91,56.16,55.66,55.78,549700
2017-05-02,1493683200,55.79,56.25,55.65,56.05,799900
2017-05-03,1493769600,55.92,56.09,55.55,55.62,514900
2017-05-04,1493856000,55.72,56.55,55.72,56.48,630000
2017-05-05,1493942400,56.67,56.83,56.34,56.46,567800
2017-05-08,1494201600,56.41,56.51,56.12,56.49,558500
2017-05-09,1494288000,56.55,56.55,56.02,56.22,594400
2017-05-10,1494374400,56.19,56.47,55.95,56.38,525000
2017-05-11,1494460800,56.1,56.43,55.76,56.17,352600
2017-05-12,1494547200,55.97,56.29,55.96,56.0,327000
2017-05-15,1494806400,55.92,56.82,55.92,56.6,587400
2017-05-16,1494892800,56.6,56.65,56.24,56.38,490100
2017-05-17,1494979200,55.92,56.27,55.77,56.13,672100
2017-05-18,1495065600,55.8,55.8,54.81,55.34,718600
2017-05-19,1495152000,55.51,55.78,55.15,55.68,489900
2017-05-22,1495411200,55.74,56.21,55.64,56.02,621400
2017-05-23,1495497600,56.27,57.09,56.09,56.2,643900
2017-05-24,1495584000,56.18,56.51,55.98,56.48,604800
2017-05-25,1495670400,56.6,56.96,56.47,56.8,451300
2017-05-26,1495756800,56.62,56.91,56.51,56.72,331100
2017-05-30,1496102400,56.49,57.49,56.47,57.37,595700
2017-05-31,1496188800,57.47,57.65,56.99,57.4,773200
2017-06-01,1496275200,57.65,58.34,57.59,58.08,508200
2017-06-02,1496361600,58.1,58.45,57.62,58.23,493800
