Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,4.09,4.09,3.93,4.01,77500
2017-01-04,1483488000,4.05,4.21,4.01,4.01,54600
2017-01-05,1483574400,4.01,4.03,3.89,3.97,55300
2017-01-06,1483660800,3.97,3.97,3.89,3.93,63100
2017-01-09,1483920000,3.97,3.97,3.89,3.93,29700
2017-01-10,1484006400,3.97,4.05,3.93,4.05,47400
2017-01-11,1484092800,4.01,4.01,3.93,4.01,42700
2017-01-12,1484179200,4.01,4.01,3.93,3.97,54400
2017-01-13,1484265600,4.01,4.01,3.93,3.93,19700
2017-01-17,1484611200,3.97,3.99,3.93,3.97,45800
2017-01-18,1484697600,3.93,3.97,3.81,3.85,95100
2017-01-19,1484784000,3.89,3.93,3.82,3.93,27600
2017-01-20,1484870400,3.97,3.97,3.85,3.89,29800
2017-01-23,1485129600,3.89,3.97,3.85,3.89,18000
2017-01-24,1485216000,3.89,3.89,3.81,3.85,27400
2017-01-25,1485302400,3.85,4.01,3.85,3.97,91000
2017-01-26,1485388800,3.97,3.97,3.85,3.89,55500
2017-01-27,1485475200,3.89,4.07,3.77,3.97,131000
2017-01-30,1485734400,4.01,4.01,3.93,3.97,42600
2017-01-31,1485820800,4.01,4.01,3.97,4.01,22500
2017-02-01,1485907200,4.01,4.05,3.97,3.97,56800
2017-02-02,1485993600,4.01,4.05,3.91,4.01,49600
2017-02-03,1486080000,4.01,4.05,3.97,3.97,49000
2017-02-06,1486339200,3.97,4.01,3.89,3.89,32800
2017-02-07,1486425600,3.85,3.97,3.77,3.85,44500
2017-02-08,1486512000,3.89,3.89,3.73,3.73,30400
2017-02-09,1486598400,3.77,3.85,3.75,3.81,34100
2017-02-10,1486684800,3.98,4.13,3.89,3.97,138600
2017-02-13,1486944000,4.01,4.13,3.97,4.09,43100
2017-02-14,1487030400,4.13,4.37,4.09,4.29,208300
2017-02-15,1487116800,4.29,4.37,4.25,4.33,67400
2017-02-16,1487203200,4.33,4.33,4.25,4.29,161800
2017-02-17,1487289600,4.33,4.33,4.17,4.21,62300
2017-02-21,1487635200,4.25,4.28,4.13,4.21,72400
2017-02-22,1487721600,4.21,4.29,4.17,4.29,49900
2017-02-23,1487808000,4.33,4.33,4.25,4.25,194300
2017-02-24,1487894400,4.33,4.57,4.23,4.42,113400
2017-02-27,1488153600,4.38,4.57,4.33,4.52,178500
2017-02-28,1488240000,4.61,4.61,4.52,4.57,123400
2017-03-01,1488326400,4.66,4.76,4.47,4.71,267500
2017-03-02,1488412800,4.76,5.8,4.66,5.76,341200
2017-03-03,1488499200,5.8,5.85,5.04,5.28,261000
2017-03-06,1488758400,5.33,5.71,5.07,5.71,191500
2017-03-07,1488844800,5.66,5.71,5.61,5.66,152200
2017-03-08,1488931200,5.61,5.66,5.52,5.66,135300
2017-03-09,1489017600,5.71,5.71,5.47,5.52,94700
2017-03-10,1489104000,5.42,5.61,5.37,5.56,108000
2017-03-13,1489363200,5.52,5.76,5.47,5.47,161500
2017-03-14,1489449600,5.47,5.56,5.42,5.52,26300
2017-03-15,1489536000,5.47,5.76,5.42,5.66,204500
2017-03-16,1489622400,5.61,5.76,5.61,5.71,81300
2017-03-17,1489708800,5.71,5.71,5.26,5.33,420900
2017-03-20,1489968000,5.33,5.61,5.33,5.52,58800
2017-03-21,1490054400,5.52,5.71,5.42,5.56,51500
2017-03-22,1490140800,5.52,5.56,5.42,5.47,37200
2017-03-23,1490227200,5.42,5.71,5.42,5.66,71300
2017-03-24,1490313600,5.66,5.76,5.61,5.72,66600
2017-03-27,1490572800,5.71,5.76,5.52,5.56,153800
2017-03-28,1490659200,5.52,5.8,5.52,5.8,1069600
