Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,19.95,19.95,18.8,19.49,946600
2017-01-04,1483488000,19.42,19.81,19.23,19.8,690900
2017-01-05,1483574400,19.76,20.08,19.2,19.24,960600
2017-01-06,1483660800,19.27,19.45,18.85,19.05,766000
2017-01-09,1483920000,18.95,19.06,18.73,18.77,424300
2017-01-10,1484006400,18.81,18.96,18.36,18.86,485700
2017-01-11,1484092800,18.86,18.89,18.54,18.6,512000
2017-01-12,1484179200,18.61,18.73,18.24,18.48,1062000
2017-01-13,1484265600,18.49,18.59,18.19,18.34,793200
2017-01-17,1484611200,18.71,18.75,18.45,18.61,653200
2017-01-18,1484697600,18.47,18.97,18.37,18.87,771900
2017-01-19,1484784000,18.95,18.95,18.49,18.61,416100
2017-01-20,1484870400,18.6,18.74,17.94,17.98,665100
2017-01-23,1485129600,17.86,18.15,17.61,18.01,569600
2017-01-24,1485216000,18.14,18.6,17.88,18.53,510300
2017-01-25,1485302400,18.6,18.93,18.52,18.54,383400
2017-01-26,1485388800,18.62,19.0,18.43,18.46,507200
2017-01-27,1485475200,18.32,18.72,18.22,18.6,384100
2017-01-30,1485734400,18.52,18.57,17.85,18.33,575800
2017-01-31,1485820800,18.43,18.45,18.11,18.27,470800
2017-02-01,1485907200,18.39,18.69,18.03,18.11,1160000
2017-02-02,1485993600,18.2,18.66,18.15,18.51,811000
2017-02-03,1486080000,18.5,18.77,18.33,18.55,670800
2017-02-06,1486339200,18.69,18.69,18.43,18.48,421000
2017-02-07,1486425600,18.43,18.45,17.92,18.1,701000
2017-02-08,1486512000,18.02,18.21,17.87,18.03,915200
2017-02-09,1486598400,18.04,18.43,17.87,18.28,1240000
2017-02-10,1486684800,18.4,18.59,18.01,18.14,1356300
2017-02-13,1486944000,18.02,18.17,17.77,17.94,693500
2017-02-14,1487030400,17.94,18.51,17.73,18.41,818700
2017-02-15,1487116800,18.36,18.79,18.29,18.55,508400
2017-02-16,1487203200,18.63,19.1,18.15,18.19,1235900
2017-02-17,1487289600,18.09,18.37,17.89,18.3,493900
2017-02-21,1487635200,18.47,18.82,18.32,18.6,957400
2017-02-22,1487721600,18.57,18.69,18.35,18.54,1283300
2017-02-23,1487808000,18.56,18.88,18.23,18.84,1012300
2017-02-24,1487894400,18.8,18.95,18.43,18.91,862700
2017-02-27,1488153600,18.9,19.62,18.7,19.54,3482700
2017-02-28,1488240000,19.53,19.59,18.48,18.81,1864300
2017-03-01,1488326400,18.91,19.05,18.45,18.65,1233200
2017-03-02,1488412800,18.66,18.66,18.04,18.21,872500
2017-03-03,1488499200,18.12,18.45,18.09,18.3,497800
2017-03-06,1488758400,18.2,18.98,18.2,18.86,1112000
2017-03-07,1488844800,18.97,18.99,18.53,18.61,981200
2017-03-08,1488931200,18.55,18.71,17.91,18.2,1779400
2017-03-09,1489017600,18.11,18.35,17.55,17.81,1356300
2017-03-10,1489104000,17.77,17.82,17.01,17.35,1285900
2017-03-13,1489363200,17.31,18.02,17.31,17.99,994800
2017-03-14,1489449600,17.89,18.0,17.48,17.98,949100
2017-03-15,1489536000,18.03,18.49,17.67,18.18,1924200
2017-03-16,1489622400,18.21,18.49,18.04,18.21,976500
2017-03-17,1489708800,18.21,18.66,18.09,18.63,4365200
2017-03-20,1489968000,18.63,19.0,18.35,18.86,1192300
2017-03-21,1490054400,18.96,18.96,18.05,18.37,1626600
2017-03-22,1490140800,18.17,18.91,18.03,18.24,1742500
2017-03-23,1490227200,18.53,18.63,16.59,17.08,4939000
2017-03-24,1490313600,17.03,17.49,16.9,17.17,1809500
2017-03-27,1490572800,17.06,17.5,16.83,17.41,1369400
2017-03-28,1490659200,17.38,18.23,17.32,18.15,861800
2017-03-29,1490745600,18.1,18.28,17.72,18.2,680400
2017-03-30,1490832000,18.42,18.86,18.02,18.06,850100
2017-03-31,1490918400,18.08,18.35,17.9,18.23,906300
2017-04-03,1491177600,18.1,18.57,18.09,18.29,1687900
