Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,8.73,8.8,8.39,8.56,1302700
2017-01-04,1483488000,8.58,9.12,8.51,9.11,2008300
2017-01-05,1483574400,9.08,9.45,8.95,9.28,1873600
2017-01-06,1483660800,9.24,9.39,8.97,8.98,1084700
2017-01-09,1483920000,8.9,8.98,8.46,8.53,1945100
2017-01-10,1484006400,8.67,9.19,8.56,9.01,3533000
2017-01-11,1484092800,8.97,9.1,8.73,8.99,2557300
2017-01-12,1484179200,9.52,10.39,9.52,10.36,5378300
2017-01-13,1484265600,10.4,11.61,10.1,11.52,4822400
2017-01-17,1484611200,11.42,11.86,11.3,11.51,3234700
2017-01-18,1484697600,11.51,12.22,11.33,12.16,3285700
2017-01-19,1484784000,12.07,13.35,12.0,13.27,6799900
2017-01-20,1484870400,13.25,13.84,13.07,13.75,5180300
2017-01-23,1485129600,13.65,14.43,13.4,14.31,5824200
2017-01-24,1485216000,14.58,16.24,14.55,15.72,9403500
2017-01-25,1485302400,15.57,15.7,14.29,15.56,6952900
2017-01-26,1485388800,15.52,15.85,14.81,15.09,3527900
2017-01-27,1485475200,15.07,15.46,14.84,15.11,2781900
2017-01-30,1485734400,15.19,15.25,14.63,14.98,2908200
2017-01-31,1485820800,15.05,15.47,14.91,15.4,2593200
2017-02-01,1485907200,15.42,15.82,15.06,15.45,2645000
2017-02-02,1485993600,15.53,15.74,15.07,15.47,1928900
2017-02-03,1486080000,15.5,15.83,15.16,15.4,3511800
2017-02-06,1486339200,15.31,15.56,15.16,15.44,1917600
2017-02-07,1486425600,15.47,16.53,15.43,16.06,3326300
2017-02-08,1486512000,16.01,16.09,15.1,15.5,2470600
2017-02-09,1486598400,15.55,15.73,15.27,15.61,2159200
2017-02-10,1486684800,15.92,15.94,15.42,15.8,1955500
2017-02-13,1486944000,16.1,16.45,15.71,15.93,2377200
2017-02-14,1487030400,15.85,16.22,15.58,15.96,2079000
2017-02-15,1487116800,15.85,15.87,15.57,15.77,1536400
2017-02-16,1487203200,15.7,15.7,15.3,15.57,1890600
2017-02-17,1487289600,15.45,15.52,14.94,15.25,2294200
2017-02-21,1487635200,15.28,15.54,15.18,15.25,1654900
2017-02-22,1487721600,15.01,15.22,14.33,14.48,2277500
2017-02-23,1487808000,14.56,14.85,13.54,13.58,2768500
2017-02-24,1487894400,13.04,14.85,12.77,13.49,4597500
2017-02-27,1488153600,13.42,14.08,13.42,14.01,3788900
2017-02-28,1488240000,13.45,14.13,13.37,14.09,3590000
2017-03-01,1488326400,14.5,15.61,14.5,15.39,3211300
2017-03-02,1488412800,15.29,15.34,14.3,14.32,2895700
2017-03-03,1488499200,14.72,14.79,13.9,14.35,3434600
