Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,58.92,65.6,57.25,64.01,241488
2017-01-04,1483488000,64.8,65.18,59.24,61.54,113375
2017-01-05,1483574400,64.49,66.87,61.7,64.01,98775
2017-01-06,1483660800,65.12,66.32,62.82,63.77,57913
2017-01-09,1483920000,64.49,65.12,59.64,60.67,72625
2017-01-10,1484006400,60.27,60.63,53.59,58.44,132850
2017-01-11,1484092800,58.05,58.05,53.43,55.02,69563
2017-01-12,1484179200,54.94,55.26,51.05,53.67,55800
2017-01-13,1484265600,53.35,53.55,51.05,52.24,70538
2017-01-17,1484611200,52.88,56.54,52.85,54.07,83425
2017-01-18,1484697600,53.28,53.51,49.49,52.96,94163
2017-01-19,1484784000,53.51,55.58,52.4,54.79,53250
2017-01-20,1484870400,54.23,56.06,51.96,52.4,44638
2017-01-23,1485129600,51.68,53.28,50.97,52.0,44338
2017-01-24,1485216000,51.68,52.44,49.84,52.0,44638
2017-01-25,1485302400,52.48,52.48,50.73,51.68,31213
2017-01-26,1485388800,51.68,53.59,51.37,53.43,41513
2017-01-27,1485475200,53.04,53.43,50.89,51.29,37563
2017-01-30,1485734400,50.97,52.16,49.06,50.41,31525
2017-01-31,1485820800,50.49,50.68,48.66,50.09,31800
2017-02-01,1485907200,50.89,50.97,48.9,49.06,28388
2017-02-02,1485993600,48.9,49.06,44.53,44.85,85575
2017-02-03,1486080000,45.24,47.47,44.53,47.39,75125
2017-02-06,1486339200,46.91,52.08,46.44,50.41,87925
2017-02-07,1486425600,50.65,53.57,48.66,51.45,121613
2017-02-08,1486512000,51.45,52.0,49.3,51.53,63338
2017-02-09,1486598400,54.07,59.64,47.45,48.35,282500
2017-02-10,1486684800,49.3,52.16,48.27,48.27,94700
2017-02-13,1486944000,47.71,48.9,45.09,47.23,78025
2017-02-14,1487030400,48.03,48.22,45.4,46.2,36400
2017-02-15,1487116800,45.32,48.27,45.09,47.55,69300
2017-02-16,1487203200,47.39,48.27,45.84,46.91,35563
2017-02-17,1487289600,46.83,47.63,45.64,45.88,30663
2017-02-21,1487635200,46.12,46.36,39.84,40.71,121600
2017-02-22,1487721600,40.95,41.75,21.95,27.04,1028750
2017-02-23,1487808000,29.5,35.23,27.93,31.97,583838
2017-02-24,1487894400,31.73,33.79,29.89,31.89,104925
2017-02-27,1488153600,30.37,31.53,29.42,30.37,84613
2017-02-28,1488240000,30.06,30.45,28.07,28.15,80988
2017-03-01,1488326400,26.4,33.71,26.16,32.2,251650
2017-03-02,1488412800,31.41,32.2,28.86,29.1,68238
2017-03-03,1488499200,29.26,30.14,28.94,29.18,35513
2017-03-06,1488758400,28.55,28.55,24.33,26.64,148750
2017-03-07,1488844800,27.59,29.02,26.32,26.96,91600
2017-03-08,1488931200,27.19,27.59,25.52,26.8,56800
2017-03-09,1489017600,26.48,28.31,25.72,27.59,61475
2017-03-10,1489104000,27.59,28.23,27.19,27.99,16650
2017-03-13,1489363200,28.55,28.86,27.04,27.43,44525
2017-03-14,1489449600,27.43,27.57,26.24,26.48,36838
2017-03-15,1489536000,26.24,26.8,25.21,25.92,47675
2017-03-16,1489622400,26.48,26.88,25.44,26.4,22275
2017-03-17,1489708800,26.64,26.8,25.21,25.21,17938
2017-03-20,1489968000,25.05,25.52,22.34,24.33,66150
2017-03-21,1490054400,24.97,25.39,23.93,24.41,35663
2017-03-22,1490140800,24.57,26.16,24.09,25.21,32050
2017-03-23,1490227200,25.37,26.8,24.97,26.08,72750
2017-03-24,1490313600,26.24,27.43,26.08,26.32,54200
2017-03-27,1490572800,26.4,27.67,24.97,26.64,33113
2017-03-28,1490659200,26.4,27.39,26.0,26.24,27825
2017-03-29,1490745600,26.4,27.33,26.4,27.28,10788
2017-03-30,1490832000,27.52,30.72,27.52,28.8,58738
2017-03-31,1490918400,29.92,30.88,28.0,28.24,27213
2017-04-03,1491177600,28.0,28.64,26.48,26.8,18863
2017-04-04,1491264000,26.4,28.32,26.0,26.16,45688
2017-04-05,1491350400,26.0,26.4,24.8,25.2,30388
2017-04-06,1491436800,25.2,25.94,24.53,25.2,10775
2017-04-07,1491523200,25.2,25.92,24.56,24.8,14813
2017-04-10,1491782400,28.08,29.92,24.88,25.28,110538
2017-04-11,1491868800,25.36,25.84,24.16,24.48,20275
2017-04-12,1491955200,24.56,25.44,24.24,24.8,11788
2017-04-13,1492041600,24.56,25.98,24.32,24.8,13313
2017-04-17,1492387200,24.96,25.6,24.64,25.12,6988
2017-04-18,1492473600,25.84,26.56,25.2,25.76,16413
2017-04-19,1492560000,26.88,27.44,25.77,26.56,30075
2017-04-20,1492646400,27.2,27.2,26.16,26.8,10250
2017-04-21,1492732800,26.64,27.36,26.16,26.96,11425
2017-04-24,1492992000,27.04,27.04,26.0,26.0,18100
2017-04-25,1493078400,26.0,26.24,25.2,25.84,16638
2017-04-26,1493164800,25.68,26.66,25.2,25.44,7238
2017-04-27,1493251200,25.28,25.92,25.24,25.84,4163
2017-04-28,1493337600,25.84,25.84,25.2,25.52,5213
2017-05-01,1493596800,25.44,25.57,24.4,24.64,13850
2017-05-02,1493683200,24.56,25.94,24.24,25.36,16975
2017-05-03,1493769600,25.36,25.52,24.8,25.28,10050
2017-05-04,1493856000,25.12,25.28,24.88,25.28,10325
2017-05-05,1493942400,25.44,25.76,25.08,25.76,7288
2017-05-08,1494201600,25.52,26.06,25.28,25.84,10475
2017-05-09,1494288000,26.0,27.52,25.92,27.28,20013
2017-05-10,1494374400,27.6,27.6,26.48,26.72,19263
2017-05-11,1494460800,24.4,26.32,24.32,25.6,48488
2017-05-12,1494547200,25.6,26.0,24.8,25.76,13625
2017-05-15,1494806400,26.0,26.4,25.6,25.6,8713
2017-05-16,1494892800,26.0,26.0,25.12,25.2,9238
2017-05-17,1494979200,29.84,36.4,29.6,31.52,1911675
2017-05-18,1495065600,31.44,32.64,28.8,30.48,233475
2017-05-19,1495152000,30.64,30.88,28.88,30.56,132500
2017-05-22,1495411200,30.8,32.4,29.2,29.76,113375
2017-05-23,1495497600,29.68,30.14,28.16,29.04,43313
2017-05-24,1495584000,29.28,29.44,26.4,27.12,66075
2017-05-25,1495670400,26.88,28.14,26.8,27.6,29950
2017-05-26,1495756800,27.44,27.68,26.8,27.12,21625
2017-05-30,1496102400,27.52,29.6,27.12,29.6,46600
2017-05-31,1496188800,29.92,30.37,28.24,29.36,31938
2017-06-01,1496275200,28.24,29.5,28.24,28.56,21763
2017-06-02,1496361600,28.88,29.76,28.56,29.76,19675
2017-06-05,1496620800,29.44,29.84,28.56,28.8,20450
2017-06-06,1496707200,28.56,29.6,28.4,28.88,12813
2017-06-07,1496793600,28.8,29.01,28.0,28.4,9650
2017-06-08,1496880000,28.4,29.04,28.4,28.64,6088
2017-06-09,1496966400,28.48,29.36,28.4,28.56,8463
2017-06-12,1497225600,28.88,28.88,27.2,27.28,17938
2017-06-13,1497312000,27.28,27.84,26.88,27.2,13600
2017-06-14,1497398400,27.52,27.52,26.56,26.64,11688
2017-06-15,1497484800,26.56,26.56,25.6,25.76,14763
2017-06-16,1497571200,25.76,26.8,25.76,26.4,8963
2017-06-19,1497830400,26.24,26.8,25.44,26.32,13675
2017-06-20,1497916800,26.32,26.96,25.86,26.48,4563
2017-06-21,1498003200,26.48,26.96,25.6,26.8,8075
2017-06-22,1498089600,26.8,27.6,26.4,27.6,10700
2017-06-23,1498176000,27.52,28.4,26.8,28.4,9713
2017-06-26,1498435200,28.0,28.4,27.36,28.24,9213
2017-06-27,1498521600,28.4,29.52,28.0,29.04,11063
2017-06-28,1498608000,28.72,29.12,28.48,28.76,7800
2017-06-29,1498694400,28.56,29.44,28.02,28.56,10650
2017-06-30,1498780800,28.71,29.2,28.08,28.8,6313
2017-07-03,1499040000,28.56,29.29,28.48,28.88,4813
2017-07-05,1499212800,28.88,29.52,28.4,29.2,15388
2017-07-06,1499299200,29.44,29.44,28.0,28.32,4463
2017-07-07,1499385600,27.92,28.8,27.73,28.24,5413
2017-07-10,1499644800,28.16,28.76,27.74,28.08,3863
2017-07-11,1499731200,28.24,28.32,27.84,27.92,6913
2017-07-12,1499817600,28.32,29.68,28.2,28.48,9263
2017-07-13,1499904000,28.64,28.8,28.16,28.16,4350
2017-07-14,1499990400,28.56,28.72,27.6,28.0,7063
2017-07-17,1500249600,28.16,28.64,27.92,28.32,8575
2017-07-18,1500336000,28.64,28.64,27.67,28.56,4263
2017-07-19,1500422400,28.56,28.88,27.28,28.32,7588
2017-07-20,1500508800,28.64,28.9,28.08,28.72,6400
2017-07-21,1500595200,28.8,28.8,27.81,28.08,9238
2017-07-24,1500854400,28.08,28.4,28.0,28.24,5288
2017-07-25,1500940800,28.16,28.64,27.52,27.6,7213
2017-07-26,1501027200,27.76,27.92,26.88,26.88,17975
2017-07-27,1501113600,27.04,27.44,26.48,26.72,11125
2017-07-28,1501200000,26.96,27.12,26.48,26.64,4550
2017-07-31,1501459200,26.72,27.36,26.48,26.72,6975
2017-08-01,1501545600,26.72,27.36,25.76,25.92,14525
2017-08-02,1501632000,26.08,26.24,25.44,25.76,7163
2017-08-03,1501718400,25.92,25.92,25.12,25.28,8100
2017-08-04,1501804800,25.12,25.44,24.94,25.12,7875
2017-08-07,1502064000,25.04,25.84,24.8,24.8,9763
2017-08-08,1502150400,25.44,26.16,25.26,25.36,7413
2017-08-09,1502236800,25.6,25.8,24.8,25.12,6713
2017-08-10,1502323200,25.36,25.79,24.88,25.52,8538
2017-08-11,1502409600,26.4,28.0,25.52,27.36,42900
2017-08-14,1502668800,27.6,28.16,25.04,25.76,81750
2017-08-15,1502755200,26.4,26.67,24.96,25.6,30250
2017-08-16,1502841600,25.28,25.33,24.08,24.4,38963
2017-08-17,1502928000,24.16,24.28,21.68,22.56,53888
2017-08-18,1503014400,23.2,24.24,22.88,23.04,21938
2017-08-21,1503273600,23.36,23.36,21.76,22.64,21825
2017-08-22,1503360000,22.4,22.97,21.68,22.08,15675
2017-08-23,1503446400,22.0,22.24,21.67,21.92,9813
2017-08-24,1503532800,22.0,22.56,21.84,22.48,9050
2017-08-25,1503619200,22.48,23.52,22.48,22.96,12013
2017-08-28,1503878400,23.04,23.2,22.88,23.12,7213
2017-08-29,1503964800,23.04,23.04,22.4,22.56,8575
2017-08-30,1504051200,22.56,22.88,22.48,22.8,9488
2017-08-31,1504137600,22.56,23.76,22.56,23.36,9025
2017-09-01,1504224000,23.36,24.24,23.2,24.0,7963
2017-09-05,1504569600,24.0,25.2,23.76,24.96,22388
2017-09-06,1504656000,24.72,25.84,24.72,25.2,16563
2017-09-07,1504742400,25.2,25.28,24.08,24.32,8925
2017-09-08,1504828800,24.24,25.28,24.08,25.2,13775
2017-09-11,1505088000,25.36,26.0,24.48,24.72,12688
2017-09-12,1505174400,24.88,25.44,24.56,25.12,5875
2017-09-13,1505260800,25.68,26.56,25.12,25.28,32738
2017-09-14,1505347200,25.28,26.16,25.2,25.52,7063
2017-09-15,1505433600,25.84,27.92,25.61,26.8,38313
2017-09-18,1505692800,27.04,27.2,25.68,25.84,15425
2017-09-19,1505779200,25.6,26.4,25.36,25.92,8675
2017-09-20,1505865600,25.76,26.64,25.71,26.4,7763
2017-09-21,1505952000,26.08,26.24,25.66,25.68,5200
2017-09-22,1506038400,25.68,25.76,25.37,25.76,4600
2017-09-25,1506297600,25.52,26.32,25.44,25.68,11663
2017-09-26,1506384000,25.44,25.78,24.56,24.64,16663
2017-09-27,1506470400,24.56,24.8,24.08,24.4,10538
2017-09-28,1506556800,24.56,24.56,24.04,24.08,4400
2017-09-29,1506643200,24.0,24.32,23.84,23.92,4213
2017-10-02,1506902400,23.92,23.92,22.8,22.8,10550
2017-10-03,1506988800,22.64,23.84,22.64,22.64,10363
2017-10-04,1507075200,22.64,23.07,22.64,22.96,15100
2017-10-05,1507161600,22.8,24.32,22.8,24.11,16225
2017-10-06,1507248000,24.0,24.32,22.88,23.28,16013
2017-10-09,1507507200,23.44,23.44,22.8,22.96,7638
2017-10-10,1507593600,22.96,23.68,22.96,23.52,11500
2017-10-11,1507680000,23.84,23.86,23.33,23.36,7425
2017-10-12,1507766400,23.28,23.36,22.96,23.12,2563
2017-10-13,1507852800,22.64,23.2,22.64,22.64,10663
2017-10-16,1508112000,22.8,23.07,22.4,22.56,10575
2017-10-17,1508198400,22.48,23.44,22.16,23.44,14900
2017-10-18,1508284800,23.28,24.16,22.72,23.6,6100
2017-10-19,1508371200,23.68,23.91,23.04,23.12,4525
2017-10-20,1508457600,23.04,23.36,22.8,23.36,4963
2017-10-23,1508716800,23.52,23.88,22.8,23.76,9088
2017-10-24,1508803200,24.0,24.96,23.6,23.92,14425
2017-10-25,1508889600,23.93,23.93,22.8,23.44,5525
2017-10-26,1508976000,23.52,23.52,22.4,22.48,7913
2017-10-27,1509062400,22.56,23.92,22.0,23.84,19163
2017-10-30,1509321600,23.68,24.16,23.36,23.56,8800
2017-10-31,1509408000,23.52,23.6,22.72,22.88,4038
2017-11-01,1509494400,22.8,22.84,22.16,22.32,12913
2017-11-02,1509580800,22.32,22.64,21.68,22.64,10900
2017-11-03,1509667200,22.32,22.32,21.75,22.24,13038
2017-11-06,1509926400,22.4,22.4,20.88,21.28,28975
2017-11-07,1510012800,21.2,21.92,21.04,21.52,10725
2017-11-08,1510099200,21.76,22.4,21.44,22.24,8588
2017-11-09,1510185600,22.4,23.2,22.06,22.48,19588
2017-11-10,1510272000,22.64,23.2,22.64,22.88,11038
2017-11-13,1510531200,22.8,23.2,22.7,23.2,6975
2017-11-14,1510617600,22.96,23.2,22.27,22.4,4425
2017-11-15,1510704000,22.32,22.32,21.4,21.92,12425
2017-11-16,1510790400,21.92,22.4,21.92,22.16,3725
2017-11-17,1510876800,22.32,22.4,22.05,22.4,5000
2017-11-20,1511136000,22.32,22.4,21.99,22.32,3188
2017-11-21,1511222400,22.64,23.92,22.59,23.6,20963
2017-11-22,1511308800,23.6,23.6,22.8,23.06,5238
2017-11-24,1511481600,23.12,23.59,22.88,23.36,2438
2017-11-27,1511740800,23.44,23.68,22.4,22.8,5325
2017-11-28,1511827200,23.04,23.12,22.4,22.8,4113
2017-11-29,1511913600,22.8,23.04,22.64,22.8,3663
2017-11-30,1512000000,22.88,22.88,21.73,22.32,5950
2017-12-01,1512086400,22.48,22.52,21.04,21.52,7900
2017-12-04,1512345600,21.6,22.24,21.12,21.36,8025
2017-12-05,1512432000,21.44,21.52,20.41,20.8,7713
2017-12-06,1512518400,20.96,20.96,19.04,20.08,13000
2017-12-07,1512604800,22.0,22.72,19.68,20.96,24463
2017-12-08,1512691200,21.6,21.6,20.71,21.41,10313
2017-12-11,1512950400,21.6,21.75,20.0,20.64,14563
2017-12-12,1513036800,20.64,21.27,19.84,19.84,5250
2017-12-13,1513123200,20.0,21.52,20.0,20.56,12163
2017-12-14,1513209600,20.8,21.36,20.8,21.12,8625
2017-12-15,1513296000,21.28,21.36,20.0,20.0,5488
2017-12-18,1513555200,20.0,21.2,20.0,21.12,9763
2017-12-19,1513641600,21.12,21.44,20.48,20.72,6038
2017-12-20,1513728000,20.96,22.0,20.48,21.52,9675
2017-12-21,1513814400,21.44,22.64,21.36,22.16,12725
2017-12-22,1513900800,22.0,22.56,21.76,22.32,7575
2017-12-26,1514246400,22.48,22.48,21.04,21.6,11950
