Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,18.5,21.0,18.5,20.5,4610
2017-01-04,1483488000,21.0,21.37,20.0,20.0,3990
2017-01-05,1483574400,20.55,20.95,20.0,20.5,880
2017-01-06,1483660800,18.5,20.5,18.0,19.5,8740
2017-01-09,1483920000,20.0,20.0,19.0,19.0,1100
2017-01-10,1484006400,19.5,19.5,18.5,18.5,3010
2017-01-11,1484092800,18.5,19.0,18.0,18.5,3460
2017-01-12,1484179200,18.9,18.9,18.0,18.5,2560
2017-01-13,1484265600,19.0,21.91,18.98,20.5,11470
2017-01-17,1484611200,20.0,20.0,18.5,19.5,6810
2017-01-18,1484697600,19.55,20.0,18.0,18.5,2460
2017-01-19,1484784000,18.5,19.5,18.5,19.5,440
2017-01-20,1484870400,19.37,19.4,16.5,18.0,6000
2017-01-23,1485129600,18.1,18.5,17.5,17.5,1570
2017-01-24,1485216000,17.11,17.5,16.98,17.25,2930
2017-01-25,1485302400,18.0,18.0,17.5,17.5,3160
2017-01-26,1485388800,18.0,19.0,18.0,18.5,1220
2017-01-27,1485475200,18.0,19.0,18.0,19.0,700
2017-01-30,1485734400,19.0,19.0,17.5,17.5,1510
2017-01-31,1485820800,17.5,18.0,16.5,18.0,3830
2017-02-01,1485907200,18.0,18.0,16.5,17.5,340
2017-02-02,1485993600,18.0,18.0,16.5,18.0,2430
2017-02-03,1486080000,18.0,18.0,17.5,17.5,930
2017-02-06,1486339200,17.0,18.0,17.0,17.8,870
2017-02-07,1486425600,18.0,18.0,17.0,17.0,3020
2017-02-08,1486512000,17.19,18.0,17.0,17.0,350
2017-02-09,1486598400,17.4,18.5,17.0,17.5,2500
2017-02-10,1486684800,18.0,18.0,14.95,15.45,12280
2017-02-13,1486944000,16.5,17.5,16.5,17.0,3440
2017-02-14,1487030400,17.0,17.5,17.0,17.0,800
2017-02-15,1487116800,17.5,17.5,17.0,17.5,3000
2017-02-16,1487203200,17.45,20.5,17.26,20.0,11210
2017-02-17,1487289600,20.5,22.0,19.5,21.5,9750
2017-02-21,1487635200,22.5,24.0,21.75,23.5,15720
2017-02-22,1487721600,24.0,24.5,22.5,22.5,7460
2017-02-23,1487808000,23.5,23.5,20.5,21.35,9680
2017-02-24,1487894400,21.36,21.5,20.24,21.5,17610
2017-02-27,1488153600,21.0,23.0,20.5,22.5,4870
2017-02-28,1488240000,22.0,23.0,20.05,21.5,10410
2017-03-01,1488326400,21.5,21.5,20.5,20.5,2750
2017-03-02,1488412800,20.56,22.0,20.5,21.5,3260
2017-03-03,1488499200,22.0,23.0,21.5,23.0,640
2017-03-06,1488758400,22.5,22.5,21.12,22.5,3340
2017-03-07,1488844800,22.0,22.0,21.0,21.0,2680
2017-03-08,1488931200,21.0,23.5,21.0,21.0,5960
2017-03-09,1489017600,21.5,23.5,21.0,22.5,14290
2017-03-10,1489104000,23.0,25.0,22.0,22.5,13340
2017-03-13,1489363200,22.5,23.5,21.5,22.0,7660
2017-03-14,1489449600,23.0,23.0,20.67,21.0,4430
2017-03-15,1489536000,21.9,22.0,20.5,20.5,3790
2017-03-16,1489622400,20.5,21.0,20.5,20.5,550
2017-03-17,1489708800,20.5,21.0,20.5,21.0,3110
2017-03-20,1489968000,20.55,20.55,20.0,20.0,2610
2017-03-21,1490054400,20.0,20.5,19.0,19.0,3320
